band,lo_A,hi_A,source_used,source_rejected_rows,depth_tested,asplund_active,ew_valid,deep_synthesis,below_floor,source_scope_note
FUV,0.0,3000.0,0,0,0,0,0,0,0,no transition in the adopted Amarsi2017/Scott2015 Solar Si line set
NUV,3000.0,3780.0,0,0,0,0,0,0,0,no transition in the adopted Amarsi2017/Scott2015 Solar Si line set
VIS,3780.0,6910.0,8,2,10,8,8,0,0,
red-optical,6910.0,9199.0,2,0,2,2,2,0,0,
NIR,9199.0,13000.0,0,0,0,0,0,0,0,Scott2015 explicitly discarded available near-IR Si I lines: only low-accuracy theoretical gf and large/uncertain NLTE effects; no wavelengths enumerated in the adopted table
H,15007.0,17500.0,0,0,0,0,0,0,0,Scott2015 explicitly discarded available near-IR Si I lines: only low-accuracy theoretical gf and large/uncertain NLTE effects; no wavelengths enumerated in the adopted table
K,17500.0,21400.0,0,0,0,0,0,0,0,Scott2015 explicitly discarded available near-IR Si I lines: only low-accuracy theoretical gf and large/uncertain NLTE effects; no wavelengths enumerated in the adopted table
