wavelength_air_A,ep_eV,lab_source,lab_sigma_dex,loggf_production,loggf_lab,d_loggf,already_on_lab,a_control,a_labgf,d_A,status_control,status_lab,note
3026.056,2.175945,Belmonte2017,0.1,-5.038,-2.077,2.9610000000000003,False,8.498,8.529,0.031000000000000583,ok,ok,
3067.244,0.914602,Belmonte2017,0.03,-0.51173138450454,-0.42,0.09173138450454005,False,8.458,8.514,0.05599999999999916,ok,ok,
3083.741,0.990111,Belmonte2017,0.03,-0.8810742471742231,-1.0,-0.11892575282577689,False,8.568,8.475,-0.09299999999999997,ok,ok,
3099.895,1.011056,Belmonte2017,0.03,-1.0788339493622612,-1.19,-0.11116605063773877,False,8.28,8.257,-0.022999999999999687,ok,ok,
3100.665,0.958157,Belmonte2017,0.03,-0.8648673486232251,-0.85,0.01486734862322514,False,8.3,8.287,-0.0129999999999999,ok,ok,
3125.651,0.990111,Belmonte2017,0.04,-1.6625407387093438,-1.71,-0.04745926129065614,False,7.655,7.709,0.05399999999999938,ok,ok,
3125.683,2.404074,Belmonte2017,0.03,-0.6918896378842376,-0.93,-0.23811036211576242,False,7.673,7.749,0.07599999999999962,ok,ok,
3211.9873,2.399205,DenHartog2014,0.03,-0.18996921359416044,-0.31,-0.12003078640583956,False,7.285,7.316,0.030999999999999694,ok,ok,
3217.3772,2.399205,DenHartog2014,0.03,-0.679853713888946,-0.5,0.179853713888946,False,7.56,7.249,-0.31099999999999994,ok,ok,
3225.7872,2.399205,DenHartog2014,0.03,0.3798491787628298,0.41,0.030150821237170167,False,7.766,7.72,-0.04600000000000026,ok,ok,
3227.7955,2.425433,DenHartog2014,0.03,-0.26544017842052386,-0.26,0.005440178420523856,False,7.468,7.469,0.001000000000000334,ok,ok,
3228.249,2.468835,DenHartog2014,0.04,-0.7582045687048014,-0.78,-0.021795431295198675,False,7.301,7.298,-0.0030000000000001137,ok,ok,
3228.8987,2.482118,DenHartog2014,0.08,-1.178,-1.31,-0.13200000000000012,False,7.556,7.552,-0.004000000000000448,ok,ok,
3230.9636,2.44956,DenHartog2014,0.03,-0.5421181032660076,-0.49,0.05211810326600763,False,7.463,7.424,-0.0389999999999997,ok,ok,
3233.9675,2.425433,DenHartog2014,0.03,-0.5325398904927361,-0.5,0.03253989049273609,False,8.028,8.038,0.009999999999999787,ok,ok,
3239.4329,2.425433,DenHartog2014,0.03,-0.3792395100057943,-0.21,0.16923951000579432,False,7.541,7.411,-0.13000000000000078,ok,ok,
3247.2801,2.468835,DenHartog2014,0.05,-1.093,-1.15,-0.05699999999999994,False,7.567,7.574,0.006999999999999673,ok,ok,
3248.2042,2.44956,DenHartog2014,0.03,-0.6720283763769894,-0.67,0.0020283763769893826,False,7.644,7.638,-0.006000000000000227,ok,ok,
3252.915,2.559171,Belmonte2017,0.05,-1.4153296155356512,-1.49,-0.07467038446434882,False,7.13,7.119,-0.01100000000000012,ok,ok,
3254.4569,2.44956,DenHartog2014,0.11,-2.407,-2.38,0.027000000000000135,False,7.485,7.477,-0.008000000000000007,ok,ok,
3259.9895,2.44956,DenHartog2014,0.04,-1.368150537840182,-1.27,0.0981505378401819,False,6.873,6.859,-0.014000000000000234,ok,ok,
3264.513,2.197866,Belmonte2017,0.06,-1.3151546383555874,-1.95,-0.6348453616444125,False,7.473,7.917,0.44399999999999995,ok,ok,
3286.016,2.222712,Belmonte2017,0.08,-2.453,-2.34,0.11299999999999999,False,8.197,8.216,0.019000000000000128,ok,ok,
3370.783,2.692408,Belmonte2017,0.03,-0.2666422120744145,-0.36,-0.09335778792558547,False,8.011,7.96,-0.05099999999999927,ok,ok,
3383.979,2.175945,Belmonte2017,0.03,-1.1056839373155616,-1.006,0.09968393731556158,False,7.462,7.531,0.06899999999999995,ok,ok,
3392.305,2.197866,Belmonte2017,0.03,-1.0680338852718274,-1.17,-0.10196611472817252,False,8.479,8.446,-0.032999999999999474,ok,ok,
3404.354,2.197866,Belmonte2017,0.03,-0.8777841217271733,-0.84,0.03778412172717338,False,7.676,7.65,-0.0259999999999998,ok,ok,
3407.46,2.175945,Belmonte2017,0.02,-0.02136305161552562,-0.029,-0.0076369483844743805,False,8.428,8.423,-0.005000000000000782,ok,ok,
3415.531,2.222712,Belmonte2017,0.04,-1.3925449767853315,-1.49,-0.09745502321466848,False,7.854,7.837,-0.017000000000000348,ok,ok,
3427.12,2.175945,Belmonte2017,0.02,-0.09799710864927048,-0.067,0.03099710864927048,False,7.516,7.486,-0.03000000000000025,ok,ok,
3475.863,2.432695,Belmonte2017,0.08,-1.96,-1.85,0.10999999999999988,False,7.346,7.337,-0.009000000000000341,ok,ok,
3506.5803,2.881992,DenHartog2014,0.12,-1.798,-1.68,0.1180000000000001,False,7.132,7.069,-0.06299999999999972,ok,ok,
3509.7258,2.88516,DenHartog2014,0.12,-1.929,-1.61,0.31899999999999995,False,7.065,6.799,-0.266,ok,ok,
3523.3087,2.875503,DenHartog2014,0.06,-1.2291479883578558,-1.36,-0.13085201164214433,False,7.322,7.391,0.06899999999999995,ok,ok,
3526.238,2.865391,Ruffoni2014,0.02,-0.5453075507605232,-0.57,-0.024692449239476777,False,8.517,8.516,-0.0009999999999994458,ok,ok,
3527.891,2.758577,Belmonte2017,0.09,-1.84,-1.98,-0.1399999999999999,False,8.75,8.826,0.07600000000000051,ok,ok,
3529.8198,2.881992,DenHartog2014,0.02,-0.3615107430453627,-0.43,-0.06848925695463731,False,7.449,7.517,0.0680000000000005,ok,ok,
3533.0066,2.88516,DenHartog2014,0.02,-0.3196644865854368,-0.37,-0.050335513414563215,False,8.816,8.799,-0.017000000000001236,ok,ok,
3540.1211,2.865391,DenHartog2014,0.02,-0.7950664776458551,-0.71,0.08506647764585518,False,9.519,9.549,0.02999999999999936,ok,ok,
3570.2542,2.808293,DenHartog2014,0.02,0.805,0.65,-0.15500000000000003,False,7.404,7.427,0.022999999999999687,ok,ok,
3581.193,0.858996,Belmonte2017,0.02,0.4068806700491247,0.43,0.02311932995087529,False,7.618,7.577,-0.04100000000000037,ok,ok,
3603.681,2.559171,Belmonte2017,0.05,-2.0123337350737254,-2.1,-0.08766626492627472,False,8.917,8.924,0.006999999999999673,ok,ok,
3604.3716,2.881992,DenHartog2014,0.09,-1.479,-1.59,-0.11099999999999999,False,7.948,7.997,0.04899999999999949,ok,ok,
3610.1591,2.808293,DenHartog2014,0.05,0.17464119266044836,0.12,-0.05464119266044837,False,7.31,7.349,0.03900000000000059,ok,ok,
3610.6946,2.875503,DenHartog2014,0.05,-1.2111248842245832,-1.31,-0.09887511577541686,False,7.205,7.246,0.04100000000000037,ok,ok,
3618.299,2.832527,DenHartog2014,0.04,-1.063184768802367,-1.0,0.06318476880236701,False,10.608,10.59,-0.018000000000000682,ok,ok,
3623.7731,2.865391,DenHartog2014,0.04,-0.921,-1.08,-0.15900000000000003,False,8.009,8.086,0.07699999999999996,ok,ok,
3625.1417,2.832527,DenHartog2014,0.03,-0.8413360191860106,-0.78,0.061336019186010615,False,7.81,7.74,-0.0699999999999994,ok,ok,
3630.3478,2.851224,DenHartog2014,0.06,-0.8416375079047502,-0.82,0.021637507904750275,False,7.508,7.508,0.0,ok,ok,
3645.0748,2.851224,DenHartog2014,0.04,-1.283078926833239,-1.31,-0.026921073166761067,False,8.387,8.388,0.0009999999999994458,ok,ok,
3664.5374,2.998045,Ruffoni2014,0.03,-1.072116589669293,-1.08,-0.007883410330707052,False,7.638,7.651,0.0129999999999999,ok,ok,
3704.4612,2.692408,Ruffoni2014,0.02,-0.5802094138936373,-0.62,-0.03979058610636266,False,7.672,7.692,0.020000000000000462,ok,ok,
3721.272,2.175945,Belmonte2017,0.07,-1.7875460389597242,-1.82,-0.03245396104027587,False,7.481,7.478,-0.0030000000000001137,ok,ok,
3730.386,3.046869,Belmonte2017,0.03,-0.6513058097344588,-0.69,-0.038694190265541106,False,7.301,7.31,0.008999999999999453,ok,ok,
3735.3238,2.939846,DenHartog2014,0.03,,,,,,,,,,"substitution refused: gf substitution at 3735.3238 A / EP 2.9398 eV matched 2 physical lines, expected exactly 1 — refusing to guess which"
3738.305,3.267112,Belmonte2017,0.03,-0.028167720075074777,-0.031,-0.0028322799249252233,False,7.552,7.552,0.0,ok,ok,
3742.6166,2.939846,DenHartog2014,0.03,-0.8934691461776187,-0.81,0.08346914617761869,False,7.586,7.558,-0.02800000000000047,ok,ok,
3769.9874,2.998045,DenHartog2014,0.04,-0.732,-1.07,-0.3380000000000001,False,7.602,7.756,0.15399999999999991,ok,ok,
3776.455,2.175945,Belmonte2017,0.03,-1.4930892744484818,-1.68,-0.1869107255515181,False,7.076,7.27,0.19399999999999995,ok,ok,
3779.2027,2.758579,Ruffoni2014,0.08,-1.529,-2.46,-0.931,False,7.186,7.408,0.22200000000000042,ok,ok,
3779.416,2.559171,Belmonte2017,0.05,-1.9926790470772555,-2.036,-0.043320952922744516,False,7.2,7.215,0.01499999999999968,ok,ok,
