true_star,instrument,src_folder,raw_object,norm_reason,file,date_obs,exptime,snr35,specsys,sep_arcsec,tight_sep_flag,integrity,src_path
alpha_cen_a,HARPS,Alpha Cen B,HD128620,HD128620,ADP.2014-09-24T09:44:32.400.fits,2010-04-02T06:04:38.996,30.0006,599.6,BARYCENT,,False,OK,/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri (vetted)/Alpha Cen B/HARPS/ADP.2014-09-24T09:44:32.400.fits
alpha_cen_a,HARPS,Alpha Cen B,HD128620,HD128620,ADP.2014-09-24T09:42:51.813.fits,2010-04-02T06:05:41.440,29.9999,599.5,BARYCENT,,False,OK,/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri (vetted)/Alpha Cen B/HARPS/ADP.2014-09-24T09:42:51.813.fits
alpha_cen_a,HARPS,Alpha Cen B,HD128620,HD128620,ADP.2014-09-24T09:43:37.887.fits,2010-04-02T06:06:43.463,30.0072,599.8,BARYCENT,,False,OK,/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri (vetted)/Alpha Cen B/HARPS/ADP.2014-09-24T09:43:37.887.fits
alpha_cen_a,HARPS,Alpha Cen B,HD128620,HD128620,ADP.2014-09-24T09:41:49.200.fits,2010-04-02T06:07:45.457,30.0074,600.1,BARYCENT,,False,OK,/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri (vetted)/Alpha Cen B/HARPS/ADP.2014-09-24T09:41:49.200.fits
alpha_cen_a,HARPS,Alpha Cen B,HD128620,HD128620,ADP.2014-09-24T09:42:23.473.fits,2010-04-02T06:08:47.440,30.0077,600.1,BARYCENT,,False,OK,/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri (vetted)/Alpha Cen B/HARPS/ADP.2014-09-24T09:42:23.473.fits
alpha_cen_a,HARPS,Alpha Cen B,HD128620,HD128620,ADP.2014-09-24T09:42:42.880.fits,2010-04-02T06:09:49.434,30.0063,599.6,BARYCENT,,False,OK,/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri (vetted)/Alpha Cen B/HARPS/ADP.2014-09-24T09:42:42.880.fits
alpha_cen_a,HARPS,Alpha Cen B,HD128620,HD128620,ADP.2014-09-24T09:43:36.823.fits,2010-04-02T06:10:50.978,30.0064,599.2,BARYCENT,,False,OK,/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri (vetted)/Alpha Cen B/HARPS/ADP.2014-09-24T09:43:36.823.fits
alpha_cen_a,HARPS,Alpha Cen B,HD128620,HD128620,ADP.2014-09-24T09:43:38.363.fits,2010-04-02T06:11:53.431,30.005,599.0,BARYCENT,,False,OK,/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri (vetted)/Alpha Cen B/HARPS/ADP.2014-09-24T09:43:38.363.fits
alpha_cen_a,HARPS,Alpha Cen B,HD128620,HD128620,ADP.2014-09-24T09:43:50.693.fits,2010-04-02T06:12:54.985,29.9988,599.1,BARYCENT,,False,OK,/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri (vetted)/Alpha Cen B/HARPS/ADP.2014-09-24T09:43:50.693.fits
alpha_cen_a,HARPS,Alpha Cen A,HD128620,HD128620,ADP.2014-09-24T09:44:40.813.fits,2010-04-03T08:39:42.523,3.0055,238.3,BARYCENT,,False,OK,/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri (vetted)/Alpha Cen A/HARPS/ADP.2014-09-24T09:44:40.813.fits
alpha_cen_a,HARPS,Alpha Cen A,HD128620,HD128620,ADP.2014-09-24T09:44:36.227.fits,2010-04-03T08:40:17.725,3.006,274.7,BARYCENT,,False,OK,/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri (vetted)/Alpha Cen A/HARPS/ADP.2014-09-24T09:44:36.227.fits
alpha_cen_a,HARPS,Alpha Cen A,HD128620,HD128620,ADP.2014-09-24T09:42:25.353.fits,2010-04-03T08:40:53.357,3.0004,308.4,BARYCENT,,False,OK,/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri (vetted)/Alpha Cen A/HARPS/ADP.2014-09-24T09:42:25.353.fits
alpha_cen_a,HARPS,Alpha Cen A,HD128620,HD128620,ADP.2014-09-24T09:42:28.983.fits,2010-04-03T08:41:28.299,3.0067,267.0,BARYCENT,,False,OK,/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri (vetted)/Alpha Cen A/HARPS/ADP.2014-09-24T09:42:28.983.fits
alpha_cen_a,HARPS,Alpha Cen A,HD128620,HD128620,ADP.2014-09-24T09:44:25.267.fits,2010-04-03T08:42:03.001,3.0062,292.0,BARYCENT,,False,OK,/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri (vetted)/Alpha Cen A/HARPS/ADP.2014-09-24T09:44:25.267.fits
alpha_cen_a,HARPS,Alpha Cen A,HD128620,HD128620,ADP.2014-09-24T09:44:22.547.fits,2010-04-03T08:42:38.523,2.9998,254.7,BARYCENT,,False,OK,/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri (vetted)/Alpha Cen A/HARPS/ADP.2014-09-24T09:44:22.547.fits
alpha_cen_a,HARPS,Alpha Cen A,HD128620,HD128620,ADP.2014-09-24T09:44:24.760.fits,2010-04-03T08:43:13.875,3.0066,259.0,BARYCENT,,False,OK,/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri (vetted)/Alpha Cen A/HARPS/ADP.2014-09-24T09:44:24.760.fits
alpha_cen_a,HARPS,Alpha Cen A,HD128620,HD128620,ADP.2014-09-24T09:43:05.630.fits,2010-04-03T08:43:49.367,3.0007,273.7,BARYCENT,,False,OK,/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri (vetted)/Alpha Cen A/HARPS/ADP.2014-09-24T09:43:05.630.fits
alpha_cen_a,HARPS,Alpha Cen A,HD128620,HD128620,ADP.2014-09-24T09:41:25.030.fits,2010-04-03T08:44:24.439,3.0068,258.9,BARYCENT,,False,OK,/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri (vetted)/Alpha Cen A/HARPS/ADP.2014-09-24T09:41:25.030.fits
alpha_cen_a,HARPS,Alpha Cen A,HD128620,HD128620,ADP.2014-09-24T09:42:27.037.fits,2010-04-03T08:44:59.411,2.9998,282.2,BARYCENT,,False,OK,/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri (vetted)/Alpha Cen A/HARPS/ADP.2014-09-24T09:42:27.037.fits
alpha_cen_a,HARPS,Alpha Cen A,HD128620,HD128620,ADP.2014-09-24T09:43:16.560.fits,2010-04-03T08:45:34.413,3.0079,278.0,BARYCENT,,False,OK,/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri (vetted)/Alpha Cen A/HARPS/ADP.2014-09-24T09:43:16.560.fits
alpha_cen_a,HARPS,Alpha Cen A,HD128620,HD128620,ADP.2014-09-24T09:41:42.227.fits,2010-04-03T08:46:09.024,3.0079,295.3,BARYCENT,,False,OK,/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri (vetted)/Alpha Cen A/HARPS/ADP.2014-09-24T09:41:42.227.fits
alpha_cen_a,HARPS,Alpha Cen A,HD128620,HD128620,ADP.2014-09-24T09:42:44.230.fits,2010-04-03T08:46:43.107,3.0075,277.0,BARYCENT,,False,OK,/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri (vetted)/Alpha Cen A/HARPS/ADP.2014-09-24T09:42:44.230.fits
alpha_cen_a,HARPS,Alpha Cen A,HD128620,HD128620,ADP.2014-09-24T09:42:21.463.fits,2010-04-03T08:47:18.389,3.0071,268.5,BARYCENT,,False,OK,/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri (vetted)/Alpha Cen A/HARPS/ADP.2014-09-24T09:42:21.463.fits
alpha_cen_a,HARPS,Alpha Cen A,HD128620,HD128620,ADP.2014-09-24T09:41:38.447.fits,2010-04-03T08:47:53.461,2.9996,264.7,BARYCENT,,False,OK,/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri (vetted)/Alpha Cen A/HARPS/ADP.2014-09-24T09:41:38.447.fits
alpha_cen_a,HARPS,Alpha Cen A,HD128620,HD128620,ADP.2014-09-24T09:44:25.167.fits,2010-04-03T08:48:28.363,3.0066,271.5,BARYCENT,,False,OK,/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri (vetted)/Alpha Cen A/HARPS/ADP.2014-09-24T09:44:25.167.fits
alpha_cen_a,HARPS,Alpha Cen A,HD128620,HD128620,ADP.2014-09-24T09:42:57.083.fits,2010-04-03T08:49:03.385,3.0002,287.0,BARYCENT,,False,OK,/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri (vetted)/Alpha Cen A/HARPS/ADP.2014-09-24T09:42:57.083.fits
alpha_cen_a,HARPS,Alpha Cen A,HD128620,HD128620,ADP.2014-09-24T09:42:01.420.fits,2010-04-03T08:49:38.317,3.0078,277.0,BARYCENT,,False,OK,/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri (vetted)/Alpha Cen A/HARPS/ADP.2014-09-24T09:42:01.420.fits
alpha_cen_a,HARPS,Alpha Cen A,HD128620,HD128620,ADP.2014-09-24T09:43:09.637.fits,2010-04-03T08:50:12.979,3.0069,279.7,BARYCENT,,False,OK,/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri (vetted)/Alpha Cen A/HARPS/ADP.2014-09-24T09:43:09.637.fits
alpha_cen_a,HARPS,Alpha Cen A,HD128620,HD128620,ADP.2014-09-24T09:43:08.390.fits,2010-04-03T08:50:47.971,3.006,292.4,BARYCENT,,False,OK,/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri (vetted)/Alpha Cen A/HARPS/ADP.2014-09-24T09:43:08.390.fits
alpha_cen_a,HARPS,Alpha Cen A,HD128620,HD128620,ADP.2014-09-24T09:41:28.787.fits,2010-04-03T08:51:22.093,2.9992,285.5,BARYCENT,,False,OK,/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri (vetted)/Alpha Cen A/HARPS/ADP.2014-09-24T09:41:28.787.fits
