source,species,wavelength_air_A,elo_cm1,eup_cm1,elo_eV,eup_eV,j_lo,j_up,aki_1e6_s-1,e_aki_1e6_s-1,loggf,e_loggf_dex
DenHartog2019,Fe II,2249.178,0.0,44446.9051,0.0,5.510713901898617,4.5,3.5,2.58,0.26,-1.81,0.04
DenHartog2019,Fe II,2250.175,862.6118,45289.8248,0.10695023258665065,5.615222625251195,1.5,1.5,1.4,0.2,-2.37,0.06
DenHartog2019,Fe II,2250.935,667.6829,45079.9019,0.0827821291676388,5.589195502760795,2.5,2.5,2.57,0.22,-1.93,0.04
DenHartog2019,Fe II,2251.555,384.7872,44784.7859,0.047707532561421094,5.552605782054399,3.5,2.5,0.7,0.08,-2.49,0.05
DenHartog2019,Fe II,2253.126,384.7872,44753.8179,0.047707532561421094,5.548766239397153,3.5,3.5,3.48,0.33,-1.68,0.04
DenHartog2019,Fe II,2255.987,977.0498,45289.8248,0.12113873628756354,5.615222625251195,0.5,1.5,0.69,0.09,-2.68,0.05
DenHartog2019,Fe II,2260.079,0.0,44232.5398,0.0,5.484135992005073,4.5,4.5,2.58,0.24,-1.7,0.04
DenHartog2019,Fe II,2260.859,862.6118,45079.9019,0.10695023258665065,5.589195502760795,1.5,2.5,1.79,0.17,-2.09,0.04
DenHartog2019,Fe II,2262.687,862.6118,45044.1916,0.10695023258665065,5.584767989839294,1.5,1.5,1.85,0.19,-2.25,0.04
DenHartog2019,Fe II,2265.994,667.6829,44784.7859,0.0827821291676388,5.552605782054399,2.5,2.5,0.74,0.08,-2.46,0.04
DenHartog2019,Fe II,2267.586,667.6829,44753.8179,0.0827821291676388,5.548766239397153,2.5,3.5,2.88,0.27,-1.75,0.04
DenHartog2019,Fe II,2279.915,384.7872,44232.5398,0.047707532561421094,5.484135992005073,3.5,4.5,4.31,0.36,-1.48,0.03
DenHartog2019,Fe II,2283.484,667.6829,44446.9051,0.0827821291676388,5.510713901898617,2.5,3.5,0.61,0.07,-2.42,0.05
DenHartog2019,Fe II,2327.395,667.6829,43620.9842,0.0827821291676388,5.408312761138455,2.5,1.5,63.5,2.2,-0.68,0.01
DenHartog2019,Fe II,2331.308,1872.5998,44753.8179,0.23217278519922344,5.548766239397153,4.5,3.5,27.7,1.8,-0.75,0.03
DenHartog2019,Fe II,2332.799,384.7872,43238.6066,0.047707532561421094,5.3609039809015915,3.5,2.5,116.7,3.3,-0.25,0.01
DenHartog2019,Fe II,2338.007,862.6118,43620.9842,0.10695023258665065,5.408312761138455,1.5,1.5,108.6,3.7,-0.45,0.01
DenHartog2019,Fe II,2343.495,0.0,42658.2444,0.0,5.288948238730548,4.5,3.5,172.8,2.4,0.06,0.01
DenHartog2019,Fe II,2343.961,2430.1369,45079.9019,0.30129857564248735,5.589195502760795,3.5,2.5,29.2,2.0,-0.84,0.03
DenHartog2019,Fe II,2344.281,977.0498,43620.9842,0.12113873628756354,5.408312761138455,0.5,1.5,92.8,3.1,-0.51,0.01
DenHartog2019,Fe II,2348.116,1872.5998,44446.9051,0.23217278519922344,5.510713901898617,4.5,3.5,62.4,3.3,-0.39,0.02
DenHartog2019,Fe II,2348.302,667.6829,43238.6066,0.0827821291676388,5.3609039809015915,2.5,2.5,102.3,2.9,-0.3,0.01
DenHartog2019,Fe II,2354.889,2837.9807,45289.8248,0.3518647622736272,5.615222625251195,2.5,1.5,25.5,2.1,-1.08,0.03
DenHartog2019,Fe II,2359.105,862.6118,43238.6066,0.10695023258665065,5.3609039809015915,1.5,2.5,43.8,1.2,-0.66,0.01
DenHartog2019,Fe II,2359.999,1872.5998,44232.5398,0.23217278519922344,5.484135992005073,4.5,4.5,29.9,1.9,-0.6,0.03
DenHartog2019,Fe II,2360.294,2430.1369,44784.7859,0.30129857564248735,5.552605782054399,3.5,2.5,51.7,2.9,-0.58,0.02
DenHartog2019,Fe II,2362.021,2430.1369,44753.8179,0.30129857564248735,5.548766239397153,3.5,3.5,12.5,0.8,-1.08,0.03
DenHartog2019,Fe II,2364.828,384.7872,42658.2444,0.047707532561421094,5.288948238730548,3.5,3.5,58.0,1.0,-0.41,0.01
DenHartog2019,Fe II,2366.594,2837.9807,45079.9019,0.3518647622736272,5.589195502760795,2.5,2.5,9.6,0.6,-1.32,0.03
DenHartog2019,Fe II,2368.596,2837.9807,45044.1916,0.3518647622736272,5.584767989839294,2.5,1.5,60.9,3.6,-0.69,0.02
DenHartog2019,Fe II,2370.499,3117.4877,45289.8248,0.3865192136265961,5.615222625251195,1.5,1.5,15.1,1.2,-1.3,0.03
DenHartog2019,Fe II,2373.735,0.0,42114.838,0.0,5.2215744318001605,4.5,4.5,36.9,0.9,-0.51,0.01
DenHartog2019,Fe II,2375.194,3117.4877,45206.4704,0.3865192136265961,5.6048879967808665,1.5,0.5,95.0,8.0,-0.79,0.04
DenHartog2019,Fe II,2379.276,2430.1369,44446.9051,0.30129857564248735,5.510713901898617,3.5,3.5,21.7,1.4,-0.83,0.03
DenHartog2019,Fe II,2380.761,667.6829,42658.2444,0.0827821291676388,5.288948238730548,2.5,3.5,30.4,0.5,-0.68,0.01
