source,wavelength_air_A,elo_cm1,eup_cm1,elo_eV,eup_eV,loggf,e_loggf_dex
Belmonte2017,2132.017000,0.000000,46889.142000,0.000000,5.813513,-1.670000,0.040000
Belmonte2017,2139.698000,0.000000,46720.842000,0.000000,5.792646,-1.730000,0.040000
Belmonte2017,2141.718000,415.933000,47092.712000,0.051569,5.838752,-2.250000,0.070000
Belmonte2017,2150.185000,704.007000,47197.010000,0.087286,5.851683,-2.330000,0.080000
Belmonte2017,2155.020000,704.007000,47092.712000,0.087286,5.838752,-2.380000,0.100000
Belmonte2017,2158.920000,415.933000,46720.842000,0.051569,5.792646,-2.180000,0.060000
Belmonte2017,2250.790000,0.000000,44415.074000,0.000000,5.506767,-2.160000,0.030000
Belmonte2017,2269.099000,704.007000,44760.746000,0.087286,5.549625,-2.380000,0.050000
Belmonte2017,2270.863000,0.000000,44022.525000,0.000000,5.458097,-2.460000,0.030000
Belmonte2017,2272.070000,415.933000,44415.074000,0.051569,5.506767,-1.710000,0.030000
Belmonte2017,2283.304000,978.074000,44760.746000,0.121266,5.549625,-2.250000,0.040000
Belmonte2017,2292.525000,415.933000,44022.525000,0.051569,5.458097,-1.640000,0.030000
Belmonte2017,2476.657000,7985.784000,48350.606000,0.990111,5.994711,-1.140000,0.030000
Belmonte2017,2487.066000,8154.713000,48350.606000,1.011056,5.994711,-0.830000,0.020000
Belmonte2017,2501.132000,0.000000,39969.853000,0.000000,4.955630,-0.340000,0.030000
Belmonte2017,2501.694000,6928.268000,46889.142000,0.858996,5.813513,-1.400000,0.040000
Belmonte2017,2512.275000,6928.268000,46720.842000,0.858996,5.792646,-1.610000,0.040000
Belmonte2017,2517.123000,7376.764000,47092.712000,0.914602,5.838752,-1.930000,0.040000
Belmonte2017,2518.102000,704.007000,40404.518000,0.087286,5.009522,-0.280000,0.020000
Belmonte2017,2527.435000,415.933000,39969.853000,0.051569,4.955630,0.090000,0.030000
Belmonte2017,2529.835000,888.132000,40404.518000,0.110114,5.009522,-1.040000,0.040000
Belmonte2017,2532.876000,7728.059000,47197.010000,0.958157,5.851683,-2.160000,0.040000
Belmonte2017,2535.607000,978.074000,40404.518000,0.121266,5.009522,-0.560000,0.030000
Belmonte2017,2537.459000,11976.238000,51373.910000,1.484864,6.369553,-1.350000,0.050000
Belmonte2017,2539.587000,7728.059000,47092.712000,0.958157,5.838752,-2.570000,0.070000
Belmonte2017,2540.916000,7376.764000,46720.842000,0.914602,5.792646,-2.320000,0.060000
Belmonte2017,2545.978000,704.007000,39969.853000,0.087286,4.955630,-0.310000,0.030000
Belmonte2017,2549.525000,7985.784000,47197.010000,0.990111,5.851683,-2.770000,0.090000
Belmonte2017,2560.557000,8154.713000,47197.010000,1.011056,5.851683,-2.061000,0.040000
Belmonte2017,2666.812000,6928.268000,44415.074000,0.858996,5.506767,-1.061000,0.030000
Belmonte2017,2695.036000,6928.268000,44022.525000,0.858996,5.458097,-2.350000,0.030000
Belmonte2017,2699.107000,7376.764000,44415.074000,0.914602,5.506767,-1.260000,0.030000
Belmonte2017,2718.436000,7985.784000,44760.746000,0.990111,5.549625,-0.920000,0.020000
Belmonte2017,2724.953000,7728.059000,44415.074000,0.958157,5.506767,-1.320000,0.030000
Belmonte2017,2728.021000,7376.764000,44022.525000,0.914602,5.458097,-1.460000,0.030000
Belmonte2017,2730.982000,8154.713000,44760.746000,1.011056,5.549625,-1.730000,0.030000
Belmonte2017,2754.427000,7728.059000,44022.525000,0.958157,5.458097,-1.780000,0.030000
Belmonte2017,2846.830000,11976.238000,47092.712000,1.484864,5.838752,-2.120000,0.040000
Belmonte2017,2863.430000,11976.238000,46889.142000,1.484864,5.813513,-1.340000,0.040000
Belmonte2017,2877.301000,11976.238000,46720.842000,1.484864,5.792646,-1.300000,0.040000
Belmonte2017,2886.317000,12560.933000,47197.010000,1.557357,5.851683,-2.039000,0.050000
