species,wavelength_air_A,excitation_potential_eV,log_gf,loggf_reference,nist_grade,adjudication_status
Fe II,3071.667,8.2477,-1.937,VALD3,,single_source
Fe II,3071.731,8.9593,-1.349,VALD3,,single_source
Fe II,3072.203,9.0037,-1.304,VALD3,,single_source
Fe II,3073.427,8.7179,-1.344,VALD3,,single_source
Fe II,3074.943,4.1536,-4.922,VALD3,,single_source
Fe II,3075.048,8.7179,-1.29,VALD3,,single_source
Fe II,3075.224,3.8143,-2.65,VALD3,,single_source
Fe II,3076.435,5.8756,-0.445,VALD3,,single_source
Fe II,3077.169,4.0761,-0.637,VALD3,,single_source
Fe II,3077.872,6.703,-2.819,VALD3,,single_source
Fe II,3078.2,5.5488,-4.38,VALD3,,single_source
Fe II,3078.441,3.9442,-2.483,VALD3,,single_source
Fe II,3078.68,5.8232,-0.1639999999999999,VALD3,,single_source
Fe II,3079.288,3.9034,-4.248,VALD3,,single_source
Fe II,3079.359,4.1493,-3.044,VALD3,,single_source
Fe II,3080.387,7.4943,-2.181,VALD3,,single_source
Fe II,3080.416,4.0803,-2.422,VALD3,,single_source
Fe II,3082.663,4.1536,-3.245,VALD3,,single_source
Fe II,3083.016,3.9674,-2.308,VALD3,,single_source
Fe II,3089.284,8.9593,-1.218,VALD3,,single_source
Fe II,3089.388,4.7318,-1.599,VALD3,,single_source
Fe II,3091.061,9.0077,-1.441,VALD3,,single_source
Fe II,3096.294,3.9674,-1.669,VALD3,,single_source
Fe II,3096.81,8.1845,-1.7859823497231877,VALD3,,single_source
Fe II,3097.417,3.9442,-2.568,VALD3,,single_source
Fe II,3097.598,3.7677,-4.31,VALD3,,single_source
Fe II,3098.352,9.0075,-1.356,VALD3,,single_source
Fe II,3099.864,7.4943,-2.605,VALD3,,single_source
Fe II,3101.842,4.1493,-2.995,VALD3,,single_source
Fe II,3101.888,3.9442,-2.571,VALD3,,single_source
Fe II,3104.058,7.4937,-2.212,VALD3,,single_source
Fe II,3105.167,3.8887,-1.662,VALD3,,single_source
Fe II,3105.195,4.1536,-4.747,VALD3,,single_source
Fe II,3105.223,1.9645,-7.152,VALD3,,single_source
Fe II,3105.553,3.8892,-1.692,VALD3,,single_source
Fe II,3106.564,3.8143,-1.891,VALD3,,single_source
Fe II,3108.878,7.4726,-2.057,VALD3,,single_source
Fe II,3113.045,4.1493,-3.632,VALD3,,single_source
Fe II,3114.296,3.8887,-1.429,VALD3,,single_source
Fe II,3114.684,3.8892,-1.837,VALD3,,single_source
Fe II,3115.354,4.1493,-2.531,VALD3,,single_source
Fe II,3115.491,3.9674,-3.151,VALD3,,single_source
Fe II,3116.413,9.1707,-1.234,VALD3,,single_source
Fe II,3116.58,3.8916,-1.497,VALD3,,single_source
Fe II,3117.372,7.4867,-2.523,VALD3,,single_source
Fe II,3117.476,8.307,-1.164,VALD3,,single_source
Fe II,3118.291,7.4726,-1.657,VALD3,,single_source
Fe II,3118.736,4.1536,-2.802,VALD3,,single_source
Fe II,3119.325,9.1711,-1.354,VALD3,,single_source
Fe II,3119.898,3.4245,-4.324,VALD3,,single_source
Fe II,3120.014,3.9674,-3.027,VALD3,,single_source
Fe II,3123.726,7.4726,-1.673,VALD3,,single_source
Fe II,3125.866,8.2404,-1.845,VALD3,,single_source
Fe II,3126.061,8.256,-1.997,VALD3,,single_source
Fe II,3129.008,3.9674,-2.7,VALD3,,single_source
Fe II,3130.561,3.7677,-2.878,VALD3,,single_source
Fe II,3130.905,7.4867,-2.429,VALD3,,single_source
Fe II,3131.395,3.8143,-3.784,VALD3,,single_source
Fe II,3131.721,4.0803,-2.011,VALD3,,single_source
Fe II,3133.051,3.8887,-1.889,VALD3,,single_source
Fe II,3133.756,7.4726,-2.13,VALD3,,single_source
Fe II,3134.172,4.1493,-2.741,VALD3,,single_source
Fe II,3134.176,6.8031,-3.2,VALD3,,single_source
Fe II,3134.225,8.2663,-0.951,VALD3,,single_source
Fe II,3134.983,7.4937,-2.182,VALD3,,single_source
Fe II,3135.362,3.8916,-1.108,VALD3,,single_source
Fe II,3135.563,8.234,-1.510675340092342,VALD3,,single_source
Fe II,3136.472,7.4937,-2.196,VALD3,,single_source
Fe II,3137.239,8.2138,-1.321,VALD3,,single_source
Fe II,3137.298,6.807,-2.487,VALD3,,single_source
Fe II,3138.181,8.256,-0.901,VALD3,,single_source
Fe II,3138.22,8.943,-1.351,VALD3,,single_source
Fe II,3140.071,7.4943,-2.003,VALD3,,single_source
Fe II,3140.476,7.4937,-2.674,VALD3,,single_source
Fe II,3140.581,7.4867,-2.272,VALD3,,single_source
Fe II,3140.669,8.2404,-0.4799596427855038,VALD3,,single_source
Fe II,3140.894,7.4943,-2.251,VALD3,,single_source
Fe II,3142.224,1.6706,-4.185,VALD3,,single_source
Fe II,3144.274,8.3409,-2.03,VALD3,,single_source
Fe II,3144.754,3.9034,-1.618,VALD3,,single_source
Fe II,3145.276,7.4937,-2.231,VALD3,,single_source
Fe II,3145.417,3.7677,-4.596,VALD3,,single_source
Fe II,3145.695,7.4943,-1.783,VALD3,,single_source
Fe II,3146.408,8.2663,-1.746,VALD3,,single_source
Fe II,3146.754,3.7677,-5.134,VALD3,,single_source
Fe II,3151.829,8.234,-0.678,VALD3,,single_source
Fe II,3153.102,8.256,-1.3009380365944758,VALD3,,single_source
Fe II,3154.201,3.7677,-0.513,VALD3,,single_source
Fe II,3155.953,3.7677,-2.608,VALD3,,single_source
Fe II,3155.962,6.8031,-1.992,VALD3,,single_source
Fe II,3156.988,8.2404,-1.744,VALD3,,single_source
Fe II,3158.312,3.9442,-3.916,VALD3,,single_source
Fe II,3159.322,4.1493,-4.36,VALD3,,single_source
Fe II,3159.323,6.8073,-2.668,VALD3,,single_source
Fe II,3161.978,1.6953,-2.842,VALD3,,single_source
Fe II,3162.801,4.1536,-1.18,VALD3,,single_source
Fe II,3163.094,1.6706,-2.8,VALD3,,single_source
Fe II,3163.866,3.8887,-4.309,VALD3,,single_source
Fe II,3164.266,3.8892,-3.302,VALD3,,single_source
Fe II,3164.416,8.2477,-2.006,VALD3,,single_source
Fe II,3165.813,6.8073,-1.785,VALD3,,single_source
Fe II,3165.933,8.371,-0.295,VALD3,,single_source
Fe II,3166.223,3.8916,-3.857,VALD3,,single_source
Fe II,3166.401,8.431,-1.074,VALD3,,single_source
Fe II,3166.659,9.0037,-1.381,VALD3,,single_source
Fe II,3166.673,1.6706,-3.083,VALD3,,single_source
Fe II,3166.775,5.9109,-3.9,VALD3,,single_source
Fe II,3167.855,5.8232,-2.723,VALD3,,single_source
Fe II,3167.855,3.8143,-0.718,VALD3,,single_source
Fe II,3167.946,3.8916,-2.658,VALD3,,single_source
Fe II,3170.337,1.6953,-2.42,VALD3,,single_source
Fe II,3175.07,4.7318,-2.058,VALD3,,single_source
Fe II,3175.379,0.0,-8.58,VALD3,,single_source
Fe II,3177.254,3.8887,-3.274,VALD3,,single_source
Fe II,3177.534,3.9034,-0.895,VALD3,,single_source
Fe II,3177.602,3.9442,-3.448,VALD3,,single_source
Fe II,3177.658,3.8892,-2.92,VALD3,,single_source
Fe II,3179.504,4.7318,-0.871,VALD3,,single_source
Fe II,3180.149,4.738,-1.157,VALD3,,single_source
Fe II,3183.068,3.8143,-2.839,VALD3,,single_source
Fe II,3183.114,1.6953,-2.0,VALD3,,single_source
Fe II,3184.436,3.8143,-3.97,VALD3,,single_source
Fe II,3185.103,3.8143,-2.982,VALD3,,single_source
Fe II,3185.317,1.724,-2.78,VALD3,,single_source
Fe II,3186.085,5.2216,-4.581,VALD3,,single_source
Fe II,3186.662,9.144,-1.289,VALD3,,single_source
Fe II,3186.737,1.6953,-1.67,VALD3,,single_source
Fe II,3187.299,4.1493,-1.119,VALD3,,single_source
Fe II,3189.158,8.9593,-1.023,VALD3,,single_source
Fe II,3190.14,3.7677,-3.86,VALD3,,single_source
Fe II,3190.294,5.8756,-2.944,VALD3,,single_source
Fe II,3190.772,8.431,-0.489,VALD3,,single_source
Fe II,3190.84,4.1536,-2.289,VALD3,,single_source
Fe II,3191.373,3.8887,-2.691,VALD3,,single_source
Fe II,3192.063,3.8143,-2.103,VALD3,,single_source
Fe II,3192.712,9.144,-1.397,VALD3,,single_source
Fe II,3192.909,1.6706,-1.915,VALD3,,single_source
Fe II,3193.422,2.0295,-7.296,VALD3,,single_source
Fe II,3193.771,3.8916,-3.879,VALD3,,single_source
Fe II,3193.799,1.724,-1.68,VALD3,,single_source
Fe II,3193.857,3.8143,-1.443,VALD3,,single_source
Fe II,3195.54,3.8143,-5.666,VALD3,,single_source
Fe II,3196.07,1.6706,-1.62,VALD3,,single_source
Fe II,3196.116,5.2216,-3.601,VALD3,,single_source
Fe II,3196.627,3.9674,-3.485,VALD3,,single_source
Fe II,3197.005,5.8232,-1.935,VALD3,,single_source
Fe II,3198.544,5.2367,-4.224,VALD3,,single_source
Fe II,3202.363,5.9049,-3.409,VALD3,,single_source
Fe II,3203.502,5.9561,-2.6,VALD3,,single_source
Fe II,3203.517,3.9034,-3.034,VALD3,,single_source
Fe II,3203.755,5.9561,-2.42,VALD3,,single_source
Fe II,3203.825,9.1257,-1.255,VALD3,,single_source
Fe II,3204.209,5.5706,-3.283,VALD3,,single_source
Fe II,3204.34,3.7677,-3.915,VALD3,,single_source
Fe II,3204.466,5.2619,-4.112,VALD3,,single_source
Fe II,3207.58,5.9109,-2.741,VALD3,,single_source
Fe II,3208.583,5.2489,-3.631,VALD3,,single_source
Fe II,3208.654,5.2367,-3.577,VALD3,,single_source
Fe II,3209.304,3.9442,-2.647,VALD3,,single_source
Fe II,3209.611,4.4791,-2.344,VALD3,,single_source
Fe II,3210.444,1.724,-1.7,VALD3,,single_source
Fe II,3210.827,5.8756,-2.31,VALD3,,single_source
Fe II,3211.074,3.9442,-2.851,VALD3,,single_source
Fe II,3212.018,3.7677,-1.637,VALD3,,single_source
Fe II,3213.054,8.307,-1.467,VALD3,,single_source
Fe II,3213.309,1.6953,-1.28,VALD3,,single_source
Fe II,3214.535,5.9049,-2.908,VALD3,,single_source
Fe II,3214.573,8.6356,-0.924,VALD3,,single_source
Fe II,3214.67,0.0477,-9.084,VALD3,,single_source
Fe II,3215.264,8.431,-1.868,VALD3,,single_source
Fe II,3220.831,4.0803,-3.32,VALD3,,single_source
Fe II,3222.702,4.4948,-4.772,VALD3,,single_source
Fe II,3222.924,9.1257,-0.917,VALD3,,single_source
Fe II,3223.18,9.0622,-1.298,VALD3,,single_source
Fe II,3223.198,5.9109,-3.077,VALD3,,single_source
Fe II,3223.4,9.144,-0.746,VALD3,,single_source
Fe II,3224.546,8.9478,-1.187,VALD3,,single_source
Fe II,3224.804,4.0761,-3.53,VALD3,,single_source
Fe II,3224.873,5.5688,-3.338,VALD3,,single_source
Fe II,3225.446,5.2571,-3.845,VALD3,,single_source
Fe II,3226.379,5.5706,-1.929,VALD3,,single_source
Fe II,3227.742,1.6706,-1.08,VALD3,,single_source
Fe II,3228.37,4.0803,-4.834,VALD3,,single_source
Fe II,3228.876,3.8143,-3.804,VALD3,,single_source
Fe II,3230.503,3.9674,-3.449,VALD3,,single_source
Fe II,3231.707,3.8916,-1.757,VALD3,,single_source
Fe II,3232.025,9.0577,-1.246,VALD3,,single_source
Fe II,3232.79,4.1536,-1.325,VALD3,,single_source
Fe II,3234.93,0.9863,-4.305,VALD3,,single_source
Fe II,3236.835,8.6301,-0.748,VALD3,,single_source
Fe II,3237.401,3.8887,-1.94,VALD3,,single_source
Fe II,3237.611,3.9442,-4.838,VALD3,,single_source
Fe II,3237.821,3.8892,-1.37,VALD3,,single_source
Fe II,3238.024,4.4791,-3.771,VALD3,,single_source
Fe II,3239.869,3.8916,-3.664,VALD3,,single_source
Fe II,3241.686,3.9034,-2.631,VALD3,,single_source
Fe II,3242.237,5.2889,-4.504,VALD3,,single_source
Fe II,3243.725,4.1493,-1.189,VALD3,,single_source
Fe II,3244.509,5.9109,-2.934,VALD3,,single_source
Fe II,3245.747,8.9564,-1.031,VALD3,,single_source
Fe II,3247.177,3.8887,-1.173,VALD3,,single_source
Fe II,3247.392,4.1536,-2.121,VALD3,,single_source
Fe II,3247.541,3.8916,-2.844,VALD3,,single_source
Fe II,3249.163,3.7677,-3.973,VALD3,,single_source
Fe II,3249.66,3.8916,-2.08,VALD3,,single_source
