species,wavelength_air_A,excitation_potential_eV,log_gf,loggf_reference,nist_grade,adjudication_status
Fe II,4820.296,11.0,-3.56,RU,,single_source
Fe II,4820.423,10.678,-2.04,K13,,single_source
Fe II,4820.438,12.903,-4.61,K13,,single_source
Fe II,4820.677,10.329,-4.243,RU,,single_source
Fe II,4820.827,10.308,-0.723,RU,,single_source
Fe II,4821.081,7.929,-2.936,RU,,single_source
Fe II,4822.495,6.803,-5.606,RU,,single_source
Fe II,4823.931,3.387,-8.883,K13,,single_source
Fe II,4824.194,10.288,-1.422,RU,,single_source
Fe II,4824.833,8.145,-2.172,RU,,single_source
Fe II,4825.725,2.635,-5.052,RU,,single_source
Fe II,4826.136,10.329,-1.131,RU,,single_source
Fe II,4826.682,10.288,-0.5,RU,,single_source
Fe II,4828.136,13.238,-0.431,K13,,single_source
Fe II,4828.224,12.855,-0.745,K13,,single_source
Fe II,4828.955,12.855,-2.026,K13,,single_source
Fe II,4829.048,11.435,-4.094,K13,,single_source
Fe II,4829.068,10.906,-6.404,K13,,single_source
Fe II,4829.108,10.288,-1.198,RU,,single_source
Fe II,4829.118,12.855,-2.971,K13,,single_source
Fe II,4829.151,12.908,-2.854,K13,,single_source
Fe II,4829.202,10.455,-5.358,RU,,single_source
Fe II,4829.222,12.885,-0.869,K13,,single_source
Fe II,4829.353,11.125,-3.585,K13,,single_source
Fe II,4829.387,10.398,-2.953,RU,,single_source
Fe II,4829.629,7.269,-9.637,K13,,single_source
Fe II,4829.694,11.58,-4.573,K13,,single_source
Fe II,4829.737,12.886,-1.382,K13,,single_source
Fe II,4829.84,11.58,-7.065,K13,,single_source
Fe II,4829.924,10.737,-3.276,K13,,single_source
Fe II,4830.004,10.288,-2.282,RU,,single_source
Fe II,4830.23,10.906,-6.003,K13,,single_source
Fe II,4830.261,10.503,-3.448,K13,,single_source
Fe II,4830.348,6.807,-4.381,RU,,single_source
Fe II,4830.6,7.707,-4.399,RU,,single_source
Fe II,4830.6,10.329,-4.768,RU,,single_source
Fe II,4831.114,3.339,-4.914,RU,,single_source
Fe II,4831.202,7.568,-2.643,RU,,single_source
Fe II,4833.192,2.657,-4.795,RU,,single_source
Fe II,4833.857,2.844,-5.179,RU,,single_source
Fe II,4833.98,10.329,-1.706,RU,,single_source
Fe II,4836.945,8.175,-2.24,RU,,single_source
Fe II,4838.551,10.329,-1.703,RU,,single_source
Fe II,4838.738,10.751,-2.758,K13,,single_source
Fe II,4839.0,9.624,-1.953,K13,,single_source
Fe II,4839.152,13.317,-1.888,K13,,single_source
Fe II,4839.237,11.653,-4.435,K13,,single_source
Fe II,4839.254,13.32,-4.338,K13,,single_source
Fe II,4839.272,12.892,-3.243,K13,,single_source
Fe II,4839.407,11.653,-7.083,K13,,single_source
Fe II,4839.566,11.448,-6.52,K13,,single_source
Fe II,4839.586,11.463,-5.018,K13,,single_source
Fe II,4839.601,12.609,-6.228,K13,,single_source
Fe II,4839.634,11.435,-3.428,K13,,single_source
Fe II,4839.72,12.609,-6.579,K13,,single_source
Fe II,4839.789,12.87,-3.582,K13,,single_source
Fe II,4839.792,7.727,-6.101,K13,,single_source
Fe II,4839.823,9.112,-2.693,RU,,single_source
Fe II,4839.938,12.893,-2.609,K13,,single_source
Fe II,4839.987,2.676,-4.949,RU,,single_source
Fe II,4840.024,13.317,-1.83,K13,,single_source
Fe II,4840.245,11.571,-4.734,K13,,single_source
Fe II,4840.405,11.441,-2.847,K13,,single_source
Fe II,4840.4931,12.609,-5.2535,K13,,single_source
Fe II,4840.531,12.891,-2.557,K13,,single_source
Fe II,4840.533,10.918,-5.923,K13,,single_source
Fe II,4840.6483,12.8935,-2.5906,K13,,single_source
Fe II,4840.658,2.276,-6.399,K13,,single_source
Fe II,4843.297,7.575,-2.479,RU,,single_source
Fe II,4843.323,5.569,-3.736,RU,,single_source
Fe II,4845.336,8.193,-2.375,RU,,single_source
Fe II,4846.471,2.704,-5.245,RU,,single_source
Fe II,4847.542,7.988,-3.742,RU,,single_source
Fe II,4847.613,2.692,-5.486,RU,,single_source
Fe II,4848.204,9.576,-2.155,RU,,single_source
Fe II,4848.69,7.773,-4.47,RU,,single_source
Fe II,4848.894,12.866,-0.878,K13,,single_source
Fe II,4848.955,12.918,-2.508,K13,,single_source
Fe II,4849.151,10.329,-2.824,RU,,single_source
Fe II,4849.222,12.749,-3.354,K13,,single_source
Fe II,4849.632,12.866,-1.297,K13,,single_source
Fe II,4849.783,11.46,-4.042,K13,,single_source
Fe II,4849.795,12.866,-2.115,K13,,single_source
Fe II,4849.902,12.771,-1.554,K13,,single_source
Fe II,4849.916,10.398,-2.391,RU,,single_source
Fe II,4849.935,11.518,-6.122,K13,,single_source
Fe II,4849.948,11.446,-3.455,K13,,single_source
Fe II,4850.0985,11.46,-3.3829,K13,,single_source
Fe II,4850.113,12.688,-3.899,K13,,single_source
Fe II,4850.332,12.918,-2.249,K13,,single_source
Fe II,4850.531,13.254,-1.548,K13,,single_source
Fe II,4850.565,10.399,-2.889,RU,,single_source
Fe II,4850.581,12.9,-1.423,K13,,single_source
Fe II,4850.595,12.775,-4.032,K13,,single_source
Fe II,4850.5962,12.749,-4.7568,K13,,single_source
Fe II,4850.609,11.591,-6.7167,K13,,single_source
Fe II,4850.627,11.017,-5.768,K13,,single_source
Fe II,4850.732,11.017,-3.284,RU,,single_source
Fe II,4852.743,0.301,-9.392,K13,,single_source
Fe II,4855.441,2.856,-5.795,RU,,single_source
Fe II,4855.541,2.704,-4.443,RU,,single_source
Fe II,4856.149,10.348,-1.736,RU,,single_source
Fe II,4856.63,10.678,-1.759,K13,,single_source
Fe II,4856.654,7.971,-3.579,RU,,single_source
Fe II,4858.886,10.308,-2.114,RU,,single_source
Fe II,4859.028,10.329,-1.28,RU,,single_source
Fe II,4859.0523,9.13,-5.9799,RU,,single_source
Fe II,4859.115,12.92,-1.414,K13,,single_source
Fe II,4859.384,13.254,-3.468,K13,,single_source
Fe II,4859.416,10.751,-4.002,K13,,single_source
Fe II,4859.429,11.664,-7.02,K13,,single_source
Fe II,4859.589,7.88,-5.414,RU,,single_source
Fe II,4859.827,12.855,-6.976,K13,,single_source
Fe II,4859.983,12.8725,-1.3533,K13,,single_source
Fe II,4860.076,8.073,-5.026,K13,,single_source
Fe II,4860.104,9.731,-5.289,K13,,single_source
Fe II,4860.29,11.451,-5.964,K13,,single_source
Fe II,4860.32,10.329,-4.453,RU,,single_source
Fe II,4860.514,11.634,-4.024,K13,,single_source
Fe II,4860.526,11.874,-6.032,K13,,single_source
Fe II,4860.543,12.874,-2.638,K13,,single_source
Fe II,4860.545,8.128,-5.711,K13,,single_source
Fe II,4860.68,10.273,-0.377,RU,,single_source
Fe II,4864.925,10.329,-1.854,RU,,single_source
Fe II,4865.805,7.575,-3.476,RU,,single_source
Fe II,4866.175,8.131,-2.305,RU,,single_source
Fe II,4866.199,10.308,-0.668,RU,,single_source
Fe II,4867.109,10.308,-1.877,RU,,single_source
Fe II,4867.731,2.657,-5.838,K13,,single_source
Fe II,4868.6,12.908,-1.365,K13,,single_source
Fe II,4868.796,2.676,-5.417,RU,,single_source
Fe II,4868.855,10.909,-4.946,K13,,single_source
Fe II,4868.899,11.05,-6.294,K13,,single_source
Fe II,4868.902,12.909,-2.528,K13,,single_source
Fe II,4869.306,12.785,-2.345,K13,,single_source
Fe II,4869.639,9.654,-5.949,RU,,single_source
Fe II,4869.965,12.879,-3.551,K13,,single_source
Fe II,4869.968,10.348,-1.537,RU,,single_source
Fe II,4869.993,12.908,-1.34,K13,,single_source
Fe II,4870.111,12.879,-2.506,K13,,single_source
Fe II,4870.152,11.164,-3.985,RU,,single_source
Fe II,4870.34,12.783,-1.501,K13,,single_source
Fe II,4870.674,11.591,-4.748,K13,,single_source
Fe II,4870.708,2.692,-5.734,RU,,single_source
Fe II,4870.722,10.678,-3.965,K13,,single_source
Fe II,4870.753,7.869,-5.357,RU,,single_source
Fe II,4870.858,10.308,-2.081,RU,,single_source
Fe II,4871.269,2.704,-4.236,RU,,single_source
Fe II,4874.496,0.301,-8.312,K13,,single_source
Fe II,4876.619,10.678,-1.795,K13,,single_source
Fe II,4877.084,2.276,-7.234,K13,,single_source
Fe II,4878.812,11.421,-6.807,K13,,single_source
Fe II,4879.424,12.934,-3.572,K13,,single_source
Fe II,4879.454,11.653,-7.367,K13,,single_source
Fe II,4879.628,11.653,-4.132,K13,,single_source
Fe II,4879.777,12.916,-1.721,K13,,single_source
Fe II,4879.801,7.94,-3.98,RU,,single_source
Fe II,4879.853,11.481,-6.874,K13,,single_source
Fe II,4880.255,8.175,-3.513,RU,,single_source
Fe II,4880.444,10.678,-2.877,K13,,single_source
Fe II,4880.596,12.793,-3.216,K13,,single_source
Fe II,4880.651,11.653,-6.622,K13,,single_source
Fe II,4880.824,11.653,-4.044,K13,,single_source
Fe II,4880.871,7.583,-2.88,RU,,single_source
Fe II,4883.18,10.273,-1.208,RU,,single_source
Fe II,4883.292,10.273,-0.601,RU,,single_source
Fe II,4886.92,3.339,-5.28,RU,,single_source
Fe II,4888.814,11.46,-3.252,K13,,single_source
Fe II,4888.824,12.887,-5.221,K13,,single_source
Fe II,4888.889,12.916,-2.788,K13,,single_source
Fe II,4888.9,12.771,-2.434,K13,,single_source
Fe II,4889.011,12.206,-8.997,K13,,single_source
Fe II,4889.035,12.893,-2.701,K13,,single_source
Fe II,4889.268,10.714,-1.887,K13,,single_source
Fe II,4889.361,11.591,-5.494,K13,,single_source
Fe II,4889.415,7.773,-5.385,K13,,single_source
Fe II,4889.471,12.206,-7.6455,K13,,single_source
Fe II,4889.599,12.794,-3.988,K13,,single_source
Fe II,4889.623,0.048,-8.099,K13,,single_source
Fe II,4889.685,7.988,-3.755,RU,,single_source
Fe II,4889.713,0.107,-12.1876,K13,,single_source
Fe II,4889.719,12.749,-3.044,K13,,single_source
Fe II,4889.815,13.275,-3.801,K13,,single_source
Fe II,4889.8541,12.206,-7.0556,K13,,single_source
Fe II,4889.908,9.1,-5.867,RU,,single_source
Fe II,4889.942,10.737,-3.174,K13,,single_source
Fe II,4889.953,12.749,-3.098,K13,,single_source
Fe II,4890.012,12.206,-7.146,K13,,single_source
Fe II,4890.044,13.32,-3.375,K13,,single_source
Fe II,4890.116,12.792,-2.794,K13,,single_source
Fe II,4890.1663,12.919,-2.5055,K13,,single_source
Fe II,4890.552,10.723,-3.198,RU,,single_source
Fe II,4890.56,11.481,-4.585,K13,,single_source
Fe II,4890.645,10.288,-4.24,RU,,single_source
Fe II,4890.674,12.719,-6.734,K13,,single_source
Fe II,4890.773,11.653,-4.192,K13,,single_source
Fe II,4890.858,7.845,-5.771,RU,,single_source
Fe II,4892.262,6.703,-3.068,RU,,single_source
Fe II,4893.813,2.828,-4.267,RU,,single_source
Fe II,4898.353,10.348,-2.414,RU,,single_source
Fe II,4898.604,1.965,-7.529,K13,,single_source
Fe II,4898.842,11.653,-4.006,K13,,single_source
Fe II,4898.895,10.288,-3.182,RU,,single_source
Fe II,4899.0647,11.58,-5.0943,K13,,single_source
Fe II,4899.232,11.653,-5.818,K13,,single_source
Fe II,4899.236,12.719,-3.674,K13,,single_source
Fe II,4899.508,10.937,-6.969,K13,,single_source
Fe II,4899.729,8.185,-3.921,RU,,single_source
Fe II,4899.783,10.329,-1.614,RU,,single_source
Fe II,4899.8037,9.83,-5.2887,RU,,single_source
Fe II,4899.821,12.719,-2.643,K13,,single_source
Fe II,4899.918,12.942,-5.733,K13,,single_source
Fe II,4899.953,12.895,-4.409,K13,,single_source
Fe II,4899.985,11.664,-4.14,K13,,single_source
Fe II,4900.061,12.892,-1.596,K13,,single_source
Fe II,4900.086,11.635,-4.474,K13,,single_source
Fe II,4900.2295,12.8935,-1.9506,K13,,single_source
Fe II,4900.6166,11.58,-6.1026,K13,,single_source
Fe II,4900.744,12.893,-2.148,K13,,single_source
Fe II,4900.859,7.971,-3.039,RU,,single_source
Fe II,4905.351,0.301,-8.073,K13,,single_source
Fe II,4908.145,10.329,-0.272,RU,,single_source
Fe II,4908.721,6.219,-5.136,RU,,single_source
Fe II,4908.782,11.547,-6.979,K13,,single_source
Fe II,4908.816,12.782,-8.78,K13,,single_source
Fe II,4908.913,11.653,-5.012,K13,,single_source
Fe II,4909.089,11.653,-4.777,K13,,single_source
Fe II,4909.42,11.547,-4.344,K13,,single_source
Fe II,4909.45,7.804,-4.547,RU,,single_source
Fe II,4909.544,11.74,-3.867,K13,,single_source
Fe II,4909.623,11.659,-3.762,K13,,single_source
Fe II,4909.674,10.452,-3.668,RU,,single_source
Fe II,4909.742,10.288,-2.876,RU,,single_source
Fe II,4909.871,11.493,-5.407,K13,,single_source
Fe II,4909.9977,12.8985,-1.4123,K13,,single_source
Fe II,4910.095,10.329,-2.501,RU,,single_source
Fe II,4910.266,3.387,-9.279,K13,,single_source
Fe II,4910.515,9.7,-4.52,RU,,single_source
Fe II,4910.59,11.58,-4.992,K13,,single_source
Fe II,4910.736,12.783,-2.487,K13,,single_source
Fe II,4910.874,12.947,-2.942,K13,,single_source
Fe II,4913.296,10.288,0.05,RU,,single_source
Fe II,4916.046,6.223,-5.053,RU,,single_source
Fe II,4917.237,0.121,-11.779,K13,,single_source
Fe II,4918.42,6.088,-4.646,RU,,single_source
Fe II,4918.7032,11.591,-4.6012,K13,,single_source
Fe II,4918.718,12.221,-7.8448,K13,,single_source
Fe II,4918.729,11.74,-4.116,K13,,single_source
Fe II,4918.762,12.65,-2.662,K13,,single_source
Fe II,4918.875,12.903,-2.322,K13,,single_source
Fe II,4918.885,12.65,-2.189,K13,,single_source
Fe II,4919.008,6.73,-4.334,RU,,single_source
Fe II,4919.1841,12.221,-7.33,K13,,single_source
Fe II,4919.192,10.73,-4.686,RU,,single_source
Fe II,4919.2408,11.591,-5.3879,K13,,single_source
Fe II,4919.269,12.167,-6.468,K13,,single_source
Fe II,4919.36,11.664,-4.03,K13,,single_source
Fe II,4919.433,11.591,-4.039,K13,,single_source
Fe II,4919.534,12.167,-8.911,K13,,single_source
Fe II,4919.565,9.742,-5.111,RU,,single_source
Fe II,4919.573,12.221,-7.494,K13,,single_source
Fe II,4919.589,11.58,-7.798,K13,,single_source
Fe II,4919.5934,10.3985,-4.9615,RU,,single_source
Fe II,4919.631,11.784,-7.833,K13,,single_source
Fe II,4919.634,11.076,-6.689,K13,,single_source
Fe II,4919.76,12.65,-7.037,K13,,single_source
Fe II,4919.882,9.694,-5.819,RU,,single_source
Fe II,4919.9564,11.591,-4.7021,K13,,single_source
Fe II,4919.972,11.653,-7.816,K13,,single_source
Fe II,4920.045,10.731,-5.133,RU,,single_source
Fe II,4920.148,11.653,-5.542,K13,,single_source
Fe II,4920.3251,12.167,-6.8863,K13,,single_source
Fe II,4920.421,7.929,-4.604,RU,,single_source
Fe II,4920.422,10.503,-6.229,K13,,single_source
Fe II,4920.44,9.849,-3.94,RU,,single_source
Fe II,4920.596,11.591,-6.837,K13,,single_source
Fe II,4920.646,12.976,-6.79,K13,,single_source
Fe II,4920.689,12.909,-3.336,K13,,single_source
Fe II,4920.709,11.591,-4.652,K13,,single_source
Fe II,4920.742,7.769,-6.649,K13,,single_source
Fe II,4922.193,10.36,-0.946,RU,,single_source
Fe II,4923.921,2.891,-1.26,2009A&A...,,pending
Fe II,4924.914,2.844,-4.962,RU,,single_source
Fe II,4928.805,12.909,-3.447,K13,,single_source
Fe II,4929.14,9.761,-5.898,K13,,single_source
Fe II,4929.229,12.818,-6.591,K13,,single_source
Fe II,4929.431,11.421,-4.873,K13,,single_source
Fe II,4929.492,12.909,-3.118,K13,,single_source
Fe II,4929.544,11.487,-5.098,K13,,single_source
Fe II,4929.586,11.673,-3.849,K13,,single_source
Fe II,4929.642,11.481,-5.039,K13,,single_source
Fe II,4929.671,11.741,-6.015,K13,,single_source
Fe II,4929.693,11.664,-4.496,K13,,single_source
Fe II,4929.766,12.792,-3.222,K13,,single_source
Fe II,4930.133,12.908,-2.074,K13,,single_source
Fe II,4930.151,11.448,-3.018,K13,,single_source
Fe II,4930.302,12.908,-2.274,K13,,single_source
Fe II,4930.342,11.145,-3.247,K13,,single_source
Fe II,4930.395,12.957,-1.311,K13,,single_source
Fe II,4930.569,11.662,-5.694,K13,,single_source
Fe II,4930.617,12.791,-4.661,K13,,single_source
Fe II,4932.066,10.308,-1.871,RU,,single_source
Fe II,4935.375,10.379,-1.983,RU,,single_source
Fe II,4937.07,10.308,-1.387,RU,,single_source
Fe II,4938.5032,12.794,-1.8233,K13,,single_source
Fe II,4938.504,10.381,-2.227,RU,,single_source
Fe II,4938.593,11.426,-6.154,K13,,single_source
Fe II,4938.801,12.942,-4.103,K13,,single_source
Fe II,4938.805,8.035,-4.721,RU,,single_source
Fe II,4938.87,10.737,-5.777,K13,,single_source
Fe II,4938.873,9.836,-4.866,RU,,single_source
Fe II,4938.978,7.971,-6.571,K13,,single_source
Fe II,4939.339,12.942,-5.671,K13,,single_source
Fe II,4939.44,7.946,-5.77,RU,,single_source
Fe II,4939.4479,10.723,-3.357,K13,,single_source
Fe II,4939.457,10.398,-3.881,RU,,single_source
Fe II,4939.627,10.348,-1.133,RU,,single_source
Fe II,4939.763,12.794,-2.501,K13,,single_source
Fe II,4940.092,10.678,-4.782,K13,,single_source
Fe II,4940.131,10.399,-2.622,RU,,single_source
Fe II,4940.45,12.885,-5.926,K13,,single_source
Fe II,4940.576,11.487,-4.112,K13,,single_source
Fe II,4940.781,10.392,-2.326,RU,,single_source
Fe II,4940.846,11.664,-6.527,K13,,single_source
Fe II,4943.597,2.342,-7.132,K13,,single_source
Fe II,4943.704,7.627,-3.16,RU,,single_source
Fe II,4943.709,7.397,-3.379,RU,,single_source
Fe II,4947.32,2.856,-6.081,K13,,single_source
Fe II,4947.385,0.301,-8.5513,K13,,single_source
Fe II,4948.087,10.308,-0.218,RU,,single_source
Fe II,4948.78,12.749,-2.719,K13,,single_source
Fe II,4948.791,10.348,-0.031,RU,,single_source
Fe II,4948.837,6.088,-4.027,RU,,single_source
Fe II,4948.963,12.968,-6.478,K13,,single_source
Fe II,4949.078,0.387,-13.3831,K13,,single_source
Fe II,4949.694,10.308,-3.795,RU,,single_source
Fe II,4950.007,12.918,-3.641,K13,,single_source
Fe II,4950.108,12.775,-3.756,K13,,single_source
Fe II,4950.113,9.849,-5.725,RU,,single_source
Fe II,4950.429,5.569,-3.447,RU,,single_source
Fe II,4950.473,12.947,-2.225,K13,,single_source
Fe II,4950.59,12.888,-8.729,K13,,single_source
Fe II,4950.619,12.92,-1.856,K13,,single_source
Fe II,4950.664,9.13,-5.128,RU,,single_source
Fe II,4950.755,0.352,-8.4729,K13,,single_source
Fe II,4950.776,12.918,-3.176,K13,,single_source
Fe II,4950.832,8.175,-3.583,RU,,single_source
Fe II,4950.946,12.918,-6.116,K13,,single_source
Fe II,4951.581,10.308,0.211,RU,,single_source
Fe II,4952.66,10.348,-0.621,RU,,single_source
Fe II,4953.98,5.571,-2.815,RU,,single_source
Fe II,4958.228,0.083,-9.915,K13,,single_source
Fe II,4958.587,12.187,-8.937,K13,,single_source
Fe II,4958.667,12.892,-4.244,K13,,single_source
Fe II,4958.789,10.987,-7.373,K13,,single_source
Fe II,4958.821,10.379,-0.762,RU,,single_source
Fe II,4958.839,12.954,-1.403,K13,,single_source
Fe II,4959.104,12.996,-3.702,K13,,single_source
Fe II,4959.217,7.92,-5.769,RU,,single_source
Fe II,4959.219,12.966,-2.289,K13,,single_source
Fe II,4959.366,12.893,-4.339,K13,,single_source
Fe II,4959.518,10.523,-5.301,RU,,single_source
Fe II,4959.538,11.518,-4.183,K13,,single_source
Fe II,4959.558,10.392,-1.211,RU,,single_source
Fe II,4959.635,6.219,-4.235,RU,,single_source
Fe II,4959.643,11.09,-7.852,K13,,single_source
Fe II,4959.75,12.187,-7.734,K13,,single_source
Fe II,4959.838,10.381,-3.407,RU,,single_source
Fe II,4959.856,12.895,-6.672,K13,,single_source
Fe II,4959.883,12.783,-1.479,K13,,single_source
Fe II,4959.946,10.937,-6.525,K13,,single_source
Fe II,4960.048,10.398,-4.4,K13,,single_source
Fe II,4960.062,12.749,-3.292,K13,,single_source
Fe II,4960.121,12.783,-1.376,K13,,single_source
Fe II,4960.25,11.662,-8.005,K13,,single_source
Fe II,4960.284,12.954,-1.14,K13,,single_source
Fe II,4960.506,9.7,-5.331,RU,,single_source
Fe II,4960.5448,12.187,-6.5933,K13,,single_source
Fe II,4960.717,11.571,-5.481,K13,,single_source
Fe II,4960.9181,11.634,-6.3891,K13,,single_source
Fe II,4965.79,0.048,-9.574,K13,,single_source
Fe II,4967.113,6.223,-3.624,RU,,single_source
Fe II,4968.533,12.934,-1.042,K13,,single_source
Fe II,4968.563,11.93,-4.145,K13,,single_source
Fe II,4968.63,12.897,-4.729,K13,,single_source
Fe II,4969.2027,11.076,-4.9905,RU,,single_source
Fe II,4969.308,11.145,-4.727,RU,,single_source
Fe II,4969.314,10.398,-4.541,RU,,single_source
Fe II,4969.356,10.36,-0.83,RU,,single_source
Fe II,4969.478,11.93,-4.251,K13,,single_source
Fe II,4969.54,11.58,-5.883,K13,,single_source
Fe II,4969.547,9.7,-5.646,K13,,single_source
Fe II,4969.713,12.782,-9.273,K13,,single_source
Fe II,4969.905,11.662,-6.493,K13,,single_source
Fe II,4969.9964,10.3985,-3.6822,RU,,single_source
Fe II,4970.098,11.442,-7.406,K13,,single_source
Fe II,4970.184,12.9,-3.372,K13,,single_source
Fe II,4970.31,12.957,-0.966,K13,,single_source
Fe II,4970.698,10.399,-5.749,RU,,single_source
Fe II,4970.7925,11.58,-4.914,K13,,single_source
Fe II,4970.874,8.185,-2.975,RU,,single_source
Fe II,4971.216,10.36,-0.505,RU,,single_source
Fe II,4971.339,10.329,-1.117,RU,,single_source
Fe II,4973.398,0.352,-8.378,K13,,single_source
Fe II,4974.21,10.329,-1.484,RU,,single_source
Fe II,4975.251,9.1,-1.763,RU,,single_source
Fe II,4976.006,9.1,-1.599,RU,,single_source
Fe II,4977.033,10.36,-0.039,RU,,single_source
Fe II,4977.919,10.329,-0.599,RU,,single_source
Fe II,4978.458,10.467,-3.719,K13,,single_source
Fe II,4978.648,13.32,-4.275,K13,,single_source
Fe II,4978.666,12.966,-1.829,K13,,single_source
Fe II,4978.725,13.317,-2.903,K13,,single_source
Fe II,4978.841,10.399,-7.636,K13,,single_source
Fe II,4978.93,10.758,-5.509,RU,,single_source
Fe II,4979.103,12.982,-3.651,K13,,single_source
Fe II,4979.216,13.317,-3.369,K13,,single_source
Fe II,4979.3,10.329,-1.563,RU,,single_source
Fe II,4979.315,8.248,-3.833,RU,,single_source
Fe II,4979.333,12.794,-2.71,K13,,single_source
Fe II,4979.807,11.017,-8.479,K13,,single_source
Fe II,4979.91,8.073,-4.811,RU,,single_source
Fe II,4980.097,10.522,-5.378,K13,,single_source
Fe II,4980.311,12.934,-3.893,K13,,single_source
Fe II,4980.329,13.481,-1.196,K13,,single_source
Fe II,4980.485,12.965,-2.13,K13,,single_source
Fe II,4980.564,11.591,-9.171,K13,,single_source
Fe II,4984.485,10.329,0.078,RU,,single_source
Fe II,4984.57,10.414,-1.431,RU,,single_source
Fe II,4987.271,10.392,-1.02,RU,,single_source
Fe II,4987.832,12.794,-0.239,K13,,single_source
Fe II,4988.475,7.971,-5.706,RU,,single_source
Fe II,4988.523,12.845,-0.283,K13,,single_source
Fe II,4988.697,10.273,-1.314,RU,,single_source
Fe II,4988.863,8.23,-3.271,RU,,single_source
Fe II,4988.878,12.972,-2.598,K13,,single_source
Fe II,4988.881,12.792,-3.642,K13,,single_source
Fe II,4989.023,12.989,-2.953,K13,,single_source
Fe II,4989.052,13.011,-3.068,K13,,single_source
Fe II,4989.113,10.723,-9.406,K13,,single_source
Fe II,4989.3844,11.662,-6.5264,K13,,single_source
Fe II,4989.414,8.038,-4.769,RU,,single_source
Fe II,4989.421,12.909,-3.668,K13,,single_source
Fe II,4989.465,12.908,-4.184,K13,,single_source
Fe II,4989.685,12.94,-6.838,K13,,single_source
Fe II,4989.808,7.845,-3.957,RU,,single_source
Fe II,4989.831,12.942,-3.818,K13,,single_source
Fe II,4989.943,10.93,-3.626,K13,,single_source
Fe II,4990.066,12.972,-3.959,K13,,single_source
Fe II,4990.09,11.653,-7.503,K13,,single_source
Fe II,4990.135,12.947,-2.877,K13,,single_source
Fe II,4990.204,7.804,-4.007,RU,,single_source
Fe II,4990.21,11.653,-5.5297,K13,,single_source
Fe II,4990.22,12.968,-4.807,K13,,single_source
Fe II,4990.286,12.94,-5.863,K13,,single_source
Fe II,4990.506,10.329,0.195,RU,,single_source
Fe II,4990.762,8.038,-5.252,RU,,single_source
Fe II,4990.837,11.681,-5.074,K13,,single_source
Fe II,4991.11,2.778,-4.541,RU,,single_source
Fe II,4991.438,10.273,-0.589,RU,,single_source
Fe II,4992.449,7.274,-3.522,RU,,single_source
Fe II,4993.35,2.807,-3.684,RU,,pending
Fe II,4998.357,11.681,-6.614,K13,,single_source
Fe II,4998.42,9.836,-5.486,RU,,single_source
Fe II,4998.703,10.758,-4.59,RU,,single_source
Fe II,4998.712,9.1,-2.313,RU,,single_source
Fe II,4998.838,7.88,-4.799,RU,,single_source
Fe II,4998.851,7.988,-6.274,K13,,single_source
Fe II,4999.099,10.379,-2.603,RU,,single_source
Fe II,4999.132,10.414,-2.517,RU,,single_source
Fe II,4999.183,10.273,-0.435,RU,,single_source
Fe II,4999.441,12.995,-1.692,K13,,single_source
Fe II,4999.751,11.653,-6.8158,K13,,single_source
Fe II,4999.754,9.112,-2.233,RU,,single_source
Fe II,4999.78,12.986,-1.438,K13,,single_source
Fe II,4999.911,10.778,-3.821,RU,,single_source
Fe II,4999.9327,11.653,-4.3661,K13,,single_source
Fe II,4999.959,7.869,-4.289,RU,,single_source
Fe II,5000.48,10.737,-3.392,K13,,single_source
Fe II,5000.517,9.112,-2.787,RU,,single_source
Fe II,5000.594,1.671,-11.215,K13,,single_source
Fe II,5000.62,11.634,-3.598,K13,,single_source
Fe II,5000.73,2.778,-4.578,RU,,pending
Fe II,5000.885,12.946,-3.362,K13,,single_source
Fe II,5001.953,10.273,0.916,RU,,single_source
Fe II,5004.188,10.273,0.504,RU,,single_source
Fe II,5004.209,10.348,-1.194,RU,,single_source
Fe II,5004.771,10.381,-1.128,RU,,single_source
Fe II,5005.522,0.352,-8.492,K13,,single_source
Fe II,5006.631,0.107,-9.2,K13,,single_source
Fe II,5006.84,10.379,-0.362,RU,,single_source
Fe II,5007.449,10.381,-0.46,RU,,single_source
Fe II,5007.735,10.288,-0.282,RU,,single_source
Fe II,5007.804,10.379,-2.128,RU,,single_source
Fe II,5008.224,10.909,-1.836,K13,,single_source
Fe II,5008.292,11.239,-3.327,K13,,single_source
Fe II,5008.368,11.74,-4.443,K13,,single_source
Fe II,5008.411,12.695,-2.132,K13,,single_source
Fe II,5008.538,12.695,-1.616,K13,,single_source
Fe II,5008.741,11.547,-5.546,K13,,single_source
Fe II,5008.937,9.742,-4.844,RU,,single_source
Fe II,5008.9846,10.348,-0.527,RU,,single_source
Fe II,5008.987,12.947,-3.603,K13,,single_source
Fe II,5009.334,13.404,-1.974,K13,,single_source
Fe II,5009.445,12.695,-2.736,K13,,single_source
Fe II,5009.712,12.859,-5.116,K13,,single_source
Fe II,5009.73,12.997,-2.234,K13,,single_source
Fe II,5009.763,0.048,-15.899,K13,,single_source
Fe II,5009.903,11.635,-6.6254,K13,,single_source
Fe II,5009.939,12.855,-4.41,K13,,single_source
Fe II,5010.06,10.381,-0.694,RU,,single_source
Fe II,5010.3,10.522,-4.22,RU,,single_source
Fe II,5010.3906,12.9555,-0.8533,K13,,single_source
Fe II,5010.586,11.662,-6.509,K13,,single_source
