# Scott, Grevesse, Asplund, Sauval, Lind, Takeda, Collet, Trampedach & Hayek 2015,
# A&A 573, A25 -- "The elemental composition of the Sun. I. The intermediate mass elements Na to Ca"
# = "Scott et al. (2015b)" IN AGSS21's REFERENCE LIST (AGSS21 p.26: "Scott, P., Grevesse, N.,
#   Asplund, M., et al. 2015b, A&A, 573, A25"; "2015a" is the IRON-GROUP paper, A&A 573, A26).
# DOI 10.1051/0004-6361/201424109
# Table 2 "Lines retained in this analysis", Al i block -- SEVEN lines.
# Transcribed VERBATIM from the PUBLISHED A&A table
#   https://www.aanda.org/articles/aa/full_html/2015/01/aa24109-14/T4.html   (retrieved 2026-09-03)
# Cross-checked row-for-row against the arXiv copy arXiv:1405.0279v2 (local PDF,
#   "Reference documents/1405.0279v2.pdf", Online Material p.2): IDENTICAL on all 7 rows, all columns.
# lambda is printed in NANOMETRES to 4 dp (0.001 A resolution).
# Wt. is Scott's line weight 1-3: "We gave each line a weight from 1 to 3, depending on the estimated
#   uncertainty on our measured equivalent width" (Sect. 2), and "we give larger weights to higher
#   quality lines" (Sect. 6 caption) -- LARGER IS BETTER.
# gf ref 6 = Mendoza et al. (1995) [Opacity Project / TOPbase, LS-coupling]. Sect. 5.3: "The data for
#   our adopted lines come from theoretical calculations by the OP (Mendoza et al. 1995), under the
#   assumption of LS-coupling." -- i.e. THEORY, not laboratory.
# LTE abundance columns are for the five model atmospheres 3D / <3D> / HM / MARCS / MISS.
lambda_nm	elo_eV	loggf	gf_ref	ew_pm	weight	a_lte_3d	a_lte_mean3d	a_lte_hm	a_lte_marcs	a_lte_miss	delta_nlte_3d	a_nlte_3d
669.6023	3.143	-1.569	6	3.580	2	6.435	6.453	6.490	6.400	6.474	+0.03	6.465
669.8673	3.143	-1.870	6	2.100	3	6.441	6.460	6.498	6.412	6.483	+0.01	6.451
783.5309	4.022	-0.689	6	4.100	1	6.372	6.385	6.412	6.330	6.405	0.00	6.372
891.2900	4.085	-1.963	6	0.300	1	6.385	6.402	6.429	6.355	6.425	0.00	6.385
1076.8365	4.085	-2.020	6	0.400	1	6.452	6.469	6.497	6.423	6.492	0.00	6.452
1087.2973	4.085	-1.326	6	1.530	1	6.359	6.375	6.403	6.327	6.398	+0.02	6.379
1089.1736	4.087	-1.027	6	3.160	1	6.427	6.443	6.470	6.389	6.464	0.00	6.427
