line_id,species,ion,our_wavelength,our_EP,our_loggf,our_source,our_gf_tier,our_hfs_n_components,our_lab_source_tag,linemake_matched,linemake_wavelength,linemake_EP,linemake_loggf,delta_loggf,our_loggf_printed,linemake_loggf_printed,agreement_threshold_dex,delta_within_threshold,linemake_primary_source,linemake_reference_class,linemake_source_tag,linemake_source_class,linemake_file,linemake_hfs_expanded,linemake_n_components,hfs_collapse,bulk_counterpart,linemake_readme_caveat,linemake_caveat_wavelength_A,linemake_caveat_tol_A,verdict,ambiguity
gf_117926,Si I,1.0,6976.513,5.954,-1.17,GARZ,OTHER,1,,True,6976.51,5.9537,-0.924,-0.24599999999999989,-1.17,-0.924,0.0055,False,"Den Hartog et al. (2023, ApJS, 265, 42); Pehlivan Rhodin et al. (2024, A&A, 682, A184)",PRIMARY_LAB,NIST/D,CATALOG,siI.moog,False,1.0,neither,True,,,,DISAGREES_GF,
gf_117783,Si I,1.0,6555.462,5.984,-1.163,VALD3,VALD3,1,,True,6555.463,5.984,-1.4,0.23699999999999988,-1.163,-1.40,0.0055,False,"Den Hartog et al. (2023, ApJS, 265, 42); Pehlivan Rhodin et al. (2024, A&A, 682, A184)",PRIMARY_LAB,NIST/D,CATALOG,siI.moog,False,1.0,neither,True,,,,DISAGREES_GF,
gf_068282,Fe II,2.0,4515.333,2.844,-2.3645,NIST-C+ T7589,NIST-C+,1,NIST-C+,True,4515.339,2.844,-2.6,0.23550000000000004,-2.3645,-2.60,0.00505,False,"Den Hartog et al. (2019, ApJS, 243, 33); Meléndez & Barbuy (2009, A&A, 497, 611)",PRIMARY_LAB,MELBAR,PRIMARY_LAB,feII.moog,False,1.0,neither,True,,,,DISAGREES_GF,
gf_118025,Si I,1.0,7272.034,6.099,-1.377,K07,KURUCZ,1,,True,7272.03,6.0986,-1.158,-0.21900000000000008,-1.377,-1.158,0.001,False,"Den Hartog et al. (2023, ApJS, 265, 42); Pehlivan Rhodin et al. (2024, A&A, 682, A184)",PRIMARY_LAB,NIST/D,CATALOG,siI.moog,False,1.0,neither,True,,,,DISAGREES_GF,
gf_117819,Si I,1.0,6631.048,5.984,-2.668,K07,KURUCZ,1,,True,6631.05,5.984,-2.47,-0.19799999999999995,-2.668,-2.47,0.0055,False,"Den Hartog et al. (2023, ApJS, 265, 42); Pehlivan Rhodin et al. (2024, A&A, 682, A184)",PRIMARY_LAB,NIST/E,CATALOG,siI.moog,False,1.0,neither,True,,,,DISAGREES_GF,
gf_117998,Si I,1.0,7210.315,6.083,-2.096,K07,KURUCZ,1,,True,7210.31,6.0827,-1.903,-0.19300000000000006,-2.096,-1.903,0.001,False,"Den Hartog et al. (2023, ApJS, 265, 42); Pehlivan Rhodin et al. (2024, A&A, 682, A184)",PRIMARY_LAB,NIST/E,CATALOG,siI.moog,False,1.0,neither,True,,,,DISAGREES_GF,
gf_000073,Al I,1.0,8772.865,4.022,-0.17,1995JPhB..,OTHER,1,,True,8772.866,4.02,-0.35,0.17999999999999997,-0.17,-0.35,0.01,False,(catalogue only),UNSOURCED,NIST/B+,CATALOG,alI.moog,False,1.0,neither,True,,,,DISAGREES_GF,
gf_087245,Mg I,1.0,5167.322,2.709,-1.031,NIST ASD v5.11 grade A,NIST-C+,1,,True,5167.321,2.709,-0.854,-0.17699999999999994,-1.031,-0.854,0.001,False,"Pehlivan Rhodin et al. (2017, A&A, 598, A102)",PRIMARY_LAB,Pehlivan17,PRIMARY_LAB,mgI.moog,False,1.0,neither,True,,,,DISAGREES_GF,
gf_000072,Al I,1.0,8076.289,4.087,-2.636,K75,KURUCZ,1,,True,8076.289,4.09,-2.46,-0.17600000000000016,-2.636,-2.46,0.0055,False,(catalogue only),UNSOURCED,NIST/C,CATALOG,alI.moog,False,1.0,neither,True,,,,DISAGREES_GF,
gf_000070,Al I,1.0,8065.968,4.085,-1.936,K75,KURUCZ,1,,True,8065.968,4.09,-1.76,-0.17599999999999993,-1.936,-1.76,0.0055,False,(catalogue only),UNSOURCED,NIST/C+,CATALOG,alI.moog,False,1.0,neither,True,,,,DISAGREES_GF,
