readme_section,species,reference_class,caveat_wavelength_A,caveat_wavelength_tol_A,n_paper_citations,n_catalog_citations,primary_source,caveats,references_raw
Atomic Species: Fe-group Elements,Sc I,PRIMARY_LAB,,,1,0,"Lawler et al. (2019, ApJS, 241, 21)",,"[Lawler et al. (2019, ApJS, 241, 21)](https://ui.adsabs.harvard.edu/abs/2019ApJS..241...21L/); includes HFS"
Atomic Species: Fe-group Elements,Sc II,PRIMARY_LAB,,,1,0,"Lawler et al. (2019, ApJS, 241, 21)",,"[Lawler et al. (2019, ApJS, 241, 21)](https://ui.adsabs.harvard.edu/abs/2019ApJS..241...21L/); includes HFS"
Atomic Species: Fe-group Elements,Ti I,PRIMARY_LAB,,,1,0,"Lawler et al. (2013, ApJS, 205, 11)",,"[Lawler et al. (2013, ApJS, 205, 11)](https://ui.adsabs.harvard.edu/abs/2013ApJS..205...11L/)"
Atomic Species: Fe-group Elements,Ti II,PRIMARY_LAB,,,1,0,"Wood et al. (2013, ApJS, 208, 27)",,"[Wood et al. (2013, ApJS, 208, 27)](https://ui.adsabs.harvard.edu/abs/2013ApJS..208...27W/)"
Atomic Species: Fe-group Elements,V I,PRIMARY_LAB,,,3,0,"Lawler et al. (2014, ApJS, 215, 20); Wood et al. (2018, ApJS, 234, 25); Holmes et al. (2016, ApJS, 224, 35)",,"[Lawler et al. (2014, ApJS, 215, 20)](https://ui.adsabs.harvard.edu/abs/2014ApJS..215...20L/) and [Wood et al. (2018, ApJS, 234, 25)](https://ui.adsabs.harvard.edu/abs/2018ApJS..234...25W/). [Holmes et al. (2016, ApJS, 224, 35)](https://ui.adsabs.harvard.edu/abs/2016ApJS..224...35H/) suggested some problems with the Lawler et al. transition probabilities in the wavelength range > 9000 Å, but Wood et al. showed that the Lawler et al. *gf*'s are correct;  Wood et al. also has extensive new HFS data"
Atomic Species: Fe-group Elements,V II,MIXED,,,1,1,"Wood et al. (2014, ApJS, 214, 18)",,"[Wood et al. (2014, ApJS, 214, 18)](https://ui.adsabs.harvard.edu/abs/2014ApJS..214...18W); there is additional HFS information in the [Kurucz](http://kurucz.harvard.edu/atoms.html) database, collected in `vI.kurhfs`"
Atomic Species: Fe-group Elements,Cr I,MIXED,,,1,1,"Sobeck et al. (2007, ApJ, 667, 1267)",,"[Sobeck et al. (2007, ApJ, 667, 1267)](https://ui.adsabs.harvard.edu/abs/2007ApJ...667.1267S); the line wavelengths have been adjusted to conform to those given at the [NIST](https://www.nist.gov/pml/atomic-spectra-database) website"
Atomic Species: Fe-group Elements,Cr II,PRIMARY_LAB,,,4,0,"Lawler et al. (2017, ApJS, 228, 10); Nilsson et al. (2006, A&A, 445, 1165); Gurell et al. (2010, A&A, 511, A68); Ward et al. (2023, ApJ, 959, 8)",,"The most current and tested  transition probabilities are from [Lawler et al. (2017, ApJS, 228, 10)](https://ui.adsabs.harvard.edu/abs/2017ApJS..228...10L). We added in earlier good results from [Nilsson et al. (2006, A&A, 445, 1165)](https://ui.adsabs.harvard.edu/abs/2006A%26A...445.1165N) and [Gurell et al. (2010, A&A, 511, A68)](https://ui.adsabs.harvard.edu/abs/2010A%26A...511A..68G), but adjusted their  wavelengths to agree with NIST values (which are in better agreement with those seen in solar/stellar spectra). We also added values from [Ward et al. (2023, ApJ, 959, 8)](https://ui.adsabs.harvard.edu/abs/2023ApJ...959....8W/), whose results largely supersede the Gurell et al. values."
Atomic Species: Fe-group Elements,Mn I,MIXED,,,1,1,"Den Hartog et al. (2011, ApJS, 194, 35)",,"[Den Hartog et al. (2011, ApJS, 194, 35)](https://ui.adsabs.harvard.edu/abs/2011ApJS..194...35D); there is additional HFS information in the [Kurucz](http://kurucz.harvard.edu/atoms.html) database, collected in `mnI.kurhfs`"
Atomic Species: Fe-group Elements,Mn II,MIXED,,,1,1,"Den Hartog et al. (2011, ApJS, 194, 35)",,"[Den Hartog et al. (2011, ApJS, 194, 35)](https://ui.adsabs.harvard.edu/abs/2011ApJS..194...35D); there is no additional HFS information in the [Kurucz](http://kurucz.harvard.edu/atoms.html) database"
