species,our_line_count,matched,AGREES,DISAGREES_GF,LINEMAKE_STRONGER_SOURCE,NO_MATCH,AMBIGUOUS_MATCH,HFS_AMBIGUOUS,LINEMAKE_NONPRIMARY,comparable,within_threshold,mean_abs_delta_loggf,median_abs_delta_loggf,linemake_lines_not_in_our_pool,linemake_primary_source,linemake_reference_class
Ag I,8,2,0,0,2,6,0,0,0,2,0,0.0355,0.0355,0,"Hansen et al. (2012, A&A, 545, 31)",PRIMARY_LAB
Rb I,30,2,0,2,0,28,0,0,0,2,0,0.004,0.004,0,(catalogue only),CATALOG
Au I,7,1,0,1,0,6,0,0,0,1,0,0.01,0.01,6,"Fivet et al. (2006, J. Phys. B: At. Mol. Opt. Phys., 39, 3587)",MIXED
Sr I,89,1,1,0,0,88,0,0,0,1,1,0.0,0.0,0,(catalogue only),CATALOG
Yb II,1140,1,0,0,1,1139,0,0,0,1,0,0.02,0.02,2,"Sneden et al. (2009, ApJS, 182, 80); Kedzierski et al. (2010, Spectrochimica Acta B, 65, 248)",MIXED
Ta II,42,1,0,0,1,41,0,0,0,1,0,0.876,0.876,16,"Quinet et al. (2009, A&A, 493, 711); Morton (2000, ApJS, 130, 403)",MIXED
As I,19,0,0,0,0,19,0,0,0,0,0,,,1,"Roederer & Lawler (2012, ApJ, 750, 76); Roederer et al. (2022, ApJS, 260, 27)",PRIMARY_LAB
Cd I,12,0,0,0,0,12,0,0,0,0,0,,,1,"Morton (2000, ApJS, 130, 403)",PRIMARY_LAB
Al II,208,0,0,0,0,208,0,0,0,0,0,,,1,"Roederer & Lawler (2021, ApJ, 912, 119)",PRIMARY_LAB
W II,56,0,0,0,0,56,0,0,0,0,0,,,8,"Roederer et al. (2022, ApJS, 260, 27)",PRIMARY_LAB
Mg II,103,0,0,0,0,103,0,0,0,0,0,,,6,(catalogue only),UNSOURCED
Te I,1,0,0,0,0,1,0,0,0,0,0,,,6,"Roederer et al. (2012, ApJL, 747, L8); Ubelis & Berzinsh (1991, PhyS, 43, 162); Morton (2000, ApJS, 130, 403)",PRIMARY_LAB
Sn II,6,0,0,0,0,6,0,0,0,0,0,,,1,"Oliver & Hibbert (2010, J Phys B, 43, 074013)",PRIMARY_LAB
Se I,3,0,0,0,0,3,0,0,0,0,0,,,3,"Roederer & Lawler (2012, ApJ, 750, 76)",PRIMARY_LAB
In II,2,0,0,0,0,2,0,0,0,0,0,,,1,"Roederer et al. 2022, ApJS, 260, 27; Curtis et al. (2000, PRA, 62, 052513); Larkin & Hannaford (1993, Z. Phys. D., 27, 313); Wang et al. (2007, Euro. Phys. J. D, 44, 307)",PRIMARY_LAB
Sb I,6,0,0,0,0,6,0,0,0,0,0,,,2,"Roederer et al. (2022, ApJS, 260, 27)",PRIMARY_LAB
Ru II,24,0,0,0,0,24,0,0,0,0,0,,,12,"Johansson et al. 1994, ApJ, 421, 809)",PRIMARY_LAB
Re II,5,0,0,0,0,5,0,0,0,0,0,,,2,"Roederer et al. (2022, ApJS, 260, 27)",PRIMARY_LAB
Pt II,1,0,0,0,0,1,0,0,0,0,0,,,9,"Quinet et al. (2008, PRA, 77, 022501)",PRIMARY_LAB
Cu II,1671,0,0,0,0,1671,0,0,0,0,0,,,27,"Roederer & Lawler (2012, ApJ, 750, 76)",MIXED
Pb II,7,0,0,0,0,7,0,0,0,0,0,,,1,"Roederer et al. (2020, ApJL, 902, L24)",PRIMARY_LAB
Ir II,1,0,0,0,0,1,0,0,0,0,0,,,22,"Ivarsson et al. (2004, A&A, 425, 353); Xu et al. (2007, JQSRT, 104, 52)",MIXED
Hg II,23,0,0,0,0,23,0,0,0,0,0,,,0,,
