lineage_set,species,scott2015_wavelength_air_A,scott2015_elow_eV,scott2015_loggf,scott2015_ew_mA,scott2015_weight,scott2015_3d_nlte_abundance,nordlander2017_solar_selected,agss21_adoption_status,canonical_line_id,manifest_wavelength_air_A,match_distance_mA,manifest_elow_eV,manifest_loggf_adopted,manifest_gf_source,manifest_gf_grade,manifest_intake_status,grade_verification_status,lineage_note
Scott2015_Nordlander2017_AGSS21,Al I,6696.023,3.143,-1.569,35.80,2,6.465,Y,ADOPTED_VIA_NORDLANDER2017,alphys_I_6696.0150_0352,6696.015,8.0,3.1427,-1.46,EXP-BURHEIM23,GF-LAB,FROZEN,PENDING_RYA1134_GF_GRADE_VERIFICATION,Physical match uses wavelength plus lower excitation/transition identity; Scott wavelength differs by 8 mA from the newer 6696.015 value.
Scott2015_Nordlander2017_AGSS21,Al I,6698.673,3.143,-1.870,21.00,3,6.451,Y,ADOPTED_VIA_NORDLANDER2017,alphys_I_6698.6730_0355,6698.673,0.0,3.1427,-1.76,EXP-BURHEIM23,GF-LAB,FROZEN,PENDING_RYA1134_GF_GRADE_VERIFICATION,Adopted by lineage: Scott 2015 selection/weight -> Nordlander 2017 3D-NLTE -> AGSS21 abundance.
Scott2015_Nordlander2017_AGSS21,Al I,7835.309,4.022,-0.689,41.00,1,6.372,Y,ADOPTED_VIA_NORDLANDER2017,alphys_I_7835.3090_0386,7835.309,0.0,4.0215,-0.6886700477,NIST-B,B,FROZEN,PENDING_RYA1134_GF_GRADE_VERIFICATION,Adopted by lineage: Scott 2015 selection/weight -> Nordlander 2017 3D-NLTE -> AGSS21 abundance.
Scott2015_Nordlander2017_AGSS21,Al I,8912.900,4.085,-1.963,3.00,1,6.385,Y,ADOPTED_VIA_NORDLANDER2017,alphys_I_8912.9000_0397,8912.9,0.0,4.0853,-2.348,SEMIEMP-K75,EXCLUDED-SHALLOW,FROZEN,PENDING_RYA1134_GF_GRADE_VERIFICATION,Adopted by lineage: Scott 2015 selection/weight -> Nordlander 2017 3D-NLTE -> AGSS21 abundance.
Scott2015_Nordlander2017_AGSS21,Al I,10768.365,4.085,-2.020,4.00,1,6.452,Y,ADOPTED_VIA_NORDLANDER2017,alphys_I_10768.3650_0401,10768.365,0.0,4.0853,-1.5048160962,UNGRADED,EXCLUDED-SHALLOW,CROSSMATCH_REVIEW,PENDING_RYA1134_GF_GRADE_VERIFICATION,Adopted by lineage: Scott 2015 selection/weight -> Nordlander 2017 3D-NLTE -> AGSS21 abundance.
Scott2015_Nordlander2017_AGSS21,Al I,10872.973,4.085,-1.326,15.30,1,6.379,Y,ADOPTED_VIA_NORDLANDER2017,alphys_I_10872.9730_0404,10872.973,0.0,4.0853,-1.3996613158,UNGRADED,GRADEABLE,FROZEN,PENDING_RYA1134_GF_GRADE_VERIFICATION,Adopted by lineage: Scott 2015 selection/weight -> Nordlander 2017 3D-NLTE -> AGSS21 abundance.
Scott2015_Nordlander2017_AGSS21,Al I,10891.736,4.087,-1.027,31.60,1,6.427,N,EXCLUDED_TELLURIC,alphys_I_10891.7360_0405,10891.736,0.0,4.0872,-1.0998160962,UNGRADED,GRADEABLE,FROZEN,EXCLUDED_TELLURIC_10891,Excluded by Nordlander & Lind (2017) and AGSS21 because of telluric contamination.
