line_set,band,species,wavelength_air_A,excitation_potential_eV,gbs_golden,gbs_selected_sun,elow_eV_paper,log_gf_gbs,vdw_abo_gbs,loggf_ref_code_gbs,loggf_ref_gbs_resolved,gf_provenance_gbs,n_methods_ew,n_methods_abund,ew_mA_min,ew_mA_max,ew_mA_mean,rew_min,rew_max,rew_mean,rew_class,our_wavelength_air_A,our_excitation_potential_eV,match_distance_mA,log_gf_ours,loggf_reference_ours,gf_tier_ours,nist_grade_ours,gf_synth_ges,delta_gbs_minus_ours,delta_gbs_minus_ges,telluric_exclusion
gbs,VIS,Fe I,5638.26,4.22,Y,1,4.2200,-0.770,730.235,156,False,"Jofre+2014 (Table 4) code 156; line list GES-v3 (Heiter+ 2014, in prep); code decoder did not typeset in arXiv:1309.1099v2",5,5,75.30,80.55,77.61,-4.8744,-4.8451,-4.8612,pass,5638.2620,4.2200,2.00,-0.7200,PRIMARY LAB Ruffoni2014,LAB,,-0.7200,-0.0500,-0.0500,
gbs,VIS,Fe I,5641.43,4.26,Y,1,4.2560,-1.080,739.234,156,False,"Jofre+2014 (Table 4) code 156; line list GES-v3 (Heiter+ 2014, in prep); code decoder did not typeset in arXiv:1309.1099v2",3,3,63.40,65.10,64.07,-4.9493,-4.9378,-4.9448,pass,5641.4340,4.2560,4.00,-1.0800,MRW,OTHER,,-1.0800,+0.0000,+0.0000,
gbs,VIS,Fe I,5649.99,5.10,Y,1,5.0990,-0.820,719.265,156,False,"Jofre+2014 (Table 4) code 156; line list GES-v3 (Heiter+ 2014, in prep); code decoder did not typeset in arXiv:1309.1099v2",3,3,34.50,37.00,35.37,-5.2142,-5.1838,-5.2035,pass,5649.9870,5.1000,3.00,-0.8200,MRW,OTHER,,-0.8200,+0.0000,+0.0000,
gbs,VIS,Fe I,5651.47,4.47,Y,1,4.4730,-1.900,898.278,156,False,"Jofre+2014 (Table 4) code 156; line list GES-v3 (Heiter+ 2014, in prep); code decoder did not typeset in arXiv:1309.1099v2",4,5,17.50,19.70,18.38,-5.5091,-5.4577,-5.4878,pass,5651.4690,4.4730,1.00,-1.9000,MRW,OTHER,,-1.9000,+0.0000,+0.0000,
gbs,VIS,Fe I,5652.32,4.26,Y,1,4.2600,-1.850,754.210,156,False,"Jofre+2014 (Table 4) code 156; line list GES-v3 (Heiter+ 2014, in prep); code decoder did not typeset in arXiv:1309.1099v2",4,5,26.00,26.30,26.12,-5.3373,-5.3323,-5.3352,pass,5652.3180,4.2600,2.00,-1.8500,MRW,OTHER,,-1.8500,+0.0000,+0.0000,
gbs,VIS,Fe I,5653.87,4.39,Y,1,4.3860,-1.540,792.277,156,False,"Jofre+2014 (Table 4) code 156; line list GES-v3 (Heiter+ 2014, in prep); code decoder did not typeset in arXiv:1309.1099v2",3,3,38.20,38.40,38.30,-5.1703,-5.1680,-5.1691,pass,5653.8650,4.3870,5.00,-1.5400,MRW,OTHER,,-1.5400,+0.0000,+0.0000,
gbs,VIS,Fe I,5655.18,5.06,Y,1,5.0640,-0.600,0.000,156,False,"Jofre+2014 (Table 4) code 156; line list GES-v3 (Heiter+ 2014, in prep); code decoder did not typeset in arXiv:1309.1099v2",3,3,51.60,52.90,52.03,-5.0398,-5.0290,-5.0362,pass,5655.1760,5.0640,4.00,-0.6000,MRW,OTHER,,-0.6000,+0.0000,+0.0000,
gbs,VIS,Fe I,5661.35,4.28,Y,1,4.2840,-1.756,765.209,102,False,"Jofre+2014 (Table 4) code 102; line list GES-v3 (Heiter+ 2014, in prep); code decoder did not typeset in arXiv:1309.1099v2",3,4,21.10,22.43,21.61,-5.4286,-5.4021,-5.4183,pass,5661.3450,4.2840,5.00,-1.7570,NIST-C+ T6110,NIST-C+,B,-1.7560,+0.0010,+0.0000,
gbs,VIS,Fe I,5662.52,4.18,Y,1,4.1780,-0.573,724.235,102,False,"Jofre+2014 (Table 4) code 102; line list GES-v3 (Heiter+ 2014, in prep); code decoder did not typeset in arXiv:1309.1099v2",3,4,89.90,93.70,91.20,-4.7993,-4.7813,-4.7930,excluded,5662.5160,4.1780,4.00,-0.4100,PRIMARY LAB DenHartog2014,LAB,,-0.4470,-0.1630,-0.1260,
gbs,VIS,Fe I,5679.02,4.65,Y,1,4.6520,-0.820,1106.291,156,False,"Jofre+2014 (Table 4) code 156; line list GES-v3 (Heiter+ 2014, in prep); code decoder did not typeset in arXiv:1309.1099v2",4,5,58.60,61.30,59.49,-4.9864,-4.9668,-4.9798,pass,5679.0230,4.6520,3.00,-0.8200,MRW,OTHER,,-0.8200,+0.0000,+0.0000,
gbs,VIS,Fe I,5691.50,4.30,Y,1,4.3010,-1.420,746.231,156,False,"Jofre+2014 (Table 4) code 156; line list GES-v3 (Heiter+ 2014, in prep); code decoder did not typeset in arXiv:1309.1099v2",3,3,40.70,41.30,40.93,-5.1456,-5.1393,-5.1431,pass,5691.4970,4.3010,3.00,-1.4500,GESHRL14,OTHER,,-1.4500,+0.0300,+0.0300,
gbs,VIS,Fe I,5696.09,4.55,Y,1,4.5480,-1.720,965.279,102,False,"Jofre+2014 (Table 4) code 102; line list GES-v3 (Heiter+ 2014, in prep); code decoder did not typeset in arXiv:1309.1099v2",2,3,11.70,13.90,12.80,-5.6874,-5.6126,-5.6484,pass,5696.0890,4.5490,1.00,-1.7194,NIST-C+ T6110,NIST-C+,C+,-1.7200,-0.0006,+0.0000,
gbs,VIS,Fe I,5701.54,2.56,Y,1,2.5590,-2.160,361.237,102,False,"Jofre+2014 (Table 4) code 102; line list GES-v3 (Heiter+ 2014, in prep); code decoder did not typeset in arXiv:1309.1099v2",4,5,83.50,86.10,84.60,-4.8343,-4.8210,-4.8286,pass,5701.5440,2.5590,4.00,-2.2158,NIST-C+ T4293,NIST-C+,C+,-2.1930,+0.0558,+0.0330,
gbs,VIS,Fe I,5705.46,4.30,Y,1,4.3010,-1.355,744.231,102,False,"Jofre+2014 (Table 4) code 102; line list GES-v3 (Heiter+ 2014, in prep); code decoder did not typeset in arXiv:1309.1099v2",4,5,38.50,40.43,39.33,-5.1708,-5.1496,-5.1615,pass,5705.4640,4.3010,4.00,-1.3556,NIST-C+ T6110,NIST-C+,B,-1.3550,+0.0006,+0.0000,
gbs,VIS,Fe I,5731.76,4.26,Y,1,4.2560,-1.200,727.232,156,False,"Jofre+2014 (Table 4) code 156; line list GES-v3 (Heiter+ 2014, in prep); code decoder did not typeset in arXiv:1309.1099v2",5,5,58.00,58.80,58.53,-4.9949,-4.9889,-4.9909,pass,5731.7620,4.2560,2.00,-1.2000,MRW,OTHER,,-1.2000,+0.0000,+0.0000,
gbs,VIS,Fe I,5732.30,4.99,Y,1,4.9910,-1.460,613.275,156,False,"Jofre+2014 (Table 4) code 156; line list GES-v3 (Heiter+ 2014, in prep); code decoder did not typeset in arXiv:1309.1099v2",4,4,14.40,15.30,15.00,-5.6000,-5.5736,-5.5824,pass,5732.2960,4.9910,4.00,-1.4600,MRW,OTHER,,-1.4600,+0.0000,+0.0000,
gbs,VIS,Fe I,5741.85,4.26,Y,1,4.2560,-1.672,725.232,102,False,"Jofre+2014 (Table 4) code 102; line list GES-v3 (Heiter+ 2014, in prep); code decoder did not typeset in arXiv:1309.1099v2",5,6,31.61,32.10,31.86,-5.2592,-5.2525,-5.2558,pass,5741.8480,4.2560,2.00,-1.6735,NIST-C+ T5720,NIST-C+,C,-1.6720,+0.0015,+0.0000,
gbs,VIS,Fe I,5760.34,3.64,Y,1,3.6420,-2.390,386.250,156,False,"Jofre+2014 (Table 4) code 156; line list GES-v3 (Heiter+ 2014, in prep); code decoder did not typeset in arXiv:1309.1099v2",3,3,22.60,24.10,23.17,-5.4063,-5.3784,-5.3956,pass,5760.3440,3.6420,4.00,-2.3900,MRW,OTHER,,-2.3900,+0.0000,+0.0000,
gbs,VIS,Fe I,5775.08,4.22,Y,1,4.2200,-1.297,720.231,102,False,"Jofre+2014 (Table 4) code 102; line list GES-v3 (Heiter+ 2014, in prep); code decoder did not typeset in arXiv:1309.1099v2",5,6,58.05,60.50,59.51,-4.9978,-4.9798,-4.9870,pass,5775.0810,4.2200,1.00,-1.0800,PRIMARY LAB DenHartog2014,LAB,,-1.1260,-0.2170,-0.1710,
gbs,VIS,Fe I,5778.45,2.59,Y,1,2.5880,-3.430,361.237,102,False,"Jofre+2014 (Table 4) code 102; line list GES-v3 (Heiter+ 2014, in prep); code decoder did not typeset in arXiv:1309.1099v2",5,6,22.00,23.00,22.29,-5.4194,-5.4001,-5.4137,pass,5778.4530,2.5880,3.00,-3.4298,NIST-C+ T6110,NIST-C+,C,-3.4300,-0.0002,+0.0000,
gbs,VIS,Fe I,5784.66,3.40,Y,1,3.3960,-2.532,796.244,102,False,"Jofre+2014 (Table 4) code 102; line list GES-v3 (Heiter+ 2014, in prep); code decoder did not typeset in arXiv:1309.1099v2",3,3,26.10,27.60,26.60,-5.3456,-5.3214,-5.3374,pass,5784.6580,3.3970,2.00,-2.6700,PRIMARY LAB Ruffoni2014,LAB,,-2.5470,+0.1380,+0.0150,
gbs,VIS,Fe I,5849.68,3.69,Y,1,3.6940,-2.890,379.305,156,False,"Jofre+2014 (Table 4) code 156; line list GES-v3 (Heiter+ 2014, in prep); code decoder did not typeset in arXiv:1309.1099v2",3,3,7.50,8.60,8.15,-5.8921,-5.8326,-5.8558,pass,5849.6830,3.6950,3.00,-2.8900,MRW,OTHER,,-2.8900,+0.0000,+0.0000,
gbs,VIS,Fe I,5853.15,1.49,Y,1,1.4850,-5.180,0.000,156,False,"Jofre+2014 (Table 4) code 156; line list GES-v3 (Heiter+ 2014, in prep); code decoder did not typeset in arXiv:1309.1099v2",2,3,8.10,8.80,8.45,-5.8589,-5.8229,-5.8405,pass,5853.1480,1.4850,2.00,-5.1800,MRW,OTHER,,-5.1800,+0.0000,+0.0000,
gbs,VIS,Fe I,5855.08,4.61,Y,1,4.6080,-1.478,962.279,102,False,"Jofre+2014 (Table 4) code 102; line list GES-v3 (Heiter+ 2014, in prep); code decoder did not typeset in arXiv:1309.1099v2",5,6,22.30,24.60,23.34,-5.4192,-5.3766,-5.3994,pass,5855.0760,4.6080,4.00,-1.4782,NIST-C+ T6110,NIST-C+,B,-1.4780,+0.0002,+0.0000,
gbs,VIS,Fe I,5858.78,4.22,Y,1,4.2200,-2.160,786.278,156,False,"Jofre+2014 (Table 4) code 156; line list GES-v3 (Heiter+ 2014, in prep); code decoder did not typeset in arXiv:1309.1099v2",3,3,11.90,12.40,12.19,-5.6923,-5.6744,-5.6817,pass,5858.7780,4.2200,2.00,-2.1600,MRW,OTHER,,-2.1600,+0.0000,+0.0000,
gbs,VIS,Fe I,5883.82,3.96,Y,1,3.9600,-1.260,998.250,156,False,"Jofre+2014 (Table 4) code 156; line list GES-v3 (Heiter+ 2014, in prep); code decoder did not typeset in arXiv:1309.1099v2",4,4,64.10,67.10,65.35,-4.9628,-4.9429,-4.9544,pass,5883.8160,3.9600,4.00,-1.2600,MRW,OTHER,,-1.2600,+0.0000,+0.0000,
gbs,VIS,Fe I,5902.47,4.59,Y,1,4.5930,-1.710,227.252,156,False,"Jofre+2014 (Table 4) code 156; line list GES-v3 (Heiter+ 2014, in prep); code decoder did not typeset in arXiv:1309.1099v2",3,3,14.80,20.00,17.40,-5.6008,-5.4700,-5.5305,pass,5902.4730,4.5930,3.00,-1.8100,VALD3,VALD3,,-1.7100,+0.1000,+0.0000,
gbs,VIS,Fe I,5905.67,4.65,Y,1,4.6520,-0.690,994.282,156,False,"Jofre+2014 (Table 4) code 156; line list GES-v3 (Heiter+ 2014, in prep); code decoder did not typeset in arXiv:1309.1099v2",5,5,59.00,61.57,59.93,-5.0004,-4.9819,-4.9936,pass,5905.6710,4.6520,1.00,-0.7300,VALD3,VALD3,,-0.6900,+0.0400,+0.0000,
gbs,VIS,Fe I,5916.25,2.45,N,1,,,,,False,NOT PUBLISHED IN TABLES 4/5,3,3,55.80,57.20,56.57,-5.0254,-5.0147,-5.0195,pass,5916.2470,2.4530,3.00,-2.9927,NIST-C+ T4187,NIST-C+,B,-2.9940,,,
gbs,VIS,Fe I,5927.79,4.65,Y,1,4.6520,-0.990,984.281,156,False,"Jofre+2014 (Table 4) code 156; line list GES-v3 (Heiter+ 2014, in prep); code decoder did not typeset in arXiv:1309.1099v2",4,4,42.50,43.35,42.79,-5.1445,-5.1359,-5.1416,pass,5927.7890,4.6520,1.00,-0.9900,MRW,OTHER,,-0.9900,+0.0000,+0.0000,
gbs,VIS,Fe I,5929.68,4.55,Y,1,4.5480,-1.310,864.275,156,False,"Jofre+2014 (Table 4) code 156; line list GES-v3 (Heiter+ 2014, in prep); code decoder did not typeset in arXiv:1309.1099v2",4,4,41.50,43.50,42.48,-5.1550,-5.1345,-5.1449,pass,5929.6760,4.5490,4.00,-1.3100,MRW,OTHER,,-1.3100,+0.0000,+0.0000,
gbs,VIS,Fe I,5930.18,4.65,Y,1,4.6520,-0.230,983.281,187,False,"Jofre+2014 (Table 4) code 187; line list GES-v3 (Heiter+ 2014, in prep); code decoder did not typeset in arXiv:1309.1099v2",5,5,85.40,97.02,89.44,-4.8416,-4.7862,-4.8215,ambiguous,5930.1800,4.6520,0.00,-0.2300,VALD3,VALD3,,-0.2300,+0.0000,+0.0000,
gbs,VIS,Fe I,5934.65,3.93,Y,1,3.9280,-1.070,959.247,156,False,"Jofre+2014 (Table 4) code 156; line list GES-v3 (Heiter+ 2014, in prep); code decoder did not typeset in arXiv:1309.1099v2",4,4,73.60,81.12,76.18,-4.9065,-4.8643,-4.8916,pass,5934.6540,3.9290,4.00,-1.0700,MRW,OTHER,,-1.0700,+0.0000,+0.0000,
gbs,VIS,Fe I,5956.69,0.86,Y,1,0.8590,-4.553,227.252,102,False,"Jofre+2014 (Table 4) code 102; line list GES-v3 (Heiter+ 2014, in prep); code decoder did not typeset in arXiv:1309.1099v2",5,5,52.90,55.60,54.20,-5.0515,-5.0299,-5.0410,pass,5956.6940,0.8590,4.00,-4.6050,NIST ASD v5.11 grade A,NIST-C+,A,-4.5990,+0.0520,+0.0460,
gbs,VIS,Fe I,6003.01,3.88,Y,1,3.8810,-1.120,898.241,187,False,"Jofre+2014 (Table 4) code 187; line list GES-v3 (Heiter+ 2014, in prep); code decoder did not typeset in arXiv:1309.1099v2",4,4,76.90,83.80,81.25,-4.8924,-4.8551,-4.8685,pass,6003.0110,3.8820,1.00,-1.1000,PRIMARY LAB Ruffoni2014,LAB,,-1.1000,-0.0200,-0.0200,
gbs,VIS,Fe I,6012.21,2.22,Y,1,2.2230,-4.038,309.270,102,False,"Jofre+2014 (Table 4) code 102; line list GES-v3 (Heiter+ 2014, in prep); code decoder did not typeset in arXiv:1309.1099v2",3,4,23.60,26.10,24.53,-5.4061,-5.3624,-5.3893,pass,6012.2100,2.2230,0.00,-4.0386,NIST-C+ T5783,NIST-C+,C+,-4.0380,+0.0006,+0.0000,
gbs,VIS,Fe I,6027.05,4.08,Y,1,4.0760,-1.089,380.250,102,False,"Jofre+2014 (Table 4) code 102; line list GES-v3 (Heiter+ 2014, in prep); code decoder did not typeset in arXiv:1309.1099v2",4,5,63.70,66.50,64.92,-4.9760,-4.9573,-4.9677,pass,6027.0510,4.0760,1.00,-1.0891,NIST-C+ T5720,NIST-C+,C+,-1.0890,+0.0001,+0.0000,
gbs,VIS,Fe I,6065.48,2.61,Y,1,2.6080,-1.470,354.234,102,False,"Jofre+2014 (Table 4) code 102; line list GES-v3 (Heiter+ 2014, in prep); code decoder did not typeset in arXiv:1309.1099v2",3,4,113.40,119.70,115.67,-4.7283,-4.7048,-4.7197,excluded,6065.4820,2.6090,2.00,-1.5300,NIST ASD v5.11 grade A,NIST-C+,A,-1.5290,+0.0600,+0.0590,
gbs,VIS,Fe I,6079.01,4.65,Y,1,4.6520,-1.020,920.276,156,False,"Jofre+2014 (Table 4) code 156; line list GES-v3 (Heiter+ 2014, in prep); code decoder did not typeset in arXiv:1309.1099v2",4,4,45.00,46.40,45.75,-5.1306,-5.1173,-5.1234,pass,6079.0080,4.6520,2.00,-1.0200,MRW,OTHER,,-1.0200,+0.0000,+0.0000,
gbs,VIS,Fe I,6082.71,2.22,N,1,,,,,False,NOT PUBLISHED IN TABLES 4/5,2,3,35.30,35.60,35.45,-5.2363,-5.2326,-5.2345,pass,6082.7100,2.2230,0.00,-3.5730,NIST-C+ T4187,NIST-C+,B,-3.5760,,,
gbs,VIS,Fe I,6093.64,4.61,Y,1,4.6070,-1.400,866.274,156,False,"Jofre+2014 (Table 4) code 156; line list GES-v3 (Heiter+ 2014, in prep); code decoder did not typeset in arXiv:1309.1099v2",4,4,30.25,30.70,30.44,-5.3042,-5.2977,-5.3015,pass,6093.6430,4.6080,3.00,-1.4000,MRW,OTHER,,-1.4000,+0.0000,+0.0000,
gbs,VIS,Fe I,6094.37,4.65,Y,1,4.6520,-1.840,914.276,156,False,"Jofre+2014 (Table 4) code 156; line list GES-v3 (Heiter+ 2014, in prep); code decoder did not typeset in arXiv:1309.1099v2",2,3,19.90,21.30,20.60,-5.4861,-5.4565,-5.4711,pass,6094.3730,4.6520,3.00,-1.8400,MRW,OTHER,,-1.8400,+0.0000,+0.0000,
gbs,VIS,Fe I,6096.66,3.98,Y,1,3.9840,-1.830,963.250,156,False,"Jofre+2014 (Table 4) code 156; line list GES-v3 (Heiter+ 2014, in prep); code decoder did not typeset in arXiv:1309.1099v2",4,5,37.80,38.90,38.30,-5.2076,-5.1951,-5.2019,pass,6096.6640,3.9840,4.00,-1.8300,MRW,OTHER,,-1.8300,+0.0000,+0.0000,
gbs,VIS,Fe I,6127.91,4.14,Y,1,4.1430,-1.399,0.000,102,False,"Jofre+2014 (Table 4) code 102; line list GES-v3 (Heiter+ 2014, in prep); code decoder did not typeset in arXiv:1309.1099v2",3,3,44.00,49.70,47.70,-5.1439,-5.0910,-5.1088,pass,6127.9060,4.1430,4.00,-1.3990,VALD3,VALD3,,-1.3990,+0.0000,+0.0000,
gbs,VIS,Fe I,6136.99,2.20,Y,1,2.1980,-2.941,280.265,102,False,"Jofre+2014 (Table 4) code 102; line list GES-v3 (Heiter+ 2014, in prep); code decoder did not typeset in arXiv:1309.1099v2",4,4,65.60,69.80,67.62,-4.9711,-4.9441,-4.9578,pass,6136.9940,2.1980,4.00,-2.9508,NIST-C+ T4187,NIST-C+,B,-2.9500,+0.0098,+0.0090,
gbs,VIS,Fe I,6151.62,2.18,Y,1,2.1760,-3.312,277.263,102,False,"Jofre+2014 (Table 4) code 102; line list GES-v3 (Heiter+ 2014, in prep); code decoder did not typeset in arXiv:1309.1099v2",4,5,50.32,50.90,50.66,-5.0872,-5.0823,-5.0844,pass,6151.6170,2.1760,3.00,-3.2988,NIST-C+ T4187,NIST-C+,B,-3.2950,-0.0132,-0.0170,
gbs,VIS,Fe I,6165.36,4.14,Y,1,4.1430,-1.473,380.250,102,False,"Jofre+2014 (Table 4) code 102; line list GES-v3 (Heiter+ 2014, in prep); code decoder did not typeset in arXiv:1309.1099v2",5,5,46.00,46.90,46.32,-5.1272,-5.1188,-5.1242,pass,6165.3600,4.1430,0.00,-1.4737,NIST-C+ T5720,NIST-C+,C+,-1.4730,+0.0007,+0.0000,
gbs,VIS,Fe I,6173.33,2.22,Y,1,2.2230,-2.880,281.266,102,False,"Jofre+2014 (Table 4) code 102; line list GES-v3 (Heiter+ 2014, in prep); code decoder did not typeset in arXiv:1309.1099v2",4,5,68.45,69.30,68.86,-4.9551,-4.9498,-4.9525,pass,6173.3340,2.2230,4.00,-2.8804,NIST-C+ T4187,NIST-C+,B,-2.8800,+0.0004,+0.0000,
gbs,VIS,Fe I,6187.99,3.94,Y,1,3.9430,-1.620,903.244,156,False,"Jofre+2014 (Table 4) code 156; line list GES-v3 (Heiter+ 2014, in prep); code decoder did not typeset in arXiv:1309.1099v2",5,6,48.60,49.60,49.08,-5.1049,-5.0961,-5.1006,pass,6187.9890,3.9430,1.00,-1.6200,MRW,OTHER,,-1.6200,+0.0000,+0.0000,
gbs,VIS,Fe I,6200.31,2.61,Y,1,2.6080,-2.405,350.235,102,False,"Jofre+2014 (Table 4) code 102; line list GES-v3 (Heiter+ 2014, in prep); code decoder did not typeset in arXiv:1309.1099v2",3,4,74.80,75.10,74.97,-4.9185,-4.9168,-4.9175,pass,6200.3120,2.6090,2.00,-2.4371,NIST-C+ T4293,NIST-C+,C+,-2.4330,+0.0321,+0.0280,
gbs,VIS,Fe I,6213.43,2.22,N,1,,,,,False,NOT PUBLISHED IN TABLES 4/5,3,3,83.50,84.30,83.87,-4.8716,-4.8675,-4.8697,pass,6213.4290,2.2230,1.00,-2.4810,BWL,OTHER,,-2.4810,,,
gbs,VIS,Fe I,6219.28,2.20,Y,1,2.1980,-2.434,278.264,102,False,"Jofre+2014 (Table 4) code 102; line list GES-v3 (Heiter+ 2014, in prep); code decoder did not typeset in arXiv:1309.1099v2",5,5,89.80,91.71,90.72,-4.8405,-4.8313,-4.8360,pass,6219.2800,2.1980,0.00,-2.4330,NIST-C+ T4187,NIST-C+,B,-2.4320,-0.0010,-0.0020,
gbs,VIS,Fe I,6226.73,3.88,Y,1,3.8830,-2.120,845.244,156,False,"Jofre+2014 (Table 4) code 156; line list GES-v3 (Heiter+ 2014, in prep); code decoder did not typeset in arXiv:1309.1099v2",5,5,28.02,29.40,28.50,-5.3468,-5.3259,-5.3394,pass,6226.7340,3.8840,4.00,-2.1200,MRW,OTHER,,-2.1200,+0.0000,+0.0000,
gbs,VIS,Fe I,6229.23,2.85,N,1,,,,,False,NOT PUBLISHED IN TABLES 4/5,3,3,37.80,38.60,38.20,-5.2169,-5.2078,-5.2124,pass,6229.2260,2.8450,4.00,-2.8050,BKK,OTHER,,-2.8050,,,
gbs,VIS,Fe I,6232.64,3.65,N,1,,,,,False,NOT PUBLISHED IN TABLES 4/5,3,3,82.80,87.20,84.43,-4.8766,-4.8542,-4.8682,pass,6232.6400,3.6540,0.00,-1.2400,PRIMARY LAB DenHartog2014,LAB,,-1.2350,,,
gbs,VIS,Fe I,6240.65,2.22,Y,1,2.2230,-3.203,301.272,102,False,"Jofre+2014 (Table 4) code 102; line list GES-v3 (Heiter+ 2014, in prep); code decoder did not typeset in arXiv:1309.1099v2",3,3,49.20,49.60,49.33,-5.1033,-5.0997,-5.1021,pass,6240.6460,2.2230,4.00,-3.2330,VALD3,VALD3,,-3.2300,+0.0300,+0.0270,
gbs,VIS,Fe I,6246.32,3.60,Y,1,3.6020,-0.805,820.246,102,False,"Jofre+2014 (Table 4) code 102; line list GES-v3 (Heiter+ 2014, in prep); code decoder did not typeset in arXiv:1309.1099v2",4,5,108.10,135.55,117.76,-4.7618,-4.6635,-4.7246,excluded,6246.3180,3.6030,2.00,-0.7700,PRIMARY LAB DenHartog2014,LAB,,-0.7710,-0.0350,-0.0340,
gbs,VIS,Fe I,6252.56,2.40,Y,1,2.4040,-1.727,326.245,102,False,"Jofre+2014 (Table 4) code 102; line list GES-v3 (Heiter+ 2014, in prep); code decoder did not typeset in arXiv:1309.1099v2",4,5,115.30,131.72,121.08,-4.7342,-4.6764,-4.7130,excluded,6252.5550,2.4040,5.00,-1.6874,NIST-C+ T4187,NIST-C+,B,-1.6990,-0.0396,-0.0280,
gbs,VIS,Fe I,6265.13,2.18,Y,1,2.1760,-2.545,274.261,102,False,"Jofre+2014 (Table 4) code 102; line list GES-v3 (Heiter+ 2014, in prep); code decoder did not typeset in arXiv:1309.1099v2",4,5,86.30,87.30,86.83,-4.8609,-4.8559,-4.8583,pass,6265.1320,2.1760,2.00,-2.5496,NIST-C+ T4187,NIST-C+,B,-2.5500,+0.0046,+0.0050,
gbs,VIS,Fe I,6270.22,2.86,Y,1,2.8580,-2.536,350.249,102,False,"Jofre+2014 (Table 4) code 102; line list GES-v3 (Heiter+ 2014, in prep); code decoder did not typeset in arXiv:1309.1099v2",4,5,52.85,53.90,53.34,-5.0742,-5.0657,-5.0703,pass,6270.2230,2.8580,3.00,-2.4700,BKK+BWL,OTHER,,-2.4700,-0.0660,-0.0660,
gbs,VIS,Fe I,6271.28,3.33,Y,1,3.3320,-2.703,720.247,102,False,"Jofre+2014 (Table 4) code 102; line list GES-v3 (Heiter+ 2014, in prep); code decoder did not typeset in arXiv:1309.1099v2",3,4,23.60,24.60,24.10,-5.4244,-5.4064,-5.4153,pass,6271.2780,3.3320,2.00,-2.7033,NIST-C+ T6110,NIST-C+,C+,-2.7030,+0.0003,+0.0000,
gbs,VIS,Fe I,6297.79,2.22,Y,1,2.2230,-2.702,278.264,102,False,"Jofre+2014 (Table 4) code 102; line list GES-v3 (Heiter+ 2014, in prep); code decoder did not typeset in arXiv:1309.1099v2",4,4,76.76,77.40,77.04,-4.9141,-4.9104,-4.9125,pass,6297.7930,2.2230,3.00,-2.7397,NIST-C+ T4187,NIST-C+,B,-2.7370,+0.0377,+0.0350,
gbs,VIS,Fe I,6301.50,3.65,Y,1,3.6540,-0.718,0.000,102,False,"Jofre+2014 (Table 4) code 102; line list GES-v3 (Heiter+ 2014, in prep); code decoder did not typeset in arXiv:1309.1099v2",3,3,109.20,139.05,119.38,-4.7612,-4.6563,-4.7225,excluded,6301.5000,3.6540,0.00,-0.7100,PRIMARY LAB DenHartog2014,LAB,,-0.7200,-0.0080,+0.0020,
gbs,VIS,Fe I,6315.81,4.08,Y,1,4.0760,-1.610,410.250,156,False,"Jofre+2014 (Table 4) code 156; line list GES-v3 (Heiter+ 2014, in prep); code decoder did not typeset in arXiv:1309.1099v2",4,4,42.40,43.20,42.88,-5.1731,-5.1649,-5.1682,pass,6315.8110,4.0760,1.00,-1.6300,PRIMARY LAB Ruffoni2014,LAB,,-1.6300,+0.0200,+0.0200,
gbs,VIS,Fe I,6322.69,2.59,Y,1,2.5880,-2.448,345.238,102,False,"Jofre+2014 (Table 4) code 102; line list GES-v3 (Heiter+ 2014, in prep); code decoder did not typeset in arXiv:1309.1099v2",5,5,76.77,78.40,77.39,-4.9157,-4.9066,-4.9122,pass,6322.6850,2.5880,5.00,-2.4257,NIST-C+ T4293,NIST-C+,C+,-2.4300,-0.0223,-0.0180,
gbs,VIS,Fe I,6330.85,4.73,N,1,,,,,False,NOT PUBLISHED IN TABLES 4/5,3,3,32.80,33.40,33.13,-5.2856,-5.2777,-5.2812,pass,6330.8480,4.7330,2.00,-1.6400,MRW,OTHER,,-1.6400,,,
gbs,VIS,Fe I,6335.33,2.20,Y,1,2.1980,-2.177,275.261,102,False,"Jofre+2014 (Table 4) code 102; line list GES-v3 (Heiter+ 2014, in prep); code decoder did not typeset in arXiv:1309.1099v2",4,5,97.20,105.40,99.55,-4.8141,-4.7789,-4.8037,ambiguous,6335.3300,2.1980,0.00,-2.1772,NIST-C+ T5720,NIST-C+,C+,-2.1770,+0.0002,+0.0000,
gbs,VIS,Fe I,6336.82,3.69,Y,1,3.6860,-0.856,845.240,102,False,"Jofre+2014 (Table 4) code 102; line list GES-v3 (Heiter+ 2014, in prep); code decoder did not typeset in arXiv:1309.1099v2",4,5,100.90,121.33,106.03,-4.7980,-4.7179,-4.7764,excluded,6336.8230,3.6860,3.00,-0.8500,PRIMARY LAB DenHartog2014,LAB,,-0.8520,-0.0060,-0.0040,
gbs,VIS,Fe I,6338.88,4.80,N,1,,,,,False,NOT PUBLISHED IN TABLES 4/5,3,3,43.50,43.80,43.70,-5.1635,-5.1605,-5.1615,pass,6338.8760,4.7960,4.00,-0.9600,MRW,OTHER,,-0.9600,,,
gbs,VIS,Fe I,6364.36,4.80,N,1,,,,,False,NOT PUBLISHED IN TABLES 4/5,3,3,28.10,28.30,28.23,-5.3550,-5.3520,-5.3530,pass,6364.3640,4.7960,4.00,-1.3300,MRW,OTHER,,-1.3300,,,
