element,ion,wavelength_air_A,instrument,ew_mA,ew_method,abundance,rew,treatment,in_aggregate,excluded_reason,ep_eV,ew_inversion,sigma_A,frac_rise_weaker,edge_distance_dex,red_chi2
Fe,I,10065.045,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule)",7.547,,1D-LTE,True,,4.8349,False,0.033911467132018265,1.3473188392276159,3.0508915541110593,63.286
Fe,I,10145.561,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule)",7.452,,1D-LTE,True,,4.7955,False,0.09989415991944485,1.526944724049263,2.9557712651208456,72.074
Fe,I,10216.313,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule)",7.5,,1D-LTE,True,,4.7331,False,0.07408628045673837,2.947038590532337,3.004372546079611,45.772
Fe,I,10340.885,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule)",7.446,,1D-LTE,True,,2.1979,False,0.08407879379338876,0.7008948366950876,2.9500569045729312,45.42
Fe,I,10347.965,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule)",7.306,,1D-LTE,True,,5.3933,False,0.011353464950277944,20.508133359907273,2.8097481964005855,0.804
Fe,I,10395.794,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule)",7.492,,1D-LTE,True,,2.1759,False,0.05206907625336829,2.7876699438830226,2.9962089564262095,17.971
Fe,I,10423.743,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule)",7.385,,1D-LTE,True,,3.0713,False,0.06843184270999544,0.4707205948406668,2.889284034631414,46.175
Fe,I,10469.652,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule)",7.437,,1D-LTE,True,,3.8835,False,0.10908191068415543,1.687585074784447,2.940798878088909,48.401
Fe,I,10532.234,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule)",7.353,,1D-LTE,True,,3.9286,False,0.026594538393302232,12.004701649443785,2.8566236609045212,4.071
Fe,I,10717.806,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule)",6.449,,1D-LTE,True,,5.5392,False,0.27850866376073485,0.01564407748900503,1.9533422930310458,48.54
Fe,I,10753.004,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule)",7.272,,1D-LTE,True,,3.9597,False,0.018360171595981238,10.392622636671733,2.77589578163583,2.078
Fe,I,10783.05,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule)",7.324,,1D-LTE,True,,3.111,False,0.04000788100370038,2.908419336147844,2.8280922546040648,10.559
Fe,I,10818.274,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule)",7.296,,1D-LTE,True,,3.9597,False,0.10143596332344856,0.3375729062672577,2.799960328765775,49.907
Fe,I,10863.518,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule)",7.689,,1D-LTE,True,,4.7331,False,0.03773848756441906,8.40218570503346,3.1929524390180735,7.142
Fe,I,10884.263,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule)",7.308,,1D-LTE,True,,3.9286,False,0.04525508164056226,1.6655758832240035,2.8124638386065772,11.69
