loggf_reference,rows,nist_derived
K10,799,no
NIST10,793,YES
VALD3,321,no
K14,315,no
KP,275,no
BRW,36,no
WSG,26,no
KOH,12,no
GUES,11,no
KCN,6,no
NIST ASD v5.11 grade A+,3,YES
KCO,3,no
1993A&AS..,2,no
NIST ASD v5.11 grade B,1,YES
K14P,1,no
MCa,1,no
"NIST ASD v5.11 grade A (Storey & Zeippen 2000, MNRAS 312, 813)",1,YES
