species,wavelength_A,fik,aki_s-1,gi,bogus_log_gf,nist_grade,reason
C II,3085.9390,1.1000E+07,1.8000E+06,6.0,7.8195,E,f_ik exceeds the sum-rule bound; not an oscillator strength -- column meaning unknown
C II,3087.1000,1.2000E+07,2.9000E+06,4.0,7.6812,E,f_ik exceeds the sum-rule bound; not an oscillator strength -- column meaning unknown
C II,3087.9500,1.0000E+07,5.0000E+06,2.0,7.3010,E,f_ik exceeds the sum-rule bound; not an oscillator strength -- column meaning unknown
C II,3088.4700,1.0000E+07,5.0000E+06,4.0,7.6021,E,f_ik exceeds the sum-rule bound; not an oscillator strength -- column meaning unknown
C II,3159.6500,7.0000E+06,1.1000E+06,6.0,7.6232,E,f_ik exceeds the sum-rule bound; not an oscillator strength -- column meaning unknown
C II,3846.5100,4.0000E+06,2.2000E+06,4.0,7.2041,E,f_ik exceeds the sum-rule bound; not an oscillator strength -- column meaning unknown
C II,3850.4170,7.0000E+06,1.7000E+06,6.0,7.6232,E,f_ik exceeds the sum-rule bound; not an oscillator strength -- column meaning unknown
C II,3853.3470,3.3000E+06,5.0000E+05,8.0,7.4216,E,f_ik exceeds the sum-rule bound; not an oscillator strength -- column meaning unknown
C II,4001.8480,3.7000E+06,6.0000E+05,4.0,7.1703,E,f_ik exceeds the sum-rule bound; not an oscillator strength -- column meaning unknown
C II,4293.9170,2.0000E+06,3.3000E+05,4.0,6.9031,E,f_ik exceeds the sum-rule bound; not an oscillator strength -- column meaning unknown
C II,4318.2650,2.6000E+06,3.2000E+05,6.0,7.1931,E,f_ik exceeds the sum-rule bound; not an oscillator strength -- column meaning unknown
C II,4324.1710,2.1000E+06,3.5000E+05,4.0,6.9243,E,f_ik exceeds the sum-rule bound; not an oscillator strength -- column meaning unknown
C II,4490.7540,1.4000E+06,1.8000E+05,6.0,6.9243,E,f_ik exceeds the sum-rule bound; not an oscillator strength -- column meaning unknown
C II,4601.8000,3.3000E+06,6.0000E+05,8.0,7.4216,E,f_ik exceeds the sum-rule bound; not an oscillator strength -- column meaning unknown
C II,4634.5750,5.0000E+06,6.0000E+05,8.0,7.6021,E,f_ik exceeds the sum-rule bound; not an oscillator strength -- column meaning unknown
C II,4732.0400,1.2000E+06,1.2000E+05,8.0,6.9823,E,f_ik exceeds the sum-rule bound; not an oscillator strength -- column meaning unknown
C II,5039.6390,2.3000E+06,3.9000E+05,4.0,6.9638,E,f_ik exceeds the sum-rule bound; not an oscillator strength -- column meaning unknown
C II,5043.5820,3.8000E+06,9.0000E+05,2.0,6.8808,E,f_ik exceeds the sum-rule bound; not an oscillator strength -- column meaning unknown
C II,5207.9770,8.0000E+05,2.0000E+05,6.0,6.6812,E,f_ik exceeds the sum-rule bound; not an oscillator strength -- column meaning unknown
C II,5270.6200,1.1000E+06,1.8000E+05,4.0,6.6435,E,f_ik exceeds the sum-rule bound; not an oscillator strength -- column meaning unknown
C II,5280.1600,1.9000E+06,5.0000E+05,2.0,6.5798,E,f_ik exceeds the sum-rule bound; not an oscillator strength -- column meaning unknown
C II,5718.0300,8.0000E+05,4.0000E+05,2.0,6.2041,E,f_ik exceeds the sum-rule bound; not an oscillator strength -- column meaning unknown
C II,5776.0100,2.7000E+06,1.3000E+06,2.0,6.7324,E,f_ik exceeds the sum-rule bound; not an oscillator strength -- column meaning unknown
C II,2038.3400,2.0000E+07,5.0000E+06,4.0,7.9031,E,f_ik exceeds the sum-rule bound; not an oscillator strength -- column meaning unknown
C II,2039.0520,5.0000E+07,8.0000E+06,6.0,8.4771,E,f_ik exceeds the sum-rule bound; not an oscillator strength -- column meaning unknown
C II,2039.3800,1.7000E+07,4.0000E+06,6.0,8.0086,E,f_ik exceeds the sum-rule bound; not an oscillator strength -- column meaning unknown
C II,2040.5650,1.4000E+07,2.3000E+06,8.0,8.0492,E,f_ik exceeds the sum-rule bound; not an oscillator strength -- column meaning unknown
C II,2441.8300,2.5000E+07,3.1000E+06,6.0,8.1761,E,f_ik exceeds the sum-rule bound; not an oscillator strength -- column meaning unknown
C II,2441.8700,1.3000E+07,3.2000E+06,4.0,7.7160,E,f_ik exceeds the sum-rule bound; not an oscillator strength -- column meaning unknown
C II,2442.0000,2.6000E+07,3.3000E+06,6.0,8.1931,E,f_ik exceeds the sum-rule bound; not an oscillator strength -- column meaning unknown
C II,2443.2000,9.0000E+06,1.1000E+06,8.0,7.8573,E,f_ik exceeds the sum-rule bound; not an oscillator strength -- column meaning unknown
C II,2444.5930,2.0000E+07,2.0000E+06,10.0,8.3010,E,f_ik exceeds the sum-rule bound; not an oscillator strength -- column meaning unknown
C II,2491.2100,3.8000E+07,9.0000E+06,4.0,8.1818,E,f_ik exceeds the sum-rule bound; not an oscillator strength -- column meaning unknown
C II,2491.5000,1.0000E+07,1.3000E+06,8.0,7.9031,E,f_ik exceeds the sum-rule bound; not an oscillator strength -- column meaning unknown
C II,2491.7000,1.5000E+07,1.9000E+06,8.0,8.0792,E,f_ik exceeds the sum-rule bound; not an oscillator strength -- column meaning unknown
C II,2597.6600,7.0000E+06,9.0000E+05,8.0,7.7482,E,f_ik exceeds the sum-rule bound; not an oscillator strength -- column meaning unknown
C II,2820.3300,6.0000E+06,1.6000E+06,6.0,7.5563,E,f_ik exceeds the sum-rule bound; not an oscillator strength -- column meaning unknown
C II,2885.7270,2.6000E+07,3.2000E+06,8.0,8.3181,E,f_ik exceeds the sum-rule bound; not an oscillator strength -- column meaning unknown
C II,2885.9500,5.0000E+06,1.4000E+06,6.0,7.4771,E,f_ik exceeds the sum-rule bound; not an oscillator strength -- column meaning unknown
