line_id,species,wavelength_air_A,wavelength_vac_A,EP_eV,our_log_gf,our_tier,match,primary_log_gf,delta_dex,primary_label,primary_source,graded
gf_006192,CH,4225.2821,4226.4721,0.3583,-2.9998,VALD3,ABSENT,,,,,NO
gf_006193,CH,4225.448,4226.6380,0.4314,-3.894,VALD3,UNIQUE,-3.8891,-0.0049,R  0.00000,data/reference/cno_molecular_primary/ch_masseron2014/table14.dat.gz,YES
gf_006194,CH,4225.787,4226.9771,0.4316,-3.869,VALD3,UNIQUE,-3.8643,-0.0047,R  0.00000,data/reference/cno_molecular_primary/ch_masseron2014/table14.dat.gz,YES
gf_006195,CH,4226.4887,4227.6790,0.7331,-1.0686,VALD3,AMBIGUOUS(2),,,,,NO
gf_006196,CH,4226.8294,4228.0198,0.7298,-3.0193,VALD3,ABSENT,,,,,NO
gf_006197,CH,4227.935,4229.1257,0.734,-1.069,VALD3,AMBIGUOUS(2),,,,,NO
gf_006198,CH,4228.2597,4229.4505,0.7308,-3.0193,VALD3,ABSENT,,,,,NO
gf_006199,CH,4229.791,4230.9822,0.3121,-1.388,VALD3,UNIQUE,-1.3833,-0.0047,R  0.01838,data/reference/cno_molecular_primary/ch_masseron2014/table14.dat.gz,YES
gf_006200,CH,4229.9075,4231.0987,0.3122,-1.3568,VALD3,AMBIGUOUS(2),,,,,NO
gf_006201,CH,4230.204,4231.3953,0.3103,-3.337,VALD3,ABSENT,,,,,NO
gf_006202,CH,4230.317,4231.5083,0.3104,-3.31,VALD3,ABSENT,,,,,NO
gf_006203,CH,4231.0184,4232.2099,0.313,-1.0715,VALD3,AMBIGUOUS(2),,,,,NO
gf_006204,CH,4231.416,4232.6076,0.3111,-3.0223,VALD3,ABSENT,,,,,NO
gf_006205,CH,4231.6377,4232.8294,0.6846,-1.0893,VALD3,AMBIGUOUS(2),,,,,NO
gf_006206,CH,4231.9588,4233.1506,0.6816,-3.0403,VALD3,ABSENT,,,,,NO
gf_006207,CH,4232.1852,4233.3770,1.8455,-2.095,VALD3,AMBIGUOUS(2),,,,,NO
gf_006208,CH,4232.248,4233.4398,0.0718,-3.819,VALD3,UNIQUE,-3.8136,-0.0054,R  0.00000,data/reference/cno_molecular_primary/ch_masseron2014/table14.dat.gz,YES
gf_006209,CH,4232.51,4233.7019,0.072,-3.796,VALD3,UNIQUE,-3.7915,-0.0045,R  0.00000,data/reference/cno_molecular_primary/ch_masseron2014/table14.dat.gz,YES
gf_006210,CH,4232.9189,4234.1109,0.6855,-1.0892,VALD3,AMBIGUOUS(2),,,,,NO
gf_006211,CH,4233.2282,4234.4203,0.6825,-3.0403,VALD3,ABSENT,,,,,NO
gf_006212,CH,4235.016,4236.2086,1.8475,-2.357,VALD3,AMBIGUOUS(2),,,,,NO
gf_006213,CH,4235.169,4236.3616,1.8476,-2.439,VALD3,UNIQUE,-2.4339,-0.0051,P  0.00000,data/reference/cno_molecular_primary/ch_masseron2014/table14.dat.gz,YES
gf_006214,CH,4235.611,4236.8037,0.4079,-3.819,VALD3,UNIQUE,-3.8144,-0.0046,R  0.00000,data/reference/cno_molecular_primary/ch_masseron2014/table14.dat.gz,YES
gf_006215,CH,4235.864,4237.0568,0.4081,-3.798,VALD3,UNIQUE,-3.7926,-0.0054,R  0.00000,data/reference/cno_molecular_primary/ch_masseron2014/table14.dat.gz,YES
