line_id,species,wavelength_air_A,EP_eV,match,nist_grade,gf_sigma_dex,our_log_gf,nist_log_gf,delta_dex,action
gf_001628,C I,4935.3993,8.643,ABSENT,,,-0.6615,,,no evidence attached
gf_001629,C I,4940.433,8.537,ABSENT,,,-3.645,,,no evidence attached
gf_001630,C I,4941.907,7.48,ABSENT,,,-4.061,,,no evidence attached
gf_001631,C I,4942.001,8.537,ABSENT,,,-2.899,,,no evidence attached
gf_001632,C I,4942.43,8.647,ABSENT,,,-1.318,,,no evidence attached
gf_001633,C I,4943.347,8.537,ABSENT,,,-2.723,,,no evidence attached
gf_001634,C I,4943.5643,8.647,ABSENT,,,-0.3551,,,no evidence attached
gf_001635,C I,4944.982,8.64,ABSENT,,,-1.936,,,no evidence attached
gf_001636,C I,4946.604,7.483,ABSENT,,,-3.913,,,no evidence attached
gf_001637,C I,4949.647,8.537,ABSENT,,,-2.361,,,no evidence attached
gf_001638,C I,4950.172,8.643,ABSENT,,,-0.763,,,no evidence attached
gf_001639,C I,4950.518,8.643,ABSENT,,,-0.453,,,no evidence attached
gf_001640,C I,4958.711,8.647,ABSENT,,,-3.033,,,no evidence attached
gf_001641,C I,4975.274,8.64,ABSENT,,,-2.782,,,no evidence attached
gf_001642,C I,4977.848,8.64,ABSENT,,,-2.667,,,no evidence attached
gf_001643,C I,4980.528,8.643,ABSENT,,,-2.363,,,no evidence attached
gf_001644,C I,4981.536,8.643,ABSENT,,,-2.714,,,no evidence attached
gf_001645,C I,4983.0265,8.643,ABSENT,,,-1.7942,,,no evidence attached
gf_001646,C I,4989.832,8.647,ABSENT,,,-2.707,,,no evidence attached
gf_001647,C I,4991.3761,8.647,ABSENT,,,-1.6929,,,no evidence attached
gf_001648,C I,4997.234,8.643,ABSENT,,,-2.435,,,no evidence attached
gf_001649,C I,4998.418,8.643,ABSENT,,,-1.653,,,no evidence attached
gf_001650,C I,5006.77,8.647,ABSENT,,,-3.576,,,no evidence attached
gf_001651,C I,5011.263,7.946,UNIQUE,C,0.1249,-3.729,-3.7235,-0.0055,evidence attached; log_gf UNCHANGED
gf_001652,C I,5012.0191,7.946,UNIQUE,C,0.1249,-2.984,-3.0315,+0.0475,evidence attached; log_gf UNCHANGED
gf_001653,C I,5012.2779,7.946,UNIQUE,C,0.1249,-2.9985,-3.0969,+0.0984,evidence attached; log_gf UNCHANGED
gf_001654,C I,5017.085,7.946,UNIQUE,C,0.1249,-2.4444,-2.4559,+0.0115,evidence attached; log_gf UNCHANGED
gf_001655,C I,5017.786,7.946,UNIQUE,C,0.1249,-3.23,-3.2218,-0.0082,evidence attached; log_gf UNCHANGED
gf_001656,C I,5018.0652,7.946,UNIQUE,C,0.1249,-2.8165,-2.8386,+0.0221,evidence attached; log_gf UNCHANGED
gf_001657,C I,5023.8421,7.946,UNIQUE,C,0.1249,-2.2031,-2.2104,+0.0073,evidence attached; log_gf UNCHANGED
gf_001658,C I,5024.919,7.946,UNIQUE,C,0.1249,-2.728,-2.7328,+0.0048,evidence attached; log_gf UNCHANGED
gf_001659,C I,5039.0581,7.946,UNIQUE,C,0.1249,-1.7794,-1.7932,+0.0138,evidence attached; log_gf UNCHANGED
