wavelength_air_A,flux_normalized
1.503227360036476784e+04,9.580855996070006819e-01
1.503232536398351840e+04,9.519743150611820193e-01
1.503237712662631566e+04,9.527522135600794417e-01
1.503242888829312506e+04,9.470285965805114170e-01
1.503248064898391021e+04,9.495780438165606352e-01
1.503253240869863657e+04,9.415596539280350896e-01
1.503258416743727139e+04,9.306170125865526055e-01
1.503263592519977647e+04,9.196241295251796899e-01
1.503268768198611542e+04,9.112187801204529869e-01
1.503273943779625552e+04,8.841464781295483855e-01
1.503279119263016401e+04,8.519723173031813479e-01
1.503284294648779905e+04,8.108624924358072139e-01
1.503289469936913338e+04,7.506847532671988565e-01
1.503294645127412514e+04,6.679546052319795812e-01
1.503299820220273978e+04,5.640916386584586828e-01
1.503304995215494455e+04,4.430404776642869469e-01
1.503310170113070126e+04,3.359208894987378846e-01
1.503315344912998262e+04,2.789568270360101021e-01
1.503320519615274316e+04,3.071901923227547404e-01
1.503325694219895740e+04,4.101466978087748849e-01
1.503330868726857443e+04,5.311805030006280237e-01
1.503336043136158150e+04,6.424083152349951975e-01
1.503341217447792405e+04,7.308061975561911394e-01
1.503346391661757661e+04,7.936586803787366584e-01
1.503351565778049917e+04,8.407472743687350869e-01
1.503356739796666443e+04,8.769669203684770098e-01
1.503361913717602874e+04,8.924847433134796004e-01
1.503367087540855937e+04,9.127430110977412525e-01
1.503372261266421992e+04,9.288752719192537866e-01
1.503377434894298131e+04,9.294536994216506809e-01
1.503382608424480168e+04,9.440981299033442964e-01
1.503387781856964648e+04,9.487246720045297010e-01
1.503392955191748842e+04,9.501282545924243372e-01
1.503398128428828204e+04,9.485073215552130010e-01
1.503403301568199640e+04,9.421726301082777866e-01
1.503408474609859331e+04,9.506178884877991564e-01
1.503413647553804367e+04,9.376197688451362033e-01
1.503418820400030927e+04,9.278850403763411192e-01
1.503423993148535192e+04,9.214843000779661120e-01
1.503429165799314069e+04,9.143086850797589316e-01
1.503434338352363557e+04,8.936980740841307114e-01
1.503439510807680745e+04,8.630372007144839763e-01
1.503444683165261995e+04,8.255627580040048041e-01
1.503449855425103306e+04,7.745707898082949683e-01
1.503455027587201403e+04,6.997192554096219874e-01
1.503460199651553194e+04,5.863478013658539600e-01
1.503465371618154859e+04,4.660532169856154150e-01
1.503470543487002578e+04,3.405534559273564743e-01
1.503475715258092896e+04,2.703410965985439951e-01
1.503480886931422174e+04,2.893748154452833177e-01
1.503486058506987683e+04,3.845560040867396223e-01
1.503491229984785423e+04,5.080574572057687810e-01
1.503496401364811572e+04,6.320255079341993154e-01
1.503501572647063040e+04,7.289116754855824443e-01
1.503506743831536005e+04,7.853471949292966103e-01
1.503511914918227376e+04,8.318910611319957349e-01
1.503517085907133151e+04,8.654539530600598995e-01
1.503522256798250055e+04,8.926541307858465446e-01
1.503527427591574269e+04,9.144504103901884839e-01
1.503532598287102883e+04,9.292650984649620804e-01
1.503537768884832076e+04,9.481433181412136646e-01
1.503542939384758029e+04,9.634465709291636371e-01
1.503548109786877103e+04,9.612309099702629478e-01
1.503553280091186753e+04,9.696862028423794966e-01
1.503558450297682612e+04,9.719486330185886924e-01
1.503563620406361588e+04,9.736476227332033773e-01
1.503568790417219861e+04,9.758358790697653218e-01
1.503573960330253612e+04,9.831369646629920522e-01
1.503579130145460113e+04,9.747727921565715326e-01
1.503584299862835724e+04,9.816695533377151062e-01
1.503589469482376080e+04,9.794169296956334314e-01
1.503594639004078272e+04,9.907157477332643181e-01
1.503599808427939024e+04,9.870028286495253766e-01
1.503604977753954518e+04,9.839102078524236683e-01
1.503610146982120932e+04,9.720546493360618934e-01
1.503615316112435175e+04,9.692627128787664192e-01
1.503620485144893610e+04,9.737836917838376127e-01
1.503625654079492961e+04,9.714957812494862122e-01
1.503630822916229408e+04,9.719209365244437793e-01
1.503635991655099315e+04,9.829511533739931917e-01
1.503641160296099042e+04,9.740337790342803448e-01
1.503646328839226044e+04,9.761583565436233734e-01
1.503651497284475772e+04,9.823696116142953683e-01
1.503656665631844953e+04,9.725463444176122296e-01
1.503661833881330494e+04,9.886148271307099167e-01
1.503667002032927849e+04,9.914832023121322724e-01
1.503672170086635015e+04,9.840933203240390670e-01
1.503677338042447445e+04,9.821811009562689820e-01
1.503682505900361866e+04,9.812922478549278571e-01
1.503687673660374458e+04,9.883146938021861727e-01
1.503692841322481581e+04,9.771436229837450194e-01
1.503698008886680691e+04,9.818205838419674647e-01
1.503703176352967603e+04,9.772941511542099224e-01
