species,element,ion,wavelength_air_A,excitation_potential_eV,log_gf,hfs_n_components,reference_code,gf_tier
Si I,Si,1,13852.9765,7.1343,-2.185,1,K07,KURUCZ
Ti I,Ti,1,13853.9268,4.6897,-0.23899999999999996,1,K16,KURUCZ
Fe I,Fe,1,13855.8661,6.6931,-1.418,1,K14,KURUCZ
Ti I,Ti,1,13858.6742,4.2131,-0.561,1,K16,KURUCZ
Ni I,Ni,1,13861.4807,5.4669,-2.177,1,K08,KURUCZ
Fe I,Fe,1,13861.693,6.3999,-1.994,1,K14,KURUCZ
Mn I,Mn,1,13864.220018636239,2.1782,-1.6499563523620888,10,VALD3,VALD3
Fe I,Fe,1,13865.2477,6.2003,-2.344,1,K14,KURUCZ
Ca I,Ca,1,13866.0458,4.6806,-2.344,1,K07,KURUCZ
Fe I,Fe,1,13866.317,6.3705,-1.823,1,K14,KURUCZ
Ca I,Ca,1,13866.8767,4.6802,-2.346,1,K07,KURUCZ
Fe I,Fe,1,13867.85,5.8492,-3.012,1,K14,KURUCZ
Fe I,Fe,1,13868.421399999997,6.2655,-2.218,1,K14,KURUCZ
