species,element,ion,wavelength_air_A,excitation_potential_eV,log_gf,hfs_n_components,reference_code,gf_tier
Ti I,Ti,1,13533.8783,4.6897,0.08000000000000002,1,K16,KURUCZ
Fe I,Fe,1,13534.5672,5.4781,-2.65,1,K14,KURUCZ
Fe I,Fe,1,13539.675899999998,4.0758,-4.127,1,K14,KURUCZ
Ni I,Ni,1,13541.497,6.1159,-0.715,1,K08,KURUCZ
Ti I,Ti,1,13543.2361,4.6897,-0.095,1,K16,KURUCZ
Fe I,Fe,1,13543.5241,6.7282,-1.783,1,K14,KURUCZ
Fe I,Fe,1,13544.2379,6.092,-2.791,1,K14,KURUCZ
Si I,Si,1,13545.1573,7.0693,-2.753,1,K07,KURUCZ
Mg I,Mg,1,13545.653,6.5161,-2.73,1,KP,OTHER
Fe I,Fe,1,13545.9924,6.3597,-2.058,1,K14,KURUCZ
Si I,Si,1,13549.6771,7.1343,-1.846,1,K07,KURUCZ
Ca I,Ca,1,13550.2134,6.0217,-1.242,1,K07,KURUCZ
Co I,Co,1,13550.5774,4.8163,-2.066,1,K08,KURUCZ
Co I,Co,1,13550.7013,4.8162,-2.171,1,K08,KURUCZ
Co I,Co,1,13550.8126,4.8162,-2.287,1,K08,KURUCZ
Fe I,Fe,1,13550.8856,5.8135,-2.698,1,K14,KURUCZ
Ti I,Ti,1,13550.9832,2.2393,-1.86,1,VALD3,VALD3
Co I,Co,1,13551.106929985037,4.816211111111111,-1.699802174339046,18,K08,KURUCZ
Fe I,Fe,1,13552.373499999998,0.0,-8.544,1,K14,KURUCZ
Ni I,Ni,1,13552.7612,5.3424,-0.00899999999999998,1,K08,KURUCZ
Fe II,Fe,2,13554.1963,3.9034,-5.495,1,RU,OTHER
Fe I,Fe,1,13555.650000000001,5.7005,-2.725,1,K14,KURUCZ
Ti I,Ti,1,13556.0636,3.5508,-1.571,1,K16,KURUCZ
Si I,Si,1,13556.6426,7.1079,-2.348,1,K07,KURUCZ
C I,C,1,13559.68,8.7711,-0.268,1,VALD3,VALD3
Ca I,Ca,1,13559.8807,6.0229,-0.536,1,K07,KURUCZ
Ni I,Ni,1,13559.973278609901,5.44705,-1.607400253872902,2,K08,KURUCZ
Fe I,Fe,1,13561.955700000002,5.4457,-3.173,1,K14,KURUCZ
Ni I,Ni,1,13562.9253,5.868,-1.887,1,K08,KURUCZ
Fe I,Fe,1,13566.68,5.8134,-2.232,1,K14,KURUCZ
Ca I,Ca,1,13567.9781,6.0229,-1.206,1,K07,KURUCZ
Fe I,Fe,1,13569.534199999998,6.7395,-1.841,1,K14,KURUCZ
S I,S,1,13571.0134,9.1643,-1.628,1,K04,KURUCZ
S I,S,1,13571.198,9.1643,-1.64,1,KP,OTHER
C I,C,1,13571.5,8.8481,-2.606,1,VALD3,VALD3
Fe I,Fe,1,13573.3276,6.4149,-2.168,1,K14,KURUCZ
Fe I,Fe,1,13575.5763,6.3666,-1.773,1,K14,KURUCZ
Ti I,Ti,1,13578.0839,3.5455,-1.668,1,K16,KURUCZ
Ni I,Ni,1,13579.4505,6.2169,-0.955,1,K08,KURUCZ
N I,N,1,13581.323,10.69,-0.499,1,VALD3,VALD3
C I,C,1,13581.34,8.7711,-0.738,1,VALD3,VALD3
Si I,Si,1,13581.4724,6.8031,-2.076,1,K07,KURUCZ
S I,S,1,13582.1367,9.165,-1.481,1,K04,KURUCZ
S I,S,1,13582.321,9.165,-1.5,1,KP,OTHER
Si I,Si,1,13584.0025,6.7271,-1.881,1,K07,KURUCZ
Si I,Si,1,13585.1229,7.1079,-1.806,1,K07,KURUCZ
Si I,Si,1,13585.671200000003,7.0693,-2.254,1,K07,KURUCZ
Fe I,Fe,1,13586.0313,5.8294,-3.091,1,K14,KURUCZ
Fe I,Fe,1,13587.1318,6.3981,-2.499,1,K14,KURUCZ
N I,N,1,13587.710000000001,12.0096,-0.155,1,VALD3,VALD3
Si I,Si,1,13588.066199999997,6.7206,-1.007,1,K07,KURUCZ
Mn I,Mn,1,13588.758961769505,2.9408,-2.1170496132398693,5,VALD3,VALD3
Mn I,Mn,1,13588.955428626807,2.9408,-2.1749654689521702,3,VALD3,VALD3
Fe I,Fe,1,13588.9823,6.3666,-1.834,1,K14,KURUCZ
Mn I,Mn,1,13589.168949340346,2.9408,-2.0660309465378024,2,VALD3,VALD3
Fe I,Fe,1,13591.238,5.8151,-2.889,1,K14,KURUCZ
Si I,Si,1,13591.8127,6.8031,-2.835,1,K07,KURUCZ
Fe I,Fe,1,13592.6886,6.1751,-1.856,1,K14,KURUCZ
Ni I,Ni,1,13596.2084,5.3053,-1.45,1,K08,KURUCZ
Fe I,Fe,1,13596.4617,6.2003,-2.228,1,K14,KURUCZ
Si I,Si,1,13597.3882,7.0917,-1.46,1,K07,KURUCZ
S I,S,1,13597.4585,8.9298,-1.521,1,K04,KURUCZ
Cr I,Cr,1,13598.1206,3.5561,-2.753,1,K16,KURUCZ
Ca I,Ca,1,13598.9881,6.0211,-0.89,1,K07,KURUCZ
Mn I,Mn,1,13600.37000728984,2.1636999999999995,-2.3298722586694365,15,VALD3,VALD3
Fe I,Fe,1,13600.6124,6.1751,-2.288,1,K14,KURUCZ
Ni I,Ni,1,13601.9078,6.0346,-0.873,1,K08,KURUCZ
Fe I,Fe,1,13602.2631,6.4149,-2.478,1,K14,KURUCZ
N I,N,1,13602.278,12.122,0.07300000000000001,1,VALD3,VALD3
Si I,Si,1,13603.2329,7.0693,-2.331,1,K07,KURUCZ
Fe I,Fe,1,13604.2103,6.368,-2.025,1,K14,KURUCZ
Fe I,Fe,1,13604.2177,5.6424,-2.916,1,K14,KURUCZ
Ti I,Ti,1,13604.5973,2.2497,-1.527,1,K16,KURUCZ
Fe I,Fe,1,13606.6007,6.1324,-2.735,1,K14,KURUCZ
Fe I,Fe,1,13606.8174,7.3085,-1.013,1,K14,KURUCZ
Si I,Si,1,13606.9118,6.1807,-2.919,1,K07,KURUCZ
Eu II,Eu,2,13607.018,2.0905,-1.0,1,MC,OTHER
Fe I,Fe,1,13608.451000000001,6.6768,-1.876,1,K14,KURUCZ
Fe I,Fe,1,13608.7604,6.3999,-1.761,1,K14,KURUCZ
Fe I,Fe,1,13609.7293,5.7926,-3.127,1,K14,KURUCZ
Ca I,Ca,1,13610.073900000001,6.0219,-0.709,1,K07,KURUCZ
Fe I,Fe,1,13611.4711,6.3685,-2.493,1,K14,KURUCZ
Si I,Si,1,13611.9938,7.0644,-2.344,1,K07,KURUCZ
Fe I,Fe,1,13612.0197,6.092,-2.865,1,K14,KURUCZ
Ni I,Ni,1,13613.8103,6.2164,-1.694,1,K08,KURUCZ
Si I,Si,1,13616.0056,6.6161,-3.107,1,K07,KURUCZ
Fe I,Fe,1,13618.979,6.2517,-2.649,1,K14,KURUCZ
Si I,Si,1,13619.209,6.7271,-2.301,1,K07,KURUCZ
Fe I,Fe,1,13619.272099999998,6.4496,-2.286,1,K14,KURUCZ
Si I,Si,1,13620.584,6.7271,-0.962,1,K07,KURUCZ
Ni I,Ni,1,13623.0631,5.868,-1.831,1,K08,KURUCZ
N I,N,1,13624.208,12.1264,0.346,1,VALD3,VALD3
Mn I,Mn,1,13626.853691029006,2.1636999999999995,-1.1962428353220487,30,K07,KURUCZ
Fe I,Fe,1,13629.75,6.2858,-2.469,1,K14,KURUCZ
Si I,Si,1,13630.589899999999,7.0693,-2.509,1,K07,KURUCZ
Si I,Si,1,13631.2906,6.7341,-2.306,1,K07,KURUCZ
Ca I,Ca,1,13631.6753,6.0218,-1.325,1,K07,KURUCZ
Si I,Si,1,13631.9356,6.1248,-0.458,1,K07,KURUCZ
Fe I,Fe,1,13632.013599999998,6.7799,-2.17,1,K14,KURUCZ
Fe I,Fe,1,13632.1419,5.0117,-3.627,1,K14,KURUCZ
Si I,Si,1,13640.681300000002,4.9538,-3.744,1,K07,KURUCZ
Fe I,Fe,1,13641.4593,6.3705,-2.035,1,K14,KURUCZ
Fe I,Fe,1,13642.619100000002,5.4581,-3.459,1,K14,KURUCZ
