wavenumber_cm-1,wavelength_vac_A,wavelength_air_A,intensity
4255.405,23499.5259,23493.1145,0.995395
4255.41,23499.4983,23493.0869,0.994593
4255.415,23499.4707,23493.0593,0.994036
4255.42,23499.4431,23493.0317,0.993775
4255.425,23499.4155,23493.0041,0.993833
4255.43,23499.3878,23492.9765,0.994203
4255.435,23499.3602,23492.9489,0.994831
4255.44,23499.3326,23492.9213,0.995635
4255.445,23499.305,23492.8937,0.996505
4255.45,23499.2774,23492.8661,0.997332
4255.455,23499.2498,23492.8385,0.998008
4255.46,23499.2222,23492.8109,0.998461
4255.465,23499.1946,23492.7833,0.998655
4255.47,23499.167,23492.7557,0.998598
4255.475,23499.1393,23492.7281,0.998342
4255.48,23499.1117,23492.7005,0.997975
4255.485,23499.0841,23492.6729,0.997596
4255.49,23499.0565,23492.6453,0.997307
4255.495,23499.0289,23492.6177,0.997192
4255.5,23499.0013,23492.5901,0.997301
4255.505,23498.9737,23492.5625,0.997645
4255.51,23498.9461,23492.5349,0.998198
4255.515,23498.9185,23492.5073,0.998897
4255.52,23498.8909,23492.4797,0.99966
4255.525,23498.8632,23492.4521,1.000398
4255.53,23498.8356,23492.4245,1.001024
4255.535,23498.808,23492.3969,1.001476
4255.54,23498.7804,23492.3693,1.001721
4255.545,23498.7528,23492.3417,1.001762
4255.55,23498.7252,23492.3141,1.001638
4255.555,23498.6976,23492.2865,1.001412
4255.56,23498.67,23492.2589,1.001165
4255.565,23498.6424,23492.2312,1.000982
4255.57,23498.6148,23492.2036,1.000935
4255.575,23498.5871,23492.176,1.001069
4255.58,23498.5595,23492.1484,1.001405
4255.585,23498.5319,23492.1208,1.001924
4255.59,23498.5043,23492.0932,1.002579
4255.595,23498.4767,23492.0656,1.003307
4255.6,23498.4491,23492.038,1.004023
4255.605,23498.4215,23492.0104,1.00465
4255.61,23498.3939,23491.9828,1.005114
4255.615,23498.3663,23491.9552,1.005363
4255.62,23498.3387,23491.9276,1.00536
4255.625,23498.3111,23491.9,1.005099
