wavenumber_cm-1,wavelength_vac_A,wavelength_air_A,solar,atmospheric,total
4255.31934,23499.9989,23493.5875,0.99602,0.91957,0.90983
4255.3291,23499.945,23493.5336,0.99426,0.90525,0.89329
4255.33838,23499.8938,23493.4823,0.9919,0.88658,0.87268
4255.34766,23499.8425,23493.4311,0.99715,0.86018,0.84943
4255.35742,23499.7886,23493.3772,0.99345,0.82778,0.81134
4255.3667,23499.7374,23493.326,0.98709,0.79405,0.77119
4255.37646,23499.6835,23493.2721,0.99765,0.75571,0.73996
4255.38574,23499.6323,23493.2209,0.99906,0.68806,0.67042
4255.39502,23499.581,23493.1696,1.0005,0.57507,0.55547
4255.40479,23499.5271,23493.1157,1.0019,0.52852,0.50971
4255.41406,23499.4759,23493.0645,1.0033,0.61554,0.60033
4255.42383,23499.4219,23493.0106,1.0047,0.73697,0.7259
4255.43311,23499.3707,23492.9594,1.0023,0.7999,0.78932
4255.44238,23499.3195,23492.9082,0.98888,0.83947,0.82012
4255.45215,23499.2655,23492.8542,0.99402,0.86742,0.85467
4255.46143,23499.2143,23492.803,0.99479,0.88567,0.87418
4255.47119,23499.1604,23492.7491,0.99114,0.89417,0.87819
4255.48047,23499.1091,23492.6979,0.99589,0.89779,0.88567
4255.48975,23499.0579,23492.6467,0.9966,0.90379,0.89342
4255.49951,23499.004,23492.5928,0.99208,0.91285,0.89877
4255.50879,23498.9528,23492.5416,0.99424,0.92106,0.90828
4255.51855,23498.8989,23492.4877,0.99635,0.92655,0.91547
4255.52783,23498.8476,23492.4364,0.99384,0.92905,0.91543
4255.5376,23498.7937,23492.3825,0.99512,0.92905,0.91564
4255.54688,23498.7424,23492.3313,0.99739,0.92846,0.91627
4255.55615,23498.6912,23492.2801,0.99578,0.9272,0.91318
4255.56592,23498.6373,23492.2262,0.99616,0.92386,0.9098
4255.5752,23498.586,23492.1749,0.99776,0.91929,0.90607
4255.58496,23498.5322,23492.1211,0.99635,0.91369,0.89787
4255.59424,23498.4809,23492.0698,0.99676,0.90485,0.88717
4255.60352,23498.4297,23492.0186,0.99895,0.89352,0.87602
4255.61328,23498.3758,23491.9647,0.9981,0.88295,0.86357
4255.62256,23498.3245,23491.9135,0.99837,0.87284,0.85144
4255.63232,23498.2706,23491.8596,1.0011,0.86039,0.83818
4255.6416,23498.2194,23491.8084,1.0001,0.84398,0.81814
4255.65088,23498.1682,23491.7572,0.99876,0.82176,0.79122
4255.66064,23498.1143,23491.7033,1.0018,0.7927,0.75937
4255.66992,23498.063,23491.6521,1.0032,0.75665,0.7192
4255.67969,23498.0091,23491.5981,1.0016,0.71217,0.66788
4255.68896,23497.9579,23491.547,0.99793,0.66044,0.60558
4255.69824,23497.9067,23491.4957,0.99426,0.59731,0.53158
4255.70801,23497.8527,23491.4418,0.99059,0.52196,0.44778
4255.71729,23497.8015,23491.3906,0.98692,0.44209,0.36194
4255.72705,23497.7476,23491.3367,0.98325,0.36909,0.28654
4255.73633,23497.6963,23491.2855,0.97958,0.32087,0.23967
4255.74609,23497.6425,23491.2316,0.9759,0.31933,0.2382
4255.75537,23497.5912,23491.1804,0.97223,0.36742,0.28236
4255.76465,23497.54,23491.1292,0.96856,0.44287,0.35517
4255.77441,23497.4861,23491.0753,0.96489,0.52348,0.43786
4255.78369,23497.4349,23491.0241,0.96122,0.59977,0.51815
4255.79346,23497.3809,23490.9701,0.95755,0.66392,0.58713
4255.80273,23497.3297,23490.919,0.95388,0.70839,0.63781
4255.81201,23497.2785,23490.8677,0.92632,0.75494,0.66932
4255.82178,23497.2245,23490.8138,0.90653,0.79165,0.69032
4255.83105,23497.1734,23490.7627,0.90052,0.82229,0.71333
4255.84082,23497.1194,23490.7087,0.91174,0.84633,0.74448
4255.8501,23497.0682,23490.6575,0.93577,0.86359,0.78137
4255.85938,23497.017,23490.6063,0.95867,0.87883,0.81846
4255.86914,23496.9631,23490.5524,0.9737,0.89342,0.85051
4255.87842,23496.9118,23490.5012,0.98516,0.9046,0.87473
4255.88818,23496.8579,23490.4473,0.99342,0.91337,0.89195
4255.89746,23496.8067,23490.3961,0.99525,0.92163,0.90393
4255.90674,23496.7555,23490.3449,0.99427,0.9278,0.91181
4255.9165,23496.7016,23490.291,0.9952,0.93123,0.91696
4255.92578,23496.6504,23490.2398,0.99616,0.93231,0.91871
4255.93555,23496.5964,23490.1859,0.99515,0.9298,0.91569
4255.94482,23496.5452,23490.1347,0.99411,0.92699,0.91299
4255.95459,23496.4913,23490.0808,0.99414,0.93132,0.91845
4255.96387,23496.4401,23490.0296,0.99446,0.94189,0.93002
4255.97314,23496.3889,23489.9784,0.99415,0.95057,0.9387
4255.98291,23496.335,23489.9245,0.99317,0.95454,0.94236
4255.99219,23496.2837,23489.8732,0.99289,0.95679,0.94526
4256.00195,23496.2298,23489.8194,0.99317,0.95969,0.9486
4256.01123,23496.1786,23489.7682,0.99242,0.96338,0.95138
4256.02051,23496.1274,23489.7169,0.99191,0.96668,0.95471
4256.03027,23496.0735,23489.6631,0.9935,0.96843,0.95864
4256.03955,23496.0223,23489.6119,0.99476,0.96944,0.96087
4256.04932,23495.9683,23489.5579,0.99371,0.971,0.96154
4256.05859,23495.9171,23489.5068,0.99269,0.97273,0.96269
4256.06787,23495.8659,23489.4556,0.9927,0.97363,0.96344
4256.07764,23495.812,23489.4016,0.99247,0.97378,0.96288
4256.08691,23495.7608,23489.3505,0.99247,0.97429,0.96348
4256.09668,23495.7069,23489.2966,0.99249,0.97549,0.96532
4256.10596,23495.6556,23489.2453,0.99166,0.97579,0.96509
4256.11523,23495.6045,23489.1942,0.99182,0.97466,0.9637
4256.125,23495.5505,23489.1403,0.99295,0.97404,0.96379
4256.13428,23495.4993,23489.089,0.99268,0.97375,0.96341
4256.14404,23495.4454,23489.0352,0.99352,0.9716,0.962
4256.15332,23495.3942,23488.984,0.99615,0.96912,0.96151
4256.16309,23495.3403,23488.93,0.99397,0.96876,0.95943
4256.17236,23495.2891,23488.8789,0.98873,0.96817,0.95516
4256.18164,23495.2379,23488.8277,0.98964,0.96488,0.95308
4256.19141,23495.1839,23488.7738,0.99218,0.95997,0.94967
4256.20068,23495.1328,23488.7226,0.98805,0.95423,0.93975
4256.21045,23495.0788,23488.6687,0.98461,0.94889,0.93159
4256.21973,23495.0276,23488.6175,0.98736,0.94615,0.93097
4256.229,23494.9764,23488.5663,0.9897,0.94454,0.93052
4256.23877,23494.9225,23488.5124,0.99074,0.942,0.92884
4256.24805,23494.8713,23488.4612,0.99263,0.94031,0.92959
4256.25781,23494.8174,23488.4073,0.9922,0.93934,0.92826
4256.26709,23494.7662,23488.3561,0.9929,0.93586,0.92453
4256.27637,23494.7149,23488.3049,0.99638,0.9293,0.92062
4256.28613,23494.6611,23488.251,0.9929,0.91898,0.90751
4256.29541,23494.6098,23488.1998,0.98791,0.90256,0.88654
4256.30518,23494.5559,23488.1459,0.99472,0.87934,0.86766
4256.31445,23494.5047,23488.0947,0.99703,0.84186,0.82955
4256.32373,23494.4535,23488.0435,0.98658,0.7805,0.75802
4256.3335,23494.3996,23487.9896,0.98816,0.73125,0.70985
4256.34277,23494.3484,23487.9385,0.99011,0.75804,0.73902
4256.35254,23494.2945,23487.8846,0.99577,0.81513,0.80179
4256.36182,23494.2433,23487.8333,0.99872,0.83736,0.82641
4256.37158,23494.1894,23487.7795,0.99549,0.82882,0.81469
4256.38086,23494.1382,23487.7283,0.99297,0.82569,0.8103
4256.39014,23494.0869,23487.6771,0.99204,0.84445,0.82947
4256.3999,23494.0331,23487.6232,0.99221,0.87249,0.85875
4256.40918,23493.9818,23487.572,0.99145,0.89395,0.88095
4256.41895,23493.9279,23487.5181,0.99243,0.90199,0.8902
4256.42822,23493.8768,23487.4669,0.99452,0.90406,0.8933
4256.4375,23493.8255,23487.4157,0.99244,0.90949,0.89717
4256.44727,23493.7716,23487.3618,0.99172,0.91198,0.8999
4256.45654,23493.7204,23487.3107,0.99561,0.9061,0.89669
4256.46631,23493.6665,23487.2567,0.99474,0.8999,0.88885
4256.47559,23493.6153,23487.2055,0.99202,0.89415,0.88145
4256.48486,23493.5641,23487.1544,0.99499,0.88142,0.87132
4256.49463,23493.5102,23487.1005,0.99371,0.86497,0.8523
4256.50391,23493.459,23487.0493,0.99078,0.84648,0.83027
4256.51367,23493.4051,23486.9954,0.99761,0.818,0.80611
4256.52295,23493.3539,23486.9442,0.99622,0.78077,0.76552
4256.53223,23493.3027,23486.893,0.98657,0.73565,0.71136
4256.54199,23493.2488,23486.8392,0.98776,0.67533,0.6497
4256.55127,23493.1976,23486.7879,0.98894,0.57999,0.55253
4256.56104,23493.1437,23486.734,0.99013,0.45589,0.42926
4256.57031,23493.0925,23486.6829,0.99132,0.38425,0.35947
4256.58008,23493.0386,23486.629,0.9925,0.36488,0.34002
4256.58936,23492.9874,23486.5778,0.99369,0.28456,0.26149
4256.59863,23492.9362,23486.5266,0.99488,0.15867,0.14062
4256.6084,23492.8823,23486.4727,0.99607,0.15696,0.14024
4256.61768,23492.831,23486.4215,0.99725,0.31179,0.29152
4256.62744,23492.7772,23486.3677,0.99844,0.4769,0.45553
4256.63672,23492.726,23486.3165,0.99963,0.57958,0.56141
4256.646,23492.6747,23486.2653,1.0008,0.66094,0.64628
4256.65576,23492.6209,23486.2114,1.002,0.73088,0.71916
4256.66504,23492.5697,23486.1602,0.99569,0.77921,0.7647
4256.6748,23492.5158,23486.1064,0.99177,0.81583,0.79927
4256.68408,23492.4646,23486.0552,1.0003,0.84119,0.83257
4256.69336,23492.4134,23486.0039,0.99716,0.86472,0.85445
