wavenumber_cm-1,wavelength_vac_A,wavelength_air_A,telluric_ratio
4300.942127,23250.7197,23244.3761,0.88063
4300.951604,23250.6685,23244.3249,0.89352
4300.961081,23250.6173,23244.2737,0.92665
4300.970558,23250.566,23244.2225,0.94694
4300.980036,23250.5148,23244.1712,0.95375
4300.989513,23250.4636,23244.12,0.96109
4300.99899,23250.4123,23244.0688,0.96675
4301.008467,23250.3611,23244.0176,0.96788
4301.017944,23250.3099,23243.9664,0.96972
4301.027421,23250.2587,23243.9152,0.97161
4301.036898,23250.2074,23243.8639,0.97084
4301.046375,23250.1562,23243.8127,0.96994
4301.055852,23250.105,23243.7615,0.97001
4301.065329,23250.0537,23243.7103,0.97088
4301.074806,23250.0025,23243.6591,0.97322
4301.084284,23249.9513,23243.6079,0.97469
4301.093761,23249.9,23243.5566,0.97473
4301.103238,23249.8488,23243.5054,0.97588
4301.112715,23249.7976,23243.4542,0.97506
4301.122192,23249.7464,23243.403,0.9703
4301.131669,23249.6951,23243.3518,0.9681
4301.141146,23249.6439,23243.3006,0.96891
4301.150623,23249.5927,23243.2494,0.96575
4301.1601,23249.5414,23243.1982,0.96108
4301.169577,23249.4902,23243.1469,0.96141
4301.179054,23249.439,23243.0957,0.9648
4301.188532,23249.3878,23243.0445,0.96816
4301.198009,23249.3365,23242.9933,0.96964
4301.207486,23249.2853,23242.9421,0.96633
4301.216963,23249.2341,23242.8909,0.9623
4301.22644,23249.1829,23242.8397,0.96147
4301.235917,23249.1316,23242.7884,0.95761
4301.245394,23249.0804,23242.7372,0.9502
4301.254871,23249.0292,23242.686,0.94538
4301.264348,23248.978,23242.6348,0.93769
4301.273825,23248.9267,23242.5836,0.92444
4301.283303,23248.8755,23242.5324,0.91189
4301.29278,23248.8243,23242.4812,0.88519
4301.302257,23248.7731,23242.43,0.83439
4301.311734,23248.7218,23242.3788,0.80553
4301.321211,23248.6706,23242.3275,0.83985
4301.330688,23248.6194,23242.2763,0.89825
4301.340165,23248.5682,23242.2251,0.92764
4301.349642,23248.5169,23242.1739,0.93605
4301.359119,23248.4657,23242.1227,0.94461
4301.368596,23248.4145,23242.0715,0.9456
4301.378073,23248.3633,23242.0203,0.93471
4301.387551,23248.312,23241.9691,0.91781
4301.397028,23248.2608,23241.9179,0.89322
4301.406505,23248.2096,23241.8667,0.86631
4301.415982,23248.1584,23241.8155,0.85363
4301.425459,23248.1072,23241.7643,0.8608
4301.434936,23248.0559,23241.713,0.88282
4301.444413,23248.0047,23241.6618,0.91387
4301.45389,23247.9535,23241.6106,0.94311
4301.463367,23247.9023,23241.5594,0.96154
4301.472844,23247.8511,23241.5082,0.97179
4301.482321,23247.7998,23241.457,0.97767
4301.491799,23247.7486,23241.4058,0.97868
4301.501276,23247.6974,23241.3546,0.97749
4301.510753,23247.6462,23241.3034,0.97637
4301.52023,23247.595,23241.2522,0.97261
4301.529707,23247.5437,23241.201,0.96688
4301.539184,23247.4925,23241.1498,0.96381
4301.548661,23247.4413,23241.0986,0.96384
4301.558138,23247.3901,23241.0474,0.9652
4301.567615,23247.3389,23240.9962,0.9684
4301.577092,23247.2876,23240.945,0.97259
4301.58657,23247.2364,23240.8938,0.97505
4301.596047,23247.1852,23240.8426,0.97579
4301.605524,23247.134,23240.7914,0.97568
4301.615001,23247.0828,23240.7402,0.97181
4301.624478,23247.0316,23240.689,0.96046
4301.633955,23246.9803,23240.6377,0.94263
4301.643432,23246.9291,23240.5865,0.92375
4301.652909,23246.8779,23240.5353,0.91052
4301.662386,23246.8267,23240.4841,0.90868
4301.671863,23246.7755,23240.4329,0.9197
4301.68134,23246.7243,23240.3817,0.9386
4301.690818,23246.673,23240.3305,0.95755
4301.700295,23246.6218,23240.2793,0.97155
4301.709772,23246.5706,23240.2281,0.98008
4301.719249,23246.5194,23240.1769,0.98489
4301.728726,23246.4682,23240.1257,0.98695
4301.738203,23246.417,23240.0745,0.98702
4301.74768,23246.3658,23240.0233,0.98719
4301.757157,23246.3146,23239.9721,0.98779
4301.766634,23246.2633,23239.9209,0.9865
4301.776111,23246.2121,23239.8697,0.98434
4301.785588,23246.1609,23239.8185,0.98436
4301.795066,23246.1097,23239.7673,0.98492
4301.804543,23246.0585,23239.7161,0.9841
4301.81402,23246.0073,23239.6649,0.98385
4301.823497,23245.9561,23239.6137,0.98327
4301.832974,23245.9049,23239.5625,0.98056
4301.842451,23245.8536,23239.5114,0.9789
4301.851928,23245.8024,23239.4602,0.97793
4301.861405,23245.7512,23239.409,0.97346
4301.870882,23245.7,23239.3578,0.96968
4301.880359,23245.6488,23239.3066,0.97121
4301.889837,23245.5976,23239.2554,0.97258
4301.899314,23245.5464,23239.2042,0.97137
4301.908791,23245.4952,23239.153,0.97067
4301.918268,23245.444,23239.1018,0.96766
4301.927745,23245.3927,23239.0506,0.96201
4301.937222,23245.3415,23238.9994,0.9577
4301.946699,23245.2903,23238.9482,0.94907
4301.956176,23245.2391,23238.897,0.93372
4301.965653,23245.1879,23238.8458,0.91952
4301.97513,23245.1367,23238.7946,0.89663
4301.984607,23245.0855,23238.7434,0.85515
4301.994085,23245.0343,23238.6922,0.83137
4302.003562,23244.9831,23238.641,0.86043
4302.013039,23244.9319,23238.5898,0.90979
4302.022516,23244.8807,23238.5386,0.93451
4302.031993,23244.8295,23238.4874,0.94368
4302.04147,23244.7783,23238.4363,0.95689
4302.050947,23244.727,23238.3851,0.96601
