element,ion,wave_air_A,wave_vac_A,band,band_methods,ep_eV,log_gf_linelist_sum,log_gf_strongest_component,hfs_n_components,hfs_carried,central_depth,blend_flag,vald_proximity_min,instruments_coverage_module,instruments_on_sirius,instruments_coverage_blind_spot,best_gf_source,best_log_gf,best_sigma_dex,delta_best_minus_linelist,scale_mismatch,tier,telluric_required_band,canonical_log_gf,canonical_reference,canonical_gf_tier,canonical_hfs_n,canonical_lam_A,burheim_lam_vac_A,burheim_lam_air_A,burheim_gap_A,burheim_log_gf,burheim_unc_pct,burheim_sigma_dex,burheim_transition,papoulia19_log_gf,kurucz95_log_gf,topbase_m00_log_gf,nist_lam_A,nist_gap_A,nist_log_gf,nist_grade,nist_grade_worst,nist_sigma_dex,nist_n_components,nist_ref_line
Al,II,1670.787,1670.787,FUV/<3000A (NO DECLARED POLICY),,0.0,0.32,0.32,1,False,0.968,False,1.0,,,,UNGRADED,0.32,0.2,0.0,False,EXCLUDED-NO-HOME,,,,,,,,,,,,,,,,,,,,,,,,
Al,II,1719.442,1719.442,FUV/<3000A (NO DECLARED POLICY),,4.6361,-0.0998,-0.452,3,True,0.967,False,1.0,,,,UNGRADED,-0.09983123586341257,0.2,0.0,False,EXCLUDED-NO-HOME,,,,,,,,,,,,,,,,,,,,,,,,
Al,II,1721.244,1721.244,FUV/<3000A (NO DECLARED POLICY),,4.6437,-0.2298,-0.774,7,True,0.961,False,1.0,,,,UNGRADED,-0.2298276998447426,0.2,0.0,False,EXCLUDED-NO-HOME,,,,,,,,,,,,,,,,,,,,,,,,
Al,II,1721.271,1721.271,FUV/<3000A (NO DECLARED POLICY),,4.6437,0.2501,-0.227,9,True,0.977,False,1.0,,,,UNGRADED,0.2500507216732267,0.2,0.0,False,EXCLUDED-NO-HOME,,,,,,,,,,,,,,,,,,,,,,,,
Al,II,1724.922,1724.922,FUV/<3000A (NO DECLARED POLICY),,4.659,-1.3999,-1.877,9,True,0.871,False,1.0,,,,UNGRADED,-1.3999492783267733,0.2,0.0,False,EXCLUDED-NO-HOME,,,,,,,,,,,,,,,,,,,,,,,,
Al,II,1724.949,1724.949,FUV/<3000A (NO DECLARED POLICY),,4.659,-0.2301,-0.796,13,True,0.96,False,1.0,,,,UNGRADED,-0.2300842467585946,0.2,0.0,False,EXCLUDED-NO-HOME,,,,,,,,,,,,,,,,,,,,,,,,
Al,II,1724.982,1724.982,FUV/<3000A (NO DECLARED POLICY),,4.659,0.5201,-0.024,14,True,0.983,False,1.0,,,,UNGRADED,0.5200762844481566,0.2,0.0,False,EXCLUDED-NO-HOME,,,,,,,,,,,,,,,,,,,,,,,,
Al,II,1727.214,1727.214,FUV/<3000A (NO DECLARED POLICY),,4.6437,-4.9298,-5.282,3,True,0.006,False,1.0,,,,UNGRADED,-4.929831235863412,0.2,0.0,False,EXCLUDED-NO-HOME,,,,,,,,,,,,,,,,,,,,,,,,
Al,II,1760.106,1760.106,FUV/<3000A (NO DECLARED POLICY),,4.6437,-0.12,-0.12,1,False,0.959,False,1.0,,,,UNGRADED,-0.12000000000000001,0.2,0.0,False,EXCLUDED-NO-HOME,,,,,,,,,,,,,,,,,,,,,,,,
Al,II,1761.977,1761.977,FUV/<3000A (NO DECLARED POLICY),,4.6361,-0.21,-0.21,1,False,0.955,False,1.0,,,,UNGRADED,-0.20999999999999996,0.2,0.0,False,EXCLUDED-NO-HOME,,,,,,,,,,,,,,,,,,,,,,,,
