FeII  458.28nm    458.283    458.411     2.8441169     -3.180      8.467     179   0.251
FeII  458.38nm    458.383    458.511     2.8066544     -1.930      8.563     185   0.307
FeII  460.14nm    460.137    460.266     2.8910182     -4.480      8.561     184   0.251
FeII  462.05nm    462.051    462.181     2.8281223     -3.210      8.563     185   0.306
FeII  462.59nm    462.590    462.719     5.9560902     -2.350      8.618     220   0.204
FeII  462.93nm    462.933    463.063     2.8066544     -2.340      8.458     178   0.257
FeII  463.53nm    463.532    463.662     5.9560902     -1.420      8.646     220   0.208
FeII  464.89nm    464.893    465.023     2.5826593     -4.580      8.539     172   0.223
FeII  465.70nm    465.698    465.828     2.8910182     -3.600      8.560     184   0.251
FeII  466.67nm    466.675    466.806     2.8281223     -3.280      8.458     178   0.257
FeII  467.02nm    467.017    467.148     2.5826593     -4.090      8.541     172   0.228
FeII  472.01nm    472.014    472.146     3.1972525     -4.480      8.501     185   0.260
FeII  473.14nm    473.145    473.277     2.8910182     -3.100      8.563     183   0.258
FeII  482.57nm    482.572    482.707     2.6348604     -4.870      8.553     172   0.225
FeII  483.11nm    483.111    483.246     3.3392334     -4.890      8.502     186   0.249
FeII  483.32nm    483.319    483.454     2.6570254     -4.640      8.545     172   0.219
FeII  483.39nm    483.386    483.521     2.8441169     -5.110      8.498
FeII  484.00nm    483.999    484.134     2.6757791     -4.750      8.541     173   0.220
FeII  485.55nm    485.554    485.690     2.7043488     -4.460      8.538     173   0.220
FeII  487.13nm    487.127    487.263     2.7043488     -4.250      8.539     173   0.219
FeII  489.38nm    489.381    489.518     2.8281223     -4.210      8.496     173   0.220
FeII  492.39nm    492.392    492.530     2.8910182     -1.260      8.498     175   0.202
FeII  492.49nm    492.491    492.629     2.8441169     -4.900      8.496     173   0.220
FeII  499.11nm    499.111    499.250     2.7784632     -4.550      8.537     173   0.219
FeII  499.33nm    499.335    499.474     2.8066544     -3.620      8.492     172   0.220
FeII  500.07nm    500.073    500.213     2.7784632     -4.610      8.538     173   0.220
FeII  501.84nm    501.843    501.984     2.8910182     -1.100      8.496     174   0.202
FeII  503.69nm    503.691    503.832     2.8281223     -4.670      8.492     172   0.220
FeII  510.07nm    510.065    510.208     2.8066544     -4.170      8.541     173   0.221
FeII  512.03nm    512.034    512.177     2.8281223     -4.240      8.539     173   0.225
FeII  513.27nm    513.266    513.409     2.8066544     -4.080      8.545     172   0.219
FeII  513.68nm    513.679    513.823     2.8441169     -4.430      8.538     173   0.227
FeII  514.61nm    514.612    514.755     2.8281223     -3.910      8.541     173   0.221
FeII  515.09nm    515.093    515.236     2.8555150     -4.480      8.537     173   0.226
FeII  515.44nm    515.440    515.584     2.8441169     -4.130      8.539     173   0.225
FeII  516.12nm    516.117    516.261     2.8555150     -4.470      8.538     173   0.227
FeII  516.90nm    516.903    517.047     2.8910182     -1.000      8.492     174   0.206
FeII  517.16nm    517.163    517.307     2.8066544     -4.540      8.553     172   0.223
FeII  519.76nm    519.757    519.901     3.2304592     -2.220      8.461     180   0.247
FeII  523.46nm    523.462    523.608     3.2213133     -2.180      8.465     180   0.249
FeII  523.86nm    523.862    524.008     2.8910182     -5.110      8.538
FeII  525.69nm    525.693    525.840     2.8910182     -4.060      8.539     174   0.210
FeII  526.48nm    526.480    526.627     3.2304592     -3.130      8.561     186   0.300
FeII  527.60nm    527.600    527.747     3.1994526     -2.010      8.467     179   0.253
FeII  528.41nm    528.410    528.557     2.8910182     -3.110      8.541     174   0.209
FeII  531.66nm    531.661    531.809     3.1527679     -1.870      8.458     178   0.255
FeII  531.68nm    531.678    531.826     3.2213133     -2.740      8.560     186   0.297
FeII  532.56nm    532.555    532.703     3.2213133     -3.160      8.467     179   0.252
FeII  533.77nm    533.772    533.921     3.2304592     -3.720      8.560     186   0.297
FeII  536.29nm    536.286    536.435     3.1994526     -2.570      8.563     185   0.304
FeII  541.41nm    541.407    541.557     3.2213133     -3.580      8.563     185   0.303
FeII  542.52nm    542.525    542.676     3.1994526     -3.220      8.458     178   0.255
FeII  543.30nm    543.296    543.447     3.2673265     -3.380      8.467     179   0.246
FeII  552.51nm    552.512    552.665     3.2673265     -3.970      8.563     184   0.280
FeII  553.48nm    553.484    553.638     3.2446888     -2.750      8.458     178   0.239
FeII  559.14nm    559.136    559.291     3.2673265     -4.440      8.458     178   0.238
FeII  562.75nm    562.749    562.905     3.3866181     -4.100      8.465     180   0.241
FeII  565.79nm    565.792    565.949     3.4244934     -4.030      8.461     180   0.240
