# Heiter et al. 2021, A&A 645 A106 (2021A&A...645A.106H) — VizieR J/A+A/645/A106, geslines.dat.
# SUBSET: Element == 'Fe', 4700 <= lambda <= 6900 A; 10 of 24 columns. Rows and values are AS PUBLISHED (RYA-161).
# Source: J_A+A_645_A106_geslines.dat.gz.fits.gz  md5 7dd3239948c2a71716d3158ae847bec3
Element	Ion	Isotope	lambda	loggf	e_loggf	r_loggf	gfflag	synflag	Elow
Fe	1	0	4750.1962	-3.662	0.000	K07	-	-	4.473
Fe	2	0	4750.2499	-2.520	0.000	K13	-	-	10.348
Fe	2	0	4750.2655	-12.392	0.000	K13	-	-	0.048
Fe	2	0	4750.3162	-2.905	0.000	RU	-	-	10.399
Fe	3	0	4750.3442	-5.365	0.000	K10	-	-	25.080
Fe	2	0	4750.4887	-4.816	0.000	K13	-	-	12.719
Fe	2	0	4750.4887	-3.641	0.000	K13	-	-	12.845
Fe	2	0	4750.4980	-5.871	0.000	RU	-	-	6.803
Fe	2	0	4750.5646	-3.345	0.000	RU	-	-	10.288
Fe	2	0	4750.5716	-15.840	0.000	K13	-	-	0.083
Fe	2	0	4750.5716	-11.252	0.000	K13	-	-	0.083
Fe	1	0	4751.0843	-2.565	0.000	K07	-	-	4.186
Fe	1	0	4751.1055	-3.144	0.000	K07	-	-	4.733
Fe	1	0	4751.3645	-2.687	0.000	K07	-	-	4.435
Fe	1	0	4751.6793	-3.703	0.000	K07	-	-	4.835
Fe	1	0	4752.7937	-3.208	0.000	K07	-	-	4.301
Fe	1	0	4754.0361	-1.840	0.000	K07	-	-	4.733
Fe	1	0	4754.0533	-3.025	0.000	K07	-	-	4.103
Fe	1	0	4754.3147	-4.489	0.000	K07	-	-	4.260
Fe	2	0	4754.4955	-6.578	0.000	K13	-	-	2.642
Fe	1	0	4755.1523	-4.121	0.000	K07	-	-	4.559
Fe	1	0	4755.1681	-3.268	0.000	K07	-	-	4.584
Fe	1	0	4756.5208	-3.392	0.000	K07	-	-	4.076
Fe	2	0	4756.8809	-4.386	0.000	RU	-	-	5.569
Fe	1	0	4756.9636	-3.555	0.000	K07	-	-	4.260
Fe	1	0	4757.5782	-2.040	0.000	K07	N	U	3.274
Fe	1	0	4757.5795	-4.744	0.000	K07	-	-	4.260
Fe	2	0	4757.6749	-4.568	0.000	RU	-	-	6.807
Fe	1	0	4757.7788	-4.101	0.000	K07	-	-	3.267
Fe	1	0	4758.0098	-4.231	0.000	K07	-	-	4.549
Fe	2	0	4758.1176	-4.677	0.000	RU	-	-	6.807
Fe	1	0	4758.7216	-5.276	0.000	K07	-	-	4.076
Fe	2	0	4758.7662	-0.313	0.000	K13	-	-	13.250
Fe	2	0	4759.3641	-2.488	0.000	K13	-	-	10.737
Fe	1	0	4759.4613	-7.238	0.000	K07	-	-	4.473
Fe	2	0	4759.4851	-3.121	0.000	K13	-	-	11.435
Fe	2	0	4759.4896	-3.558	0.000	RU	-	-	10.398
Fe	1	0	4759.6539	-6.365	0.000	K07	-	-	4.835
Fe	2	0	4759.7206	-5.300	0.000	K13	-	-	11.580
Fe	3	0	4759.9343	-1.791	0.000	K10	-	-	18.266
Fe	1	0	4760.0315	-9.355	0.000	K07	-	-	4.835
Fe	1	0	4760.0324	-8.765	0.000	K07	-	-	4.835
Fe	1	0	4760.0671	-3.570	0.000	FMW	-	-	3.039
Fe	2	0	4760.1147	-4.277	0.000	RU	-	-	10.399
Fe	2	0	4760.1595	-3.643	0.000	RU	-	-	5.571
Fe	2	0	4760.4907	-5.695	0.000	K13	-	-	11.418
Fe	2	0	4760.5596	-3.202	0.000	K13	-	-	11.580
Fe	2	0	4760.5787	-6.336	0.000	K13	-	-	10.853
Fe	1	0	4761.8633	-3.753	0.000	K07	-	-	4.435
Fe	1	0	4762.2596	-4.661	0.000	K07	-	-	2.728
Fe	1	0	4762.5636	-4.697	0.000	K07	-	-	4.652
Fe	1	0	4762.6153	-3.467	0.000	K07	-	-	4.473
Fe	1	0	4763.2232	-6.668	0.000	K07	-	-	3.047
Fe	1	0	4763.3129	-3.710	0.000	K07	-	-	4.178
Fe	1	0	4763.3930	-3.853	0.000	K07	-	-	4.593
Fe	1	0	4763.6570	-4.425	0.000	K07	-	-	4.446
Fe	2	0	4763.7879	-7.336	0.000	K13	-	-	3.221
Fe	1	0	4764.2320	-3.656	0.000	K07	-	-	4.154
Fe	1	0	4765.4515	-5.214	0.000	K07	-	-	3.301
Fe	1	0	4765.4570	-1.938	0.000	K07	-	-	4.076
Fe	1	0	4765.4800	-3.910	0.090	MRW	-	-	1.608
Fe	1	0	4765.9654	-3.296	0.000	K07	-	-	4.473
Fe	1	0	4766.2988	-4.552	0.000	K07	-	-	4.549
Fe	1	0	4766.3583	-2.248	0.000	K07	-	-	4.607
Fe	1	0	4766.6058	-5.826	0.000	K07	-	-	2.433
Fe	1	0	4766.6717	-4.234	0.000	K07	-	-	3.415
Fe	1	0	4766.7506	-4.265	0.000	K07	-	-	4.835
Fe	1	0	4766.7529	-2.018	0.000	K07	-	-	4.154
Fe	1	0	4766.7874	-1.641	0.000	K07	-	-	4.593
Fe	1	0	4766.8656	-2.210	0.080	MRW	-	-	3.417
Fe	1	0	4766.9204	-6.107	0.000	K07	-	-	3.252
Fe	1	0	4767.2534	-3.114	0.000	K07	-	-	4.103
Fe	1	0	4767.5358	-3.724	0.000	K07	-	-	4.608
Fe	1	0	4768.3203	-1.420	0.030	GESHRL14	Y	-	3.686
Fe	1	0	4768.3962	-2.340	0.040	BKK+2014MNRAS.441.3127R	Y	-	2.940
Fe	2	0	4768.5475	-2.566	0.000	RU	-	-	7.708
Fe	1	0	4768.6992	-2.447	0.000	K07	-	-	4.076
