holding,lo_A,hi_A,isolated_lines,measured,median_core_v_kms,mad_kms
CRIRES+ Y-wide (Elgueta),9820,10780,18,18,-0.124,0.375
CRIRES+ H (Elgueta),15050,17450,126,76,0.065,0.492
KP-K05 (9820-10000),9820,10000,2,2,0.389,0.03
IAG (9820-11080),9820,11080,25,25,0.528,0.215
J rest (this ticket),11200,13450,30,27,-0.085,0.312
K rest (this ticket),19500,24800,43,31,-0.015,0.638
