element	wave_A	wave_nm	loggf	lower_state_eV	lower_state_cm1	lower_j	upper_state_eV	upper_state_cm1	upper_j	upper_g	lande_lower	lande_upper	spectrum_transition_type	turbospectrum_rad	rad	stark	waals	waals_single_gamma_format	turbospectrum_fdamp	spectrum_fudge_factor	theoretical_depth	theoretical_ew	lower_orbital_type	upper_orbital_type	molecule	spectrum_synthe_isotope	ion	spectrum_moog_species	turbospectrum_species	width_species	reference_code	nlte	nlte_level_low	nlte_level_up	nlte_label_low	nlte_label_up	spectrum_support	turbospectrum_support	moog_support	width_support	synthe_support	sme_support
Fe 1	9203.153	920.3153	-1.450	5.0638	40842.301	3.0	6.4106	51704.976	2.0	5.0	1.250	0.970	GA	6.92E+08	8.840	-4.990	-7.500	-7.500	-7.500	1.000	0.092	0.000	X	X	F	0	1	26.0	26.000000	26.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
Cr 1	9208.292	920.8292	-1.361	3.1216	25177.402	4.0	4.4677	36034.431	3.0	7.0	1.190	1.080	GA	1.86E+06	6.270	-6.100	-7.790	-7.790	-7.790	1.000	0.074	0.000	X	X	F	0	1	24.0	24.000000	24.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
Si 1	9208.345	920.8345	-1.400	6.0827	49060.284	1.0	7.4288	59917.313	2.0	5.0	1.530	1.450	GA	1.00E+08	8.000	-4.290	-7.180	-7.180	-7.180	1.000	0.094	0.000	X	X	F	0	1	14.0	14.000000	14.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
Fe 1	9210.024	921.0024	-2.404	2.8450	22946.473	1.0	4.1909	33801.888	2.0	5.0	1.490	1.500	GA	1.95E+08	8.290	-6.160	-7.790	-7.790	-7.790	1.000	0.390	0.000	X	X	F	0	1	26.0	26.000000	26.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
S 1	9212.863	921.2863	0.470	6.5245	52623.641	2.0	7.8699	63475.024	3.0	7.0	2.000	1.670	GA	3.24E+07	7.510	-5.440	-7.383	-7.383	-7.383	1.000	0.373	0.000	X	X	F	0	1	16.0	16.000000	16.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
Fe 1	9212.981	921.2981	-1.063	5.3342	43023.224	4.0	6.6796	53874.607	5.0	11.0	1.020	1.100	GA	1.55E+08	8.190	-4.360	-7.510	-7.510	-7.510	1.000	0.114	0.000	X	X	F	0	1	26.0	26.000000	26.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
Fe 1	9214.499	921.4499	-0.743	4.9130	39626.017	4.0	6.2581	50474.981	4.0	9.0	1.490	1.590	GA	6.17E+08	8.790	-5.450	-7.550	-7.550	-7.550	1.000	0.277	0.000	X	X	F	0	1	26.0	26.000000	26.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
Fe 1	9214.976	921.4976	-1.425	5.3303	42991.769	5.0	6.6754	53840.732	6.0	13.0	1.050	1.230	GA	1.10E+08	8.040	-4.670	-7.510	-7.510	-7.510	1.000	0.060	0.000	X	X	F	0	1	26.0	26.000000	26.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
Fe 1	9217.564	921.7564	-0.743	4.9913	40257.549	5.0	6.3360	51103.286	5.0	11.0	1.390	1.380	GA	7.59E+08	8.880	-4.380	-7.510	-7.510	-7.510	1.000	0.259	0.000	X	X	F	0	1	26.0	26.000000	26.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
Mg 2	9218.250	921.8250	0.270	8.6547	69804.863	0.5	9.9993	80649.793	1.5	4.0	99.000	99.000	GA	0.00E+00	0.000	-5.110	0.000	0.000	0.000	1.000	0.134	0.000	X	X	F	0	2	12.1	12.000000	12.01	VALD3	F	0	0	none	none	F	T	F	F	F	F
S 1	9228.093	922.8093	0.320	6.5245	52623.641	2.0	7.8677	63457.280	2.0	5.0	2.000	1.840	GA	3.24E+07	7.510	-5.450	-7.383	-7.383	-7.383	1.000	0.352	0.000	X	X	F	0	1	16.0	16.000000	16.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
Fe 1	9233.190	923.3190	-1.293	5.3204	42911.920	5.0	6.6628	53739.106	5.0	11.0	1.200	1.250	GA	1.55E+08	8.190	-4.660	-7.520	-7.520	-7.520	1.000	0.079	0.000	X	X	F	0	1	26.0	26.000000	26.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
S 1	9237.538	923.7538	0.010	6.5245	52623.641	2.0	7.8663	63445.988	1.0	3.0	2.000	2.500	GA	3.24E+07	7.510	-5.450	-7.383	-7.383	-7.383	1.000	0.306	0.000	X	X	F	0	1	16.0	16.000000	16.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
Fe 1	9242.367	924.2367	-1.564	4.9880	40230.933	2.0	6.3292	51048.441	1.0	3.0	1.500	1.800	GA	6.31E+08	8.800	-5.340	-7.550	-7.550	-7.550	1.000	0.086	0.000	X	X	F	0	1	26.0	26.000000	26.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
Mg 2	9244.265	924.4265	-0.030	8.6547	69804.863	0.5	9.9955	80619.144	0.5	2.0	99.000	99.000	GA	0.00E+00	0.000	-5.110	0.000	0.000	0.000	1.000	0.096	0.000	X	X	F	0	2	12.1	12.000000	12.01	VALD3	F	0	0	none	none	F	T	F	F	F	F
Mg 1	9246.499	924.6499	-1.939	5.7532	46402.687	2.0	7.0938	57215.356	1.0	3.0	99.000	99.000	GA	2.00E+07	7.300	0.000	0.000	0.000	0.000	1.000	0.082	0.000	X	X	F	0	1	12.0	12.000000	12.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
Fe 1	9246.557	924.6557	-2.938	2.5881	20874.434	3.0	3.9286	31686.296	2.0	5.0	1.070	1.170	GA	5.62E+06	6.750	-6.160	-7.820	-7.820	-7.820	1.000	0.342	0.000	X	X	F	0	1	26.0	26.000000	26.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
Ti 2	9252.533	925.2533	-2.086	2.5977	20951.863	2.5	3.9373	31756.466	1.5	4.0	0.860	0.920	GA	1.45E+08	8.160	-6.600	-7.850	-7.850	-7.850	1.000	0.097	0.000	X	X	F	0	2	22.1	22.000000	22.01	VALD3	F	0	0	none	none	F	T	F	F	F	F
Si 1	9253.683	925.3683	-0.838	6.2612	50499.984	2.0	7.6007	61303.780	3.0	7.0	1.500	1.140	GA	1.00E+08	8.000	-3.490	-7.130	-7.130	-7.130	1.000	0.165	0.000	X	X	F	0	1	14.0	14.000000	14.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
Mg 1	9255.722	925.5722	-1.470	5.7532	46402.687	2.0	7.0924	57204.064	2.0	5.0	99.000	99.000	GA	0.00E+00	0.000	0.000	0.000	0.000	0.000	1.000	0.169	0.000	X	X	F	0	1	12.0	12.000000	12.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
Mg 1	9255.778	925.5778	-0.146	5.7532	46402.687	2.0	7.0924	57204.064	3.0	7.0	99.000	99.000	GA	0.00E+00	0.000	0.000	-6.679	-6.679	-6.679	1.000	0.399	0.000	X	X	F	0	1	12.0	12.000000	12.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
Fe 1	9258.267	925.8267	-0.725	4.6076	37162.800	3.0	5.9464	47960.950	4.0	9.0	1.090	1.290	GA	1.74E+08	8.240	-5.380	-7.540	-7.540	-7.540	1.000	0.344	0.000	X	X	F	0	1	26.0	26.000000	26.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
Fe 1	9259.005	925.9005	-0.749	4.9130	39626.017	4.0	6.2517	50423.361	4.0	9.0	1.490	1.510	GA	6.17E+08	8.790	-5.170	-7.550	-7.550	-7.550	1.000	0.275	0.000	X	X	F	0	1	26.0	26.000000	26.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
Cr 1	9264.020	926.4020	-1.425	3.1128	25106.425	3.0	4.4508	35898.123	2.0	5.0	0.970	0.670	GA	1.78E+06	6.250	-5.750	-7.790	-7.790	-7.790	1.000	0.066	0.000	X	X	F	0	1	24.0	24.000000	24.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
Fe 1	9289.448	928.9448	-1.193	5.0638	40842.301	3.0	6.3981	51604.157	3.0	7.0	1.250	1.280	GA	6.92E+08	8.840	-4.300	-7.500	-7.500	-7.500	1.000	0.141	0.000	X	X	F	0	1	26.0	26.000000	26.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
Cr 1	9290.472	929.0472	-1.380	2.5441	20519.550	6.0	3.8783	31280.599	5.0	11.0	1.330	1.400	GA	1.29E+07	7.110	-5.790	-7.800	-7.800	-7.800	1.000	0.191	0.000	X	X	F	0	1	24.0	24.000000	24.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
Fe 1	9294.534	929.4534	-0.941	5.0331	40594.689	4.0	6.3666	51350.092	4.0	9.0	1.330	1.490	GA	6.92E+08	8.840	-5.000	-7.530	-7.530	-7.530	1.000	0.204	0.000	X	X	F	0	1	26.0	26.000000	26.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
Fe 1	9297.151	929.7151	-1.900	4.7331	38175.026	3.0	6.0663	48928.009	2.0	5.0	1.320	0.660	GA	2.19E+08	8.340	-5.280	-7.540	-7.540	-7.540	1.000	0.075	0.000	X	X	F	0	1	26.0	26.000000	26.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
Fe 1	9308.018	930.8018	-1.272	5.0331	40594.689	4.0	6.3647	51334.767	4.0	9.0	1.330	1.340	GA	8.13E+08	8.910	-4.840	-7.530	-7.530	-7.530	1.000	0.130	0.000	X	X	F	0	1	26.0	26.000000	26.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
Si 1	9310.265	931.0265	-1.436	6.2694	50566.121	1.0	7.6008	61304.586	2.0	5.0	1.500	0.810	GA	1.00E+08	8.000	-2.720	-7.130	-7.130	-7.130	1.000	0.064	0.000	X	X	F	0	1	14.0	14.000000	14.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
Fe 1	9311.514	931.1514	-1.430	5.0856	41018.130	2.0	6.4167	51754.176	1.0	3.0	1.000	0.020	GA	6.76E+08	8.830	-4.430	-7.490	-7.490	-7.490	1.000	0.092	0.000	X	X	F	0	1	26.0	26.000000	26.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
Fe 1	9318.179	931.8179	-1.085	4.9556	39969.610	3.0	6.2858	50698.396	2.0	5.0	1.500	1.610	GA	5.89E+08	8.770	-5.310	-7.540	-7.540	-7.540	1.000	0.190	0.000	X	X	F	0	1	26.0	26.000000	26.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
Si 1	9318.220	931.8220	-1.548	6.0986	49188.526	2.0	7.4288	59917.313	2.0	5.0	1.500	1.450	GA	1.00E+08	8.000	-4.290	-7.180	-7.180	-7.180	1.000	0.071	0.000	X	X	F	0	1	14.0	14.000000	14.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
Fe 1	9334.056	933.4056	-1.131	4.9913	40257.549	5.0	6.3192	50967.785	6.0	13.0	1.390	1.420	GA	8.32E+08	8.920	-5.120	-7.540	-7.540	-7.540	1.000	0.169	0.000	X	X	F	0	1	26.0	26.000000	26.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
Fe 1	9343.416	934.3416	-1.516	5.0331	40594.689	4.0	6.3597	51294.440	3.0	7.0	1.330	1.350	GA	7.41E+08	8.870	-5.290	-7.570	-7.570	-7.570	1.000	0.086	0.000	X	X	F	0	1	26.0	26.000000	26.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
Fe 1	9350.415	935.0415	-0.840	4.5485	36686.127	4.0	5.8741	47377.812	4.0	9.0	1.250	1.330	GA	1.82E+08	8.260	-5.270	-7.550	-7.550	-7.550	1.000	0.334	0.000	X	X	F	0	1	26.0	26.000000	26.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
Fe 1	9354.628	935.4628	-1.203	5.0856	41018.130	2.0	6.4106	51704.976	2.0	5.0	1.000	0.970	GA	6.76E+08	8.830	-4.990	-7.500	-7.500	-7.500	1.000	0.134	0.000	X	X	F	0	1	26.0	26.000000	26.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
Fe 1	9358.389	935.8389	-3.735	3.0469	24574.906	4.0	4.3714	35257.719	4.0	9.0	1.000	1.100	GA	1.12E+08	8.050	-6.060	-7.780	-7.780	-7.780	1.000	0.057	0.000	X	X	F	0	1	26.0	26.000000	26.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
Fe 1	9359.410	935.9410	-2.861	2.5592	20641.340	4.0	3.8835	31322.540	3.0	7.0	1.240	1.320	GA	5.62E+06	6.750	-6.150	-7.820	-7.820	-7.820	1.000	0.363	0.000	X	X	F	0	1	26.0	26.000000	26.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
Fe 1	9362.360	936.2360	-3.152	2.2786	18378.148	2.0	3.6025	29056.122	3.0	7.0	1.510	1.660	GA	2.19E+07	7.340	-6.120	-7.790	-7.790	-7.790	1.000	0.366	0.000	X	X	F	0	1	26.0	26.000000	26.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
Fe 1	9372.896	937.2896	-2.614	2.5592	20641.340	4.0	3.8816	31307.215	4.0	9.0	1.240	1.250	GA	1.35E+06	6.130	-6.110	-7.810	-7.810	-7.810	1.000	0.406	0.000	X	X	F	0	1	26.0	26.000000	26.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
Fe 1	9375.122	937.5122	-3.426	2.9904	24119.203	4.0	4.3125	34782.658	5.0	11.0	1.050	1.220	GA	1.02E+08	8.010	-6.080	-7.780	-7.780	-7.780	1.000	0.116	0.000	X	X	F	0	1	26.0	26.000000	26.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
Fe 1	9382.933	938.2933	-1.591	4.9850	40206.737	3.0	6.3061	50862.127	2.0	5.0	1.910	1.800	GA	1.82E+08	8.260	-5.380	-7.540	-7.540	-7.540	1.000	0.084	0.000	X	X	F	0	1	26.0	26.000000	26.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
Si 1	9387.334	938.7334	-1.541	6.2060	50054.766	4.0	7.5264	60704.510	3.0	7.0	1.250	1.330	GA	2.45E+06	6.390	-3.730	-7.140	-7.140	-7.140	1.000	0.059	0.000	X	X	F	0	1	14.0	14.000000	14.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
Fe 1	9387.514	938.7514	-0.876	5.9471	47966.596	3.0	7.2675	58616.341	3.0	7.0	1.650	1.510	GA	5.01E+08	8.700	-4.140	-7.380	-7.380	-7.380	1.000	0.052	0.000	X	X	F	0	1	26.0	26.000000	26.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
Fe 1	9388.184	938.8184	-1.187	4.9880	40230.933	2.0	6.3083	50879.871	1.0	3.0	1.500	1.660	GA	5.89E+08	8.770	-5.170	-7.550	-7.550	-7.550	1.000	0.159	0.000	X	X	F	0	1	26.0	26.000000	26.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
Si 1	9393.420	939.3420	-1.533	6.1248	49399.844	1.0	7.4443	60042.329	0.0	1.0	1.970	0.000	GA	9.77E+07	7.990	-4.350	-7.190	-7.190	-7.190	1.000	0.070	0.000	X	X	F	0	1	14.0	14.000000	14.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
Fe 1	9394.675	939.4675	-1.058	4.9556	39969.610	3.0	6.2750	50611.288	3.0	7.0	1.500	1.690	GA	6.03E+08	8.780	-5.110	-7.540	-7.540	-7.540	1.000	0.196	0.000	X	X	F	0	1	26.0	26.000000	26.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
Ni 1	9396.452	939.6452	-0.223	5.6141	45280.770	3.0	6.9333	55920.836	2.0	5.0	0.780	0.690	GA	8.13E+08	8.910	-4.360	-7.490	-7.490	-7.490	1.000	0.055	0.000	X	X	F	0	1	28.0	28.000000	28.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
