element	wave_A	wave_nm	loggf	lower_state_eV	lower_state_cm1	lower_j	upper_state_eV	upper_state_cm1	upper_j	upper_g	lande_lower	lande_upper	spectrum_transition_type	turbospectrum_rad	rad	stark	waals	waals_single_gamma_format	turbospectrum_fdamp	spectrum_fudge_factor	theoretical_depth	theoretical_ew	lower_orbital_type	upper_orbital_type	molecule	spectrum_synthe_isotope	ion	spectrum_moog_species	turbospectrum_species	width_species	reference_code	nlte	nlte_level_low	nlte_level_up	nlte_label_low	nlte_label_up	spectrum_support	turbospectrum_support	moog_support	width_support	synthe_support	sme_support
Si 1	19452.516	1945.2516	-1.512	7.0693	57017.750	2.0	7.7065	62157.114	2.0	5.0	1.180	0.870	GA	2.04E+07	7.310	-3.100	-7.020	-7.020	-7.020	1.000	0.048	0.000	X	X	F	0	1	14.0	14.000000	14.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
Ca 1	19452.982	1945.2982	-0.651	1.8858	15210.003	1.0	2.5230	20349.367	2.0	5.0	1.500	1.160	GA	1.02E+06	6.010	-5.860	-7.770	-7.770	-7.770	1.000	0.525	0.000	X	X	F	0	1	20.0	20.000000	20.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
Fe 1	19453.122	1945.3122	-1.948	6.7091	54112.541	2.0	7.3462	59251.099	3.0	7.0	1.700	1.440	GA	2.82E+08	8.450	-3.390	-7.140	-7.140	-7.140	1.000	0.005	0.000	X	X	F	0	1	26.0	26.000000	26.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
Fe 1	19455.113	1945.5113	-2.501	6.6910	53966.554	3.0	7.3281	59105.113	2.0	5.0	1.110	1.790	GA	1.66E+08	8.220	-3.960	-7.240	-7.240	-7.240	1.000	0.001	0.000	X	X	F	0	1	26.0	26.000000	26.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
Si 1	19457.256	1945.7256	-1.667	7.1660	57797.688	2.0	7.8031	62936.246	3.0	7.0	1.010	1.300	GA	1.58E+08	8.200	-3.250	-6.940	-6.940	-6.940	1.000	0.028	0.000	X	X	F	0	1	14.0	14.000000	14.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
Fe 1	19457.286	1945.7286	-2.859	5.8151	46901.945	1.0	6.4521	52039.696	1.0	3.0	1.600	0.800	GA	2.75E+08	8.440	-5.440	-7.570	-7.570	-7.570	1.000	0.004	0.000	X	X	F	0	1	26.0	26.000000	26.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
Ni 1	19457.945	1945.7945	-2.047	6.0964	49170.782	1.0	6.7335	54309.340	2.0	5.0	1.000	1.450	GA	1.32E+08	8.120	-4.030	-7.260	-7.260	-7.260	1.000	0.002	0.000	X	X	F	0	1	28.0	28.000000	28.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
Fe 1	19459.002	1945.9002	-1.527	6.7116	54132.705	1.0	7.3486	59270.456	2.0	5.0	1.550	1.020	GA	1.15E+08	8.060	-3.600	-7.330	-7.330	-7.330	1.000	0.011	0.000	X	X	F	0	1	26.0	26.000000	26.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
Fe 1	19460.494	1946.0494	-2.238	6.6685	53785.080	3.0	7.3054	58922.025	2.0	5.0	1.090	1.680	GA	2.29E+08	8.360	-4.760	-7.460	-7.460	-7.460	1.000	0.003	0.000	X	X	F	0	1	26.0	26.000000	26.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
S 1	19461.002	1946.1002	-0.681	9.1650	73920.710	3.0	9.8019	79057.655	2.0	5.0	1.670	2.000	GA	1.51E+07	7.180	-4.020	-7.070	-7.070	-7.070	1.000	0.019	0.000	X	X	F	0	1	16.0	16.000000	16.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
S 1	19461.381	1946.1381	-0.690	9.1650	73920.710	3.0	9.8019	79057.655	2.0	5.0	99.000	99.000	GA	0.00E+00	0.000	0.000	0.000	0.000	0.000	1.000	0.019	0.000	X	X	F	0	1	16.0	16.000000	16.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
Fe 1	19462.199	1946.2199	-2.551	6.1053	49242.565	2.0	6.7422	54379.510	3.0	7.0	0.950	0.840	GA	1.15E+08	8.060	-4.700	-7.460	-7.460	-7.460	1.000	0.004	0.000	X	X	F	0	1	26.0	26.000000	26.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
Fe 1	19463.203	1946.3203	-2.800	6.1053	49242.565	3.0	6.7422	54379.510	3.0	7.0	1.170	0.840	GA	1.58E+08	8.200	-4.700	-7.460	-7.460	-7.460	1.000	0.002	0.000	X	X	F	0	1	26.0	26.000000	26.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
Fe 1	19463.612	1946.3612	-0.557	6.4496	52019.532	1.0	7.0864	57155.671	0.0	1.0	2.430	0.000	GA	8.71E+07	7.940	-4.660	-7.320	-7.320	-7.320	1.000	0.127	0.000	X	X	F	0	1	26.0	26.000000	26.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
Fe 1	19463.942	1946.3942	-0.370	6.4399	51941.296	0.0	7.0768	57078.241	1.0	3.0	0.000	0.320	GA	7.59E+07	7.880	-4.450	-7.350	-7.350	-7.350	1.000	0.171	0.000	X	X	F	0	1	26.0	26.000000	26.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
Fe 1	19466.913	1946.6913	-3.789	3.9433	31804.859	3.0	4.5800	36940.191	2.0	5.0	1.090	0.670	GA	1.32E+06	6.120	-6.090	-7.810	-7.810	-7.810	1.000	0.024	0.000	X	X	F	0	1	26.0	26.000000	26.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
Fe 1	19467.641	1946.7641	-0.286	6.4496	52019.532	1.0	7.0863	57154.864	1.0	3.0	2.430	1.290	GA	8.51E+07	7.930	-4.660	-7.320	-7.320	-7.320	1.000	0.189	0.000	X	X	F	0	1	26.0	26.000000	26.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
Ti 1	19469.067	1946.9067	-0.270	4.8539	39149.344	2.0	5.4905	44283.869	3.0	7.0	1.000	1.230	GA	8.51E+07	7.930	-4.910	-7.430	-7.430	-7.430	1.000	0.003	0.000	X	X	F	0	1	22.0	22.000000	22.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
Fe 1	19469.787	1946.9787	0.073	6.3705	51381.548	4.0	7.0071	56516.073	4.0	9.0	1.360	1.380	GA	6.61E+07	7.820	-4.400	-7.330	-7.330	-7.330	1.000	0.288	0.000	X	X	F	0	1	26.0	26.000000	26.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
Fe 1	19470.398	1947.0398	-0.582	6.4496	52019.532	1.0	7.0862	57154.057	2.0	5.0	2.430	1.310	GA	8.51E+07	7.930	-4.180	-7.320	-7.320	-7.320	1.000	0.122	0.000	X	X	F	0	1	26.0	26.000000	26.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
Cr 1	19471.448	1947.1448	-2.982	3.0111	24286.159	1.0	3.6477	29420.685	1.0	3.0	1.480	2.510	GA	1.62E+07	7.210	-6.110	-7.780	-7.780	-7.780	1.000	0.010	0.000	X	X	F	0	1	24.0	24.000000	24.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
Fe 1	19475.488	1947.5488	-4.618	3.0173	24336.166	2.0	3.6537	29469.078	2.0	5.0	1.480	1.840	GA	2.24E+07	7.350	-6.120	-7.790	-7.790	-7.790	1.000	0.028	0.000	X	X	F	0	1	26.0	26.000000	26.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
Fe 1	19476.243	1947.6243	-1.527	6.4403	51944.523	2.0	7.0768	57078.241	1.0	3.0	1.810	0.320	GA	1.32E+08	8.120	-4.450	-7.350	-7.350	-7.350	1.000	0.018	0.000	X	X	F	0	1	26.0	26.000000	26.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
Fe 1	19476.448	1947.6448	-1.752	6.7271	54257.721	2.0	7.3635	59390.633	3.0	7.0	0.500	1.170	GA	9.33E+07	7.970	-4.530	-7.260	-7.260	-7.260	1.000	0.007	0.000	X	X	F	0	1	26.0	26.000000	26.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
Fe 1	19477.431	1947.7431	-2.057	6.4496	52019.532	1.0	7.0860	57152.444	2.0	5.0	2.430	1.670	GA	8.32E+07	7.920	-4.150	-7.320	-7.320	-7.320	1.000	0.006	0.000	X	X	F	0	1	26.0	26.000000	26.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
Fe 1	19477.992	1947.7992	-2.352	6.4496	52019.532	1.0	7.0860	57152.444	1.0	3.0	2.430	2.500	GA	8.32E+07	7.920	-4.430	-7.320	-7.320	-7.320	1.000	0.003	0.000	X	X	F	0	1	26.0	26.000000	26.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
Ni 1	19478.802	1947.8802	-2.147	5.8445	47139.072	2.0	6.4809	52271.984	2.0	5.0	1.210	1.070	GA	7.08E+07	7.850	-4.780	-7.320	-7.320	-7.320	1.000	0.002	0.000	X	X	F	0	1	28.0	28.000000	28.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
Ni 1	19479.058	1947.9058	-1.733	5.8445	47139.072	2.0	6.4809	52271.984	2.0	5.0	1.210	1.070	GA	7.08E+07	7.850	-4.780	-7.320	-7.320	-7.320	1.000	0.006	0.000	X	X	F	0	1	28.0	28.000000	28.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
Fe 1	19479.742	1947.9742	-1.619	7.0166	56592.696	4.0	7.6529	61724.801	3.0	7.0	1.150	0.760	GA	2.29E+08	8.360	-4.910	-7.510	-7.510	-7.510	1.000	0.005	0.000	X	X	F	0	1	26.0	26.000000	26.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
Fe 1	19480.163	1948.0163	-0.730	6.4405	51946.136	1.0	7.0768	57078.241	1.0	3.0	0.070	0.320	GA	7.76E+07	7.890	-4.450	-7.350	-7.350	-7.350	1.000	0.096	0.000	X	X	F	0	1	26.0	26.000000	26.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
Fe 1	19482.061	1948.2061	-1.707	6.6193	53388.255	4.0	7.2556	58520.361	4.0	9.0	1.390	1.180	GA	2.51E+08	8.400	-5.330	-7.390	-7.390	-7.390	1.000	0.009	0.000	X	X	F	0	1	26.0	26.000000	26.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
