holding,source,wavelength_air_A,ep_eV,loggf,band,status,conditioning,reason,provenance
solar_crires_plus_y_rya794,Bergemann2013,11991.57,4.92,-0.109,J,HOLD,,"LookupError: no crires_plus holding covers 11991.570 +/- 1.000 A (solar_crires_plus_y_rya794 10280.0-10680.0 A). Coverage must be TOTAL -- a window half inside a fixed product is a truncated window, not a measurement.",
solar_crires_plus_y_wide_rya1054,Bergemann2013,11991.57,4.92,-0.109,J,HOLD,,"LookupError: no crires_plus holding covers 11991.570 +/- 1.000 A (solar_crires_plus_y_wide_rya1054 9800.0-10796.0 A). Coverage must be TOTAL -- a window half inside a fixed product is a truncated window, not a measurement.",
solar_crires_plus_h_rya1094,Bergemann2013,11991.57,4.92,-0.109,J,HOLD,,"LookupError: no crires_plus holding covers 11991.570 +/- 1.000 A (solar_crires_plus_h_rya1094 15007.1-17493.7 A). Coverage must be TOTAL -- a window half inside a fixed product is a truncated window, not a measurement.",
solar_vesta_crires_plus_idp,Bergemann2013,11991.57,4.92,-0.109,J,HOLD,,"TelluricNotCorrected: crires_plus covers 11991.570 A but no holding may be measured there. solar_vesta_crires_plus_idp: telluric_applied=not-applied and crires_plus is registered telluric_required=yes (basis 'correction_required'). Route it through the RYA-424 telluric stage (molecfit / cr2res / APERO+Wapiti) BEFORE any IR abundance; before correction the observed flux is not stellar. If you ARE the telluric correction leg and need the uncorrected flux in order to correct it, pass allow_uncorrected=True.",
solar_crires_plus_y_rya794,Bergemann2013,11984.2,4.93,0.239,J,HOLD,,"LookupError: no crires_plus holding covers 11984.200 +/- 1.000 A (solar_crires_plus_y_rya794 10280.0-10680.0 A). Coverage must be TOTAL -- a window half inside a fixed product is a truncated window, not a measurement.",
solar_crires_plus_y_wide_rya1054,Bergemann2013,11984.2,4.93,0.239,J,HOLD,,"LookupError: no crires_plus holding covers 11984.200 +/- 1.000 A (solar_crires_plus_y_wide_rya1054 9800.0-10796.0 A). Coverage must be TOTAL -- a window half inside a fixed product is a truncated window, not a measurement.",
solar_crires_plus_h_rya1094,Bergemann2013,11984.2,4.93,0.239,J,HOLD,,"LookupError: no crires_plus holding covers 11984.200 +/- 1.000 A (solar_crires_plus_h_rya1094 15007.1-17493.7 A). Coverage must be TOTAL -- a window half inside a fixed product is a truncated window, not a measurement.",
solar_vesta_crires_plus_idp,Bergemann2013,11984.2,4.93,0.239,J,HOLD,,"TelluricNotCorrected: crires_plus covers 11984.200 A but no holding may be measured there. solar_vesta_crires_plus_idp: telluric_applied=not-applied and crires_plus is registered telluric_required=yes (basis 'correction_required'). Route it through the RYA-424 telluric stage (molecfit / cr2res / APERO+Wapiti) BEFORE any IR abundance; before correction the observed flux is not stellar. If you ARE the telluric correction leg and need the uncorrected flux in order to correct it, pass allow_uncorrected=True.",
solar_crires_plus_y_rya794,Bergemann2013,12103.54,4.93,-0.351,J,HOLD,,"LookupError: no crires_plus holding covers 12103.540 +/- 1.000 A (solar_crires_plus_y_rya794 10280.0-10680.0 A). Coverage must be TOTAL -- a window half inside a fixed product is a truncated window, not a measurement.",
solar_crires_plus_y_wide_rya1054,Bergemann2013,12103.54,4.93,-0.351,J,HOLD,,"LookupError: no crires_plus holding covers 12103.540 +/- 1.000 A (solar_crires_plus_y_wide_rya1054 9800.0-10796.0 A). Coverage must be TOTAL -- a window half inside a fixed product is a truncated window, not a measurement.",
solar_crires_plus_h_rya1094,Bergemann2013,12103.54,4.93,-0.351,J,HOLD,,"LookupError: no crires_plus holding covers 12103.540 +/- 1.000 A (solar_crires_plus_h_rya1094 15007.1-17493.7 A). Coverage must be TOTAL -- a window half inside a fixed product is a truncated window, not a measurement.",
solar_vesta_crires_plus_idp,Bergemann2013,12103.54,4.93,-0.351,J,HOLD,,"TelluricNotCorrected: crires_plus covers 12103.540 A but no holding may be measured there. solar_vesta_crires_plus_idp: telluric_applied=not-applied and crires_plus is registered telluric_required=yes (basis 'correction_required'). Route it through the RYA-424 telluric stage (molecfit / cr2res / APERO+Wapiti) BEFORE any IR abundance; before correction the observed flux is not stellar. If you ARE the telluric correction leg and need the uncorrected flux in order to correct it, pass allow_uncorrected=True.",
solar_crires_plus_y_rya794,Bergemann2013,12031.5,4.95,0.477,J,HOLD,,"LookupError: no crires_plus holding covers 12031.500 +/- 1.000 A (solar_crires_plus_y_rya794 10280.0-10680.0 A). Coverage must be TOTAL -- a window half inside a fixed product is a truncated window, not a measurement.",
solar_crires_plus_y_wide_rya1054,Bergemann2013,12031.5,4.95,0.477,J,HOLD,,"LookupError: no crires_plus holding covers 12031.500 +/- 1.000 A (solar_crires_plus_y_wide_rya1054 9800.0-10796.0 A). Coverage must be TOTAL -- a window half inside a fixed product is a truncated window, not a measurement.",
solar_crires_plus_h_rya1094,Bergemann2013,12031.5,4.95,0.477,J,HOLD,,"LookupError: no crires_plus holding covers 12031.500 +/- 1.000 A (solar_crires_plus_h_rya1094 15007.1-17493.7 A). Coverage must be TOTAL -- a window half inside a fixed product is a truncated window, not a measurement.",
solar_vesta_crires_plus_idp,Bergemann2013,12031.5,4.95,0.477,J,HOLD,,"TelluricNotCorrected: crires_plus covers 12031.500 A but no holding may be measured there. solar_vesta_crires_plus_idp: telluric_applied=not-applied and crires_plus is registered telluric_required=yes (basis 'correction_required'). Route it through the RYA-424 telluric stage (molecfit / cr2res / APERO+Wapiti) BEFORE any IR abundance; before correction the observed flux is not stellar. If you ARE the telluric correction leg and need the uncorrected flux in order to correct it, pass allow_uncorrected=True.",
