element,ion,band,instrument,treatment,handler,A,n_lines,n_excluded,stat_dex,syst_dex,dominant
Fe,I,VIS,kpno_solar_atlas,1D-LTE,ProfileFitHandler,7.586,148,11,0.0261,0.1705,gf scale (UNGRADED)
Fe,I,VIS,kpno_solar_atlas,ENGINE-A,ProfileFitHandler,7.597,105,43,0.0279,0.1705,gf scale (UNGRADED)
Fe,I,VIS,kpno_solar_atlas,ENGINE-B-NLTE,SynthesisHandler,7.57,131,28,0.0205,0.17,gf scale (UNGRADED)
