Molecule,Upper Manifold,J',Sym',#',Lower Manifold,"J""","Sym""","#""",Position(angair),Position(cm-1),f-value(4sig),f-value,Eupper,Elower,A,Branch,Label,v',J',N',Fnp,Label,"v""","J""","N""",Fnp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NH,A,2,f,1,X,2,e,1,3361.7232,29738.1042,0.002368,0.002368272,29770.60149,32.49728177,1397012.918,qQ1(2),A,v=0,2,1,F1f,X,v=0,2,1,F1e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NH,A,2,f,2,X,2,e,1,3350.8441,29834.6507,0.001462,0.001462124,29867.14794,32.49728177,868097.3409,rQ21(2),A,v=0,2,2,F2f,X,v=0,2,1,F1e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NH,A,2,f,3,X,2,e,1,3338.9979,29940.4962,0.00003723,3.72E-05,29972.99346,32.49728177,22261.77026,sQ31(2),A,v=0,2,3,F3f,X,v=0,2,1,F1e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NH,A,2,f,1,X,2,e,2,3380.2642,29574.9941,0.00002772,2.77E-05,29770.60149,195.6073674,16174.30841,oQ13(2),A,v=0,2,1,F1f,X,v=0,2,3,F3e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NH,A,2,f,2,X,2,e,2,3369.2650,29671.5406,0.0006281,0.00062815,29867.14794,195.6073674,368880.5272,pQ23(2),A,v=0,2,2,F2f,X,v=0,2,3,F3e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NH,A,2,f,3,X,2,e,2,3357.2883,29777.3861,0.003344,0.003344275,29972.99346,195.6073674,1977959.194,qQ3(2),A,v=0,2,3,F3f,X,v=0,2,3,F3e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NH,A,3,e,1,X,2,e,1,3353.6357,29809.8176,0.003443,0.003442809,29842.31486,32.49728177,1457624.939,rR1(2),A,v=0,3,2,F1e,X,v=0,2,1,F1e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NH,A,3,e,2,X,2,e,1,3340.3696,29928.2018,0.0001626,0.000162576,29960.69906,32.49728177,69379.4052,sR21(2),A,v=0,3,3,F2e,X,v=0,2,1,F1e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NH,A,3,e,3,X,2,e,1,3325.0617,30065.9803,2.579E-07,2.58E-07,30098.47755,32.49728177,111.0935315,tR31(2),A,v=0,3,4,F3e,X,v=0,2,1,F1e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NH,A,3,e,1,X,2,e,2,3372.0873,29646.7075,0.00006785,6.78E-05,29842.31486,195.6073674,28412.92396,pR13(2),A,v=0,3,2,F1e,X,v=0,2,3,F3e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NH,A,3,e,2,X,2,e,2,3358.6751,29765.0917,0.0008367,0.000836748,29960.69906,195.6073674,353202.3252,qR23(2),A,v=0,3,3,F2e,X,v=0,2,3,F3e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NH,A,3,e,3,X,2,e,2,3343.1994,29902.8702,0.002652,0.002652208,30098.47755,195.6073674,1129919.599,rR3(2),A,v=0,3,4,F3e,X,v=0,2,3,F3e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NH,A,1,f,1,X,2,f,1,3365.0608,29708.6102,0.000335,0.000334983,29807.27659,98.66640593,328683.4093,pP2(2),A,v=0,1,1,F2f,X,v=0,2,2,F2f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NH,A,1,f,2,X,2,f,1,3356.6742,29782.8338,0.0009534,0.000953396,29881.50018,98.66640593,940147.8771,qP32(2),A,v=0,1,2,F3f,X,v=0,2,2,F2f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NH,A,2,e,1,X,2,f,1,3369.2188,29671.9470,0.0007301,0.000730121,29770.61339,98.66640593,428774.6324,pQ12(2),A,v=0,2,1,F1e,X,v=0,2,2,F2f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NH,A,2,e,2,X,2,f,1,3358.4113,29767.4295,0.002002,0.002001506,29866.09587,98.66640593,1182991.962,qQ2(2),A,v=0,2,2,F2e,X,v=0,2,2,F2f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NH,A,2,e,3,X,2,f,1,3346.5488,29872.9423,0.0008466,0.000846592,29971.60868,98.66640593,503932.3086,rQ32(2),A,v=0,2,3,F3e,X,v=0,2,2,F2f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NH,A,3,f,1,X,2,f,1,3361.1063,29743.5623,0.001359,0.001359285,29842.22875,98.66640593,572942.2212,qR12(2),A,v=0,3,2,F1f,X,v=0,2,2,F2f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NH,A,3,f,2,X,2,f,1,3347.6221,29863.3655,0.002291,0.002291414,29962.03186,98.66640593,973632.9802,rR2(2),A,v=0,3,3,F2f,X,v=0,2,2,F2f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NH,A,3,f,3,X,2,f,1,3332.2860,30000.8001,0.00007332,7.33E-05,30099.46653,98.66640593,31442.20416,sR32(2),A,v=0,3,4,F3f,X,v=0,2,2,F2f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NH,A,2,f,1,X,3,f,1,3380.3710,29574.0592,0.00005833,5.83E-05,29770.60149,196.5422478,47637.85135,oP12(3),A,v=0,2,1,F1f,X,v=0,3,3,F2f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NH,A,2,f,2,X,3,f,1,3369.3711,29670.6057,0.0007625,0.000762516,29867.14794,196.5422478,626861.8695,pP2(3),A,v=0,2,2,F2f,X,v=0,3,3,F2f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NH,A,2,f,3,X,3,f,1,3357.3937,29776.4512,0.0006056,0.000605619,29972.99346,196.5422478,501436.4109,qP32(3),A,v=0,2,3,F3f,X,v=0,3,3,F2f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NH,A,3,e,1,X,3,f,1,3372.1936,29645.7726,0.0005584,0.000558446,29842.31486,196.5422478,327377.3663,pQ12(3),A,v=0,3,2,F1e,X,v=0,3,3,F2f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NH,A,3,e,2,X,3,f,1,3358.7806,29764.1568,0.002852,0.002852037,29960.69906,196.5422478,1685328.518,qQ2(3),A,v=0,3,3,F2e,X,v=0,3,3,F2f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NH,A,3,e,3,X,3,f,1,3343.3039,29901.9353,0.0005156,0.000515638,30098.47755,196.5422478,307528.801,rQ32(3),A,v=0,3,4,F3e,X,v=0,3,3,F2f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NH,A,4,f,1,X,3,f,1,3360.6958,29747.1955,0.0007577,0.000757733,29943.73778,196.5422478,347861.4237,qR12(3),A,v=0,4,3,F1f,X,v=0,3,3,F2f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NH,A,4,f,2,X,3,f,1,3344.1772,29894.1267,0.002409,0.002409446,30090.66892,196.5422478,1117086.412,rR2(3),A,v=0,4,4,F2f,X,v=0,3,3,F2f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NH,A,4,f,3,X,3,f,1,3325.4107,30062.8250,0.00005084,5.08E-05,30259.36726,196.5422478,23838.32908,sR32(3),A,v=0,4,5,F3f,X,v=0,3,3,F2f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NH,A,2,e,1,X,3,e,1,3369.1102,29672.9034,0.0005321,0.000532051,29770.61339,97.70999796,437465.0722,pP1(3),A,v=0,2,1,F1e,X,v=0,3,2,F1e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NH,A,2,e,2,X,3,e,1,3358.3034,29768.3859,0.0007544,0.000754434,29866.09587,97.70999796,624312.2375,qP21(3),A,v=0,2,2,F2e,X,v=0,3,2,F1e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NH,A,2,e,3,X,3,e,1,3346.4417,29873.8987,0.00005262,5.26E-05,29971.60868,97.70999796,43854.63624,rP31(3),A,v=0,2,3,F3e,X,v=0,3,2,F1e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NH,A,2,e,1,X,3,e,2,3395.2352,29444.5897,0.000001127,1.13E-06,29770.61339,326.0236991,912.5917991,nP13(3),A,v=0,2,1,F1e,X,v=0,3,4,F3e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NH,A,2,e,2,X,3,e,2,3384.2604,29540.0722,0.00004314,4.31E-05,29866.09587,326.0236991,35156.39045,oP23(3),A,v=0,2,2,F2e,X,v=0,3,4,F3e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NH,A,2,e,3,X,3,e,2,3372.2150,29645.5850,0.001263,0.001263148,29971.60868,326.0236991,1036679.847,pP3(3),A,v=0,2,3,F3e,X,v=0,3,4,F3e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NH,A,3,f,1,X,3,e,1,3360.9982,29744.5187,0.003226,0.00322589,29842.22875,97.70999796,1903731.254,qQ1(3),A,v=0,3,2,F1f,X,v=0,3,2,F1e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NH,A,3,f,2,X,3,e,1,3347.5149,29864.3219,0.0008418,0.000841782,29962.03186,97.70999796,500780.4257,rQ21(3),A,v=0,3,3,F2f,X,v=0,3,2,F1e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NH,A,3,f,3,X,3,e,1,3332.1798,30001.7565,0.00001209,1.21E-05,30099.46653,97.70999796,7259.340182,sQ31(3),A,v=0,3,4,F3f,X,v=0,3,2,F1e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NH,A,3,f,1,X,3,e,2,3386.9970,29516.2050,0.00001323,1.32E-05,29842.22875,326.0236991,7686.20105,oQ13(3),A,v=0,3,2,F1f,X,v=0,3,4,F3e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NH,A,3,f,2,X,3,e,2,3373.3047,29636.0082,0.0004177,0.0004177,29962.03186,326.0236991,244706.7392,pQ23(3),A,v=0,3,3,F2f,X,v=0,3,4,F3e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NH,A,3,f,3,X,3,e,2,3357.7330,29773.4428,0.003695,0.003695025,30099.46653,326.0236991,2184830.404,qQ3(3),A,v=0,3,4,F3f,X,v=0,3,4,F3e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NH,A,4,e,1,X,3,e,1,3349.5394,29846.2714,0.003054,0.003053814,29943.98144,97.70999796,1411303.588,rR1(3),A,v=0,4,3,F1e,X,v=0,3,2,F1e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NH,A,4,e,2,X,3,e,1,3333.3371,29991.3403,0.00009538,9.54E-05,30089.05033,97.70999796,44508.58112,sR21(3),A,v=0,4,4,F2e,X,v=0,3,2,F1e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NH,A,4,e,3,X,3,e,1,3314.5808,30161.0474,8.595E-08,8.60E-08,30258.75738,97.70999796,40.56397719,tR31(3),A,v=0,4,5,F3e,X,v=0,3,2,F1e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NH,A,4,e,1,X,3,e,2,3375.3606,29617.9577,0.00002588,2.59E-05,29943.98144,326.0236991,11779.5057,pR13(3),A,v=0,4,3,F1e,X,v=0,3,4,F3e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NH,A,4,e,2,X,3,e,2,3358.9081,29763.0266,0.0005073,0.000507312,30089.05033,326.0236991,233145.3953,qR23(3),A,v=0,4,4,F2e,X,v=0,3,4,F3e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NH,A,4,e,3,X,3,e,2,3339.8638,29932.7337,0.0026,0.002600448,30258.75738,326.0236991,1208756.362,rR3(3),A,v=0,4,5,F3e,X,v=0,3,4,F3e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NH,A,3,e,1,X,4,e,1,3372.0754,29646.8118,0.0009439,0.000943922,29842.31486,195.503014,711506.3928,pP1(4),A,v=0,3,2,F1e,X,v=0,4,3,F1e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NH,A,3,e,2,X,4,e,1,3358.6633,29765.1960,0.0005239,0.00052394,29960.69906,195.503014,398094.3172,qP21(4),A,v=0,3,3,F2e,X,v=0,4,3,F1e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NH,A,3,e,3,X,4,e,1,3343.1877,29902.9745,0.00001902,1.90E-05,30098.47755,195.503014,14585.27261,rP31(4),A,v=0,3,4,F3e,X,v=0,4,3,F1e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NH,A,3,e,1,X,4,e,2,3405.7570,29353.6254,7.091E-07,7.09E-07,29842.31486,488.6894407,524.0159192,nP13(4),A,v=0,3,2,F1e,X,v=0,4,5,F3e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NH,A,3,e,2,X,4,e,2,3392.0762,29472.0096,0.00003292,3.29E-05,29960.69906,488.6894407,24525.97465,oP23(4),A,v=0,3,3,F2e,X,v=0,4,5,F3e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NH,A,3,e,3,X,4,e,2,3376.2919,29609.7881,0.001437,0.001436508,30098.47755,488.6894407,1080103.618,pP3(4),A,v=0,3,4,F3e,X,v=0,4,5,F3e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NH,A,4,f,1,X,4,e,1,3360.5784,29748.2348,0.00362,0.003620059,29943.73778,195.503014,2136880.434,qQ1(4),A,v=0,4,3,F1f,X,v=0,4,3,F1e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NH,A,4,f,2,X,4,e,1,3344.0610,29895.1659,0.0005258,0.00052577,30090.66892,195.503014,313429.5863,rQ21(4),A,v=0,4,4,F2f,X,v=0,4,3,F1e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NH,A,4,f,3,X,4,e,1,3325.2957,30063.8642,0.000004915,4.91E-06,30259.36726,195.503014,2963.07466,sQ31(4),A,v=0,4,5,F3f,X,v=0,4,3,F1e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NH,A,4,f,1,X,4,e,2,3394.0296,29455.0483,0.000006238,6.24E-06,29943.73778,488.6894407,3610.006686,oQ13(4),A,v=0,4,3,F1f,X,v=0,4,5,F3e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NH,A,4,f,2,X,4,e,2,3377.1826,29601.9795,0.0002933,0.000293294,30090.66892,488.6894407,171429.7809,pQ23(4),A,v=0,4,4,F2f,X,v=0,4,5,F3e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NH,A,4,f,3,X,4,e,2,3358.0449,29770.6778,0.003872,0.003872032,30259.36726,488.6894407,2289067.295,qQ3(4),A,v=0,4,5,F3f,X,v=0,4,5,F3e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NH,A,5,e,1,X,4,e,1,3345.6227,29881.2118,0.002843,0.00284257,30076.71476,195.503014,1385158.852,rR1(4),A,v=0,5,4,F1e,X,v=0,4,3,F1e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NH,A,5,e,2,X,4,e,1,3326.3020,30054.7698,0.00006121,6.12E-05,30250.27278,195.503014,30175.49733,sR21(4),A,v=0,5,5,F2e,X,v=0,4,3,F1e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NH,A,5,e,3,X,4,e,1,3304.1557,30256.2072,3.161E-08,3.16E-08,30451.71018,195.503014,15.79457464,tR31(4),A,v=0,5,6,F3e,X,v=0,4,3,F1e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NH,A,5,e,1,X,4,e,2,3378.7754,29588.0253,0.00001175,1.18E-05,30076.71476,488.6894407,5615.280306,pR13(4),A,v=0,5,4,F1e,X,v=0,4,5,F3e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NH,A,5,e,2,X,4,e,2,3359.0710,29761.5833,0.0003393,0.000339345,30250.27278,488.6894407,164038.3266,qR23(4),A,v=0,5,5,F2e,X,v=0,4,5,F3e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NH,A,5,e,3,X,4,e,2,3336.4877,29963.0207,0.002548,0.002547584,30451.71018,488.6894407,1248221.862,rR3(4),A,v=0,5,6,F3e,X,v=0,4,5,F3e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NH,A,3,f,1,X,4,f,1,3387.0922,29515.3756,0.0000549,5.49E-05,29842.22875,326.8531771,41015.24797,oP12(4),A,v=0,3,2,F1f,X,v=0,4,4,F2f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NH,A,3,f,2,X,4,f,1,3373.3991,29635.1787,0.001078,0.001077789,29962.03186,326.8531771,811774.4898,pP2(4),A,v=0,3,3,F2f,X,v=0,4,4,F2f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NH,A,3,f,3,X,4,f,1,3357.8265,29772.6134,0.0004063,0.000406293,30099.46653,326.8531771,308858.7051,qP32(4),A,v=0,3,4,F3f,X,v=0,4,4,F2f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NH,A,4,e,1,X,4,f,1,3375.4551,29617.1283,0.0003911,0.000391104,29943.98144,326.8531771,228833.6761,pQ12(4),A,v=0,4,3,F1e,X,v=0,4,4,F2f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NH,A,4,e,2,X,4,f,1,3359.0018,29762.1972,0.003322,0.003322299,30089.05033,326.8531771,1962957.792,qQ2(4),A,v=0,4,4,F2e,X,v=0,4,4,F2f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
