species,wavelength_air_A,star,abundance_dex,used,source_table
Al,21163.80,2M14260433-6219024,-0.07,True,table_al.dat
Al,21163.80,2M14261117-6240220,-0.12,True,table_al.dat
Al,21163.80,2M14275833-6147534,-0.10,True,table_al.dat
Al,21163.80,2M14283733-6257279,-0.07,True,table_al.dat
Al,21163.80,2M14291063-6317181,-0.15,True,table_al.dat
Al,21163.80,2M14311520-6145468,-0.13,True,table_al.dat
Al,21163.80,2M14322072-6215506,-0.15,True,table_al.dat
Al,21163.80,2M14332169-6302108,-0.07,True,table_al.dat
Al,21163.80,2M14332869-6211255,-0.28,True,table_al.dat
Al,21163.80,2M14333081-6221450,-0.12,True,table_al.dat
Al,21163.80,2M14333688-6232028,-0.11,True,table_al.dat
Al,21163.80,2M14345114-6225509,-0.04,True,table_al.dat
Al,21163.80,2M14360142-6228561,-0.10,True,table_al.dat
Al,21163.80,2M14360935-6309399,-0.06,True,table_al.dat
Al,21163.80,2M14371958-6251344,-0.22,True,table_al.dat
Al,21163.80,2M14375085-6237526,-0.15,True,table_al.dat
Al,21163.80,2M15161949+0244516,0.10,True,table_al.dat
Al,21163.80,2M17584888-2351011,-0.32,True,table_al.dat
Al,21163.80,2M18103303-1626220,-0.08,True,table_al.dat
Al,21163.80,2M18142346-2136410,-0.09,True,table_al.dat
Al,21163.80,2M18191551-1726223,-0.12,True,table_al.dat
Al,21163.80,2M18522108-3022143,-0.01,True,table_al.dat
Al,21163.80,HD132813,-0.04,True,table_al.dat
Al,21163.80,HD175588,-0.11,True,table_al.dat
Al,21163.80,HD89758,-0.12,True,table_al.dat
Al,21163.80,HD224935,0.01,True,table_al.dat
Al,21163.80,HD101153,0.00,True,table_al.dat
Al,21163.80,HIP54396,0.03,True,table_al.dat
Al,21208.18,2M05484106-0602007,0.05,True,table_al.dat
Al,21208.18,2M05594446-7212111,0.18,True,table_al.dat
Al,21208.18,2M06035110-7456029,0.30,True,table_al.dat
Al,21208.18,2M06035214-7255079,0.12,True,table_al.dat
Al,21208.18,2M06052796-0553384,-0.02,True,table_al.dat
Al,21208.18,2M06074096-0530332,0.10,True,table_al.dat
Al,21208.18,2M06124201-0025095,0.16,True,table_al.dat
Al,21208.18,2M06140107-0641072,0.25,True,table_al.dat
Al,21208.18,2M06143705-0551064,0.07,True,table_al.dat
Al,21208.18,2M06171159-7259319,0.27,True,table_al.dat
Al,21208.18,2M06223443-0443153,0.05,True,table_al.dat
Al,21208.18,2M06231693-0530385,0.10,True,table_al.dat
Al,21208.18,2M06520463-0047080,-0.01,True,table_al.dat
Al,21208.18,2M06551808-0148080,0.17,True,table_al.dat
Al,21208.18,2M06574070-1231239,0.01,True,table_al.dat
Al,21208.18,2M10430394-4605354,-0.00,True,table_al.dat
Al,21208.18,2M11042542-7318068,0.10,True,table_al.dat
Al,21208.18,2M12101600-4936072,0.12,True,table_al.dat
Al,21208.18,2M13403516-5040261,0.06,True,table_al.dat
Al,21208.18,2M14131192-4849280,0.17,True,table_al.dat
Al,21208.18,2M14240039-6252516,0.14,True,table_al.dat
Al,21208.18,2M14241044-6218367,0.10,True,table_al.dat
Al,21208.18,2M14260433-6219024,0.05,True,table_al.dat
Al,21208.18,2M14261117-6240220,0.06,True,table_al.dat
Al,21208.18,2M14275833-6147534,0.04,True,table_al.dat
Al,21208.18,2M14283733-6257279,0.05,True,table_al.dat
Al,21208.18,2M14291063-6317181,0.02,True,table_al.dat
Al,21208.18,2M14311520-6145468,0.04,True,table_al.dat
Al,21208.18,2M14322072-6215506,0.07,True,table_al.dat
Al,21208.18,2M14332169-6302108,0.10,True,table_al.dat
Al,21208.18,2M14332869-6211255,-0.02,True,table_al.dat
Al,21208.18,2M14333081-6221450,0.01,True,table_al.dat
Al,21208.18,2M14333688-6232028,0.06,True,table_al.dat
Al,21208.18,2M14345114-6225509,0.26,True,table_al.dat
Al,21208.18,2M14360142-6228561,0.11,True,table_al.dat
Al,21208.18,2M14360935-6309399,0.10,True,table_al.dat
Al,21208.18,2M14371958-6251344,0.03,True,table_al.dat
Al,21208.18,2M14375085-6237526,0.09,True,table_al.dat
Al,21208.18,2M15161949+0244516,0.35,True,table_al.dat
Al,21208.18,2M17584888-2351011,-0.04,True,table_al.dat
Al,21208.18,2M18103303-1626220,0.04,True,table_al.dat
Al,21208.18,2M18142346-2136410,0.11,True,table_al.dat
Al,21208.18,2M18191551-1726223,0.05,True,table_al.dat
Al,21208.18,2M18522108-3022143,0.30,True,table_al.dat
Al,21208.18,HD132813,0.12,True,table_al.dat
Al,21208.18,HD175588,0.04,True,table_al.dat
Al,21208.18,HD89758,0.08,True,table_al.dat
Al,21208.18,HD224935,0.17,True,table_al.dat
Al,21208.18,HD101153,0.16,True,table_al.dat
Al,21208.18,HIP54396,0.24,True,table_al.dat
Si,16434.93,2M05484106-0602007,0.21,True,table_si.dat
Si,16434.93,2M05594446-7212111,0.06,True,table_si.dat
Si,16434.93,2M06035110-7456029,0.37,True,table_si.dat
Si,16434.93,2M06035214-7255079,0.18,True,table_si.dat
Si,16434.93,2M06052796-0553384,0.06,True,table_si.dat
Si,16434.93,2M06074096-0530332,0.15,True,table_si.dat
Si,16434.93,2M06124201-0025095,0.11,True,table_si.dat
Si,16434.93,2M06140107-0641072,0.26,True,table_si.dat
Si,16434.93,2M06143705-0551064,0.10,True,table_si.dat
Si,16434.93,2M06171159-7259319,0.38,True,table_si.dat
Si,16434.93,2M06223443-0443153,0.10,True,table_si.dat
Si,16434.93,2M06231693-0530385,0.03,True,table_si.dat
Si,16434.93,2M06520463-0047080,0.04,True,table_si.dat
Si,16434.93,2M06551808-0148080,0.17,True,table_si.dat
Si,16434.93,2M06574070-1231239,0.07,True,table_si.dat
Si,16434.93,2M10430394-4605354,0.01,True,table_si.dat
Si,16434.93,2M11042542-7318068,0.22,True,table_si.dat
Si,16434.93,2M12101600-4936072,0.15,True,table_si.dat
Si,16434.93,2M13403516-5040261,-0.00,True,table_si.dat
Si,16434.93,2M14131192-4849280,-0.03,True,table_si.dat
Si,16434.93,2M14240039-6252516,-0.08,True,table_si.dat
Si,16434.93,2M14241044-6218367,-0.01,True,table_si.dat
Si,16434.93,2M14260433-6219024,-0.04,True,table_si.dat
Si,16434.93,2M14261117-6240220,-0.14,True,table_si.dat
Si,16434.93,2M14275833-6147534,-0.08,True,table_si.dat
Si,16434.93,2M14283733-6257279,-0.16,True,table_si.dat
Si,16434.93,2M14291063-6317181,-0.13,True,table_si.dat
Si,16434.93,2M14311520-6145468,0.02,True,table_si.dat
Si,16434.93,2M14322072-6215506,0.12,True,table_si.dat
Si,16434.93,2M14332169-6302108,0.01,True,table_si.dat
Si,16434.93,2M14332869-6211255,-0.06,True,table_si.dat
Si,16434.93,2M14333081-6221450,-0.03,True,table_si.dat
Si,16434.93,2M14333688-6232028,-0.08,True,table_si.dat
Si,16434.93,2M14345114-6225509,-0.16,True,table_si.dat
Si,16434.93,2M14360142-6228561,0.04,True,table_si.dat
Si,16434.93,2M14360935-6309399,0.04,True,table_si.dat
Si,16434.93,2M14371958-6251344,0.04,True,table_si.dat
Si,16434.93,2M14375085-6237526,-0.18,True,table_si.dat
Si,16434.93,2M15161949+0244516,0.19,True,table_si.dat
Si,16434.93,2M17584888-2351011,0.04,True,table_si.dat
Si,16434.93,2M18103303-1626220,-0.14,True,table_si.dat
Si,16434.93,2M18142346-2136410,-0.00,True,table_si.dat
Si,16434.93,2M18191551-1726223,-0.13,True,table_si.dat
Si,16434.93,2M18522108-3022143,0.45,True,table_si.dat
Si,16434.93,HD132813,-0.05,True,table_si.dat
Si,16434.93,HD175588,-0.09,True,table_si.dat
Si,16434.93,HD89758,0.10,True,table_si.dat
Si,16434.93,HD224935,-0.05,True,table_si.dat
Si,16434.93,HD101153,-0.02,True,table_si.dat
Si,16434.93,HIP54396,-0.14,True,table_si.dat
Si,20804.20,2M05484106-0602007,0.04,True,table_si.dat
Si,20804.20,2M05594446-7212111,0.05,True,table_si.dat
Si,20804.20,2M06035110-7456029,0.28,True,table_si.dat
Si,20804.20,2M06035214-7255079,,False,table_si.dat
Si,20804.20,2M06052796-0553384,0.06,True,table_si.dat
Si,20804.20,2M06074096-0530332,0.04,True,table_si.dat
Si,20804.20,2M06124201-0025095,,False,table_si.dat
Si,20804.20,2M06140107-0641072,0.34,True,table_si.dat
Si,20804.20,2M06143705-0551064,0.13,True,table_si.dat
Si,20804.20,2M06171159-7259319,0.29,True,table_si.dat
Si,20804.20,2M06223443-0443153,0.03,True,table_si.dat
Si,20804.20,2M06231693-0530385,0.13,True,table_si.dat
Si,20804.20,2M06520463-0047080,-0.07,True,table_si.dat
Si,20804.20,2M06551808-0148080,0.13,True,table_si.dat
Si,20804.20,2M06574070-1231239,0.07,True,table_si.dat
Si,20804.20,2M10430394-4605354,-0.06,True,table_si.dat
Si,20804.20,2M11042542-7318068,,False,table_si.dat
Si,20804.20,2M12101600-4936072,0.10,True,table_si.dat
Si,20804.20,2M13403516-5040261,0.02,True,table_si.dat
Si,20804.20,2M14131192-4849280,-0.02,True,table_si.dat
Si,20804.20,2M14240039-6252516,0.00,True,table_si.dat
Si,20804.20,2M14241044-6218367,-0.08,True,table_si.dat
Si,20804.20,2M14260433-6219024,-0.18,True,table_si.dat
Si,20804.20,2M14261117-6240220,-0.01,True,table_si.dat
Si,20804.20,2M14275833-6147534,-0.02,True,table_si.dat
Si,20804.20,2M14283733-6257279,0.08,True,table_si.dat
Si,20804.20,2M14291063-6317181,-0.01,True,table_si.dat
Si,20804.20,2M14311520-6145468,-0.05,True,table_si.dat
Si,20804.20,2M14322072-6215506,0.07,True,table_si.dat
Si,20804.20,2M14332169-6302108,0.04,True,table_si.dat
Si,20804.20,2M14332869-6211255,-0.08,True,table_si.dat
Si,20804.20,2M14333081-6221450,0.00,True,table_si.dat
Si,20804.20,2M14333688-6232028,,False,table_si.dat
Si,20804.20,2M14345114-6225509,0.01,True,table_si.dat
Si,20804.20,2M14360142-6228561,0.03,True,table_si.dat
Si,20804.20,2M14360935-6309399,-0.00,True,table_si.dat
Si,20804.20,2M14371958-6251344,0.01,True,table_si.dat
Si,20804.20,2M14375085-6237526,-0.03,True,table_si.dat
Si,20804.20,2M15161949+0244516,0.05,True,table_si.dat
Si,20804.20,2M17584888-2351011,0.06,True,table_si.dat
Si,20804.20,2M18103303-1626220,-0.03,True,table_si.dat
Si,20804.20,2M18142346-2136410,0.11,True,table_si.dat
Si,20804.20,2M18191551-1726223,0.00,True,table_si.dat
Si,20804.20,2M18522108-3022143,0.24,True,table_si.dat
Si,20804.20,HD132813,0.07,True,table_si.dat
Si,20804.20,HD175588,-0.00,True,table_si.dat
Si,20804.20,HD89758,0.01,True,table_si.dat
Si,20804.20,HD224935,-0.11,True,table_si.dat
Si,20804.20,HD101153,-0.02,True,table_si.dat
Si,20804.20,HIP54396,0.03,True,table_si.dat
Si,20890.37,2M05484106-0602007,0.08,True,table_si.dat
Si,20890.37,2M05594446-7212111,,False,table_si.dat
Si,20890.37,2M06035110-7456029,0.17,True,table_si.dat
Si,20890.37,2M06035214-7255079,,False,table_si.dat
Si,20890.37,2M06052796-0553384,0.09,True,table_si.dat
Si,20890.37,2M06074096-0530332,0.02,True,table_si.dat
Si,20890.37,2M06124201-0025095,0.06,True,table_si.dat
Si,20890.37,2M06140107-0641072,0.06,True,table_si.dat
Si,20890.37,2M06143705-0551064,0.13,True,table_si.dat
Si,20890.37,2M06171159-7259319,0.36,True,table_si.dat
Si,20890.37,2M06223443-0443153,-0.01,True,table_si.dat
Si,20890.37,2M06231693-0530385,0.07,True,table_si.dat
Si,20890.37,2M06520463-0047080,0.05,True,table_si.dat
Si,20890.37,2M06551808-0148080,0.15,True,table_si.dat
Si,20890.37,2M06574070-1231239,,False,table_si.dat
Si,20890.37,2M10430394-4605354,-0.00,True,table_si.dat
Si,20890.37,2M11042542-7318068,,False,table_si.dat
Si,20890.37,2M12101600-4936072,-0.03,True,table_si.dat
Si,20890.37,2M13403516-5040261,-0.12,True,table_si.dat
Si,20890.37,2M14131192-4849280,0.13,True,table_si.dat
Si,20890.37,2M14240039-6252516,-0.02,True,table_si.dat
Si,20890.37,2M14241044-6218367,-0.11,True,table_si.dat
Si,20890.37,2M14260433-6219024,-0.08,True,table_si.dat
Si,20890.37,2M14261117-6240220,,False,table_si.dat
Si,20890.37,2M14275833-6147534,-0.22,True,table_si.dat
Si,20890.37,2M14283733-6257279,,False,table_si.dat
Si,20890.37,2M14291063-6317181,-0.09,True,table_si.dat
Si,20890.37,2M14311520-6145468,,False,table_si.dat
Si,20890.37,2M14322072-6215506,0.02,True,table_si.dat
Si,20890.37,2M14332169-6302108,-0.05,True,table_si.dat
Si,20890.37,2M14332869-6211255,0.06,True,table_si.dat
Si,20890.37,2M14333081-6221450,-0.08,True,table_si.dat
Si,20890.37,2M14333688-6232028,-0.12,True,table_si.dat
Si,20890.37,2M14345114-6225509,-0.00,True,table_si.dat
Si,20890.37,2M14360142-6228561,0.00,True,table_si.dat
Si,20890.37,2M14360935-6309399,0.01,True,table_si.dat
Si,20890.37,2M14371958-6251344,0.04,True,table_si.dat
Si,20890.37,2M14375085-6237526,,False,table_si.dat
Si,20890.37,2M15161949+0244516,0.12,True,table_si.dat
Si,20890.37,2M17584888-2351011,-0.06,True,table_si.dat
Si,20890.37,2M18103303-1626220,-0.14,True,table_si.dat
Si,20890.37,2M18142346-2136410,-0.01,True,table_si.dat
Si,20890.37,2M18191551-1726223,-0.11,True,table_si.dat
Si,20890.37,2M18522108-3022143,0.34,True,table_si.dat
Si,20890.37,HD132813,,False,table_si.dat
Si,20890.37,HD175588,0.12,True,table_si.dat
Si,20890.37,HD89758,-0.04,True,table_si.dat
Si,20890.37,HD224935,0.01,True,table_si.dat
Si,20890.37,HD101153,0.04,True,table_si.dat
Si,20890.37,HIP54396,0.09,True,table_si.dat
Si,20926.14,2M05484106-0602007,0.02,True,table_si.dat
Si,20926.14,2M05594446-7212111,0.06,True,table_si.dat
Si,20926.14,2M06035110-7456029,0.20,True,table_si.dat
Si,20926.14,2M06035214-7255079,,False,table_si.dat
Si,20926.14,2M06052796-0553384,-0.17,True,table_si.dat
Si,20926.14,2M06074096-0530332,-0.00,True,table_si.dat
Si,20926.14,2M06124201-0025095,,False,table_si.dat
Si,20926.14,2M06140107-0641072,0.34,True,table_si.dat
Si,20926.14,2M06143705-0551064,0.06,True,table_si.dat
Si,20926.14,2M06171159-7259319,0.36,True,table_si.dat
Si,20926.14,2M06223443-0443153,0.24,True,table_si.dat
Si,20926.14,2M06231693-0530385,0.00,True,table_si.dat
Si,20926.14,2M06520463-0047080,0.00,True,table_si.dat
Si,20926.14,2M06551808-0148080,-0.01,True,table_si.dat
Si,20926.14,2M06574070-1231239,-0.13,True,table_si.dat
Si,20926.14,2M10430394-4605354,-0.15,True,table_si.dat
Si,20926.14,2M11042542-7318068,-0.02,True,table_si.dat
Si,20926.14,2M12101600-4936072,,False,table_si.dat
Si,20926.14,2M13403516-5040261,-0.07,True,table_si.dat
Si,20926.14,2M14131192-4849280,-0.08,True,table_si.dat
Si,20926.14,2M14240039-6252516,-0.07,True,table_si.dat
Si,20926.14,2M14241044-6218367,-0.13,True,table_si.dat
Si,20926.14,2M14260433-6219024,0.22,True,table_si.dat
Si,20926.14,2M14261117-6240220,-0.06,True,table_si.dat
Si,20926.14,2M14275833-6147534,-0.04,True,table_si.dat
Si,20926.14,2M14283733-6257279,0.05,True,table_si.dat
Si,20926.14,2M14291063-6317181,-0.00,True,table_si.dat
Si,20926.14,2M14311520-6145468,-0.11,True,table_si.dat
Si,20926.14,2M14322072-6215506,0.07,True,table_si.dat
Si,20926.14,2M14332169-6302108,0.02,True,table_si.dat
Si,20926.14,2M14332869-6211255,-0.11,True,table_si.dat
Si,20926.14,2M14333081-6221450,0.01,True,table_si.dat
Si,20926.14,2M14333688-6232028,0.08,True,table_si.dat
Si,20926.14,2M14345114-6225509,-0.03,True,table_si.dat
Si,20926.14,2M14360142-6228561,0.00,True,table_si.dat
Si,20926.14,2M14360935-6309399,-0.02,True,table_si.dat
Si,20926.14,2M14371958-6251344,-0.16,True,table_si.dat
Si,20926.14,2M14375085-6237526,-0.02,True,table_si.dat
Si,20926.14,2M15161949+0244516,0.18,True,table_si.dat
Si,20926.14,2M17584888-2351011,0.04,True,table_si.dat
Si,20926.14,2M18103303-1626220,-0.03,True,table_si.dat
Si,20926.14,2M18142346-2136410,0.01,True,table_si.dat
Si,20926.14,2M18191551-1726223,-0.09,True,table_si.dat
Si,20926.14,2M18522108-3022143,0.28,True,table_si.dat
Si,20926.14,HD132813,,False,table_si.dat
Si,20926.14,HD175588,-0.07,True,table_si.dat
Si,20926.14,HD89758,-0.01,True,table_si.dat
Si,20926.14,HD224935,0.06,True,table_si.dat
Si,20926.14,HD101153,0.01,True,table_si.dat
Si,20926.14,HIP54396,,False,table_si.dat
S,15478.48,2M05484106-0602007,0.52,True,table_s.dat
S,15478.48,2M05594446-7212111,0.18,True,table_s.dat
S,15478.48,2M06035110-7456029,0.76,True,table_s.dat
S,15478.48,2M06035214-7255079,0.31,True,table_s.dat
S,15478.48,2M06052796-0553384,0.24,True,table_s.dat
S,15478.48,2M06074096-0530332,0.24,True,table_s.dat
S,15478.48,2M06124201-0025095,0.46,True,table_s.dat
S,15478.48,2M06140107-0641072,,False,table_s.dat
S,15478.48,2M06143705-0551064,0.44,True,table_s.dat
S,15478.48,2M06171159-7259319,0.58,True,table_s.dat
S,15478.48,2M06223443-0443153,0.40,True,table_s.dat
S,15478.48,2M06231693-0530385,0.45,True,table_s.dat
S,15478.48,2M06520463-0047080,0.17,True,table_s.dat
S,15478.48,2M06551808-0148080,0.23,True,table_s.dat
S,15478.48,2M06574070-1231239,-0.05,True,table_s.dat
S,15478.48,2M10430394-4605354,0.22,True,table_s.dat
S,15478.48,2M11042542-7318068,,False,table_s.dat
S,15478.48,2M12101600-4936072,0.61,True,table_s.dat
S,15478.48,2M13403516-5040261,0.22,True,table_s.dat
S,15478.48,2M14131192-4849280,0.13,True,table_s.dat
S,15478.48,2M14240039-6252516,0.03,True,table_s.dat
S,15478.48,2M14241044-6218367,0.03,True,table_s.dat
S,15478.48,2M14260433-6219024,0.02,True,table_s.dat
S,15478.48,2M14261117-6240220,0.14,True,table_s.dat
S,15478.48,2M14275833-6147534,-0.14,True,table_s.dat
S,15478.48,2M14283733-6257279,0.21,True,table_s.dat
S,15478.48,2M14291063-6317181,0.34,True,table_s.dat
S,15478.48,2M14311520-6145468,0.17,True,table_s.dat
S,15478.48,2M14322072-6215506,0.12,True,table_s.dat
S,15478.48,2M14332169-6302108,0.35,True,table_s.dat
S,15478.48,2M14332869-6211255,0.10,True,table_s.dat
S,15478.48,2M14333081-6221450,0.06,True,table_s.dat
S,15478.48,2M14333688-6232028,0.21,True,table_s.dat
S,15478.48,2M14345114-6225509,0.00,True,table_s.dat
S,15478.48,2M14360142-6228561,0.31,True,table_s.dat
S,15478.48,2M14360935-6309399,0.04,True,table_s.dat
S,15478.48,2M14371958-6251344,0.09,True,table_s.dat
S,15478.48,2M14375085-6237526,0.19,True,table_s.dat
S,15478.48,2M15161949+0244516,0.30,True,table_s.dat
S,15478.48,2M17584888-2351011,0.02,True,table_s.dat
S,15478.48,2M18103303-1626220,0.08,True,table_s.dat
S,15478.48,2M18142346-2136410,0.18,True,table_s.dat
S,15478.48,2M18191551-1726223,0.11,True,table_s.dat
S,15478.48,2M18522108-3022143,0.66,True,table_s.dat
S,15478.48,HD132813,0.45,True,table_s.dat
S,15478.48,HD175588,0.00,True,table_s.dat
S,15478.48,HD89758,0.18,True,table_s.dat
S,15478.48,HD224935,0.18,True,table_s.dat
S,15478.48,HD101153,0.46,True,table_s.dat
S,15478.48,HIP54396,0.40,True,table_s.dat
S,22507.60,2M05484106-0602007,0.22,True,table_s.dat
S,22507.60,2M05594446-7212111,0.08,True,table_s.dat
S,22507.60,2M06035110-7456029,,False,table_s.dat
S,22507.60,2M06035214-7255079,,False,table_s.dat
S,22507.60,2M06052796-0553384,,False,table_s.dat
S,22507.60,2M06074096-0530332,0.43,True,table_s.dat
S,22507.60,2M06124201-0025095,,False,table_s.dat
S,22507.60,2M06140107-0641072,,False,table_s.dat
S,22507.60,2M06143705-0551064,,False,table_s.dat
S,22507.60,2M06171159-7259319,0.57,True,table_s.dat
S,22507.60,2M06223443-0443153,0.12,True,table_s.dat
S,22507.60,2M06231693-0530385,0.18,True,table_s.dat
S,22507.60,2M06520463-0047080,0.14,True,table_s.dat
S,22507.60,2M06551808-0148080,0.38,True,table_s.dat
S,22507.60,2M06574070-1231239,0.02,True,table_s.dat
S,22507.60,2M10430394-4605354,-0.32,True,table_s.dat
S,22507.60,2M11042542-7318068,,False,table_s.dat
S,22507.60,2M12101600-4936072,0.37,True,table_s.dat
S,22507.60,2M13403516-5040261,0.23,True,table_s.dat
S,22507.60,2M14131192-4849280,0.15,True,table_s.dat
S,22507.60,2M14240039-6252516,-0.06,True,table_s.dat
S,22507.60,2M14241044-6218367,-0.08,True,table_s.dat
S,22507.60,2M14260433-6219024,-0.12,True,table_s.dat
S,22507.60,2M14261117-6240220,0.11,True,table_s.dat
S,22507.60,2M14275833-6147534,,False,table_s.dat
S,22507.60,2M14283733-6257279,,False,table_s.dat
S,22507.60,2M14291063-6317181,0.02,True,table_s.dat
S,22507.60,2M14311520-6145468,-0.08,True,table_s.dat
S,22507.60,2M14322072-6215506,0.13,True,table_s.dat
S,22507.60,2M14332169-6302108,0.17,True,table_s.dat
S,22507.60,2M14332869-6211255,0.08,True,table_s.dat
S,22507.60,2M14333081-6221450,-0.00,True,table_s.dat
S,22507.60,2M14333688-6232028,-0.00,True,table_s.dat
S,22507.60,2M14345114-6225509,-0.27,True,table_s.dat
S,22507.60,2M14360142-6228561,0.04,True,table_s.dat
S,22507.60,2M14360935-6309399,0.15,True,table_s.dat
S,22507.60,2M14371958-6251344,0.00,True,table_s.dat
S,22507.60,2M14375085-6237526,0.01,True,table_s.dat
S,22507.60,2M15161949+0244516,0.29,True,table_s.dat
S,22507.60,2M17584888-2351011,-0.00,True,table_s.dat
S,22507.60,2M18103303-1626220,0.02,True,table_s.dat
S,22507.60,2M18142346-2136410,-0.04,True,table_s.dat
S,22507.60,2M18191551-1726223,-0.03,True,table_s.dat
S,22507.60,2M18522108-3022143,0.32,True,table_s.dat
S,22507.60,HD132813,0.08,True,table_s.dat
S,22507.60,HD175588,,False,table_s.dat
S,22507.60,HD89758,,False,table_s.dat
S,22507.60,HD224935,0.24,True,table_s.dat
S,22507.60,HD101153,0.06,True,table_s.dat
S,22507.60,HIP54396,0.07,True,table_s.dat
K,15163.09,2M05484106-0602007,-0.10,True,table_k.dat
K,15163.09,2M05594446-7212111,-0.04,True,table_k.dat
K,15163.09,2M06035110-7456029,0.22,True,table_k.dat
K,15163.09,2M06035214-7255079,-0.10,True,table_k.dat
K,15163.09,2M06052796-0553384,-0.22,True,table_k.dat
K,15163.09,2M06074096-0530332,0.03,True,table_k.dat
K,15163.09,2M06124201-0025095,-0.02,True,table_k.dat
K,15163.09,2M06140107-0641072,,False,table_k.dat
K,15163.09,2M06143705-0551064,-0.11,True,table_k.dat
K,15163.09,2M06171159-7259319,0.10,True,table_k.dat
K,15163.09,2M06223443-0443153,-0.06,True,table_k.dat
K,15163.09,2M06231693-0530385,,False,table_k.dat
K,15163.09,2M06520463-0047080,-0.09,True,table_k.dat
K,15163.09,2M06551808-0148080,,False,table_k.dat
K,15163.09,2M06574070-1231239,-0.13,True,table_k.dat
K,15163.09,2M10430394-4605354,-0.29,True,table_k.dat
K,15163.09,2M11042542-7318068,0.01,True,table_k.dat
K,15163.09,2M12101600-4936072,-0.05,True,table_k.dat
K,15163.09,2M13403516-5040261,-0.08,True,table_k.dat
K,15163.09,2M14131192-4849280,-0.02,True,table_k.dat
K,15163.09,2M14240039-6252516,-0.05,True,table_k.dat
K,15163.09,2M14241044-6218367,-0.10,True,table_k.dat
K,15163.09,2M14260433-6219024,-0.17,True,table_k.dat
K,15163.09,2M14261117-6240220,-0.10,True,table_k.dat
K,15163.09,2M14275833-6147534,0.05,True,table_k.dat
K,15163.09,2M14283733-6257279,-0.05,True,table_k.dat
K,15163.09,2M14291063-6317181,,False,table_k.dat
K,15163.09,2M14311520-6145468,-0.06,True,table_k.dat
K,15163.09,2M14322072-6215506,-0.19,True,table_k.dat
K,15163.09,2M14332169-6302108,-0.12,True,table_k.dat
K,15163.09,2M14332869-6211255,-0.13,True,table_k.dat
K,15163.09,2M14333081-6221450,-0.14,True,table_k.dat
K,15163.09,2M14333688-6232028,-0.09,True,table_k.dat
K,15163.09,2M14345114-6225509,0.05,True,table_k.dat
K,15163.09,2M14360142-6228561,-0.15,True,table_k.dat
K,15163.09,2M14360935-6309399,,False,table_k.dat
K,15163.09,2M14371958-6251344,-0.13,True,table_k.dat
K,15163.09,2M14375085-6237526,-0.10,True,table_k.dat
K,15163.09,2M15161949+0244516,0.12,True,table_k.dat
K,15163.09,2M17584888-2351011,-0.11,True,table_k.dat
K,15163.09,2M18103303-1626220,-0.01,True,table_k.dat
K,15163.09,2M18142346-2136410,0.01,True,table_k.dat
K,15163.09,2M18191551-1726223,-0.05,True,table_k.dat
K,15163.09,2M18522108-3022143,0.14,True,table_k.dat
K,15163.09,HD132813,0.01,True,table_k.dat
K,15163.09,HD175588,-0.05,True,table_k.dat
K,15163.09,HD89758,-0.03,True,table_k.dat
K,15163.09,HD224935,-0.11,True,table_k.dat
K,15163.09,HD101153,-0.08,True,table_k.dat
K,15163.09,HIP54396,0.04,True,table_k.dat
K,15168.40,2M05484106-0602007,,False,table_k.dat
K,15168.40,2M05594446-7212111,-0.03,True,table_k.dat
K,15168.40,2M06035110-7456029,0.20,True,table_k.dat
K,15168.40,2M06035214-7255079,-0.02,True,table_k.dat
K,15168.40,2M06052796-0553384,-0.19,True,table_k.dat
K,15168.40,2M06074096-0530332,0.14,True,table_k.dat
K,15168.40,2M06124201-0025095,0.07,True,table_k.dat
K,15168.40,2M06140107-0641072,0.22,True,table_k.dat
K,15168.40,2M06143705-0551064,0.03,True,table_k.dat
K,15168.40,2M06171159-7259319,0.19,True,table_k.dat
K,15168.40,2M06223443-0443153,-0.10,True,table_k.dat
K,15168.40,2M06231693-0530385,0.02,True,table_k.dat
K,15168.40,2M06520463-0047080,,False,table_k.dat
K,15168.40,2M06551808-0148080,0.06,True,table_k.dat
K,15168.40,2M06574070-1231239,,False,table_k.dat
K,15168.40,2M10430394-4605354,-0.11,True,table_k.dat
K,15168.40,2M11042542-7318068,0.11,True,table_k.dat
K,15168.40,2M12101600-4936072,-0.08,True,table_k.dat
K,15168.40,2M13403516-5040261,-0.05,True,table_k.dat
K,15168.40,2M14131192-4849280,-0.02,True,table_k.dat
K,15168.40,2M14240039-6252516,-0.03,True,table_k.dat
K,15168.40,2M14241044-6218367,-0.04,True,table_k.dat
K,15168.40,2M14260433-6219024,-0.10,True,table_k.dat
K,15168.40,2M14261117-6240220,-0.09,True,table_k.dat
K,15168.40,2M14275833-6147534,0.06,True,table_k.dat
K,15168.40,2M14283733-6257279,0.02,True,table_k.dat
K,15168.40,2M14291063-6317181,,False,table_k.dat
K,15168.40,2M14311520-6145468,-0.01,True,table_k.dat
K,15168.40,2M14322072-6215506,-0.14,True,table_k.dat
K,15168.40,2M14332169-6302108,-0.05,True,table_k.dat
K,15168.40,2M14332869-6211255,-0.11,True,table_k.dat
K,15168.40,2M14333081-6221450,-0.07,True,table_k.dat
K,15168.40,2M14333688-6232028,-0.04,True,table_k.dat
K,15168.40,2M14345114-6225509,0.07,True,table_k.dat
K,15168.40,2M14360142-6228561,-0.04,True,table_k.dat
