wavelength_air_A,igrins_n_stars_used,rya1001_wavelength_candidate_A,rya1001_tier,rya1001_hfs_carried,burheim_transition,classification,promotion_allowed
16718.97,50,16718.957,GRADEABLE,True,,WAVELENGTH_CANDIDATE_ALREADY_IN_CENSUS_HOLD_IDENTITY,False
16750.60,50,16750.564,GRADEABLE,True,,WAVELENGTH_CANDIDATE_ALREADY_IN_CENSUS_HOLD_IDENTITY,False
16763.37,50,16763.36,GRADEABLE,True,,WAVELENGTH_CANDIDATE_ALREADY_IN_CENSUS_HOLD_IDENTITY,False
17699.05,39,17699.094,GRADEABLE,True,,WAVELENGTH_CANDIDATE_ALREADY_IN_CENSUS_HOLD_IDENTITY,False
21093.08,50,21093.029,GRADEABLE,True,,WAVELENGTH_CANDIDATE_ALREADY_IN_CENSUS_HOLD_IDENTITY,False
21163.80,50,21163.755,GRADEABLE,True,,WAVELENGTH_CANDIDATE_ALREADY_IN_CENSUS_HOLD_IDENTITY,False
21208.18,50,,,,,NEW_DISCOVERY_HOLD_IDENTITY_GF_HFS,False
