species,element,ion,wavelength_air_A,wavelength_system,band,n_stars_used,n_stars_total,median_abundance_dex,source_table,doi,bibcode,excitation_potential_eV,lower_level,upper_level,log_gf_igrins,gf_source_igrins,hfs_isotopic_detail,canonical_wavelength_candidates,crossmatch_status,promotion_allowed
K,K,,15168.40,air (CDS label; paper convention),H,45,50,-0.020,table_k.dat,10.1051/0004-6361/202348462,2024A&A...684A..15N,,,,,,,gf_172965,HOLD_TRANSITION_IDENTITY_INCOMPLETE,False
Ca,Ca,,16150.76,air (CDS label; paper convention),H,50,50,-0.015,table_ca.dat,10.1051/0004-6361/202348462,2024A&A...684A..15N,,,,,,,gf_173835,HOLD_TRANSITION_IDENTITY_INCOMPLETE,False
Ca,Ca,,16155.24,air (CDS label; paper convention),H,50,50,0.065,table_ca.dat,10.1051/0004-6361/202348462,2024A&A...684A..15N,,,,,,,gf_173842,HOLD_TRANSITION_IDENTITY_INCOMPLETE,False
Ca,Ca,,16157.36,air (CDS label; paper convention),H,50,50,-0.020,table_ca.dat,10.1051/0004-6361/202348462,2024A&A...684A..15N,,,,,,,gf_173844,HOLD_TRANSITION_IDENTITY_INCOMPLETE,False
Ca,Ca,,20962.57,air (CDS label; paper convention),K,48,50,0.070,table_ca.dat,10.1051/0004-6361/202348462,2024A&A...684A..15N,,,,,,,gf_177594,HOLD_TRANSITION_IDENTITY_INCOMPLETE,False
Ca,Ca,,20972.53,air (CDS label; paper convention),K,50,50,0.090,table_ca.dat,10.1051/0004-6361/202348462,2024A&A...684A..15N,,,,,,,gf_177597,HOLD_TRANSITION_IDENTITY_INCOMPLETE,False
Ca,Ca,,21113.90,air (CDS label; paper convention),K,34,50,0.105,table_ca.dat,10.1051/0004-6361/202348462,2024A&A...684A..15N,,,,,,,gf_177647,HOLD_TRANSITION_IDENTITY_INCOMPLETE,False
Ca,Ca,,22607.94,air (CDS label; paper convention),K,45,50,0.010,table_ca.dat,10.1051/0004-6361/202348462,2024A&A...684A..15N,,,,,,,gf_178391,HOLD_TRANSITION_IDENTITY_INCOMPLETE,False
Ca,Ca,,22624.96,air (CDS label; paper convention),K,48,50,0.020,table_ca.dat,10.1051/0004-6361/202348462,2024A&A...684A..15N,,,,,,,gf_178412,HOLD_TRANSITION_IDENTITY_INCOMPLETE,False
Ca,Ca,,22626.72,air (CDS label; paper convention),K,44,50,0.060,table_ca.dat,10.1051/0004-6361/202348462,2024A&A...684A..15N,,,,,,,gf_178413,HOLD_TRANSITION_IDENTITY_INCOMPLETE,False
Ca,Ca,,22651.18,air (CDS label; paper convention),K,33,50,0.030,table_ca.dat,10.1051/0004-6361/202348462,2024A&A...684A..15N,,,,,,,gf_178423,HOLD_TRANSITION_IDENTITY_INCOMPLETE,False
Ca,Ca,,22653.58,air (CDS label; paper convention),K,34,50,-0.040,table_ca.dat,10.1051/0004-6361/202348462,2024A&A...684A..15N,,,,,,,gf_178424,HOLD_TRANSITION_IDENTITY_INCOMPLETE,False
Sc,Sc,,21730.36,air (CDS label; paper convention),K,46,50,0.130,table_sc.dat,10.1051/0004-6361/202348462,2024A&A...684A..15N,,,,,,,gf_177930,HOLD_TRANSITION_IDENTITY_INCOMPLETE,False
Sc,Sc,,21812.24,air (CDS label; paper convention),K,38,50,0.080,table_sc.dat,10.1051/0004-6361/202348462,2024A&A...684A..15N,,,,,,,gf_177972,HOLD_TRANSITION_IDENTITY_INCOMPLETE,False
Sc,Sc,,21842.70,air (CDS label; paper convention),K,35,50,0.040,table_sc.dat,10.1051/0004-6361/202348462,2024A&A...684A..15N,,,,,,,,NO_CANONICAL_WAVELENGTH_CANDIDATE,False
Ti,Ti,,16330.54,air (CDS label; paper convention),H,50,50,0.000,table_ti.dat,10.1051/0004-6361/202348462,2024A&A...684A..15N,,,,,,,gf_174028,HOLD_TRANSITION_IDENTITY_INCOMPLETE,False
Ti,Ti,,21149.62,air (CDS label; paper convention),K,49,50,0.090,table_ti.dat,10.1051/0004-6361/202348462,2024A&A...684A..15N,,,,,,,gf_177665,HOLD_TRANSITION_IDENTITY_INCOMPLETE,False
V,V,,15924.81,air (CDS label; paper convention),H,50,50,-0.100,table_v.dat,10.1051/0004-6361/202348462,2024A&A...684A..15N,,,,,,,gf_173623,HOLD_TRANSITION_IDENTITY_INCOMPLETE,False
Cr,Cr,,15680.06,air (CDS label; paper convention),H,50,50,-0.130,table_cr.dat,10.1051/0004-6361/202348462,2024A&A...684A..15N,,,,,,,gf_173374,HOLD_TRANSITION_IDENTITY_INCOMPLETE,False
Cr,Cr,,15860.21,air (CDS label; paper convention),H,49,50,-0.100,table_cr.dat,10.1051/0004-6361/202348462,2024A&A...684A..15N,,,,,,,gf_173525,HOLD_TRANSITION_IDENTITY_INCOMPLETE,False
Cr,Cr,,17708.73,air (CDS label; paper convention),H,42,50,0.025,table_cr.dat,10.1051/0004-6361/202348462,2024A&A...684A..15N,,,,,,,gf_175329,HOLD_TRANSITION_IDENTITY_INCOMPLETE,False
Mn,Mn,,15217.74,air (CDS label; paper convention),H,50,50,0.135,table_mn.dat,10.1051/0004-6361/202348462,2024A&A...684A..15N,,,,,,,gf_173008,HOLD_TRANSITION_IDENTITY_INCOMPLETE,False
Mn,Mn,,15262.49,air (CDS label; paper convention),H,48,50,0.095,table_mn.dat,10.1051/0004-6361/202348462,2024A&A...684A..15N,,,,,,,gf_173049,HOLD_TRANSITION_IDENTITY_INCOMPLETE,False
Co,Co,,16757.64,air (CDS label; paper convention),H,50,50,-0.050,table_co.dat,10.1051/0004-6361/202348462,2024A&A...684A..15N,,,,,,,gf_174475,HOLD_TRANSITION_IDENTITY_INCOMPLETE,False
Ni,Ni,,16310.50,air (CDS label; paper convention),H,50,50,-0.140,table_ni.dat,10.1051/0004-6361/202348462,2024A&A...684A..15N,,,,,,,gf_174012,HOLD_TRANSITION_IDENTITY_INCOMPLETE,False
Ni,Ni,,16363.09,air (CDS label; paper convention),H,50,50,-0.045,table_ni.dat,10.1051/0004-6361/202348462,2024A&A...684A..15N,,,,,,,gf_174051,HOLD_TRANSITION_IDENTITY_INCOMPLETE,False
Ni,Ni,,16815.46,air (CDS label; paper convention),H,50,50,0.080,table_ni.dat,10.1051/0004-6361/202348462,2024A&A...684A..15N,,,,,,,gf_174520,HOLD_TRANSITION_IDENTITY_INCOMPLETE,False
Ni,Ni,,16818.74,air (CDS label; paper convention),H,47,50,0.100,table_ni.dat,10.1051/0004-6361/202348462,2024A&A...684A..15N,,,,,,,gf_174526,HOLD_TRANSITION_IDENTITY_INCOMPLETE,False
Ni,Ni,,16867.28,air (CDS label; paper convention),H,50,50,0.020,table_ni.dat,10.1051/0004-6361/202348462,2024A&A...684A..15N,,,,,,,gf_174563,HOLD_TRANSITION_IDENTITY_INCOMPLETE,False
Ni,Ni,,17306.52,air (CDS label; paper convention),H,42,50,0.140,table_ni.dat,10.1051/0004-6361/202348462,2024A&A...684A..15N,,,,,,,gf_174969,HOLD_TRANSITION_IDENTITY_INCOMPLETE,False
Ni,Ni,,20957.14,air (CDS label; paper convention),K,47,50,0.110,table_ni.dat,10.1051/0004-6361/202348462,2024A&A...684A..15N,,,,,,,gf_177590,HOLD_TRANSITION_IDENTITY_INCOMPLETE,False
Ni,Ni,,21167.93,air (CDS label; paper convention),K,48,50,0.060,table_ni.dat,10.1051/0004-6361/202348462,2024A&A...684A..15N,,,,,,,gf_177672;gf_177673,HOLD_TRANSITION_IDENTITY_INCOMPLETE,False
Ni,Ni,,21570.06,air (CDS label; paper convention),K,38,50,0.135,table_ni.dat,10.1051/0004-6361/202348462,2024A&A...684A..15N,,,,,,,gf_177854,HOLD_TRANSITION_IDENTITY_INCOMPLETE,False
Ni,Ni,,21945.50,air (CDS label; paper convention),K,35,50,0.190,table_ni.dat,10.1051/0004-6361/202348462,2024A&A...684A..15N,,,,,,,gf_178045,HOLD_TRANSITION_IDENTITY_INCOMPLETE,False
Ni,Ni,,22596.93,air (CDS label; paper convention),K,30,50,0.200,table_ni.dat,10.1051/0004-6361/202348462,2024A&A...684A..15N,,,,,,,gf_178383,HOLD_TRANSITION_IDENTITY_INCOMPLETE,False
Cu,Cu,,16005.64,air (CDS label; paper convention),H,29,50,-0.040,table_cu.dat,10.1051/0004-6361/202348462,2024A&A...684A..15N,,,,,,,gf_173706,HOLD_TRANSITION_IDENTITY_INCOMPLETE,False
Cu,Cu,,16638.98,air (CDS label; paper convention),H,28,50,0.055,table_cu.dat,10.1051/0004-6361/202348462,2024A&A...684A..15N,,,,,,,gf_174334,HOLD_TRANSITION_IDENTITY_INCOMPLETE,False
Zn,Zn,,16505.18,air (CDS label; paper convention),H,35,50,0.140,table_zn.dat,10.1051/0004-6361/202348462,2024A&A...684A..15N,,,,,,,,NO_CANONICAL_WAVELENGTH_CANDIDATE,False
Y,Y,,21260.45,air (CDS label; paper convention),K,50,50,-0.280,table_y.dat,10.1051/0004-6361/202348462,2024A&A...684A..15N,,,,,,,gf_177714,HOLD_TRANSITION_IDENTITY_INCOMPLETE,False
Y,Y,,22543.84,air (CDS label; paper convention),K,50,50,-0.220,table_y.dat,10.1051/0004-6361/202348462,2024A&A...684A..15N,,,,,,,gf_178346,HOLD_TRANSITION_IDENTITY_INCOMPLETE,False
Ce,Ce,,15277.65,air (CDS label; paper convention),H,42,50,-0.210,table_ce.dat,10.1051/0004-6361/202348462,2024A&A...684A..15N,,,,,,,,NO_CANONICAL_WAVELENGTH_CANDIDATE,False
Ce,Ce,,15829.83,air (CDS label; paper convention),H,44,50,-0.320,table_ce.dat,10.1051/0004-6361/202348462,2024A&A...684A..15N,,,,,,,,NO_CANONICAL_WAVELENGTH_CANDIDATE,False
Ce,Ce,,15977.12,air (CDS label; paper convention),H,50,50,-0.345,table_ce.dat,10.1051/0004-6361/202348462,2024A&A...684A..15N,,,,,,,,NO_CANONICAL_WAVELENGTH_CANDIDATE,False
Ce,Ce,,16595.18,air (CDS label; paper convention),H,50,50,-0.305,table_ce.dat,10.1051/0004-6361/202348462,2024A&A...684A..15N,,,,,,,,NO_CANONICAL_WAVELENGTH_CANDIDATE,False
Nd,Nd,,15368.14,air (CDS label; paper convention),H,50,50,-0.055,table_nd.dat,10.1051/0004-6361/202348462,2024A&A...684A..15N,,,,,,,,NO_CANONICAL_WAVELENGTH_CANDIDATE,False
Nd,Nd,,16053.63,air (CDS label; paper convention),H,40,50,0.040,table_nd.dat,10.1051/0004-6361/202348462,2024A&A...684A..15N,,,,,,,,NO_CANONICAL_WAVELENGTH_CANDIDATE,False
Nd,Nd,,16262.04,air (CDS label; paper convention),H,50,50,0.175,table_nd.dat,10.1051/0004-6361/202348462,2024A&A...684A..15N,,,,,,,,NO_CANONICAL_WAVELENGTH_CANDIDATE,False
Yb,Yb,,16498.40,air (CDS label; paper convention),H,49,50,0.140,table_yb.dat,10.1051/0004-6361/202348462,2024A&A...684A..15N,,,,,,,gf_174198,HOLD_TRANSITION_IDENTITY_INCOMPLETE,False
