element,wave_A,teff_K,logg,feh,delta_nlte
Mn,4998.126,5750,4.0,0.3,0.088
Mn,6304.906,5750,4.0,0.3,0.087
Mn,6306.342,5750,4.0,0.3,0.086
Mn,6867.11,5750,4.0,0.3,0.064
Mn,4998.126,5750,4.4,-0.5,0.188
Mn,6304.906,5750,4.4,-0.5,
Mn,6306.342,5750,4.4,-0.5,
Mn,6867.11,5750,4.4,-0.5,
Mn,4998.126,5750,4.4,0.0,0.11
Mn,6304.906,5750,4.4,0.0,0.108
Mn,6306.342,5750,4.4,0.0,0.108
Mn,6867.11,5750,4.4,0.0,0.084
Mn,4998.126,5750,4.4,0.3,0.079
Mn,6304.906,5750,4.4,0.3,0.079
Mn,6306.342,5750,4.4,0.3,0.079
Mn,6867.11,5750,4.4,0.3,0.063
Mn,4998.126,5750,4.5,-0.5,0.183
Mn,6304.906,5750,4.5,-0.5,
Mn,6306.342,5750,4.5,-0.5,
Mn,6867.11,5750,4.5,-0.5,
Mn,4998.126,5750,4.5,0.0,0.106
Mn,6304.906,5750,4.5,0.0,0.105
Mn,6306.342,5750,4.5,0.0,0.105
Mn,6867.11,5750,4.5,0.0,0.083
Mn,4998.126,5750,4.5,0.3,0.076
Mn,6304.906,5750,4.5,0.3,0.077
Mn,6306.342,5750,4.5,0.3,0.077
Mn,6867.11,5750,4.5,0.3,0.062
Mn,4998.126,5772,3.5,-0.5,0.201
Mn,6304.906,5772,3.5,-0.5,
Mn,6306.342,5772,3.5,-0.5,
Mn,6867.11,5772,3.5,-0.5,
Mn,4998.126,5772,3.5,0.0,0.125
Mn,6304.906,5772,3.5,0.0,0.114
Mn,6306.342,5772,3.5,0.0,0.114
Mn,6867.11,5772,3.5,0.0,0.066
Mn,4998.126,5772,3.5,0.3,0.093
Mn,6304.906,5772,3.5,0.3,0.087
Mn,6306.342,5772,3.5,0.3,0.086
Mn,6867.11,5772,3.5,0.3,0.051
Mn,4998.126,5772,4.0,-0.5,0.2
Mn,6304.906,5772,4.0,-0.5,
Mn,6306.342,5772,4.0,-0.5,
Mn,6867.11,5772,4.0,-0.5,
Mn,4998.126,5772,4.0,0.0,0.122
Mn,6304.906,5772,4.0,0.0,0.116
Mn,6306.342,5772,4.0,0.0,0.115
Mn,6867.11,5772,4.0,0.0,0.082
Mn,4998.126,5772,4.0,0.3,0.089
Mn,6304.906,5772,4.0,0.3,0.087
Mn,6306.342,5772,4.0,0.3,0.086
Mn,6867.11,5772,4.0,0.3,0.064
Mn,4998.126,5772,4.4,-0.5,0.188
Mn,6304.906,5772,4.4,-0.5,
Mn,6306.342,5772,4.4,-0.5,
Mn,6867.11,5772,4.4,-0.5,
Mn,4998.126,5772,4.4,0.0,0.111
Mn,6304.906,5772,4.4,0.0,0.109
Mn,6306.342,5772,4.4,0.0,0.108
Mn,6867.11,5772,4.4,0.0,0.084
Mn,4998.126,5772,4.4,0.3,0.079
Mn,6304.906,5772,4.4,0.3,0.08
Mn,6306.342,5772,4.4,0.3,0.079
Mn,6867.11,5772,4.4,0.3,0.063
Mn,4998.126,5772,4.5,-0.5,0.184
Mn,6304.906,5772,4.5,-0.5,
Mn,6306.342,5772,4.5,-0.5,
Mn,6867.11,5772,4.5,-0.5,
Mn,4998.126,5772,4.5,0.0,0.107
Mn,6304.906,5772,4.5,0.0,0.106
Mn,6306.342,5772,4.5,0.0,0.106
Mn,6867.11,5772,4.5,0.0,0.084
Mn,4998.126,5772,4.5,0.3,0.077
Mn,6304.906,5772,4.5,0.3,0.078
Mn,6306.342,5772,4.5,0.3,0.077
Mn,6867.11,5772,4.5,0.3,0.062
Mn,4998.126,6000,3.5,-0.5,0.196
Mn,6304.906,6000,3.5,-0.5,
Mn,6306.342,6000,3.5,-0.5,
Mn,6867.11,6000,3.5,-0.5,
Mn,4998.126,6000,3.5,0.0,0.126
Mn,6304.906,6000,3.5,0.0,0.12
Mn,6306.342,6000,3.5,0.0,0.12
Mn,6867.11,6000,3.5,0.0,
Mn,4998.126,6000,3.5,0.3,0.093
Mn,6304.906,6000,3.5,0.3,0.087
Mn,6306.342,6000,3.5,0.3,0.087
Mn,6867.11,6000,3.5,0.3,0.051
Mn,4998.126,6000,4.0,-0.5,0.195
Mn,6304.906,6000,4.0,-0.5,
Mn,6306.342,6000,4.0,-0.5,
Mn,6867.11,6000,4.0,-0.5,
Mn,4998.126,6000,4.0,0.0,0.124
Mn,6304.906,6000,4.0,0.0,0.122
Mn,6306.342,6000,4.0,0.0,0.122
Mn,6867.11,6000,4.0,0.0,
Mn,4998.126,6000,4.0,0.3,0.09
Mn,6304.906,6000,4.0,0.3,0.088
Mn,6306.342,6000,4.0,0.3,0.088
Mn,6867.11,6000,4.0,0.3,0.065
Mn,4998.126,6000,4.4,-0.5,0.185
Mn,6304.906,6000,4.4,-0.5,
Mn,6306.342,6000,4.4,-0.5,
Mn,6867.11,6000,4.4,-0.5,
Mn,4998.126,6000,4.4,0.0,0.115
Mn,6304.906,6000,4.4,0.0,0.115
Mn,6306.342,6000,4.4,0.0,0.115
Mn,6867.11,6000,4.4,0.0,
Mn,4998.126,6000,4.4,0.3,0.082
Mn,6304.906,6000,4.4,0.3,0.083
Mn,6306.342,6000,4.4,0.3,0.082
Mn,6867.11,6000,4.4,0.3,0.066
Mn,4998.126,6000,4.5,-0.5,0.181
Mn,6304.906,6000,4.5,-0.5,
Mn,6306.342,6000,4.5,-0.5,
Mn,6867.11,6000,4.5,-0.5,
Mn,4998.126,6000,4.5,0.0,0.111
Mn,6304.906,6000,4.5,0.0,0.113
Mn,6306.342,6000,4.5,0.0,0.113
Mn,6867.11,6000,4.5,0.0,
Mn,4998.126,6000,4.5,0.3,0.08
Mn,6304.906,6000,4.5,0.3,0.081
Mn,6306.342,6000,4.5,0.3,0.081
Mn,6867.11,6000,4.5,0.3,0.065
Mn,4998.126,6500,3.5,-0.5,0.173
Mn,6304.906,6500,3.5,-0.5,
Mn,6306.342,6500,3.5,-0.5,
Mn,6867.11,6500,3.5,-0.5,
Mn,4998.126,6500,3.5,0.0,0.121
Mn,6304.906,6500,3.5,0.0,0.136
Mn,6306.342,6500,3.5,0.0,0.136
Mn,6867.11,6500,3.5,0.0,
Mn,4998.126,6500,3.5,0.3,0.094
