element,ion,wave_A,teff_K,logg,feh,delta_nlte
Cu,1,5782.13,5772,4.44,0.0,0.0012
Cu,1,5782.13,5100,4.44,0.0,-0.0052
Cu,1,5782.13,6200,4.44,0.0,0.0203
Cu,1,5782.13,5772,4.0,0.0,-0.005
Cu,1,5782.13,5772,4.7,0.0,0.0046
Cu,1,5782.13,5772,4.44,-0.3,0.0012
Cu,1,5782.13,5172,4.43,0.31,-0.0053
Cu,1,5782.13,5100,4.5,0.5,-0.0044
Cu,1,5782.13,6000,4.3,-0.2,0.0094
Cu,1,5782.13,5772,4.44,0.6,0.0012
Cu,1,5782.13,5400,4.5,0.5,-0.0037
