element,ion,wave_A,teff_K,logg,feh,delta_nlte
Mg,1,5711.088,5772,4.44,0.0,-0.0343
Mg,1,4730.029,5772,4.44,0.0,-0.0089
Mg,1,5711.088,5100,4.44,0.0,-0.0397
Mg,1,4730.029,5100,4.44,0.0,-0.0099
Mg,1,5711.088,6200,4.44,0.0,-0.0333
Mg,1,4730.029,6200,4.44,0.0,-0.0092
Mg,1,5711.088,5772,4.0,0.0,-0.042
Mg,1,4730.029,5772,4.0,0.0,-0.0103
Mg,1,5711.088,5772,4.7,0.0,-0.0295
Mg,1,4730.029,5772,4.7,0.0,-0.0078
Mg,1,5711.088,5772,4.44,-0.3,-0.0343
Mg,1,4730.029,5772,4.44,-0.3,-0.0089
Mg,1,5711.088,5172,4.43,0.31,-0.0398
Mg,1,4730.029,5172,4.43,0.31,-0.0098
Mg,1,5711.088,5100,4.5,0.5,-0.0382
Mg,1,4730.029,5100,4.5,0.5,-0.0095
Mg,1,5711.088,6000,4.3,-0.2,-0.0352
Mg,1,4730.029,6000,4.3,-0.2,-0.0092
Mg,1,5711.088,5772,4.44,0.6,-0.0343
Mg,1,4730.029,5772,4.44,0.6,-0.0089
Mg,1,5711.088,5400,4.5,0.5,-0.0359
Mg,1,4730.029,5400,4.5,0.5,-0.0092
