element,ion,wave_A,teff_K,logg,feh,delta_nlte
Fe,I,3885.93,5400,4.3,0.35,0.004
Fe,I,3892.9,5400,4.3,0.35,0.004
Fe,I,3893.39,5400,4.3,0.35,0.003
Fe,I,3900.52,5400,4.3,0.35,0.004
Fe,I,3791.73,5400,4.5,-0.2,0.005
Fe,I,3811.8,5400,4.5,-0.2,0.005
Fe,I,3830.85,5400,4.5,-0.2,0.006
Fe,I,3843.72,5400,4.5,-0.2,0.004
Fe,I,3873.76,5400,4.5,-0.2,0.004
Fe,I,3876.67,5400,4.5,-0.2,0.003
Fe,I,3885.93,5400,4.5,-0.2,0.004
Fe,I,3892.9,5400,4.5,-0.2,0.005
Fe,I,3893.39,5400,4.5,-0.2,0.004
Fe,I,3900.52,5400,4.5,-0.2,0.003
Fe,I,3791.73,5400,4.5,0.0,0.004
Fe,I,3811.8,5400,4.5,0.0,0.004
Fe,I,3830.85,5400,4.5,0.0,0.006
Fe,I,3843.72,5400,4.5,0.0,0.004
Fe,I,3873.76,5400,4.5,0.0,0.003
Fe,I,3876.67,5400,4.5,0.0,0.003
Fe,I,3885.93,5400,4.5,0.0,0.003
Fe,I,3892.9,5400,4.5,0.0,0.004
Fe,I,3893.39,5400,4.5,0.0,0.003
Fe,I,3900.52,5400,4.5,0.0,0.003
Fe,I,3791.73,5400,4.5,0.2,0.003
Fe,I,3811.8,5400,4.5,0.2,0.003
Fe,I,3830.85,5400,4.5,0.2,0.005
Fe,I,3843.72,5400,4.5,0.2,0.003
Fe,I,3873.76,5400,4.5,0.2,0.003
Fe,I,3876.67,5400,4.5,0.2,0.003
Fe,I,3885.93,5400,4.5,0.2,0.003
Fe,I,3892.9,5400,4.5,0.2,0.004
Fe,I,3893.39,5400,4.5,0.2,0.003
Fe,I,3900.52,5400,4.5,0.2,0.003
Fe,I,3791.73,5400,4.5,0.35,0.003
Fe,I,3811.8,5400,4.5,0.35,0.003
Fe,I,3830.85,5400,4.5,0.35,0.005
Fe,I,3843.72,5400,4.5,0.35,0.003
Fe,I,3873.76,5400,4.5,0.35,0.002
Fe,I,3876.67,5400,4.5,0.35,0.002
Fe,I,3885.93,5400,4.5,0.35,0.003
Fe,I,3892.9,5400,4.5,0.35,0.003
Fe,I,3893.39,5400,4.5,0.35,0.002
Fe,I,3900.52,5400,4.5,0.35,0.003
Fe,I,3791.73,5400,4.6,-0.2,0.005
Fe,I,3811.8,5400,4.6,-0.2,0.004
Fe,I,3830.85,5400,4.6,-0.2,0.006
Fe,I,3843.72,5400,4.6,-0.2,0.004
Fe,I,3873.76,5400,4.6,-0.2,0.003
Fe,I,3876.67,5400,4.6,-0.2,0.003
Fe,I,3885.93,5400,4.6,-0.2,0.003
Fe,I,3892.9,5400,4.6,-0.2,0.005
Fe,I,3893.39,5400,4.6,-0.2,0.004
Fe,I,3900.52,5400,4.6,-0.2,0.003
Fe,I,3791.73,5400,4.6,0.0,0.004
Fe,I,3811.8,5400,4.6,0.0,0.003
Fe,I,3830.85,5400,4.6,0.0,0.005
Fe,I,3843.72,5400,4.6,0.0,0.003
Fe,I,3873.76,5400,4.6,0.0,0.002
Fe,I,3876.67,5400,4.6,0.0,0.002
Fe,I,3885.93,5400,4.6,0.0,0.003
Fe,I,3892.9,5400,4.6,0.0,0.004
Fe,I,3893.39,5400,4.6,0.0,0.003
Fe,I,3900.52,5400,4.6,0.0,0.002
Fe,I,3791.73,5400,4.6,0.2,0.003
Fe,I,3811.8,5400,4.6,0.2,0.002
Fe,I,3830.85,5400,4.6,0.2,0.004
Fe,I,3843.72,5400,4.6,0.2,0.003
Fe,I,3873.76,5400,4.6,0.2,0.002
Fe,I,3876.67,5400,4.6,0.2,0.002
Fe,I,3885.93,5400,4.6,0.2,0.002
Fe,I,3892.9,5400,4.6,0.2,0.003
Fe,I,3893.39,5400,4.6,0.2,0.003
Fe,I,3900.52,5400,4.6,0.2,0.002
Fe,I,3791.73,5400,4.6,0.35,0.002
Fe,I,3811.8,5400,4.6,0.35,0.002
Fe,I,3830.85,5400,4.6,0.35,0.004
Fe,I,3843.72,5400,4.6,0.35,0.002
Fe,I,3873.76,5400,4.6,0.35,0.002
Fe,I,3876.67,5400,4.6,0.35,0.002
Fe,I,3885.93,5400,4.6,0.35,0.002
Fe,I,3892.9,5400,4.6,0.35,0.003
Fe,I,3893.39,5400,4.6,0.35,0.002
Fe,I,3900.52,5400,4.6,0.35,0.002
Fe,I,3791.73,5800,4.0,-0.2,0.017
Fe,I,3811.8,5800,4.0,-0.2,0.015
Fe,I,3830.85,5800,4.0,-0.2,0.018
Fe,I,3843.72,5800,4.0,-0.2,0.013
Fe,I,3873.76,5800,4.0,-0.2,0.01
Fe,I,3876.67,5800,4.0,-0.2,0.011
Fe,I,3885.93,5800,4.0,-0.2,0.013
Fe,I,3892.9,5800,4.0,-0.2,0.017
Fe,I,3893.39,5800,4.0,-0.2,0.014
Fe,I,3900.52,5800,4.0,-0.2,0.013
Fe,I,3791.73,5800,4.0,0.0,0.014
Fe,I,3811.8,5800,4.0,0.0,0.013
Fe,I,3830.85,5800,4.0,0.0,0.016
Fe,I,3843.72,5800,4.0,0.0,0.011
Fe,I,3873.76,5800,4.0,0.0,0.009
Fe,I,3876.67,5800,4.0,0.0,0.01
Fe,I,3885.93,5800,4.0,0.0,0.012
Fe,I,3892.9,5800,4.0,0.0,0.015
Fe,I,3893.39,5800,4.0,0.0,0.011
Fe,I,3900.52,5800,4.0,0.0,0.011
Fe,I,3791.73,5800,4.0,0.2,0.012
Fe,I,3811.8,5800,4.0,0.2,0.011
Fe,I,3830.85,5800,4.0,0.2,0.015
Fe,I,3843.72,5800,4.0,0.2,0.01
Fe,I,3873.76,5800,4.0,0.2,0.008
Fe,I,3876.67,5800,4.0,0.2,0.009
Fe,I,3885.93,5800,4.0,0.2,0.01
