element,ion,wave_A,teff_K,logg,feh,delta_nlte
Ti,1,5689.46,5772,4.44,0.0,0.0503
Ti,1,5648.565,5772,4.44,0.0,0.0542
Ti,1,5662.15,5772,4.44,0.0,0.0506
Ti,1,5689.46,5100,4.44,0.0,0.0282
Ti,1,5648.565,5100,4.44,0.0,0.0316
Ti,1,5662.15,5100,4.44,0.0,0.0261
Ti,1,5689.46,6200,4.44,0.0,0.0587
Ti,1,5648.565,6200,4.44,0.0,0.0636
Ti,1,5662.15,6200,4.44,0.0,0.0597
Ti,1,5689.46,5772,4.0,0.0,0.0628
Ti,1,5648.565,5772,4.0,0.0,0.0675
Ti,1,5662.15,5772,4.0,0.0,0.0632
Ti,1,5689.46,5772,4.7,0.0,0.0433
Ti,1,5648.565,5772,4.7,0.0,0.0468
Ti,1,5662.15,5772,4.7,0.0,0.0436
Ti,1,5689.46,5772,4.44,-0.3,0.0503
Ti,1,5648.565,5772,4.44,-0.3,0.0542
Ti,1,5662.15,5772,4.44,-0.3,0.0506
Ti,1,5689.46,5172,4.43,0.31,0.0313
Ti,1,5648.565,5172,4.43,0.31,0.0349
Ti,1,5662.15,5172,4.43,0.31,0.0289
Ti,1,5689.46,5100,4.5,0.5,0.0268
Ti,1,5648.565,5100,4.5,0.5,0.0301
Ti,1,5662.15,5100,4.5,0.5,0.0248
Ti,1,5689.46,6000,4.3,-0.2,0.0573
Ti,1,5648.565,6000,4.3,-0.2,0.0613
Ti,1,5662.15,6000,4.3,-0.2,0.0603
Ti,1,5689.46,5772,4.44,0.6,0.0503
Ti,1,5648.565,5772,4.44,0.6,0.0542
Ti,1,5662.15,5772,4.44,0.6,0.0506
Ti,1,5689.46,5400,4.5,0.5,0.0376
Ti,1,5648.565,5400,4.5,0.5,0.0414
Ti,1,5662.15,5400,4.5,0.5,0.0367
