element,wave_A,teff_K,logg,feh,delta_nlte
Mg,5711.07,5000,3.5,-0.5,-0.064
Mg,6319.24,5000,3.5,-0.5,0.009
Mg,6319.493,5000,3.5,-0.5,0.009
Mg,5711.07,5000,3.5,0.0,-0.049
Mg,6319.24,5000,3.5,0.0,0.011
Mg,6319.493,5000,3.5,0.0,0.011
Mg,5711.07,5000,3.5,0.3,-0.038
Mg,6319.24,5000,3.5,0.3,0.01
Mg,6319.493,5000,3.5,0.3,0.01
Mg,5711.07,5000,4.0,-0.5,-0.047
Mg,6319.24,5000,4.0,-0.5,0.004
Mg,6319.493,5000,4.0,-0.5,0.004
Mg,5711.07,5000,4.0,0.0,-0.036
Mg,6319.24,5000,4.0,0.0,0.005
Mg,6319.493,5000,4.0,0.0,0.005
Mg,5711.07,5000,4.0,0.3,-0.028
Mg,6319.24,5000,4.0,0.3,0.005
Mg,6319.493,5000,4.0,0.3,0.005
Mg,5711.07,5000,4.4,-0.5,-0.034
Mg,6319.24,5000,4.4,-0.5,0.002
Mg,6319.493,5000,4.4,-0.5,0.002
Mg,5711.07,5000,4.4,0.0,-0.026
Mg,6319.24,5000,4.4,0.0,0.003
Mg,6319.493,5000,4.4,0.0,0.003
Mg,5711.07,5000,4.4,0.3,-0.02
Mg,6319.24,5000,4.4,0.3,0.003
Mg,6319.493,5000,4.4,0.3,0.003
Mg,5711.07,5000,4.5,-0.5,-0.031
Mg,6319.24,5000,4.5,-0.5,0.001
Mg,6319.493,5000,4.5,-0.5,0.001
Mg,5711.07,5000,4.5,0.0,-0.024
Mg,6319.24,5000,4.5,0.0,0.002
Mg,6319.493,5000,4.5,0.0,0.002
Mg,5711.07,5000,4.5,0.3,-0.019
Mg,6319.24,5000,4.5,0.3,0.002
Mg,6319.493,5000,4.5,0.3,0.002
Mg,5711.07,5500,3.5,-0.5,-0.023
Mg,6319.24,5500,3.5,-0.5,0.028
Mg,6319.493,5500,3.5,-0.5,0.028
Mg,5711.07,5500,3.5,0.0,-0.029
Mg,6319.24,5500,3.5,0.0,0.023
Mg,6319.493,5500,3.5,0.0,0.023
Mg,5711.07,5500,3.5,0.3,-0.023
Mg,6319.24,5500,3.5,0.3,0.021
Mg,6319.493,5500,3.5,0.3,0.021
Mg,5711.07,5500,4.0,-0.5,-0.02
Mg,6319.24,5500,4.0,-0.5,0.017
Mg,6319.493,5500,4.0,-0.5,0.017
Mg,5711.07,5500,4.0,0.0,-0.02
Mg,6319.24,5500,4.0,0.0,0.015
Mg,6319.493,5500,4.0,0.0,0.015
Mg,5711.07,5500,4.0,0.3,-0.015
Mg,6319.24,5500,4.0,0.3,0.013
Mg,6319.493,5500,4.0,0.3,0.013
Mg,5711.07,5500,4.4,-0.5,-0.017
Mg,6319.24,5500,4.4,-0.5,0.011
Mg,6319.493,5500,4.4,-0.5,0.011
Mg,5711.07,5500,4.4,0.0,-0.015
Mg,6319.24,5500,4.4,0.0,0.009
Mg,6319.493,5500,4.4,0.0,0.009
Mg,5711.07,5500,4.4,0.3,-0.011
Mg,6319.24,5500,4.4,0.3,0.009
Mg,6319.493,5500,4.4,0.3,0.009
Mg,5711.07,5500,4.5,-0.5,-0.015
Mg,6319.24,5500,4.5,-0.5,0.01
Mg,6319.493,5500,4.5,-0.5,0.01
Mg,5711.07,5500,4.5,0.0,-0.014
Mg,6319.24,5500,4.5,0.0,0.008
Mg,6319.493,5500,4.5,0.0,0.008
Mg,5711.07,5500,4.5,0.3,-0.01
Mg,6319.24,5500,4.5,0.3,0.008
Mg,6319.493,5500,4.5,0.3,0.008
Mg,5711.07,5750,3.5,-0.5,0.006
Mg,6319.24,5750,3.5,-0.5,0.041
Mg,6319.493,5750,3.5,-0.5,0.041
Mg,5711.07,5750,3.5,0.0,-0.013
Mg,6319.24,5750,3.5,0.0,0.028
Mg,6319.493,5750,3.5,0.0,0.028
Mg,5711.07,5750,3.5,0.3,-0.013
Mg,6319.24,5750,3.5,0.3,0.024
Mg,6319.493,5750,3.5,0.3,0.024
Mg,5711.07,5750,4.0,-0.5,-0.0
Mg,6319.24,5750,4.0,-0.5,0.026
Mg,6319.493,5750,4.0,-0.5,0.026
Mg,5711.07,5750,4.0,0.0,-0.008
Mg,6319.24,5750,4.0,0.0,0.019
Mg,6319.493,5750,4.0,0.0,0.019
Mg,5711.07,5750,4.0,0.3,-0.006
Mg,6319.24,5750,4.0,0.3,0.017
Mg,6319.493,5750,4.0,0.3,0.017
Mg,5711.07,5750,4.4,-0.5,-0.003
Mg,6319.24,5750,4.4,-0.5,0.017
Mg,6319.493,5750,4.4,-0.5,0.017
Mg,5711.07,5750,4.4,0.0,-0.005
Mg,6319.24,5750,4.4,0.0,0.013
Mg,6319.493,5750,4.4,0.0,0.013
Mg,5711.07,5750,4.4,0.3,-0.004
Mg,6319.24,5750,4.4,0.3,0.012
Mg,6319.493,5750,4.4,0.3,0.012
Mg,5711.07,5750,4.5,-0.5,-0.003
Mg,6319.24,5750,4.5,-0.5,0.015
Mg,6319.493,5750,4.5,-0.5,0.015
Mg,5711.07,5750,4.5,0.0,-0.005
Mg,6319.24,5750,4.5,0.0,0.012
Mg,6319.493,5750,4.5,0.0,0.012
Mg,5711.07,5750,4.5,0.3,-0.003
Mg,6319.24,5750,4.5,0.3,0.01
