element,wave_A,teff_K,logg,feh,delta_nlte
Ca,6439.084,5500,3.5,-0.5,-0.245
Ca,6449.82,5500,3.5,-0.5,0.007
Ca,6745.23,5500,3.5,-0.5,
Ca,4578.56,5500,3.5,0.0,0.044
Ca,5867.57,5500,3.5,0.0,0.033
Ca,6122.22,5500,3.5,0.0,-0.015
Ca,6166.44,5500,3.5,0.0,0.0
Ca,6399.753,5500,3.5,0.0,
Ca,6424.585,5500,3.5,0.0,0.081
Ca,6439.084,5500,3.5,0.0,-0.149
Ca,6449.82,5500,3.5,0.0,0.013
Ca,6745.23,5500,3.5,0.0,0.03
Ca,4578.56,5500,3.5,0.3,0.034
Ca,5867.57,5500,3.5,0.3,0.021
Ca,6122.22,5500,3.5,0.3,0.001
Ca,6166.44,5500,3.5,0.3,0.0
Ca,6399.753,5500,3.5,0.3,0.061
Ca,6424.585,5500,3.5,0.3,0.066
Ca,6439.084,5500,3.5,0.3,-0.1
Ca,6449.82,5500,3.5,0.3,0.015
Ca,6745.23,5500,3.5,0.3,0.027
Ca,4578.56,5500,4.0,-0.5,0.029
Ca,5867.57,5500,4.0,-0.5,0.032
Ca,6122.22,5500,4.0,-0.5,-0.039
Ca,6166.44,5500,4.0,-0.5,0.0
Ca,6399.753,5500,4.0,-0.5,
Ca,6424.585,5500,4.0,-0.5,0.072
Ca,6439.084,5500,4.0,-0.5,-0.177
Ca,6449.82,5500,4.0,-0.5,0.005
Ca,6745.23,5500,4.0,-0.5,
Ca,4578.56,5500,4.0,0.0,0.022
Ca,5867.57,5500,4.0,0.0,0.022
Ca,6122.22,5500,4.0,0.0,-0.007
Ca,6166.44,5500,4.0,0.0,0.0
Ca,6399.753,5500,4.0,0.0,
Ca,6424.585,5500,4.0,0.0,0.058
Ca,6439.084,5500,4.0,0.0,-0.103
Ca,6449.82,5500,4.0,0.0,0.009
Ca,6745.23,5500,4.0,0.0,0.02
Ca,4578.56,5500,4.0,0.3,0.02
Ca,5867.57,5500,4.0,0.3,0.013
Ca,6122.22,5500,4.0,0.3,0.004
Ca,6166.44,5500,4.0,0.3,0.0
Ca,6399.753,5500,4.0,0.3,0.046
Ca,6424.585,5500,4.0,0.3,0.048
Ca,6439.084,5500,4.0,0.3,-0.066
Ca,6449.82,5500,4.0,0.3,0.01
Ca,6745.23,5500,4.0,0.3,0.018
Ca,4578.56,5500,4.4,-0.5,0.006
Ca,5867.57,5500,4.4,-0.5,0.019
Ca,6122.22,5500,4.4,-0.5,-0.031
Ca,6166.44,5500,4.4,-0.5,0.0
Ca,6399.753,5500,4.4,-0.5,
Ca,6424.585,5500,4.4,-0.5,0.052
Ca,6439.084,5500,4.4,-0.5,-0.132
Ca,6449.82,5500,4.4,-0.5,0.003
Ca,6745.23,5500,4.4,-0.5,
Ca,4578.56,5500,4.4,0.0,0.009
Ca,5867.57,5500,4.4,0.0,0.012
Ca,6122.22,5500,4.4,0.0,-0.006
Ca,6166.44,5500,4.4,0.0,0.0
Ca,6399.753,5500,4.4,0.0,
Ca,6424.585,5500,4.4,0.0,0.042
Ca,6439.084,5500,4.4,0.0,-0.076
Ca,6449.82,5500,4.4,0.0,0.005
Ca,6745.23,5500,4.4,0.0,0.014
Ca,4578.56,5500,4.4,0.3,0.011
Ca,5867.57,5500,4.4,0.3,0.006
Ca,6122.22,5500,4.4,0.3,0.002
Ca,6166.44,5500,4.4,0.3,0.0
Ca,6399.753,5500,4.4,0.3,0.035
Ca,6424.585,5500,4.4,0.3,0.035
Ca,6439.084,5500,4.4,0.3,-0.048
Ca,6449.82,5500,4.4,0.3,0.006
Ca,6745.23,5500,4.4,0.3,0.013
Ca,4578.56,5500,4.5,-0.5,0.001
Ca,5867.57,5500,4.5,-0.5,0.016
Ca,6122.22,5500,4.5,-0.5,-0.03
Ca,6166.44,5500,4.5,-0.5,0.0
Ca,6399.753,5500,4.5,-0.5,
Ca,6424.585,5500,4.5,-0.5,0.048
Ca,6439.084,5500,4.5,-0.5,-0.123
Ca,6449.82,5500,4.5,-0.5,0.003
Ca,6745.23,5500,4.5,-0.5,
Ca,4578.56,5500,4.5,0.0,0.006
Ca,5867.57,5500,4.5,0.0,0.009
Ca,6122.22,5500,4.5,0.0,-0.006
Ca,6166.44,5500,4.5,0.0,0.0
Ca,6399.753,5500,4.5,0.0,
Ca,6424.585,5500,4.5,0.0,0.039
Ca,6439.084,5500,4.5,0.0,-0.071
Ca,6449.82,5500,4.5,0.0,0.005
Ca,6745.23,5500,4.5,0.0,0.013
Ca,4578.56,5500,4.5,0.3,0.009
Ca,5867.57,5500,4.5,0.3,0.005
Ca,6122.22,5500,4.5,0.3,0.003
Ca,6166.44,5500,4.5,0.3,0.0
Ca,6399.753,5500,4.5,0.3,0.033
Ca,6424.585,5500,4.5,0.3,0.032
Ca,6439.084,5500,4.5,0.3,-0.045
Ca,6449.82,5500,4.5,0.3,0.006
Ca,6745.23,5500,4.5,0.3,0.012
Ca,4578.56,5750,3.5,-0.5,0.11
Ca,5867.57,5750,3.5,-0.5,0.059
Ca,6122.22,5750,3.5,-0.5,-0.093
Ca,6166.44,5750,3.5,-0.5,0.0
Ca,6399.753,5750,3.5,-0.5,
Ca,6424.585,5750,3.5,-0.5,
Ca,6439.084,5750,3.5,-0.5,-0.303
Ca,6449.82,5750,3.5,-0.5,0.008
Ca,6745.23,5750,3.5,-0.5,
Ca,4578.56,5750,3.5,0.0,0.068
Ca,5867.57,5750,3.5,0.0,0.053
Ca,6122.22,5750,3.5,0.0,-0.04
Ca,6166.44,5750,3.5,0.0,0.0
Ca,6399.753,5750,3.5,0.0,
Ca,6424.585,5750,3.5,0.0,0.095
Ca,6439.084,5750,3.5,0.0,-0.2
Ca,6449.82,5750,3.5,0.0,0.014
Ca,6745.23,5750,3.5,0.0,0.035
Ca,4578.56,5750,3.5,0.3,0.051
Ca,5867.57,5750,3.5,0.3,0.044
Ca,6122.22,5750,3.5,0.3,-0.015
Ca,6166.44,5750,3.5,0.3,0.0
Ca,6399.753,5750,3.5,0.3,
Ca,6424.585,5750,3.5,0.3,0.08
Ca,6439.084,5750,3.5,0.3,-0.137
Ca,6449.82,5750,3.5,0.3,0.018
Ca,6745.23,5750,3.5,0.3,0.032
Ca,4578.56,5750,4.0,-0.5,0.055
Ca,5867.57,5750,4.0,-0.5,0.044
Ca,6122.22,5750,4.0,-0.5,-0.062
Ca,6166.44,5750,4.0,-0.5,0.0
Ca,6399.753,5750,4.0,-0.5,
Ca,6424.585,5750,4.0,-0.5,
Ca,6439.084,5750,4.0,-0.5,-0.223
Ca,6449.82,5750,4.0,-0.5,0.005
Ca,6745.23,5750,4.0,-0.5,
Ca,4578.56,5750,4.0,0.0,0.038
Ca,5867.57,5750,4.0,0.0,0.04
Ca,6122.22,5750,4.0,0.0,-0.022
Ca,6166.44,5750,4.0,0.0,0.0
Ca,6399.753,5750,4.0,0.0,
Ca,6424.585,5750,4.0,0.0,0.069
Ca,6439.084,5750,4.0,0.0,-0.139
Ca,6449.82,5750,4.0,0.0,0.01
Ca,6745.23,5750,4.0,0.0,0.024
Ca,4578.56,5750,4.0,0.3,0.031
Ca,5867.57,5750,4.0,0.3,0.033
Ca,6122.22,5750,4.0,0.3,-0.006
Ca,6166.44,5750,4.0,0.3,0.0
Ca,6399.753,5750,4.0,0.3,0.056
Ca,6424.585,5750,4.0,0.3,0.059
Ca,6439.084,5750,4.0,0.3,-0.094
Ca,6449.82,5750,4.0,0.3,0.012
Ca,6745.23,5750,4.0,0.3,0.022
Ca,4578.56,5750,4.4,-0.5,0.023
Ca,5867.57,5750,4.4,-0.5,0.03
Ca,6122.22,5750,4.4,-0.5,-0.045
Ca,6166.44,5750,4.4,-0.5,0.0
Ca,6399.753,5750,4.4,-0.5,
Ca,6424.585,5750,4.4,-0.5,
Ca,6439.084,5750,4.4,-0.5,-0.17
Ca,6449.82,5750,4.4,-0.5,0.004
Ca,6745.23,5750,4.4,-0.5,
Ca,4578.56,5750,4.4,0.0,0.019
Ca,5867.57,5750,4.4,0.0,0.028
Ca,6122.22,5750,4.4,0.0,-0.015
Ca,6166.44,5750,4.4,0.0,0.0
Ca,6399.753,5750,4.4,0.0,
Ca,6424.585,5750,4.4,0.0,0.052
Ca,6439.084,5750,4.4,0.0,-0.103
Ca,6449.82,5750,4.4,0.0,0.007
Ca,6745.23,5750,4.4,0.0,0.017
Ca,4578.56,5750,4.4,0.3,0.018
Ca,5867.57,5750,4.4,0.3,0.022
Ca,6122.22,5750,4.4,0.3,-0.003
Ca,6166.44,5750,4.4,0.3,0.0
Ca,6399.753,5750,4.4,0.3,0.043
Ca,6424.585,5750,4.4,0.3,0.043
Ca,6439.084,5750,4.4,0.3,-0.067
Ca,6449.82,5750,4.4,0.3,0.008
Ca,6745.23,5750,4.4,0.3,0.016
Ca,4578.56,5750,4.5,-0.5,0.018
Ca,5867.57,5750,4.5,-0.5,0.027
Ca,6122.22,5750,4.5,-0.5,-0.042
Ca,6166.44,5750,4.5,-0.5,0.0
Ca,6399.753,5750,4.5,-0.5,
Ca,6424.585,5750,4.5,-0.5,
Ca,6439.084,5750,4.5,-0.5,-0.157
Ca,6449.82,5750,4.5,-0.5,0.003
Ca,6745.23,5750,4.5,-0.5,
Ca,4578.56,5750,4.5,0.0,0.015
Ca,5867.57,5750,4.5,0.0,0.024
Ca,6122.22,5750,4.5,0.0,-0.014
Ca,6166.44,5750,4.5,0.0,0.0
Ca,6399.753,5750,4.5,0.0,
Ca,6424.585,5750,4.5,0.0,0.047
Ca,6439.084,5750,4.5,0.0,-0.096
Ca,6449.82,5750,4.5,0.0,0.006
Ca,6745.23,5750,4.5,0.0,0.016
Ca,4578.56,5750,4.5,0.3,0.016
Ca,5867.57,5750,4.5,0.3,0.02
Ca,6122.22,5750,4.5,0.3,-0.003
Ca,6166.44,5750,4.5,0.3,0.0
Ca,6399.753,5750,4.5,0.3,0.04
Ca,6424.585,5750,4.5,0.3,0.04
Ca,6439.084,5750,4.5,0.3,-0.062
Ca,6449.82,5750,4.5,0.3,0.007
Ca,6745.23,5750,4.5,0.3,0.015
Ca,4578.56,5777,3.5,-0.5,0.112
Ca,5867.57,5777,3.5,-0.5,0.06
Ca,6122.22,5777,3.5,-0.5,-0.098
Ca,6166.44,5777,3.5,-0.5,0.0
Ca,6399.753,5777,3.5,-0.5,
Ca,6424.585,5777,3.5,-0.5,
Ca,6439.084,5777,3.5,-0.5,-0.31
Ca,6449.82,5777,3.5,-0.5,0.008
Ca,6745.23,5777,3.5,-0.5,
Ca,4578.56,5777,3.5,0.0,0.07
Ca,5867.57,5777,3.5,0.0,0.055
Ca,6122.22,5777,3.5,0.0,-0.043
Ca,6166.44,5777,3.5,0.0,0.0
Ca,6399.753,5777,3.5,0.0,
Ca,6424.585,5777,3.5,0.0,0.097
Ca,6439.084,5777,3.5,0.0,-0.205
Ca,6449.82,5777,3.5,0.0,0.015
Ca,6745.23,5777,3.5,0.0,0.036
Ca,4578.56,5777,3.5,0.3,0.053
Ca,5867.57,5777,3.5,0.3,0.046
Ca,6122.22,5777,3.5,0.3,-0.017
Ca,6166.44,5777,3.5,0.3,0.0
Ca,6399.753,5777,3.5,0.3,
Ca,6424.585,5777,3.5,0.3,0.081
Ca,6439.084,5777,3.5,0.3,-0.142
Ca,6449.82,5777,3.5,0.3,0.018
Ca,6745.23,5777,3.5,0.3,0.033
Ca,4578.56,5777,4.0,-0.5,0.057
Ca,5867.57,5777,4.0,-0.5,0.044
Ca,6122.22,5777,4.0,-0.5,-0.065
Ca,6166.44,5777,4.0,-0.5,0.0
Ca,6399.753,5777,4.0,-0.5,
Ca,6424.585,5777,4.0,-0.5,
Ca,6439.084,5777,4.0,-0.5,-0.229
Ca,6449.82,5777,4.0,-0.5,0.005
Ca,6745.23,5777,4.0,-0.5,
Ca,4578.56,5777,4.0,0.0,0.039
Ca,5867.57,5777,4.0,0.0,0.042
Ca,6122.22,5777,4.0,0.0,-0.024
Ca,6166.44,5777,4.0,0.0,0.0
Ca,6399.753,5777,4.0,0.0,
Ca,6424.585,5777,4.0,0.0,0.07
Ca,6439.084,5777,4.0,0.0,-0.143
Ca,6449.82,5777,4.0,0.0,0.01
Ca,6745.23,5777,4.0,0.0,0.025
Ca,4578.56,5777,4.0,0.3,0.032
Ca,5867.57,5777,4.0,0.3,0.035
Ca,6122.22,5777,4.0,0.3,-0.007
Ca,6166.44,5777,4.0,0.3,0.0
Ca,6399.753,5777,4.0,0.3,
Ca,6424.585,5777,4.0,0.3,0.059
Ca,6439.084,5777,4.0,0.3,-0.098
Ca,6449.82,5777,4.0,0.3,0.012
Ca,6745.23,5777,4.0,0.3,0.023
Ca,4578.56,5777,4.4,-0.5,0.024
Ca,5867.57,5777,4.4,-0.5,0.031
Ca,6122.22,5777,4.4,-0.5,-0.048
Ca,6166.44,5777,4.4,-0.5,0.0
Ca,6399.753,5777,4.4,-0.5,
Ca,6424.585,5777,4.4,-0.5,
Ca,6439.084,5777,4.4,-0.5,-0.175
Ca,6449.82,5777,4.4,-0.5,0.004
Ca,6745.23,5777,4.4,-0.5,
Ca,4578.56,5777,4.4,0.0,0.02
Ca,5867.57,5777,4.4,0.0,0.029
Ca,6122.22,5777,4.4,0.0,-0.017
Ca,6166.44,5777,4.4,0.0,0.0
Ca,6399.753,5777,4.4,0.0,
Ca,6424.585,5777,4.4,0.0,0.053
Ca,6439.084,5777,4.4,0.0,-0.106
Ca,6449.82,5777,4.4,0.0,0.007
Ca,6745.23,5777,4.4,0.0,0.018
Ca,4578.56,5777,4.4,0.3,0.019
Ca,5867.57,5777,4.4,0.3,0.024
Ca,6122.22,5777,4.4,0.3,-0.004
Ca,6166.44,5777,4.4,0.3,0.0
Ca,6399.753,5777,4.4,0.3,0.044
Ca,6424.585,5777,4.4,0.3,0.044
Ca,6439.084,5777,4.4,0.3,-0.07
Ca,6449.82,5777,4.4,0.3,0.008
Ca,6745.23,5777,4.4,0.3,0.016
Ca,4578.56,5777,4.5,-0.5,0.019
Ca,5867.57,5777,4.5,-0.5,0.027
Ca,6122.22,5777,4.5,-0.5,-0.045
Ca,6166.44,5777,4.5,-0.5,0.0
Ca,6399.753,5777,4.5,-0.5,
Ca,6424.585,5777,4.5,-0.5,
Ca,6439.084,5777,4.5,-0.5,-0.162
Ca,6449.82,5777,4.5,-0.5,0.003
Ca,6745.23,5777,4.5,-0.5,
Ca,4578.56,5777,4.5,0.0,0.016
Ca,5867.57,5777,4.5,0.0,0.025
Ca,6122.22,5777,4.5,0.0,-0.016
Ca,6166.44,5777,4.5,0.0,0.0
Ca,6399.753,5777,4.5,0.0,
Ca,6424.585,5777,4.5,0.0,0.048
Ca,6439.084,5777,4.5,0.0,-0.099
Ca,6449.82,5777,4.5,0.0,0.006
Ca,6745.23,5777,4.5,0.0,0.016
Ca,4578.56,5777,4.5,0.3,0.016
Ca,5867.57,5777,4.5,0.3,0.021
Ca,6122.22,5777,4.5,0.3,-0.004
Ca,6166.44,5777,4.5,0.3,0.0
Ca,6399.753,5777,4.5,0.3,0.041
Ca,6424.585,5777,4.5,0.3,0.041
Ca,6439.084,5777,4.5,0.3,-0.065
Ca,6449.82,5777,4.5,0.3,0.007
Ca,6745.23,5777,4.5,0.3,0.015
Ca,4578.56,6000,3.5,-0.5,0.149
Ca,5867.57,6000,3.5,-0.5,0.071
Ca,6122.22,6000,3.5,-0.5,-0.127
Ca,6166.44,6000,3.5,-0.5,0.0
Ca,6399.753,6000,3.5,-0.5,
Ca,6424.585,6000,3.5,-0.5,
Ca,6439.084,6000,3.5,-0.5,-0.361
Ca,6449.82,6000,3.5,-0.5,0.008
Ca,6745.23,6000,3.5,-0.5,
Ca,4578.56,6000,3.5,0.0,0.094
Ca,5867.57,6000,3.5,0.0,0.069
Ca,6122.22,6000,3.5,0.0,-0.072
Ca,6166.44,6000,3.5,0.0,0.0
Ca,6399.753,6000,3.5,0.0,
Ca,6424.585,6000,3.5,0.0,0.11
Ca,6439.084,6000,3.5,0.0,-0.252
Ca,6449.82,6000,3.5,0.0,0.015
Ca,6745.23,6000,3.5,0.0,0.042
Ca,4578.56,6000,3.5,0.3,0.072
Ca,5867.57,6000,3.5,0.3,0.065
Ca,6122.22,6000,3.5,0.3,-0.037
Ca,6166.44,6000,3.5,0.3,0.0
Ca,6399.753,6000,3.5,0.3,
Ca,6424.585,6000,3.5,0.3,0.092
Ca,6439.084,6000,3.5,0.3,-0.181
Ca,6449.82,6000,3.5,0.3,0.02
Ca,6745.23,6000,3.5,0.3,0.038
Ca,4578.56,6000,4.0,-0.5,0.082
Ca,5867.57,6000,4.0,-0.5,0.052
Ca,6122.22,6000,4.0,-0.5,-0.092
Ca,6166.44,6000,4.0,-0.5,0.0
Ca,6399.753,6000,4.0,-0.5,
Ca,6424.585,6000,4.0,-0.5,
Ca,6439.084,6000,4.0,-0.5,-0.28
Ca,6449.82,6000,4.0,-0.5,0.006
Ca,6745.23,6000,4.0,-0.5,
Ca,4578.56,6000,4.0,0.0,0.053
Ca,5867.57,6000,4.0,0.0,0.052
Ca,6122.22,6000,4.0,0.0,-0.045
Ca,6166.44,6000,4.0,0.0,0.0
Ca,6399.753,6000,4.0,0.0,
Ca,6424.585,6000,4.0,0.0,0.079
Ca,6439.084,6000,4.0,0.0,-0.184
Ca,6449.82,6000,4.0,0.0,0.011
Ca,6745.23,6000,4.0,0.0,0.028
Ca,4578.56,6000,4.0,0.3,0.043
Ca,5867.57,6000,4.0,0.3,0.049
Ca,6122.22,6000,4.0,0.3,-0.021
Ca,6166.44,6000,4.0,0.3,0.0
Ca,6399.753,6000,4.0,0.3,
Ca,6424.585,6000,4.0,0.3,0.067
Ca,6439.084,6000,4.0,0.3,-0.128
Ca,6449.82,6000,4.0,0.3,0.014
Ca,6745.23,6000,4.0,0.3,0.026
Ca,4578.56,6000,4.4,-0.5,0.039
Ca,5867.57,6000,4.4,-0.5,0.037
Ca,6122.22,6000,4.4,-0.5,-0.069
Ca,6166.44,6000,4.4,-0.5,0.0
Ca,6399.753,6000,4.4,-0.5,
Ca,6424.585,6000,4.4,-0.5,
Ca,6439.084,6000,4.4,-0.5,-0.217
Ca,6449.82,6000,4.4,-0.5,0.004
Ca,6745.23,6000,4.4,-0.5,
Ca,4578.56,6000,4.4,0.0,0.026
Ca,5867.57,6000,4.4,0.0,0.037
Ca,6122.22,6000,4.4,0.0,-0.032
Ca,6166.44,6000,4.4,0.0,0.0
Ca,6399.753,6000,4.4,0.0,
Ca,6424.585,6000,4.4,0.0,0.058
Ca,6439.084,6000,4.4,0.0,-0.137
Ca,6449.82,6000,4.4,0.0,0.007
Ca,6745.23,6000,4.4,0.0,0.02
Ca,4578.56,6000,4.4,0.3,0.025
Ca,5867.57,6000,4.4,0.3,0.035
Ca,6122.22,6000,4.4,0.3,-0.014
Ca,6166.44,6000,4.4,0.3,0.0
Ca,6399.753,6000,4.4,0.3,
Ca,6424.585,6000,4.4,0.3,0.05
Ca,6439.084,6000,4.4,0.3,-0.095
Ca,6449.82,6000,4.4,0.3,0.009
Ca,6745.23,6000,4.4,0.3,0.019
Ca,4578.56,6000,4.5,-0.5,0.031
Ca,5867.57,6000,4.5,-0.5,0.033
Ca,6122.22,6000,4.5,-0.5,-0.064
Ca,6166.44,6000,4.5,-0.5,0.0
Ca,6399.753,6000,4.5,-0.5,
Ca,6424.585,6000,4.5,-0.5,
Ca,6439.084,6000,4.5,-0.5,-0.203
Ca,6449.82,6000,4.5,-0.5,0.004
Ca,6745.23,6000,4.5,-0.5,
Ca,4578.56,6000,4.5,0.0,0.021
Ca,5867.57,6000,4.5,0.0,0.033
Ca,6122.22,6000,4.5,0.0,-0.03
Ca,6166.44,6000,4.5,0.0,0.0
Ca,6399.753,6000,4.5,0.0,
Ca,6424.585,6000,4.5,0.0,0.054
Ca,6439.084,6000,4.5,0.0,-0.128
Ca,6449.82,6000,4.5,0.0,0.007
Ca,6745.23,6000,4.5,0.0,0.018
Ca,4578.56,6000,4.5,0.3,0.021
Ca,5867.57,6000,4.5,0.3,0.031
Ca,6122.22,6000,4.5,0.3,-0.013
Ca,6166.44,6000,4.5,0.3,0.0
Ca,6399.753,6000,4.5,0.3,
Ca,6424.585,6000,4.5,0.3,0.046
Ca,6439.084,6000,4.5,0.3,-0.087
Ca,6449.82,6000,4.5,0.3,0.008
Ca,6745.23,6000,4.5,0.3,0.017
Ca,4578.56,6500,3.5,-0.5,0.324
Ca,5867.57,6500,3.5,-0.5,0.153
Ca,6122.22,6500,3.5,-0.5,-0.057
Ca,6166.44,6500,3.5,-0.5,0.0
Ca,6399.753,6500,3.5,-0.5,
Ca,6424.585,6500,3.5,-0.5,
Ca,6439.084,6500,3.5,-0.5,-0.325
Ca,6449.82,6500,3.5,-0.5,0.009
Ca,6745.23,6500,3.5,-0.5,
Ca,4578.56,6500,3.5,0.0,0.281
Ca,5867.57,6500,3.5,0.0,0.165
Ca,6122.22,6500,3.5,0.0,-0.058
Ca,6166.44,6500,3.5,0.0,0.0
Ca,6399.753,6500,3.5,0.0,
Ca,6424.585,6500,3.5,0.0,0.193
Ca,6439.084,6500,3.5,0.0,-0.29
Ca,6449.82,6500,3.5,0.0,0.02
Ca,6745.23,6500,3.5,0.0,
Ca,4578.56,6500,3.5,0.3,0.227
Ca,5867.57,6500,3.5,0.3,0.166
Ca,6122.22,6500,3.5,0.3,-0.034
Ca,6166.44,6500,3.5,0.3,0.0
Ca,6399.753,6500,3.5,0.3,
Ca,6424.585,6500,3.5,0.3,0.164
Ca,6439.084,6500,3.5,0.3,-0.227
Ca,6449.82,6500,3.5,0.3,0.028
Ca,6745.23,6500,3.5,0.3,0.066
Ca,4578.56,6500,4.0,-0.5,0.165
Ca,5867.57,6500,4.0,-0.5,0.081
Ca,6122.22,6500,4.0,-0.5,-0.119
Ca,6166.44,6500,4.0,-0.5,0.0
Ca,6399.753,6500,4.0,-0.5,
Ca,6424.585,6500,4.0,-0.5,
