element,wave_A,teff_K,logg,feh,delta_nlte
Ti,4449.15,5000,3.5,-0.5,0.145
Ti,4548.77,5000,3.5,-0.5,0.127
Ti,4759.27,5000,3.5,-0.5,0.167
Ti,4964.7,5000,3.5,-0.5,0.164
Ti,4997.1,5000,3.5,-0.5,0.152
Ti,5009.66,5000,3.5,-0.5,0.155
Ti,5471.21,5000,3.5,-0.5,0.146
Ti,5474.23,5000,3.5,-0.5,0.155
Ti,5490.15,5000,3.5,-0.5,0.142
Ti,5648.57,5000,3.5,-0.5,0.174
Ti,5662.15,5000,3.5,-0.5,0.183
Ti,5689.49,5000,3.5,-0.5,0.189
Ti,6092.8,5000,3.5,-0.5,0.171
Ti,6303.76,5000,3.5,-0.5,0.14
Ti,6312.24,5000,3.5,-0.5,0.143
Ti,6336.1,5000,3.5,-0.5,0.14
Ti,6554.24,5000,3.5,-0.5,0.138
Ti,6599.13,5000,3.5,-0.5,0.163
Ti,6861.45,5000,3.5,-0.5,0.18
Ti,4449.15,5000,3.5,0.0,0.072
Ti,4548.77,5000,3.5,0.0,0.09
Ti,4759.27,5000,3.5,0.0,0.105
Ti,4964.7,5000,3.5,0.0,0.101
Ti,4997.1,5000,3.5,0.0,0.101
Ti,5009.66,5000,3.5,0.0,0.096
Ti,5471.21,5000,3.5,0.0,0.087
Ti,5474.23,5000,3.5,0.0,0.104
Ti,5490.15,5000,3.5,0.0,0.092
Ti,5648.57,5000,3.5,0.0,0.118
Ti,5662.15,5000,3.5,0.0,0.113
Ti,5689.49,5000,3.5,0.0,0.117
Ti,6092.8,5000,3.5,0.0,0.108
Ti,6303.76,5000,3.5,0.0,0.09
Ti,6312.24,5000,3.5,0.0,0.095
Ti,6336.1,5000,3.5,0.0,0.086
Ti,6554.24,5000,3.5,0.0,0.071
Ti,6599.13,5000,3.5,0.0,0.099
Ti,6861.45,5000,3.5,0.0,0.132
Ti,4449.15,5000,3.5,0.3,0.055
Ti,4548.77,5000,3.5,0.3,0.079
Ti,4759.27,5000,3.5,0.3,0.083
Ti,4964.7,5000,3.5,0.3,0.078
Ti,4997.1,5000,3.5,0.3,0.1
Ti,5009.66,5000,3.5,0.3,0.09
Ti,5471.21,5000,3.5,0.3,0.072
Ti,5474.23,5000,3.5,0.3,0.084
Ti,5490.15,5000,3.5,0.3,0.08
Ti,5648.57,5000,3.5,0.3,0.094
Ti,5662.15,5000,3.5,0.3,0.086
Ti,5689.49,5000,3.5,0.3,0.087
Ti,6092.8,5000,3.5,0.3,0.084
Ti,6303.76,5000,3.5,0.3,0.074
Ti,6312.24,5000,3.5,0.3,0.08
Ti,6336.1,5000,3.5,0.3,0.068
Ti,6554.24,5000,3.5,0.3,0.051
Ti,6599.13,5000,3.5,0.3,0.078
Ti,6861.45,5000,3.5,0.3,0.112
Ti,4449.15,5000,4.0,-0.5,0.12
Ti,4548.77,5000,4.0,-0.5,0.107
Ti,4759.27,5000,4.0,-0.5,0.138
Ti,4964.7,5000,4.0,-0.5,0.139
Ti,4997.1,5000,4.0,-0.5,0.128
Ti,5009.66,5000,4.0,-0.5,0.131
Ti,5471.21,5000,4.0,-0.5,0.127
Ti,5474.23,5000,4.0,-0.5,0.135
Ti,5490.15,5000,4.0,-0.5,0.126
Ti,5648.57,5000,4.0,-0.5,0.149
Ti,5662.15,5000,4.0,-0.5,0.15
Ti,5689.49,5000,4.0,-0.5,0.155
Ti,6092.8,5000,4.0,-0.5,0.15
Ti,6303.76,5000,4.0,-0.5,0.127
Ti,6312.24,5000,4.0,-0.5,0.131
Ti,6336.1,5000,4.0,-0.5,0.127
Ti,6554.24,5000,4.0,-0.5,0.123
Ti,6599.13,5000,4.0,-0.5,0.14
Ti,6861.45,5000,4.0,-0.5,0.161
Ti,4449.15,5000,4.0,0.0,0.063
Ti,4548.77,5000,4.0,0.0,0.08
Ti,4759.27,5000,4.0,0.0,0.089
Ti,4964.7,5000,4.0,0.0,0.09
Ti,4997.1,5000,4.0,0.0,0.093
Ti,5009.66,5000,4.0,0.0,0.091
Ti,5471.21,5000,4.0,0.0,0.083
Ti,5474.23,5000,4.0,0.0,0.093
Ti,5490.15,5000,4.0,0.0,0.087
Ti,5648.57,5000,4.0,0.0,0.101
Ti,5662.15,5000,4.0,0.0,0.094
Ti,5689.49,5000,4.0,0.0,0.097
Ti,6092.8,5000,4.0,0.0,0.098
Ti,6303.76,5000,4.0,0.0,0.087
Ti,6312.24,5000,4.0,0.0,0.091
Ti,6336.1,5000,4.0,0.0,0.084
Ti,6554.24,5000,4.0,0.0,0.07
Ti,6599.13,5000,4.0,0.0,0.093
Ti,6861.45,5000,4.0,0.0,0.115
Ti,4449.15,5000,4.0,0.3,0.048
Ti,4548.77,5000,4.0,0.3,0.068
Ti,4759.27,5000,4.0,0.3,0.071
Ti,4964.7,5000,4.0,0.3,0.07
Ti,4997.1,5000,4.0,0.3,0.091
Ti,5009.66,5000,4.0,0.3,0.085
Ti,5471.21,5000,4.0,0.3,0.068
Ti,5474.23,5000,4.0,0.3,0.076
Ti,5490.15,5000,4.0,0.3,0.075
Ti,5648.57,5000,4.0,0.3,0.079
Ti,5662.15,5000,4.0,0.3,0.07
Ti,5689.49,5000,4.0,0.3,0.072
Ti,6092.8,5000,4.0,0.3,0.078
Ti,6303.76,5000,4.0,0.3,0.072
Ti,6312.24,5000,4.0,0.3,0.077
Ti,6336.1,5000,4.0,0.3,0.066
Ti,6554.24,5000,4.0,0.3,0.052
Ti,6599.13,5000,4.0,0.3,0.076
Ti,6861.45,5000,4.0,0.3,0.094
Ti,4449.15,5000,4.4,-0.5,0.094
Ti,4548.77,5000,4.4,-0.5,0.086
Ti,4759.27,5000,4.4,-0.5,0.11
Ti,4964.7,5000,4.4,-0.5,0.112
Ti,4997.1,5000,4.4,-0.5,0.106
Ti,5009.66,5000,4.4,-0.5,0.11
Ti,5471.21,5000,4.4,-0.5,0.105
Ti,5474.23,5000,4.4,-0.5,0.111
Ti,5490.15,5000,4.4,-0.5,0.106
Ti,5648.57,5000,4.4,-0.5,0.12
Ti,5662.15,5000,4.4,-0.5,0.12
Ti,5689.49,5000,4.4,-0.5,0.124
Ti,6092.8,5000,4.4,-0.5,0.124
Ti,6303.76,5000,4.4,-0.5,0.106
Ti,6312.24,5000,4.4,-0.5,0.11
Ti,6336.1,5000,4.4,-0.5,0.107
Ti,6554.24,5000,4.4,-0.5,0.104
Ti,6599.13,5000,4.4,-0.5,0.116
Ti,6861.45,5000,4.4,-0.5,0.134
Ti,4449.15,5000,4.4,0.0,0.051
Ti,4548.77,5000,4.4,0.0,0.065
Ti,4759.27,5000,4.4,0.0,0.072
Ti,4964.7,5000,4.4,0.0,0.076
Ti,4997.1,5000,4.4,0.0,0.079
Ti,5009.66,5000,4.4,0.0,0.078
Ti,5471.21,5000,4.4,0.0,0.072
Ti,5474.23,5000,4.4,0.0,0.079
Ti,5490.15,5000,4.4,0.0,0.075
Ti,5648.57,5000,4.4,0.0,0.083
Ti,5662.15,5000,4.4,0.0,0.076
Ti,5689.49,5000,4.4,0.0,0.08
Ti,6092.8,5000,4.4,0.0,0.084
Ti,6303.76,5000,4.4,0.0,0.076
Ti,6312.24,5000,4.4,0.0,0.079
Ti,6336.1,5000,4.4,0.0,0.074
Ti,6554.24,5000,4.4,0.0,0.062
Ti,6599.13,5000,4.4,0.0,0.081
