element,ion,wavelength_air_A,instrument,ew_mA,ew_method,abundance,rew,treatment,in_aggregate,excluded_reason
Fe,II,3013.7998,kpno_solar_atlas,,profile fit not attempted in near-UV,,,,False,"BAND-POLICY: near-UV bans profile fitting (median gap 0.146 A) and this line does not escape it: nearest neighbour 0.097 A < 0.3 A, so no window contains this profile and excludes the neighbour's core."
Fe,II,3020.0044,kpno_solar_atlas,,profile fit not attempted in near-UV,,,,False,"BAND-POLICY: near-UV bans profile fitting (median gap 0.146 A) and this line does not escape it: nearest neighbour 0.221 A < 0.3 A, so no window contains this profile and excludes the neighbour's core."
Fe,II,3027.3793,kpno_solar_atlas,,profile fit not attempted in near-UV,,,,False,"BAND-POLICY: near-UV bans profile fitting (median gap 0.146 A) and this line does not escape it: nearest neighbour 0.114 A < 0.3 A, so no window contains this profile and excludes the neighbour's core."
Fe,II,3027.4931,kpno_solar_atlas,,profile fit not attempted in near-UV,,,,False,"BAND-POLICY: near-UV bans profile fitting (median gap 0.146 A) and this line does not escape it: nearest neighbour 0.110 A < 0.3 A, so no window contains this profile and excludes the neighbour's core."
Fe,II,3029.6921,kpno_solar_atlas,,profile fit not attempted in near-UV,,,,False,"BAND-POLICY: near-UV bans profile fitting (median gap 0.146 A) and this line does not escape it: nearest neighbour 0.059 A < 0.3 A, so no window contains this profile and excludes the neighbour's core."
Fe,II,3033.4427,kpno_solar_atlas,,profile fit not attempted in near-UV,,,,False,"BAND-POLICY: near-UV bans profile fitting (median gap 0.146 A) and this line does not escape it: nearest neighbour 0.126 A < 0.3 A, so no window contains this profile and excludes the neighbour's core."
Fe,II,3034.736,kpno_solar_atlas,,profile fit not attempted in near-UV,,,,False,"BAND-POLICY: near-UV bans profile fitting (median gap 0.146 A) and this line does not escape it: nearest neighbour 0.039 A < 0.3 A, so no window contains this profile and excludes the neighbour's core."
Fe,II,3045.3239,kpno_solar_atlas,,profile fit not attempted in near-UV,,,,False,"BAND-POLICY: near-UV bans profile fitting (median gap 0.146 A) and this line does not escape it: nearest neighbour 0.153 A < 0.3 A, so no window contains this profile and excludes the neighbour's core."
Fe,II,3055.0705,kpno_solar_atlas,,profile fit not attempted in near-UV,,,,False,"BAND-POLICY: near-UV bans profile fitting (median gap 0.146 A) and this line does not escape it: nearest neighbour 0.022 A < 0.3 A, so no window contains this profile and excludes the neighbour's core."
Fe,II,3057.2684,kpno_solar_atlas,,profile fit not attempted in near-UV,,,,False,"BAND-POLICY: near-UV bans profile fitting (median gap 0.146 A) and this line does not escape it: nearest neighbour 0.019 A < 0.3 A, so no window contains this profile and excludes the neighbour's core."
Fe,II,3079.3587,kpno_solar_atlas,362.1239308721031,"PROFILE-FIT (gaussian); gap 0.420 A [PER-LINE ESCAPE from near-UV ban]; model integrated; chi2_red=0.07083; sigma_fit=0.4000 A (init 0.0177, floor 0.0026); ew_err=245.56 mA; continuum linear anchors at +/-1.2 A; segment(s) lm0304,lm0308",,-3.929603054758939,,False,"FEATURE-VERIFICATION: BLEND-DOMINATED: deepest feature sits +0.261 A from the catalogued position (depth 0.857 vs 0.460 at the line) — the EW is an upper bound on a blend, not this line"
Fe,II,3113.0453,kpno_solar_atlas,,profile fit not attempted in near-UV,,,,False,"BAND-POLICY: near-UV bans profile fitting (median gap 0.146 A) and this line does not escape it: nearest neighbour 0.068 A < 0.3 A, so no window contains this profile and excludes the neighbour's core."
Fe,II,3115.3537,kpno_solar_atlas,,profile fit not attempted in near-UV,,,,False,"BAND-POLICY: near-UV bans profile fitting (median gap 0.146 A) and this line does not escape it: nearest neighbour 0.101 A < 0.3 A, so no window contains this profile and excludes the neighbour's core."
Fe,II,3115.4914,kpno_solar_atlas,,profile fit not attempted in near-UV,,,,False,"BAND-POLICY: near-UV bans profile fitting (median gap 0.146 A) and this line does not escape it: nearest neighbour 0.015 A < 0.3 A, so no window contains this profile and excludes the neighbour's core."
Fe,II,3119.8981,kpno_solar_atlas,,profile fit not attempted in near-UV,,,,False,"BAND-POLICY: near-UV bans profile fitting (median gap 0.146 A) and this line does not escape it: nearest neighbour 0.034 A < 0.3 A, so no window contains this profile and excludes the neighbour's core."
Fe,II,3129.0076,kpno_solar_atlas,,profile fit not attempted in near-UV,,,,False,"BAND-POLICY: near-UV bans profile fitting (median gap 0.146 A) and this line does not escape it: nearest neighbour 0.012 A < 0.3 A, so no window contains this profile and excludes the neighbour's core."
Fe,II,3130.5611,kpno_solar_atlas,,profile fit not attempted in near-UV,,,,False,"BAND-POLICY: near-UV bans profile fitting (median gap 0.146 A) and this line does not escape it: nearest neighbour 0.012 A < 0.3 A, so no window contains this profile and excludes the neighbour's core."
