element,ion,wavelength_air_A,instrument,ew_mA,ew_method,abundance,rew,treatment,in_aggregate,excluded_reason
Fe,I,6911.5113,kpno_solar_atlas,25.444334499991214,"integrated over +/-0.450 A, atlas continuum trusted (data ship pre-normalised as residual flux); segment(s) lm0688; half-width 0.450 A from line separation",,-5.43398192608127,,True,
Fe,I,6963.0158,kpno_solar_atlas,8.38692500000874,"integrated over +/-0.450 A, atlas continuum trusted (data ship pre-normalised as residual flux); segment(s) lm0696; half-width 0.450 A from line separation",,-5.919194621287232,,False,"FEATURE-VERIFICATION: GF-GHOST-ABSENT: no absorption at the catalogued position (depth 0.010, predicted 0.368) — the line is absent from the spectrum or misplaced in the list"
Fe,I,7007.9651,kpno_solar_atlas,45.7791530000092,"integrated over +/-0.450 A, atlas continuum trusted (data ship pre-normalised as residual flux); segment(s) lm0700; half-width 0.450 A from line separation",,-5.1849241772058985,,True,
Fe,I,7030.8649,kpno_solar_atlas,15.754827999990503,"integrated over +/-0.430 A, atlas continuum trusted (data ship pre-normalised as residual flux); segment(s) lm0700; half-width 0.430 A from line separation",,-5.649595086710231,,True,
Fe,I,7093.0804,kpno_solar_atlas,16.363027499985282,"integrated over +/-0.123 A, atlas continuum trusted (data ship pre-normalised as residual flux); segment(s) lm0708; half-width 0.123 A from line separation",,-5.636971222330118,,True,
Fe,I,7151.4692,kpno_solar_atlas,44.035975499977525,"integrated over +/-0.450 A, atlas continuum trusted (data ship pre-normalised as residual flux); segment(s) lm0712; half-width 0.450 A from line separation",,-5.210587651131615,,True,
Fe,I,7194.901,kpno_solar_atlas,99.70020399985508,"integrated over +/-0.315 A, atlas continuum trusted (data ship pre-normalised as residual flux); segment(s) lm0716; half-width 0.315 A from line separation",,-4.858328775595857,,False,"FEATURE-VERIFICATION: BLEND-DOMINATED: deepest feature sits +0.135 A from the catalogued position (depth 0.578 vs 0.228 at the line) — the EW is an upper bound on a blend, not this line"
Fe,I,7252.6353,kpno_solar_atlas,221.20816799980724,"integrated over +/-0.450 A, atlas continuum trusted (data ship pre-normalised as residual flux); segment(s) lm0724; half-width 0.450 A from line separation | CONCERN: side-band 95th pct is 0.9679, below 0.97 — the local pseudo-continuum is itself absorbed. The atlas continuum is used, but this window sits in crowded spectrum and the EW may include unresolved neighbours.",,-4.515694680405907,,False,"FEATURE-VERIFICATION: BLEND-DOMINATED: deepest feature sits -0.268 A from the catalogued position (depth 0.907 vs 0.076 at the line) — the EW is an upper bound on a blend, not this line"
Fe,I,7296.5765,kpno_solar_atlas,1.2195649999981992,"integrated over +/-0.120 A, atlas continuum trusted (data ship pre-normalised as residual flux); segment(s) lm0728; half-width 0.120 A from line separation",,-6.776914187974048,,False,"FEATURE-VERIFICATION: GF-GHOST-ABSENT: no absorption at the catalogued position (depth 0.001, predicted 0.114) — the line is absent from the spectrum or misplaced in the list"
Fe,I,7363.922,kpno_solar_atlas,31.108003000035154,"integrated over +/-0.120 A, atlas continuum trusted (data ship pre-normalised as residual flux); segment(s) lm0736; half-width 0.120 A from line separation | CONCERN: side-band 95th pct is 0.9022, below 0.97 — the local pseudo-continuum is itself absorbed. The atlas continuum is used, but this window sits in crowded spectrum and the EW may include unresolved neighbours.",,-5.374237047564106,,True,
Fe,I,7411.1526,kpno_solar_atlas,128.56172749991075,"integrated over +/-0.450 A, atlas continuum trusted (data ship pre-normalised as residual flux); segment(s) lm0740; half-width 0.450 A from line separation",,-4.7607740562747525,,False,REW -4.761 above the -4.9 saturation ceiling — the EW->abundance inversion is ill-conditioned here. Measured and reported; excluded from the aggregate only.
Fe,I,7454.8145,kpno_solar_atlas,5.268233999995999,"integrated over +/-0.409 A, atlas continuum trusted (data ship pre-normalised as residual flux); segment(s) lm0744; half-width 0.409 A from line separation",,-6.150771784420105,,False,"FEATURE-VERIFICATION: GF-GHOST-ABSENT: no absorption at the catalogued position (depth 0.008, predicted 0.056) — the line is absent from the spectrum or misplaced in the list"
Fe,I,7495.0651,kpno_solar_atlas,130.16456550003076,"integrated over +/-0.173 A, atlas continuum trusted (data ship pre-normalised as residual flux); segment(s) lm0748; half-width 0.173 A from line separation | CONCERN: side-band 95th pct is 0.9485, below 0.97 — the local pseudo-continuum is itself absorbed. The atlas continuum is used, but this window sits in crowded spectrum and the EW may include unresolved neighbours.",,-4.760282636357658,,False,REW -4.760 above the -4.9 saturation ceiling — the EW->abundance inversion is ill-conditioned here. Measured and reported; excluded from the aggregate only.
Fe,I,7573.4135,kpno_solar_atlas,22.993774499996302,"integrated over +/-0.314 A, atlas continuum trusted (data ship pre-normalised as residual flux); segment(s) lm0756; half-width 0.314 A from line separation",,-5.5176814015516245,,True,
Fe,I,7661.1944,kpno_solar_atlas,79.42495199988622,"integrated over +/-0.141 A, atlas continuum trusted (data ship pre-normalised as residual flux); segment(s) lm0764; half-width 0.141 A from line separation | CONCERN: side-band 95th pct is 0.9216, below 0.97 — the local pseudo-continuum is itself absorbed. The atlas continuum is used, but this window sits in crowded spectrum and the EW may include unresolved neighbours.",,-4.984339521507457,,True,
Fe,I,7751.1084,kpno_solar_atlas,51.37658899999124,"integrated over +/-0.450 A, atlas continuum trusted (data ship pre-normalised as residual flux); segment(s) lm0772; half-width 0.450 A from line separation",,-5.178598543420084,,True,
Fe,I,7941.0872,kpno_solar_atlas,48.383771499957,"integrated over +/-0.372 A, atlas continuum trusted (data ship pre-normalised as residual flux); segment(s) lm0792; half-width 0.372 A from line separation",,-5.215180246510624,,True,
Fe,I,8075.1489,kpno_solar_atlas,54.747361999950854,"integrated over +/-0.450 A, atlas continuum trusted (data ship pre-normalised as residual flux); segment(s) lm0804; half-width 0.450 A from line separation",,-5.168787341608902,,True,
Fe,I,8178.9919,kpno_solar_atlas,224.1280605001017,"integrated over +/-0.450 A, atlas continuum trusted (data ship pre-normalised as residual flux); segment(s) lm0816; half-width 0.450 A from line separation",,-4.562203545128172,,False,REW -4.562 above the -4.9 saturation ceiling — the EW->abundance inversion is ill-conditioned here. Measured and reported; excluded from the aggregate only.
Fe,I,8263.8341,kpno_solar_atlas,123.79132649977589,"integrated over +/-0.450 A, atlas continuum trusted (data ship pre-normalised as residual flux); segment(s) lm0824; half-width 0.450 A from line separation",,-4.824491373258398,,False,"FEATURE-VERIFICATION: BLEND-DOMINATED: deepest feature sits -0.405 A from the catalogued position (depth 0.675 vs 0.127 at the line) — the EW is an upper bound on a blend, not this line"
Fe,I,8324.1393,kpno_solar_atlas,15.938017999982495,"integrated over +/-0.450 A, atlas continuum trusted (data ship pre-normalised as residual flux); segment(s) lm0832; half-width 0.450 A from line separation",,-5.717905026314892,,True,
Fe,I,8481.9803,kpno_solar_atlas,33.32633000009985,"integrated over +/-0.450 A, atlas continuum trusted (data ship pre-normalised as residual flux); segment(s) lm0844,lm0848; half-width 0.450 A from line separation",,-5.405709769020835,,True,
Fe,I,8592.9506,kpno_solar_atlas,63.0367620000555,"integrated over +/-0.450 A, atlas continuum trusted (data ship pre-normalised as residual flux); segment(s) lm0856; half-width 0.450 A from line separation",,-5.134548418370192,,True,
Fe,I,8689.7001,kpno_solar_atlas,12.000549000049732,"integrated over +/-0.120 A, atlas continuum trusted (data ship pre-normalised as residual flux); segment(s) lm0868; half-width 0.120 A from line separation",,-5.8598036737151755,,False,"FEATURE-VERIFICATION: BLEND-DOMINATED: deepest feature sits +0.111 A from the catalogued position (depth 0.051 vs 0.048 at the line) — the EW is an upper bound on a blend, not this line"
Fe,I,8804.6242,kpno_solar_atlas,72.1704004999635,"integrated over +/-0.450 A, atlas continuum trusted (data ship pre-normalised as residual flux); segment(s) lm0880; half-width 0.450 A from line separation",,-5.086351708727525,,True,
Fe,I,8922.6503,kpno_solar_atlas,17.262116999996028,"integrated over +/-0.450 A, atlas continuum trusted (data ship pre-normalised as residual flux); segment(s) lm0892; half-width 0.450 A from line separation",,-5.7133998164146576,,True,
