wave,ref,nist,log_gf,gf_dex,gf_note
6916.6795,2014MNRAS.,,-1.28,0.03,Ruffoni et al. 2014 MNRAS -- FTS laboratory
6951.2454,K07,,-0.8806,0.2,"Kurucz 2007 SEMI-EMPIRICAL -- 0.1-0.3 dex, RYA-161"
6975.4259,(not in canonical_gf),,,,unrecognised source
6977.4283,K07,,-1.567,0.2,"Kurucz 2007 SEMI-EMPIRICAL -- 0.1-0.3 dex, RYA-161"
6999.883,2014MNRAS.,,-1.38,0.03,Ruffoni et al. 2014 MNRAS -- FTS laboratory
7000.6143,K07,,-4.994,0.2,"Kurucz 2007 SEMI-EMPIRICAL -- 0.1-0.3 dex, RYA-161"
7032.309,(not in canonical_gf),,,,unrecognised source
7038.2199,MRW,,-1.2,0.08,"May, Richter & Wichelmann 1974 -- laboratory"
7052.715,K07,,-7.3692,0.2,"Kurucz 2007 SEMI-EMPIRICAL -- 0.1-0.3 dex, RYA-161"
7071.8597,2014MNRAS.,,-1.17,0.03,Ruffoni et al. 2014 MNRAS -- FTS laboratory
7086.7244,K07,,-2.387,0.2,"Kurucz 2007 SEMI-EMPIRICAL -- 0.1-0.3 dex, RYA-161"
7090.3835,MRW,,-1.11,0.08,"May, Richter & Wichelmann 1974 -- laboratory"
7091.9211,K07,,-1.298,0.2,"Kurucz 2007 SEMI-EMPIRICAL -- 0.1-0.3 dex, RYA-161"
7095.4067,MRW,,-1.92,0.08,"May, Richter & Wichelmann 1974 -- laboratory"
7107.4594,BWL,,-1.342,0.02,"Blackwell/Wells/Lynas-Gray -- Oxford Fe I furnace, laboratory"
7112.1674,BK,,-2.99,0.04,"Bard & Kock 1994 -- laboratory emission, Fe I"
7120.0212,K07,,-2.033,0.2,"Kurucz 2007 SEMI-EMPIRICAL -- 0.1-0.3 dex, RYA-161"
7132.9862,BWL,,-1.628,0.02,"Blackwell/Wells/Lynas-Gray -- Oxford Fe I furnace, laboratory"
7142.5166,K07,,-0.822,0.2,"Kurucz 2007 SEMI-EMPIRICAL -- 0.1-0.3 dex, RYA-161"
7145.3223,K07,,-1.1584,0.2,"Kurucz 2007 SEMI-EMPIRICAL -- 0.1-0.3 dex, RYA-161"
7190.1222,FMW,,-3.42,0.08,"Fuhr, Martin & Wiese -- NIST critical compilation"
7219.6816,FMW,,-1.69,0.08,"Fuhr, Martin & Wiese -- NIST critical compilation"
7221.2017,K07,,-1.47,0.2,"Kurucz 2007 SEMI-EMPIRICAL -- 0.1-0.3 dex, RYA-161"
7306.5617,2014MNRAS.,,-1.43,0.03,Ruffoni et al. 2014 MNRAS -- FTS laboratory
7307.9306,BWL,,-1.531,0.02,"Blackwell/Wells/Lynas-Gray -- Oxford Fe I furnace, laboratory"
7320.6685,BWL,,-1.155,0.02,"Blackwell/Wells/Lynas-Gray -- Oxford Fe I furnace, laboratory"
7320.8331,K07,,-1.431,0.2,"Kurucz 2007 SEMI-EMPIRICAL -- 0.1-0.3 dex, RYA-161"
7330.1371,FMW,,-2.03,0.08,"Fuhr, Martin & Wiese -- NIST critical compilation"
7366.37,FMW,,-1.9,0.08,"Fuhr, Martin & Wiese -- NIST critical compilation"
7401.5894,K07,,-1.123,0.2,"Kurucz 2007 SEMI-EMPIRICAL -- 0.1-0.3 dex, RYA-161"
7401.6826,BK+BWL,,-1.548,0.04,"Bard & Kock 1994 -- laboratory emission, Fe I"
7418.6663,BWL,,-1.376,0.02,"Blackwell/Wells/Lynas-Gray -- Oxford Fe I furnace, laboratory"
7435.5909,K07,,-0.712,0.2,"Kurucz 2007 SEMI-EMPIRICAL -- 0.1-0.3 dex, RYA-161"
7440.911,K07,,-0.573,0.2,"Kurucz 2007 SEMI-EMPIRICAL -- 0.1-0.3 dex, RYA-161"
7443.0217,FMW,,-1.82,0.08,"Fuhr, Martin & Wiese -- NIST critical compilation"
7447.3931,K07,,-1.209,0.2,"Kurucz 2007 SEMI-EMPIRICAL -- 0.1-0.3 dex, RYA-161"
