element,ion,wavelength_air_A,instrument,ew_mA,rew,log_gf,ep_eV,predicted_depth,ew_method,panel
Fe,I,7000.6143,kpno_solar_atlas,27.21394950001347,-5.410344576238127,-2.386,4.1426,0.097,"integrated over +/-0.366 A, atlas continuum trusted (data ship pre-normalised as residual flux); segment(s) lm0696,lm0700; half-width 0.366 A from line separation",FeI_6910_9199_kpno_solar_atlas_appendix_17.png
Fe,I,7005.5804,kpno_solar_atlas,22.712212999975396,-5.489184669202278,-0.533,5.0331,0.343,"integrated over +/-0.150 A, atlas continuum trusted (data ship pre-normalised as residual flux); segment(s) lm0700; half-width 0.150 A from line separation | CONCERN: side-band 95th pct is 0.9665, below 0.97 — the local pseudo-continuum is itself absorbed. The atlas continuum is used, but this window sits in crowded spectrum and the EW may include unresolved neighbours.",FeI_6910_9199_kpno_solar_atlas_appendix_17.png
Fe,I,7007.9651,kpno_solar_atlas,45.7791530000092,-5.1849241772058985,-2.06,4.1777,0.162,"integrated over +/-0.450 A, atlas continuum trusted (data ship pre-normalised as residual flux); segment(s) lm0700; half-width 0.450 A from line separation",FeI_6910_9199_kpno_solar_atlas_appendix_17.png
Fe,I,7010.3456,kpno_solar_atlas,15.548151500006766,-5.654060664878236,-2.01,4.58,0.086,"integrated over +/-0.191 A, atlas continuum trusted (data ship pre-normalised as residual flux); segment(s) lm0700; half-width 0.191 A from line separation",FeI_6910_9199_kpno_solar_atlas_appendix_17.png
Fe,I,7011.3431,kpno_solar_atlas,46.508201499974525,-5.178271674419411,-1.316,4.5931,0.255,"integrated over +/-0.308 A, atlas continuum trusted (data ship pre-normalised as residual flux); segment(s) lm0700; half-width 0.308 A from line separation",FeI_6910_9199_kpno_solar_atlas_appendix_17.png
Fe,I,7016.0551,kpno_solar_atlas,67.08921299999696,-5.019440293716987,-3.21,2.4242,0.364,"integrated over +/-0.163 A, atlas continuum trusted (data ship pre-normalised as residual flux); segment(s) lm0700; half-width 0.163 A from line separation",FeI_6910_9199_kpno_solar_atlas_appendix_17.png
Fe,I,7022.39,kpno_solar_atlas,26.04652199999244,-5.430735205026081,-2.29,4.3013,0.085,"integrated over +/-0.281 A, atlas continuum trusted (data ship pre-normalised as residual flux); segment(s) lm0700; half-width 0.281 A from line separation",FeI_6910_9199_kpno_solar_atlas_appendix_17.png
Fe,I,7022.9519,kpno_solar_atlas,72.11356350002744,-4.988502737152869,-1.25,4.1909,0.386,"integrated over +/-0.278 A, atlas continuum trusted (data ship pre-normalised as residual flux); segment(s) lm0700; half-width 0.278 A from line separation",FeI_6910_9199_kpno_solar_atlas_appendix_17.png
Fe,I,7023.5069,kpno_solar_atlas,43.69224399994592,-5.206149663103441,-0.702,5.8405,0.097,"integrated over +/-0.120 A, atlas continuum trusted (data ship pre-normalised as residual flux); segment(s) lm0700; half-width 0.120 A from line separation",FeI_6910_9199_kpno_solar_atlas_appendix_17.png
Fe,I,7024.0499,kpno_solar_atlas,30.452140500012145,-5.362969763335353,-2.208,4.0758,0.151,"integrated over +/-0.181 A, atlas continuum trusted (data ship pre-normalised as residual flux); segment(s) lm0700; half-width 0.181 A from line separation",FeI_6910_9199_kpno_solar_atlas_appendix_17.png
Fe,I,7024.6406,kpno_solar_atlas,43.686885000088544,-5.206273030067019,-1.08,4.5585,0.33,"integrated over +/-0.120 A, atlas continuum trusted (data ship pre-normalised as residual flux); segment(s) lm0700; half-width 0.120 A from line separation",FeI_6910_9199_kpno_solar_atlas_appendix_17.png
Fe,I,7028.5723,kpno_solar_atlas,6.883269499992367,-6.009072342821626,-3.24,3.0713,0.146,"integrated over +/-0.189 A, atlas continuum trusted (data ship pre-normalised as residual flux); segment(s) lm0700; half-width 0.189 A from line separation",FeI_6910_9199_kpno_solar_atlas_appendix_17.png
Fe,I,7030.8649,kpno_solar_atlas,15.754827999990503,-5.649595086710231,-2.265,4.0758,0.137,"integrated over +/-0.430 A, atlas continuum trusted (data ship pre-normalised as residual flux); segment(s) lm0700; half-width 0.430 A from line separation",FeI_6910_9199_kpno_solar_atlas_appendix_18.png
Fe,I,7032.309,kpno_solar_atlas,36.84733350001049,-5.280691880296952,-0.348,5.8251,0.179,"integrated over +/-0.450 A, atlas continuum trusted (data ship pre-normalised as residual flux); segment(s) lm0700; half-width 0.450 A from line separation",FeI_6910_9199_kpno_solar_atlas_appendix_18.png
Fe,I,7038.2199,kpno_solar_atlas,68.50428649998635,-5.011745084343212,-1.3,4.2176,0.366,"integrated over +/-0.274 A, atlas continuum trusted (data ship pre-normalised as residual flux); segment(s) lm0700; half-width 0.274 A from line separation",FeI_6910_9199_kpno_solar_atlas_appendix_18.png
Fe,I,7038.7689,kpno_solar_atlas,31.80785900004462,-5.34496226893465,-1.99,4.2562,0.159,"integrated over +/-0.120 A, atlas continuum trusted (data ship pre-normalised as residual flux); segment(s) lm0700; half-width 0.120 A from line separation",FeI_6910_9199_kpno_solar_atlas_appendix_18.png
Fe,I,7044.6351,kpno_solar_atlas,29.351242999998338,-5.38023200434728,-1.64,4.9556,0.084,"integrated over +/-0.450 A, atlas continuum trusted (data ship pre-normalised as residual flux); segment(s) lm0704; half-width 0.450 A from line separation",FeI_6910_9199_kpno_solar_atlas_appendix_18.png
Fe,I,7052.715,kpno_solar_atlas,27.96559950002236,-5.401732200614667,-1.245,5.0995,0.133,"integrated over +/-0.120 A, atlas continuum trusted (data ship pre-normalised as residual flux); segment(s) lm0704; half-width 0.120 A from line separation | CONCERN: side-band 95th pct is 0.9630, below 0.97 — the local pseudo-continuum is itself absorbed. The atlas continuum is used, but this window sits in crowded spectrum and the EW may include unresolved neighbours.",FeI_6910_9199_kpno_solar_atlas_appendix_18.png
Fe,I,7068.4119,kpno_solar_atlas,58.5506009999525,-5.081790492062812,-1.38,4.0758,0.382,"integrated over +/-0.120 A, atlas continuum trusted (data ship pre-normalised as residual flux); segment(s) lm0704; half-width 0.120 A from line separation",FeI_6910_9199_kpno_solar_atlas_appendix_18.png
Fe,I,7071.8597,kpno_solar_atlas,27.2838449999889,-5.413628062406386,-1.7,4.607,0.143,"integrated over +/-0.120 A, atlas continuum trusted (data ship pre-normalised as residual flux); segment(s) lm0704; half-width 0.120 A from line separation",FeI_6910_9199_kpno_solar_atlas_appendix_18.png
Fe,I,7072.8046,kpno_solar_atlas,14.6502999999975,-5.683745142016058,-0.882,4.0758,0.06,"integrated over +/-0.450 A, atlas continuum trusted (data ship pre-normalised as residual flux); segment(s) lm0704; half-width 0.450 A from line separation",FeI_6910_9199_kpno_solar_atlas_appendix_18.png
Fe,I,7083.3943,kpno_solar_atlas,28.492148499982523,-5.395516218444161,-1.202,4.913,0.191,"integrated over +/-0.287 A, atlas continuum trusted (data ship pre-normalised as residual flux); segment(s) lm0708; half-width 0.287 A from line separation",FeI_6910_9199_kpno_solar_atlas_appendix_18.png
Fe,I,7086.7244,kpno_solar_atlas,27.859003999977404,-5.40547995783933,-2.356,3.6025,0.244,"integrated over +/-0.284 A, atlas continuum trusted (data ship pre-normalised as residual flux); segment(s) lm0708; half-width 0.284 A from line separation",FeI_6910_9199_kpno_solar_atlas_appendix_18.png
Fe,I,7090.3835,kpno_solar_atlas,78.4306840000352,-4.956183723110451,-1.21,4.2305,0.382,"integrated over +/-0.450 A, atlas continuum trusted (data ship pre-normalised as residual flux); segment(s) lm0708; half-width 0.450 A from line separation",FeI_6910_9199_kpno_solar_atlas_appendix_18.png
Fe,I,7091.9211,kpno_solar_atlas,20.75600099997895,-5.533620212337784,-1.298,4.9556,0.154,"integrated over +/-0.450 A, atlas continuum trusted (data ship pre-normalised as residual flux); segment(s) lm0708; half-width 0.450 A from line separation",FeI_6910_9199_kpno_solar_atlas_appendix_19.png
Fe,I,7092.8343,kpno_solar_atlas,11.526253000011137,-5.789131666083454,-2.066,4.5585,0.079,"integrated over +/-0.123 A, atlas continuum trusted (data ship pre-normalised as residual flux); segment(s) lm0708; half-width 0.123 A from line separation",FeI_6910_9199_kpno_solar_atlas_appendix_19.png
Fe,I,7093.0804,kpno_solar_atlas,16.363027499985282,-5.636971222330118,-2.02,4.5585,0.087,"integrated over +/-0.123 A, atlas continuum trusted (data ship pre-normalised as residual flux); segment(s) lm0708; half-width 0.123 A from line separation",FeI_6910_9199_kpno_solar_atlas_appendix_19.png
Fe,I,7095.4067,kpno_solar_atlas,27.48124549996209,-5.411940881885083,-2.02,4.2089,0.164,"integrated over +/-0.120 A, atlas continuum trusted (data ship pre-normalised as residual flux); segment(s) lm0708; half-width 0.120 A from line separation",FeI_6910_9199_kpno_solar_atlas_appendix_19.png
Fe,I,7100.193,kpno_solar_atlas,18.20346849999859,-5.591116007422922,-3.897,2.7275,0.081,"integrated over +/-0.450 A, atlas continuum trusted (data ship pre-normalised as residual flux); segment(s) lm0708; half-width 0.450 A from line separation",FeI_6910_9199_kpno_solar_atlas_appendix_19.png
Fe,I,7107.4594,kpno_solar_atlas,32.61853450004628,-5.338249942577666,-1.343,4.1864,0.362,"integrated over +/-0.450 A, atlas continuum trusted (data ship pre-normalised as residual flux); segment(s) lm0708; half-width 0.450 A from line separation",FeI_6910_9199_kpno_solar_atlas_appendix_19.png
Fe,I,7112.1674,kpno_solar_atlas,41.445639000038376,-5.234523130243935,-2.998,2.9904,0.239,"integrated over +/-0.450 A, atlas continuum trusted (data ship pre-normalised as residual flux); segment(s) lm0708; half-width 0.450 A from line separation",FeI_6910_9199_kpno_solar_atlas_appendix_19.png
Fe,I,7114.5483,kpno_solar_atlas,12.240906000023344,-5.7643337691740575,-4.01,2.6924,0.069,"integrated over +/-0.450 A, atlas continuum trusted (data ship pre-normalised as residual flux); segment(s) lm0708; half-width 0.450 A from line separation",FeI_6910_9199_kpno_solar_atlas_appendix_19.png
Fe,I,7118.0958,kpno_solar_atlas,34.090048500001416,-5.319736209625798,-1.57,5.0095,0.086,"integrated over +/-0.450 A, atlas continuum trusted (data ship pre-normalised as residual flux); segment(s) lm0708; half-width 0.450 A from line separation",FeI_6910_9199_kpno_solar_atlas_appendix_19.png
