wave,acc,nist_log_gf,dw,dex
6916.6795,D,-1.3990271043132516,0.001499999999396,0.17609125905568124
6999.883,D,-1.5016894462103996,0.0006000000003041,0.17609125905568124
7000.6143,C,-2.385524633909605,0.000199999999495,0.09691001300805642
7038.2199,D,-1.2441251443275083,0.0030999999999039,0.17609125905568124
7090.3835,D,-1.1611509092627446,0.0003999999998995,0.17609125905568124
7107.4594,D,-1.3429441471428962,0.0016000000005078,0.17609125905568124
7112.1674,D+,-2.9888526392242025,9.999999929277692e-05,0.146128035678238
7132.9862,D+,-1.6274561992409298,0.0003999999998995,0.146128035678238
7307.9306,C+,-1.5306198641500748,0.0007000000005064,0.07188200730612536
7320.6685,C,-1.154901959985743,0.0135000000000218,0.09691001300805642
7401.6826,C,-1.3531063758322548,0.0018000000000029,0.09691001300805642
7418.6663,C+,-1.3760274879830037,0.0007000000005064,0.07188200730612536
7583.7875,D+,-1.8853890157678268,0.000199999999495,0.146128035678238
7710.3626,C+,-1.112776668637477,0.0013999999991938,0.07188200730612536
7723.2067,B,-3.617082864912469,0.0008000000007086,0.04139268515822508
7912.8656,A,-4.848017604542526,0.0009000000000014,0.012837224705172217
7941.0872,C+,-2.284832642151542,0.0015000000003055,0.07188200730612536
8239.1267,C+,-3.178486471595227,0.0008999999990919,0.07188200730612536
8365.6313,C,-1.9069286936239365,0.0017000000007101,0.09691001300805642
8515.1084,B,-2.0721165896692932,0.00039999999899,0.04139268515822508
8582.2574,C,-2.133004186889352,0.0006000000012136,0.09691001300805642
8598.8187,B,-1.088203409562748,0.011000000000422,0.04139268515822508
8621.6006,D+,-2.3211175853292643,0.0005000000001018,0.146128035678238
8699.454,D+,-0.3796557002455067,0.0005999999993946,0.146128035678238
8757.1868,C,-1.9154237220656691,0.0002999999996973,0.09691001300805642
8804.6242,B,-3.2328441339178196,0.0010999999994965,0.04139268515822508
8838.4281,C,-1.869666231504994,0.0003000000015163,0.09691001300805642
9146.1275,C+,-2.8046539416515803,0.0015000000003055,0.07188200730612536
