band,element,ion,treatment,deck,n_lines,n_ep_joined,tol_A,use_ep,n_unique,n_absent,n_ambiguous,baseline_n_unique,baseline_kept,baseline_reidentified,src
red-optical,Fe,II,ENGINE-A,,1,1,0.01,True,1,0,0,1,1,0,FeII_6910_9199_kpno_solar_atlas_PROFILEFIT_ENGINE-A_lines.csv
red-optical,Fe,II,ENGINE-A,,1,1,0.02,False,1,0,0,1,1,0,FeII_6910_9199_kpno_solar_atlas_PROFILEFIT_ENGINE-A_lines.csv
red-optical,Fe,II,ENGINE-A,,1,1,0.02,True,1,0,0,1,1,0,FeII_6910_9199_kpno_solar_atlas_PROFILEFIT_ENGINE-A_lines.csv
red-optical,Fe,II,ENGINE-A,,1,1,0.03,False,1,0,0,1,1,0,FeII_6910_9199_kpno_solar_atlas_PROFILEFIT_ENGINE-A_lines.csv
red-optical,Fe,II,ENGINE-A,,1,1,0.03,True,1,0,0,1,1,0,FeII_6910_9199_kpno_solar_atlas_PROFILEFIT_ENGINE-A_lines.csv
red-optical,Fe,II,ENGINE-A,,1,1,0.05,False,1,0,0,1,1,0,FeII_6910_9199_kpno_solar_atlas_PROFILEFIT_ENGINE-A_lines.csv
red-optical,Fe,II,ENGINE-A,,1,1,0.05,True,1,0,0,1,1,0,FeII_6910_9199_kpno_solar_atlas_PROFILEFIT_ENGINE-A_lines.csv
red-optical,Fe,II,ENGINE-B-NLTE,,2,2,0.005,False,1,0,1,1,1,0,FeII_6910_9199_kpno_solar_atlas_PROFILEFIT_ENGINE-B-NLTE_lines.csv
red-optical,Fe,II,ENGINE-B-NLTE,,2,2,0.005,True,2,0,0,1,1,0,FeII_6910_9199_kpno_solar_atlas_PROFILEFIT_ENGINE-B-NLTE_lines.csv
red-optical,Fe,II,ENGINE-B-NLTE,,2,2,0.01,False,1,0,1,1,1,0,FeII_6910_9199_kpno_solar_atlas_PROFILEFIT_ENGINE-B-NLTE_lines.csv
red-optical,Fe,II,ENGINE-B-NLTE,,2,2,0.01,True,2,0,0,1,1,0,FeII_6910_9199_kpno_solar_atlas_PROFILEFIT_ENGINE-B-NLTE_lines.csv
red-optical,Fe,II,ENGINE-B-NLTE,,2,2,0.02,False,1,0,1,1,1,0,FeII_6910_9199_kpno_solar_atlas_PROFILEFIT_ENGINE-B-NLTE_lines.csv
red-optical,Fe,II,ENGINE-B-NLTE,,2,2,0.02,True,2,0,0,1,1,0,FeII_6910_9199_kpno_solar_atlas_PROFILEFIT_ENGINE-B-NLTE_lines.csv
red-optical,Fe,II,ENGINE-B-NLTE,,2,2,0.03,False,1,0,1,1,1,0,FeII_6910_9199_kpno_solar_atlas_PROFILEFIT_ENGINE-B-NLTE_lines.csv
red-optical,Fe,II,ENGINE-B-NLTE,,2,2,0.03,True,2,0,0,1,1,0,FeII_6910_9199_kpno_solar_atlas_PROFILEFIT_ENGINE-B-NLTE_lines.csv
red-optical,Fe,II,ENGINE-B-NLTE,,2,2,0.05,False,1,0,1,1,1,0,FeII_6910_9199_kpno_solar_atlas_PROFILEFIT_ENGINE-B-NLTE_lines.csv
red-optical,Fe,II,ENGINE-B-NLTE,,2,2,0.05,True,2,0,0,1,1,0,FeII_6910_9199_kpno_solar_atlas_PROFILEFIT_ENGINE-B-NLTE_lines.csv
red-optical,Fe,II,ENGINE-B,,3,3,0.005,False,2,0,1,2,2,0,FeII_6910_9199_kpno_solar_atlas_PROFILEFIT_ENGINE-B_lines.csv
