band,element,ion,treatment,deck,n_lines,n_ep_joined,tol_A,use_ep,n_unique,n_absent,n_ambiguous,baseline_n_unique,baseline_kept,baseline_reidentified,src
red-optical,Fe,II,1D-LTE,gerber-nlte,4,4,0.005,False,3,0,1,3,3,0,gerber-nlte/FeII_6910_9199_kpno_solar_atlas_PROFILEFIT_1D-LTE_lines.csv
red-optical,Fe,II,1D-LTE,gerber-nlte,4,4,0.005,True,4,0,0,3,3,0,gerber-nlte/FeII_6910_9199_kpno_solar_atlas_PROFILEFIT_1D-LTE_lines.csv
red-optical,Fe,II,1D-LTE,gerber-nlte,4,4,0.01,False,3,0,1,3,3,0,gerber-nlte/FeII_6910_9199_kpno_solar_atlas_PROFILEFIT_1D-LTE_lines.csv
red-optical,Fe,II,1D-LTE,gerber-nlte,4,4,0.01,True,4,0,0,3,3,0,gerber-nlte/FeII_6910_9199_kpno_solar_atlas_PROFILEFIT_1D-LTE_lines.csv
red-optical,Fe,II,1D-LTE,gerber-nlte,4,4,0.02,False,3,0,1,3,3,0,gerber-nlte/FeII_6910_9199_kpno_solar_atlas_PROFILEFIT_1D-LTE_lines.csv
red-optical,Fe,II,1D-LTE,gerber-nlte,4,4,0.02,True,4,0,0,3,3,0,gerber-nlte/FeII_6910_9199_kpno_solar_atlas_PROFILEFIT_1D-LTE_lines.csv
red-optical,Fe,II,1D-LTE,gerber-nlte,4,4,0.03,False,3,0,1,3,3,0,gerber-nlte/FeII_6910_9199_kpno_solar_atlas_PROFILEFIT_1D-LTE_lines.csv
red-optical,Fe,II,1D-LTE,gerber-nlte,4,4,0.03,True,4,0,0,3,3,0,gerber-nlte/FeII_6910_9199_kpno_solar_atlas_PROFILEFIT_1D-LTE_lines.csv
red-optical,Fe,II,1D-LTE,gerber-nlte,4,4,0.05,False,3,0,1,3,3,0,gerber-nlte/FeII_6910_9199_kpno_solar_atlas_PROFILEFIT_1D-LTE_lines.csv
red-optical,Fe,II,1D-LTE,gerber-nlte,4,4,0.05,True,4,0,0,3,3,0,gerber-nlte/FeII_6910_9199_kpno_solar_atlas_PROFILEFIT_1D-LTE_lines.csv
