obs_wl_air(A)	ritz_wl_air(A)	intens	Aki(s^-1)	fik	S(a.u.)	log_gf	Acc	Ei(cm-1)	Ek(cm-1)	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	tp_ref	line_ref	
"6696.015"	"6696.018"	"13"	"1.00e+06"	"1.35e-02"	"5.95e-01"	"-1.569"	C+	"25347.756"	"40277.883"	"3s2.4s"	"2S"	"1/2"	"3s2.5p"	"2P*"	"3/2"	2	4		"u36,LS"	"L4737"	
"6698.673"	"6698.667"	"11"	"1.00e+06"	"6.75e-03"	"2.98e-01"	"-1.870"	C+	"25347.756"	"40271.978"	"3s2.4s"	"2S"	"1/2"	"3s2.5p"	"2P*"	"1/2"	2	2		"u36,LS"	"L4737"	
"6785.2"	"6784.242"	"1"	""	""	""	""		"32436.796"	"[47172.77]"	"3s2.3d"	"2D"	"5/2"	"3s2.10f"	"2F*"	"7/2"	6	8		""	"L7415"	
