wavelength_air_A,elo_eV,eup_eV,loggf_asplund,rew_agss21,ew_mA_agss21,a_1dlte,a_published_3dnlte_agss21,status,reason,red_chi2,obs_source,fit_seconds,network,domain_reason,aberr,a_3dnlte,in_domain
4445.5,0.08729,2.8755,-5.412,-5.068137,38.0,7.477,7.455,ok,,5.464,holding=solar_kpno_kurucz2005_corrected · irradrelwl.dat,101.48,lt02,"transition energy Eup-Elo 2.7882 eV outside training [1.8382, 2.4829] (lt02, n=17);   -> that is a WAVELENGTH statement: the network saw 4994.1-6739.5 A only, and Eup-Elo is hc/lambda_vac by construction",,,False
4574.2,3.21119,5.92093,-2.35,-5.072604,38.7,7.508,7.451,ok,,5.433,holding=solar_kpno_kurucz2005_corrected · irradrelwl.dat,89.1,gt02,"transition energy Eup-Elo 2.7097 eV outside training [1.8190, 2.5898] (gt02, n=154);   -> that is a WAVELENGTH statement: the network saw 4787.8-6810.3 A only, and Eup-Elo is hc/lambda_vac by construction",,,False
5247.0,0.08729,2.44956,-4.961,-4.913731,64.0,7.567,7.483,ok,,37.747,holding=solar_kpno_kurucz2005_corrected · irradrelwl.dat,64.92,lt02,,-0.041560875712901145,7.525439124287099,True
5379.6,3.6946,5.99868,-1.42,-4.940465,61.7,7.435,7.433,ok,,80.69,holding=solar_kpno_kurucz2005_corrected · irradrelwl.dat,96.37,gt02,,0.03365685070098075,7.46865685070098,True
5483.1,4.15435,6.41493,-1.39,-5.098545,43.7,7.462,7.417,ok,,83.723,holding=solar_kpno_kurucz2005_corrected · irradrelwl.dat,89.01,gt02,,0.046032123905022454,7.508032123905022,True
5538.5,4.21758,6.45554,-1.54,-5.171683,37.3,7.495,7.488,ok,,45.291,holding=solar_kpno_kurucz2005_corrected · irradrelwl.dat,84.23,gt02,,0.03600789812600001,7.531007898126,True
5600.2,4.26045,6.47375,-1.42,-5.185911,36.5,7.239,7.402,ok,,81.183,holding=solar_kpno_kurucz2005_corrected · irradrelwl.dat,72.47,gt02,,0.041625317447584576,7.280625317447584,True
5618.6,4.20888,6.41493,-1.25,-5.050658,50.0,7.458,7.444,ok,,54.587,holding=solar_kpno_kurucz2005_corrected · irradrelwl.dat,81.81,gt02,,0.0444894122448839,7.502489412244884,True
5661.3,4.28435,6.47375,-1.756,-5.406563,22.2,7.419,7.437,ok,,83.901,holding=solar_kpno_kurucz2005_corrected · irradrelwl.dat,93.65,gt02,,0.041929792722190204,7.460929792722189,True
5705.5,4.30128,6.47375,-1.355,-5.158599,39.6,7.449,7.428,ok,,55.293,holding=solar_kpno_kurucz2005_corrected · irradrelwl.dat,67.58,gt02,,0.04376913578821033,7.49276913578821,True
5775.1,4.22036,6.36665,-1.08,-4.969869,61.9,7.489,7.486,ok,,83.352,holding=solar_kpno_kurucz2005_corrected · irradrelwl.dat,63.46,gt02,,0.03759532076575077,7.52659532076575,True
5778.5,2.58811,4.73314,-3.44,-5.452185,20.4,7.429,7.43,ok,,82.025,holding=solar_kpno_kurucz2005_corrected · irradrelwl.dat,68.36,gt02,,0.012693044853746727,7.441693044853747,True
5784.7,3.39651,5.53924,-2.532,-5.350661,25.8,7.415,7.443,ok,,62.786,holding=solar_kpno_kurucz2005_corrected · irradrelwl.dat,77.16,gt02,,0.02413033855632432,7.439130338556325,True
