element	wave_A	wave_nm	loggf	lower_state_eV	lower_state_cm1	lower_j	upper_state_eV	upper_state_cm1	upper_j	upper_g	lande_lower	lande_upper	spectrum_transition_type	turbospectrum_rad	rad	stark	waals	waals_single_gamma_format	turbospectrum_fdamp	spectrum_fudge_factor	theoretical_depth	theoretical_ew	lower_orbital_type	upper_orbital_type	molecule	spectrum_synthe_isotope	ion	spectrum_moog_species	turbospectrum_species	width_species	reference_code	nlte	nlte_level_low	nlte_level_up	nlte_label_low	nlte_label_up	spectrum_support	turbospectrum_support	moog_support	width_support	synthe_support	sme_support
S 1	16904.557	1690.4557	-1.746	9.2085	74271.561	0.0	9.9417	80185.218	1.0	3.0	0.000	0.500	GA	4.37E+07	7.640	-3.120	-6.980	-6.980	-6.980	1.000	0.002	0.000	X	X	F	0	1	16.0	16.000000	16.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
Fe 1	16905.006	1690.5006	-1.117	6.4106	51704.976	2.0	7.1438	57618.633	2.0	5.0	0.970	0.930	GA	1.05E+08	8.020	-4.620	-7.330	-7.330	-7.330	1.000	0.058	0.000	X	X	F	0	1	26.0	26.000000	26.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
Ti 1	16905.415	1690.5415	-0.166	5.2302	42184.408	4.0	5.9634	48098.065	5.0	11.0	1.090	1.350	GA	1.41E+08	8.150	-4.280	-7.330	-7.330	-7.330	1.000	0.002	0.000	X	X	F	0	1	22.0	22.000000	22.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
S 1	16905.518	1690.5518	-1.142	9.2081	74268.335	2.0	9.9413	80181.992	3.0	7.0	1.500	1.330	GA	4.27E+07	7.630	-3.570	-6.990	-6.990	-6.990	1.000	0.009	0.000	X	X	F	0	1	16.0	16.000000	16.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
Fe 1	16905.538	1690.5538	-2.683	6.3490	51208.138	1.0	7.0822	57121.795	0.0	1.0	2.490	0.000	GA	2.40E+08	8.380	-3.980	-7.260	-7.260	-7.260	1.000	0.002	0.000	X	X	F	0	1	26.0	26.000000	26.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
Fe 1	16906.467	1690.6467	-2.715	6.6608	53722.975	2.0	7.3940	59636.632	3.0	7.0	0.990	1.110	GA	5.75E+07	7.760	-3.560	-7.250	-7.250	-7.250	1.000	0.001	0.000	X	X	F	0	1	26.0	26.000000	26.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
Fe 1	16906.507	1690.6507	-1.679	6.6193	53388.255	4.0	7.3525	59301.912	4.0	9.0	1.390	1.150	GA	2.34E+08	8.370	-4.020	-7.340	-7.340	-7.340	1.000	0.011	0.000	X	X	F	0	1	26.0	26.000000	26.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
Fe 1	16906.716	1690.6716	-1.605	6.6665	53768.949	4.0	7.3996	59681.799	5.0	11.0	1.230	0.930	GA	1.12E+08	8.050	-3.790	-7.330	-7.330	-7.330	1.000	0.012	0.000	X	X	F	0	1	26.0	26.000000	26.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
Si 2	16906.813	1690.6813	0.367	12.1470	97972.162	0.5	12.8801	103885.012	1.5	4.0	2.000	1.330	GA	4.79E+08	8.680	-5.290	-7.480	-7.480	-7.480	1.000	0.004	0.000	X	X	F	0	2	14.1	14.000000	14.01	VALD3	F	0	0	none	none	F	T	F	F	F	F
Fe 1	16908.054	1690.8054	-3.054	5.7203	46137.331	3.0	6.4534	52050.181	2.0	5.0	1.660	1.570	GA	4.37E+08	8.640	-5.620	-7.530	-7.530	-7.530	1.000	0.003	0.000	X	X	F	0	1	26.0	26.000000	26.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
Fe 1	16910.145	1691.0145	-1.612	6.4106	51704.976	2.0	7.1436	57617.020	1.0	3.0	0.970	0.170	GA	1.02E+08	8.010	-4.530	-7.330	-7.330	-7.330	1.000	0.019	0.000	X	X	F	0	1	26.0	26.000000	26.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
Al 1	16910.323	1691.0323	-2.531	4.9931	40272.067	0.5	5.7261	46184.111	0.5	2.0	99.000	99.000	GA	0.00E+00	0.000	0.000	0.000	0.000	0.000	1.000	0.010	0.000	X	X	F	0	1	13.0	13.000000	13.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
Al 1	16910.327	1691.0327	-3.075	4.9931	40272.067	0.5	5.7261	46184.111	0.5	2.0	99.000	99.000	GA	0.00E+00	0.000	0.000	0.000	0.000	0.000	1.000	0.010	0.000	X	X	F	0	1	13.0	13.000000	13.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
Al 1	16910.329	1691.0329	-2.628	4.9931	40272.067	0.5	5.7261	46184.111	0.5	2.0	99.000	99.000	GA	0.00E+00	0.000	0.000	0.000	0.000	0.000	1.000	0.010	0.000	X	X	F	0	1	13.0	13.000000	13.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
Al 1	16910.332	1691.0332	-2.531	4.9931	40272.067	0.5	5.7261	46184.111	0.5	2.0	99.000	99.000	GA	0.00E+00	0.000	0.000	0.000	0.000	0.000	1.000	0.010	0.000	X	X	F	0	1	13.0	13.000000	13.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
Fe 1	16910.682	1691.0682	-1.611	5.8723	47363.294	6.0	6.6053	53275.337	7.0	15.0	1.310	1.300	GA	1.20E+08	8.080	-4.570	-7.510	-7.510	-7.510	1.000	0.058	0.000	X	X	F	0	1	26.0	26.000000	26.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
Fe 1	16913.180	1691.3180	-1.757	6.6149	53352.767	6.0	7.3478	59264.004	6.0	13.0	1.190	1.200	GA	1.15E+08	8.060	-3.890	-7.330	-7.330	-7.330	1.000	0.009	0.000	X	X	F	0	1	26.0	26.000000	26.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
Mn 1	16913.452	1691.3452	-3.759	5.5785	44993.637	3.5	6.3114	50904.874	2.5	6.0	1.720	2.000	GA	2.14E+08	8.330	-5.120	-7.340	-7.340	-7.340	1.000	0.007	0.000	X	X	F	0	1	25.0	25.000000	25.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
