element,ion,raw_sigma_legacy,N_legacy,sigma_stat_legacy,sigma_stellar_legacy_if_supported,dominant_parameter_legacy,canonical_state
Al,,,,,,,HOLD: no measured product budget
Ba,I,0.016,1,0.016,,,HOLD: full component evidence absent
C,I,0.054,5,0.0241,,,HOLD: full component evidence absent
Ca,,,,,,,HOLD: no measured product budget
Co,I,0.063,5,0.0282,,,HOLD: full component evidence absent
Cr,,,,,,,HOLD: no measured product budget
Cu,I,0.139,5,0.0622,,,HOLD: full component evidence absent
Eu,,,,,,,HOLD: no measured product budget
Fe,I,0.1398,62,0.0178,0.0699035049192814,sigma_B_vmic,HOLD: full component evidence absent
K,,,,,,,HOLD: no measured product budget
Li,,,,,,,HOLD: no measured product budget
Mg,,,,,,,HOLD: no measured product budget
Mn,I,0.154,3,0.0889,,,HOLD: full component evidence absent
N,I,0.033,3,0.0191,,,HOLD: full component evidence absent
Na,,,,,,,HOLD: no measured product budget
Ni,,,,,,,HOLD: no measured product budget
O,I,0.01,3,0.0058,,,HOLD: full component evidence absent
P,,,,,,,HOLD: no measured product budget
S,I,0.045,2,0.0318,0.0,sigma_B_Teff,HOLD: full component evidence absent
Sc,,,,,,,HOLD: no measured product budget
Si,,,,,,,HOLD: no measured product budget
Sr,,,,,,,HOLD: no measured product budget
Ti,,,,,,,HOLD: no measured product budget
V,I,0.029,6,0.0118,,,HOLD: full component evidence absent
Y,,,,,,,HOLD: no measured product budget
Zr,,,,,,,HOLD: no measured product budget
