teff_K,logg,log_eps_Fe,vturb_kms,species,lambda_air_nm,e_low,log_gf,lambda_air_min_nm,lambda_air_max_nm,clean,delta_mean3d_nlte_minus_mean3d_lte
5750,4.50,7.50,0.75,Fe1,225.0790,0.000000,-2.0750,224.8429,225.6871,yes,-0.0487
5750,4.50,7.50,1.50,Fe1,225.0790,0.000000,-2.0750,224.8429,225.6871,yes,-0.0700
5750,4.50,7.50,3.00,Fe1,225.0790,0.000000,-2.0750,224.8429,225.6871,yes,-0.1036
5750,4.50,7.50,0.75,Fe1,225.9510,0.000000,-1.3220,225.3156,226.2653,yes,-0.0543
5750,4.50,7.50,1.50,Fe1,225.9510,0.000000,-1.3220,225.3156,226.2653,yes,-0.0800
5750,4.50,7.50,3.00,Fe1,225.9510,0.000000,-1.3220,225.3156,226.2653,yes,-0.1219
5750,4.50,7.50,0.75,Fe1,226.5054,0.051570,-2.1131,226.2653,226.5899,no,-0.0542
5750,4.50,7.50,1.50,Fe1,226.5054,0.051570,-2.1131,226.2653,226.5899,no,-0.0765
5750,4.50,7.50,3.00,Fe1,226.5054,0.051570,-2.1131,226.2653,226.5899,no,-0.1106
5750,4.50,7.50,0.75,Fe1,226.7084,0.051570,-1.7540,226.5899,226.9564,no,-0.0536
5750,4.50,7.50,1.50,Fe1,226.7084,0.051570,-1.7540,226.5899,226.9564,no,-0.0776
5750,4.50,7.50,3.00,Fe1,226.7084,0.051570,-1.7540,226.5899,226.9564,no,-0.1145
5750,4.50,7.50,0.75,Fe1,227.2069,0.051570,-1.6910,226.9564,227.3398,yes,-0.0613
5750,4.50,7.50,1.50,Fe1,227.2069,0.051570,-1.6910,226.9564,227.3398,yes,-0.0876
5750,4.50,7.50,3.00,Fe1,227.2069,0.051570,-1.6910,226.9564,227.3398,yes,-0.1266
5750,4.50,7.50,0.75,Fe1,227.5191,0.110115,-2.3171,227.3398,227.5415,no,-0.0420
5750,4.50,7.50,1.50,Fe1,227.5191,0.110115,-2.3171,227.3398,227.5415,no,-0.0612
5750,4.50,7.50,3.00,Fe1,227.5191,0.110115,-2.3171,227.3398,227.5415,no,-0.0934
5750,4.50,7.50,0.75,Fe1,227.6025,0.000000,-1.1680,227.5415,227.8739,no,-0.0572
5750,4.50,7.50,1.50,Fe1,227.6025,0.000000,-1.1680,227.5415,227.8739,no,-0.0831
5750,4.50,7.50,3.00,Fe1,227.6025,0.000000,-1.1680,227.5415,227.8739,no,-0.1258
5750,4.50,7.50,0.75,Fe1,227.9936,0.087286,-1.9891,227.8739,228.1354,yes,-0.0621
