band,n,mean_delta_pct,median_delta_pct,mean_cont_local,mean_d_ew_mA,mean_d_A_dex,mean_blend_frac,mean_blanket_frac,mean_sideband_catalogued_absorption,mean_sideband_line_density_per_A,n_sideband_clean,n_saturated
near-UV,10,27.8809,18.8019,0.80502,-34.782,-0.08604,0.8697,1.0,1.6502,58.61,0,10
VIS,10,1.1501,0.5968,0.9887,-3.011,-0.01929,0.0597,0.5771,0.0033,5.83,10,5
red-optical,10,3.6086,2.8102,0.96617,-7.455,-0.03192,0.0189,0.8134,0.0021,1.67,5,5
NIR-Y,3,0.9372,0.0188,0.99095,-2.254,-0.00651,0.1775,0.6197,0.0113,8.33,2,0
NIR-H,7,8.1147,7.6554,0.92872,-15.853,-0.08078,0.0177,0.9388,0.0019,1.59,3,0
