band,instrument,holding,wavelength_air_A,ep_eV,log_gf,half_width_A,n_pixels,cont_current,cont_local,delta_pct,ew_current_mA,ew_local_mA,d_ew_mA,d_A_dex,rew,saturated,blend_frac,sideband_catalogued_absorption,sideband_line_density_per_A,blanket_frac,sideband_clean,status
red-optical,kpno_solar_atlas,solar_kpno_molecfit_corrected,8866.931,4.549,-0.01,0.18,96.0,1.0,0.94415,5.9154,119.56,106.16,-13.401,-0.05163,-4.8702,True,0.0165,0.004,5.56,1.0,False,ok
red-optical,kpno_solar_atlas,solar_kpno_molecfit_corrected,8471.743,4.956,-0.91,0.18,106.0,1.0,0.99528,0.4737,37.923,36.408,-1.515,-0.0177,-5.3491,False,0.0369,0.0,0.0,0.2059,True,ok
red-optical,kpno_solar_atlas,solar_kpno_molecfit_corrected,8808.17,5.01,-0.92,0.18,98.0,1.0,0.97982,2.0596,41.935,35.759,-6.176,-0.06919,-5.3223,False,0.0428,0.0,0.0,1.0,True,ok
red-optical,kpno_solar_atlas,solar_kpno_molecfit_corrected,8220.378,4.32,0.3,0.18,113.0,1.0,0.93276,7.2083,145.755,131.321,-14.434,-0.04529,-4.7513,True,0.016,0.009,2.78,1.0,False,ok
NIR-Y,crires_plus,solar_crires_plus_y_wide_rya1054,10216.313,4.7331,-0.13,0.18,37.0,1.0,0.96948,3.1482,100.122,92.322,-7.8,-0.03522,-5.0088,False,0.0,0.0,0.0,1.0,False,ok
NIR-Y,crires_plus,solar_crires_plus_y_wide_rya1054,9944.207,5.0117,-1.28,0.18,36.0,1.0,1.00357,-0.3554,27.621,28.716,1.094,0.01687,-5.5563,False,0.0662,0.0,0.0,0.1667,True,ok
NIR-Y,crires_plus,solar_crires_plus_y_wide_rya1054,9913.18,4.9913,-1.74,0.18,37.0,1.0,0.99981,0.0188,20.474,20.418,-0.056,-0.00119,-5.685,False,0.4662,0.034,25.0,0.6923,True,ok
NIR-H,,,15835.165,,,,,,,,,,,,,,,,,,,NO DATA: CRIRES+ Y (telluric-corrected) holds only 11 points near 15835.165 A (spans 1500
NIR-H,crires_plus,solar_crires_plus_h_rya1094,16009.61,5.426,-0.48,0.18,21.0,1.0,0.92889,7.6554,110.205,94.632,-15.573,-0.06616,-5.1622,False,0.0,0.0,0.0,1.0,False,ok
NIR-H,crires_plus,solar_crires_plus_h_rya1094,15648.51,5.426,-0.61,0.18,22.0,1.0,0.97987,2.0543,55.793,50.9,-4.893,-0.03986,-5.4479,False,0.0,0.0,0.0,1.0,True,ok
NIR-H,,,16198.502,,,,,,,,,,,,,,,,,,,NO DATA: CRIRES+ Y (telluric-corrected) holds only 11 points near 16198.502 A (spans 1500
NIR-H,crires_plus,solar_crires_plus_h_rya1094,16396.306,6.28,-0.58,0.18,20.0,1.0,1.01363,-1.3449,12.603,16.165,3.561,0.10808,-6.1143,False,0.0049,0.0,0.0,0.5714,True,ok
NIR-H,crires_plus,solar_crires_plus_h_rya1094,15051.749,5.3516,0.25,0.18,21.0,1.0,0.86556,15.5316,111.671,81.122,-30.548,-0.1388,-5.1296,False,0.0063,0.003,5.56,1.0,False,ok
NIR-H,,,16324.451,,,,,,,,,,,,,,,,,,,NO DATA: CRIRES+ Y (telluric-corrected) holds only 10 points near 16324.451 A (spans 1500
NIR-H,crires_plus,solar_crires_plus_h_rya1094,16537.994,6.2865,-0.53,0.18,21.0,1.0,0.97834,2.2137,22.847,16.379,-6.468,-0.14454,-5.8597,False,0.0484,0.0,0.0,1.0,True,ok
NIR-H,crires_plus,solar_crires_plus_h_rya1094,15691.853,6.2461,0.65,0.18,23.0,1.0,0.88669,12.7795,112.623,90.23,-22.393,-0.09628,-5.144,False,0.0228,0.007,2.78,1.0,False,ok
NIR-H,crires_plus,solar_crires_plus_h_rya1094,16165.029,6.3192,0.89,0.18,22.0,1.0,0.84808,17.9135,98.685,64.027,-34.658,-0.18789,-5.2143,False,0.0412,0.003,2.78,1.0,False,ok
