 3211.9873 50475.285 4 19350.890 5 0.298  4.5  35.503 -0.31 0.03 -0.19 0.04 OB91 P
 3217.3772 50423.134 4 19350.890 5 0.189  5.3  22.448 -0.50 0.03 -0.68 0.04 OB91 P
 3225.7872 50342.126 6 19350.890 5 0.702  4.7 125.404  0.41 0.03  0.38 0.03 OB91 L
 3227.7955 50534.394 3 19562.438 4 0.415  4.3  50.598 -0.26 0.03 -0.27 0.04 OB91 P
 3228.2490 50880.099 1 19912.494 2 0.351  6.9  35.465 -0.78 0.04 -0.76 0.05 OB91 P
 3228.8987 50981.009 0 20019.634 1 0.329 18.2  31.362 -1.31 0.08
 3230.9636 50698.617 2 19757.031 3 0.393  5.0  41.410 -0.49 0.03 -0.54 0.18 Br74 A
 3233.9675 50475.285 4 19562.438 4 0.188  5.3  22.332 -0.50 0.03 -0.53 0.04 OB91 P
 3239.4329 50423.134 4 19562.438 4 0.369  3.9  43.955 -0.21 0.03 -0.38 0.04 OB91 P
 3239.4574 50880.099 1 20019.634 1                               -1.50 0.05 OB91 P
 3247.2801 50698.617 2 19912.494 2 0.086  9.8   8.997 -1.15 0.05
 3248.2042 50534.394 3 19757.031 3 0.159  6.6  19.360 -0.67 0.03 -0.67 0.04 OB91 P
 3254.4569 50475.285 4 19757.031 3 0.002 27.1   0.289 -2.38 0.11
 3259.9895 50423.134 4 19757.031 3 0.031  8.6   3.718 -1.27 0.04 -1.37 0.04 OB91 P
 3506.5803 51754.494 1 23244.836 1 0.063 30.1   3.781 -1.68 0.12
 3509.7258 51754.494 1 23270.382 0 0.074 31.4   4.413 -1.61 0.12
 3523.3087 51566.799 1 23192.498 2 0.051 14.9   7.870 -1.36 0.06 -1.23 0.05 OB91 P
 3529.8198 51566.799 1 23244.836 1 0.436  1.5  67.019 -0.43 0.02 -0.36 0.04 OB91 P
 3533.0066 51566.799 1 23270.382 0 0.494  1.4  76.065 -0.37 0.02 -0.32 0.04 OB91 P
 3540.1211 51350.489 4 23110.937 3 0.128  2.9  11.532 -0.71 0.02 -0.80 0.05 OB91 P
 3570.2542 50651.629 7 22650.414 6 1.000  0.0 156.208  0.65 0.02
 3604.3716 50981.009 0 23244.836 1 0.138 22.8  13.179 -1.59 0.09
 3610.1591 50342.126 6 22650.414 6 0.290 11.2  51.844  0.12 0.05  0.18 0.05 OB91 L
 3610.6946 50880.099 1 23192.498 2 0.083 12.3   8.428 -1.31 0.05 -1.21 0.05 OB91 P
 3618.2990 50475.285 4 22845.867 5 0.048  9.5   5.708 -1.00 0.04 -1.06 0.06 OB91 P
 3623.7731 50698.617 2 23110.937 3 0.081  9.4   8.477 -1.08 0.04
 3625.1417 50423.134 4 22845.867 5 0.079  3.8   9.389 -0.78 0.03 -0.84 0.05 OB91 P
 3630.3478 50534.394 3 22996.672 4 0.089 12.5  10.879 -0.82 0.06 -0.84 0.04 OB91 P
 3645.0748 50423.134 4 22996.672 4 0.023  9.3   2.706 -1.31 0.04 -1.28 0.12 OB91 P
