source,wavelength_air_A,elo_cm1,eup_cm1,elo_eV,eup_eV,loggf,e_loggf_dex,lam_vac_A,sigma_cm1,unc_pct,lower_level,upper_level,loggf_papoulia19,loggf_kurucz95,loggf_topbase00
Burheim2023,6696.015194969349,25347.755920341366,40277.88268901328,3.1427212,4.993821,-1.46,0.03742649794062367,6697.864,14930.134,9.0,4s $^2$S$_{1/2}$,5p $^2$P$_{3/2}$,-1.499,-1.347,-1.569
Burheim2023,6698.672480144469,25347.755920341366,40271.977904297004,3.1427212,4.9930889,-1.76,0.03342375548694973,6700.522,14924.209,8.0,4s $^2$S$_{1/2}$,5p $^2$P$_{1/2}$,-1.808,-1.647,-1.87
Burheim2023,11253.188404951303,32435.452667724934,41319.38960381566,4.0214836,5.1229514,0.167,0.021189299069938092,11256.27,8883.937,5.0,3d $^2$D$_{3/2}$,4f $^2$F$_{5/2}$,0.206,0.276,0.17
Burheim2023,11254.925933397606,32436.79638734484,41319.3976693596,4.0216502,5.1229524,0.327,0.008600171761917567,11258.008,8882.566,2.0,3d $^2$D$_{5/2}$,4f $^2$F$_{7/2}$,0.362,0.431,0.325
Burheim2023,12749.908984644082,32436.79638734484,40277.88268901328,4.0216502,4.993821,-2.29,0.03742649794062367,12753.397,7841.048,9.0,3d $^2$D$_{5/2}$,5p $^2$P$_{3/2}$,-2.348,-2.217,-2.257
Burheim2023,12757.274983517606,32435.452667724934,40271.977904297004,4.0214836,4.9930889,-2.62,0.04532297878665747,12760.765,7836.521,11.0,3d $^2$D$_{3/2}$,5p $^2$P$_{1/2}$,-2.588,-2.472,-2.513
Burheim2023,13123.415503730594,25347.755920341366,32965.63877876045,3.1427212,4.0872183,0.232,0.006466042249231681,13127.005,7617.884,1.5,4s $^2$S$_{1/2}$,4p $^2$P$_{3/2}$,0.215,0.27,0.219
Burheim2023,13150.753075385706,25347.755920341366,32949.80692256652,3.1427212,4.0852554,-0.098,0.01325866528351651,13154.35,7602.048,3.1,4s $^2$S$_{1/2}$,4p $^2$P$_{1/2}$,-0.0867,-0.03,-0.083
Burheim2023,38622.29658869314,37689.406866757476,40277.88268901328,4.6728909,4.993821,0.259,0.029383777685209667,38632.83,2588.472,7.0,5s $^2$S$_{1/2}$,5p $^2$P$_{3/2}$,0.361,0.358,0.365
Burheim2023,38710.63251505084,37689.406866757476,40271.977904297004,4.6728909,4.9930889,-0.0396,0.02530586526477026,38721.19,2582.565,6.0,5s $^2$S$_{1/2}$,5p $^2$P$_{1/2}$,0.0596,0.056,0.064
Burheim2023,41830.01238525487,38929.41327028458,41319.38960381566,4.8266321,5.1229514,0.607,0.04139268515822507,41841.42,2389.976,10.0,nd $^2$D$_{3/2}$,4f $^2$F$_{5/2}$,0.513,0.578,0.5
Burheim2023,41909.27078425835,38933.967882945806,41319.3976693596,4.8271968,5.1229524,0.737,0.04532297878665747,41920.7,2385.46,11.0,nd $^2$D$_{5/2}$,4f $^2$F$_{7/2}$,0.667,0.732,0.654
