canonical_line_id,merged_row_number,species,wavelength_air_A,lower_EP,component_loggf,source,gf_fraction,parent_sum_loggf,source_total_loggf,rescaled_component_loggf,raw_path,raw_line_number,lower_J,upper_J,raw_lower_EP,raw_upper_EP,lower_term,upper_term,source_annotation,component_semantics
alphys_II_1670.7870_0000,15506,Al II,1670.787,0.0,0.32,VALD3,1.0,0.32,,,data/linelists/vald_solar_fuv_1150_2000_hfson_raw.txt,62020,0.0,1.0,0.0,7.4207,LS                                                             2p6.3s2                1S,LS                                                             3s.3p                 1P*,'_          Li 1 - K 5 Bell   15 wl:KP  15 gf:KP  15 KP  15 KP  15 KP  15 KP  15 KP  15 KP  15 KP    Al+',RAW_PHYSICAL_COMPONENT
alphys_II_1719.4420_0001,19276,Al II,1719.43929,4.6361,-0.452,VALD3,0.4444585201,-0.0998312359,,,data/linelists/vald_solar_fuv_1150_2000_hfson_raw.txt,77100,0.0,1.0,4.6361,11.8469,LS                                                            3s.3p                  3P*,LS                                                              3s.3d                 3D,"'_          Li 1 - K 5 Bell   15 wl:KP  15 gf:KP  15 KP  15 KP  15 KP  15 KP  15 KP  15 KP  15 KP   hfs:K16,S53 Al+'",RAW_PHYSICAL_COMPONENT
alphys_II_1719.4420_0001,19278,Al II,1719.44308,4.6361,-0.577,VALD3,0.3332968705,-0.0998312359,,,data/linelists/vald_solar_fuv_1150_2000_hfson_raw.txt,77108,0.0,1.0,4.6361,11.8469,LS                                                            3s.3p                  3P*,LS                                                              3s.3d                 3D,"'_          Li 1 - K 5 Bell   15 wl:KP  15 gf:KP  15 KP  15 KP  15 KP  15 KP  15 KP  15 KP  15 KP   hfs:K16,S53 Al+'",RAW_PHYSICAL_COMPONENT
alphys_II_1719.4420_0001,19279,Al II,1719.4458,4.6361,-0.753,VALD3,0.2222446094,-0.0998312359,,,data/linelists/vald_solar_fuv_1150_2000_hfson_raw.txt,77112,0.0,1.0,4.6361,11.8469,LS                                                            3s.3p                  3P*,LS                                                              3s.3d                 3D,"'_          Li 1 - K 5 Bell   15 wl:KP  15 gf:KP  15 KP  15 KP  15 KP  15 KP  15 KP  15 KP  15 KP   hfs:K16,S53 Al+'",RAW_PHYSICAL_COMPONENT
alphys_II_1721.2440_0002,19388,Al II,1721.2399,4.6437,-1.029,VALD3,0.158791664,-0.2298276998,,,data/linelists/vald_solar_fuv_1150_2000_hfson_raw.txt,77548,1.0,1.0,4.6437,11.8469,LS                                                            3s.3p                  3P*,LS                                                              3s.3d                 3D,"'_          Li 1 - K 5 Bell   15 wl:KP  15 gf:KP  15 KP  15 KP  15 KP  15 KP  15 KP  15 KP  15 KP   hfs:HR,S53 Al+'",RAW_PHYSICAL_COMPONENT
alphys_II_1721.2440_0002,19389,Al II,1721.24026,4.6437,-1.038,VALD3,0.1555348447,-0.2298276998,,,data/linelists/vald_solar_fuv_1150_2000_hfson_raw.txt,77552,1.0,1.0,4.6437,11.8469,LS                                                            3s.3p                  3P*,LS                                                              3s.3d                 3D,"'_          Li 1 - K 5 Bell   15 wl:KP  15 gf:KP  15 KP  15 KP  15 KP  15 KP  15 KP  15 KP  15 KP   hfs:HR,S53 Al+'",RAW_PHYSICAL_COMPONENT
alphys_II_1721.2440_0002,19390,Al II,1721.24298,4.6437,-1.406,VALD3,0.0666542276,-0.2298276998,,,data/linelists/vald_solar_fuv_1150_2000_hfson_raw.txt,77556,1.0,1.0,4.6437,11.8469,LS                                                            3s.3p                  3P*,LS                                                              3s.3d                 3D,"'_          Li 1 - K 5 Bell   15 wl:KP  15 gf:KP  15 KP  15 KP  15 KP  15 KP  15 KP  15 KP  15 KP   hfs:HR,S53 Al+'",RAW_PHYSICAL_COMPONENT
alphys_II_1721.2440_0002,19391,Al II,1721.24371,4.6437,-1.95,VALD3,0.019047049,-0.2298276998,,,data/linelists/vald_solar_fuv_1150_2000_hfson_raw.txt,77560,1.0,1.0,4.6437,11.8469,LS                                                            3s.3p                  3P*,LS                                                              3s.3d                 3D,"'_          Li 1 - K 5 Bell   15 wl:KP  15 gf:KP  15 KP  15 KP  15 KP  15 KP  15 KP  15 KP  15 KP   hfs:HR,S53 Al+'",RAW_PHYSICAL_COMPONENT
alphys_II_1721.2440_0002,19392,Al II,1721.24473,4.6437,-0.774,VALD3,0.285645706,-0.2298276998,,,data/linelists/vald_solar_fuv_1150_2000_hfson_raw.txt,77564,1.0,1.0,4.6437,11.8469,LS                                                            3s.3p                  3P*,LS                                                              3s.3d                 3D,"'_          Li 1 - K 5 Bell   15 wl:KP  15 gf:KP  15 KP  15 KP  15 KP  15 KP  15 KP  15 KP  15 KP   hfs:HR,S53 Al+'",RAW_PHYSICAL_COMPONENT
alphys_II_1721.2440_0002,19393,Al II,1721.24643,4.6437,-1.038,VALD3,0.1555348447,-0.2298276998,,,data/linelists/vald_solar_fuv_1150_2000_hfson_raw.txt,77568,1.0,1.0,4.6437,11.8469,LS                                                            3s.3p                  3P*,LS                                                              3s.3d                 3D,"'_          Li 1 - K 5 Bell   15 wl:KP  15 gf:KP  15 KP  15 KP  15 KP  15 KP  15 KP  15 KP  15 KP   hfs:HR,S53 Al+'",RAW_PHYSICAL_COMPONENT
alphys_II_1721.2440_0002,19394,Al II,1721.24853,4.6437,-1.029,VALD3,0.158791664,-0.2298276998,,,data/linelists/vald_solar_fuv_1150_2000_hfson_raw.txt,77572,1.0,1.0,4.6437,11.8469,LS                                                            3s.3p                  3P*,LS                                                              3s.3d                 3D,"'_          Li 1 - K 5 Bell   15 wl:KP  15 gf:KP  15 KP  15 KP  15 KP  15 KP  15 KP  15 KP  15 KP   hfs:HR,S53 Al+'",RAW_PHYSICAL_COMPONENT
alphys_II_1721.2710_0003,19398,Al II,1721.26751,4.6437,-0.956,VALD3,0.062222761,0.2500507217,,,data/linelists/vald_solar_fuv_1150_2000_hfson_raw.txt,77588,1.0,2.0,4.6437,11.8467,LS                                                            3s.3p                  3P*,LS                                                              3s.3d                 3D,"'_          Li 1 - K 5 Bell   15 wl:KP  15 gf:KP  15 KP  15 KP  15 KP  15 KP  15 KP  15 KP  15 KP   hfs:HR,S53 Al+'",RAW_PHYSICAL_COMPONENT
alphys_II_1721.2710_0003,19399,Al II,1721.26862,4.6437,-0.78,VALD3,0.0933145311,0.2500507217,,,data/linelists/vald_solar_fuv_1150_2000_hfson_raw.txt,77592,1.0,2.0,4.6437,11.8467,LS                                                            3s.3p                  3P*,LS                                                              3s.3d                 3D,"'_          Li 1 - K 5 Bell   15 wl:KP  15 gf:KP  15 KP  15 KP  15 KP  15 KP  15 KP  15 KP  15 KP   hfs:HR,S53 Al+'",RAW_PHYSICAL_COMPONENT
alphys_II_1721.2710_0003,19400,Al II,1721.26929,4.6437,-0.926,VALD3,0.0666728897,0.2500507217,,,data/linelists/vald_solar_fuv_1150_2000_hfson_raw.txt,77596,1.0,2.0,4.6437,11.8467,LS                                                            3s.3p                  3P*,LS                                                              3s.3d                 3D,"'_          Li 1 - K 5 Bell   15 wl:KP  15 gf:KP  15 KP  15 KP  15 KP  15 KP  15 KP  15 KP  15 KP   hfs:HR,S53 Al+'",RAW_PHYSICAL_COMPONENT
alphys_II_1721.2710_0003,19401,Al II,1721.2694,4.6437,-0.516,VALD3,0.1713757144,0.2500507217,,,data/linelists/vald_solar_fuv_1150_2000_hfson_raw.txt,77600,1.0,2.0,4.6437,11.8468,LS                                                            3s.3p                  3P*,LS                                                              3s.3d                 3D,"'_          Li 1 - K 5 Bell   15 wl:KP  15 gf:KP  15 KP  15 KP  15 KP  15 KP  15 KP  15 KP  15 KP   hfs:HR,S53 Al+'",RAW_PHYSICAL_COMPONENT
alphys_II_1721.2710_0003,19402,Al II,1721.27096,4.6437,-0.664,VALD3,0.121884724,0.2500507217,,,data/linelists/vald_solar_fuv_1150_2000_hfson_raw.txt,77604,1.0,2.0,4.6437,11.8467,LS                                                            3s.3p                  3P*,LS                                                              3s.3d                 3D,"'_          Li 1 - K 5 Bell   15 wl:KP  15 gf:KP  15 KP  15 KP  15 KP  15 KP  15 KP  15 KP  15 KP   hfs:HR,S53 Al+'",RAW_PHYSICAL_COMPONENT
