canonical_line_id,source_record_id,wavelength_vac_A,Aul_s,branching_fraction,lifetime_ns,lifetime_unc_ns,lifetime_source,lifetime_kind,source_table,component_note,species,wavelength_air,lower_EP,upper_EP,lower_level,upper_level,lower_J,upper_J,loggf,recomputed_loggf,gf_bound_dex,uncertainty_basis,source_class,source_key,source_path,source_semantics,priority,unc_pct,other_Aul_s,other_reference,aki_limit,aki_note,uncertainty_limit,intensity_limit,theory_flag,branching_limit,upper_statistical_weight_from_A_f,nist_grade,source_reference,bibliography_key,bibliography_chain,source_doi,citation_role,identity_status
alphys_I_2134.7330_0271,nl2017_a1_004,,,,,,,,,,Al I,2134.732,0.014,5.820119,3p 2Po J=3/2,10d 2D J=5/2,1.5,2.5,-1.129,-1.129,0.1,"NL2017 Table A.1, inherited from NIST; not independent laboratory evidence",EVALUATED_THEORY,NordlanderLind2017_TOPbase,data/reference/asplund2021_al/nordlander_lind_2017_analysis_lines.csv,FINE_STRUCTURE_TOTAL,4,,,,,,,,,,,,"TOPbase: Mendoza et al. 1995, and C. Mendoza, W. Eissner, M. Le Dourneuf & C. J. Zeippen (unpublished) -- Opacity Project, THEORY",nordlander_lind2017,nordlander_lind2017;kelleher2008_al;mendoza1995_al,10.1051/0004-6361/201730427,published source of the retained quantities,UNIQUE_SPECIES_WAVELENGTH_EP
alphys_I_2134.7600_0272,nl2017_a1_005,,,,,,,,,,Al I,2134.76,0.014,5.820043,3p 2Po J=3/2,10d 2D J=3/2,1.5,1.5,-2.09,-2.09,0.18,"NL2017 Table A.1, inherited from NIST; not independent laboratory evidence",EVALUATED_THEORY,NordlanderLind2017_TOPbase,data/reference/asplund2021_al/nordlander_lind_2017_analysis_lines.csv,FINE_STRUCTURE_TOTAL,4,,,,,,,,,,,,"TOPbase: Mendoza et al. 1995, and C. Mendoza, W. Eissner, M. Le Dourneuf & C. J. Zeippen (unpublished) -- Opacity Project, THEORY",nordlander_lind2017,nordlander_lind2017;kelleher2008_al;mendoza1995_al,10.1051/0004-6361/201730427,published source of the retained quantities,UNIQUE_SPECIES_WAVELENGTH_EP
alphys_I_2145.5550_0274,nl2017_a1_006,,,,,,,,,,Al I,2145.555,0.0,5.776834,3p 2Po J=1/2,9d 2D J=3/2,0.5,1.5,-1.244,-1.244,0.1,"NL2017 Table A.1, inherited from NIST; not independent laboratory evidence",EVALUATED_THEORY,NordlanderLind2017_TOPbase,data/reference/asplund2021_al/nordlander_lind_2017_analysis_lines.csv,FINE_STRUCTURE_TOTAL,4,,,,,,,,,,,,"TOPbase: Mendoza et al. 1995, and C. Mendoza, W. Eissner, M. Le Dourneuf & C. J. Zeippen (unpublished) -- Opacity Project, THEORY",nordlander_lind2017,nordlander_lind2017;kelleher2008_al;mendoza1995_al,10.1051/0004-6361/201730427,published source of the retained quantities,UNIQUE_SPECIES_WAVELENGTH_EP
alphys_I_2174.1130_0282,nl2017_a1_008,,,,,,,,,,Al I,2174.113,0.014,5.714961,3p 2Po J=3/2,8d 2D J=3/2,1.5,1.5,-1.778,-1.778,0.3,"NL2017 Table A.1, inherited from NIST; not independent laboratory evidence",EVALUATED_THEORY,NordlanderLind2017_TOPbase,data/reference/asplund2021_al/nordlander_lind_2017_analysis_lines.csv,FINE_STRUCTURE_TOTAL,4,,,,,,,,,,,,"TOPbase: Mendoza et al. 1995, and C. Mendoza, W. Eissner, M. Le Dourneuf & C. J. Zeippen (unpublished) -- Opacity Project, THEORY",nordlander_lind2017,nordlander_lind2017;kelleher2008_al;mendoza1995_al,10.1051/0004-6361/201730427,published source of the retained quantities,UNIQUE_SPECIES_WAVELENGTH_EP
alphys_I_2210.1300_0289,nl2017_a1_012,,,,,,,,,,Al I,2210.13,0.014,5.622066,3p 2Po J=3/2,7d 2D J=3/2,1.5,1.5,-1.595,-1.595,0.06,"NL2017 Table A.1, inherited from NIST; not independent laboratory evidence",EVALUATED_THEORY,NordlanderLind2017_TOPbase,data/reference/asplund2021_al/nordlander_lind_2017_analysis_lines.csv,FINE_STRUCTURE_TOTAL,4,,,,,,,,,,,,"TOPbase: Mendoza et al. 1995, and C. Mendoza, W. Eissner, M. Le Dourneuf & C. J. Zeippen (unpublished) -- Opacity Project, THEORY",nordlander_lind2017,nordlander_lind2017;kelleher2008_al;mendoza1995_al,10.1051/0004-6361/201730427,published source of the retained quantities,UNIQUE_SPECIES_WAVELENGTH_EP
alphys_I_2263.4630_0291,vuj2002_t2_024,2264.1624685031,59000000.0,,,,,,,,Al I,2263.462,0.0,,3p ^2^P^o^_1/2_,3s^2^6d ^2^D_3/2_,0.5,1.5,,,,"published bound; Vujnovic sums relative errors, not Gaussian quadrature",PRIMARY_LABORATORY,Vujnovic2002,data/reference/vujnovic2002_al/raw/table2.dat,RATIO_ONLY,2,,66000000.0,Wiese & Martin (1980),<,,,,,,,,,vujnovic2002,vujnovic2002,10.1051/0004-6361:20020560,published source of the retained quantities,AMBIGUOUS_FINE_STRUCTURE
alphys_I_2263.4630_0291,vuj2002_t2_025,2264.1624685031,59000000.0,,,,,,,,Al I,2263.462,0.0,,3p ^2^P^o^_1/2_,3s^2^6d ^2^D_3/2_,0.5,1.5,,,,"published bound; Vujnovic sums relative errors, not Gaussian quadrature",PRIMARY_LABORATORY,Vujnovic2002,data/reference/vujnovic2002_al/raw/table2.dat,RATIO_ONLY,2,,57599999.99999999,Davidson et al. (1990),<,,,,,,,,,vujnovic2002,vujnovic2002,10.1051/0004-6361:20020560,published source of the retained quantities,AMBIGUOUS_FINE_STRUCTURE
alphys_I_2269.0950_0293,vuj2002_t2_028,2269.7976863152,71000000.0,,,,,,,,Al I,2269.096,0.0138937931,,3p ^2^P^o^_3/2_,3s^2^6d ^2^D_5/2_,1.5,2.5,,,,"published bound; Vujnovic sums relative errors, not Gaussian quadrature",PRIMARY_LABORATORY,Vujnovic2002,data/reference/vujnovic2002_al/raw/table2.dat,RATIO_ONLY,2,,79000000.0,Wiese & Martin (1980),<,,,,,,,,,vujnovic2002,vujnovic2002,10.1051/0004-6361:20020560,published source of the retained quantities,AMBIGUOUS_FINE_STRUCTURE
alphys_I_2269.0950_0293,vuj2002_t2_029,2269.7976863152,71000000.0,,,,,,,,Al I,2269.096,0.0138937931,,3p ^2^P^o^_3/2_,3s^2^6d ^2^D_5/2_,1.5,2.5,,,,"published bound; Vujnovic sums relative errors, not Gaussian quadrature",PRIMARY_LABORATORY,Vujnovic2002,data/reference/vujnovic2002_al/raw/table2.dat,RATIO_ONLY,2,,69100000.0,Davidson et al. (1990),<,,,,,,,,,vujnovic2002,vujnovic2002,10.1051/0004-6361:20020560,published source of the retained quantities,AMBIGUOUS_FINE_STRUCTURE
alphys_I_2269.0950_0293,nl2017_a1_013,,,,,,,,,,Al I,2269.096,0.014,5.476346,3p 2Po J=3/2,6d 2D J=5/2,1.5,2.5,-0.454,-0.454,0.04,"NL2017 Table A.1, inherited from NIST; not independent laboratory evidence",EVALUATED_THEORY,NordlanderLind2017_TOPbase,data/reference/asplund2021_al/nordlander_lind_2017_analysis_lines.csv,FINE_STRUCTURE_TOTAL,4,,,,,,,,,,,,"TOPbase: Mendoza et al. 1995, and C. Mendoza, W. Eissner, M. Le Dourneuf & C. J. Zeippen (unpublished) -- Opacity Project, THEORY + Davidson et al. 1990",nordlander_lind2017,nordlander_lind2017;kelleher2008_al;mendoza1995_al,10.1051/0004-6361/201730427,published source of the retained quantities,UNIQUE_SPECIES_WAVELENGTH_EP
