wavelength_air_A,status,A0,ew_lo,ew_mid,ew_hi,rew,d_rew_dA,recovered_from_ceiling
4204.0374,ok,7.45,342.19153727158243,361.5494495765449,381.1801327800264,-4.065498866248557,0.2343049609320036,True
4206.6117,ok,7.45,252.34810467389613,265.53091402526775,278.905271009921,-4.199817334992825,0.21728337421200505,True
4211.8058,ok,7.45,120.826004715359,127.25529451143969,134.83636238585862,-4.519792477918879,0.238233062302462,True
4221.3931,ok,7.45,51.26209699984457,56.06847050274757,61.65760356568331,-4.876737086839554,0.40095136500885253,True
4235.8179,ok,7.45,554.3160108253227,580.6858440796026,606.9977394715385,-3.862996042331865,0.1971482540546421,True
4245.1522,ok,7.45,203.27629351966468,212.6913364370179,222.30876871068472,-4.300143465339618,0.19434929980519544,True
4254.3955,ok,7.45,496.4810598398549,497.5722172807282,497.6684343539263,-3.931981737770289,0.005187051320018066,True
4263.2578,ok,7.45,141.66519095403171,141.98989324203188,142.38892793563988,-4.477484162655391,0.01106534412669613,True
4265.2521,ok,7.45,157.27468352208896,172.3551598333972,188.08516577918448,-4.393520415963462,0.38847862140766964,True
4265.8938,ok,7.45,160.8197552287135,170.5875534203377,181.59392439686687,-4.398062698869276,0.2638095871334578,True
4268.6072,ok,7.45,183.3926852931147,190.40508845752842,197.870196849024,-4.350607642129631,0.16499188096497086,True
4277.3886,ok,7.45,116.23794148390098,123.86448385709103,131.84620925143352,-4.538231910338439,0.2735986878177199,True
4278.3866,ok,7.45,138.36251075382384,148.4568381170277,159.23056938916588,-4.4596798187969835,0.305040069413256,True
4287.8066,ok,7.45,330.68299638121636,335.12307674885136,339.4193640056445,-4.107030853819265,0.056623755790505825,True
4306.9054,ok,7.45,271.44727292149463,300.8272307061308,331.9896549403437,-4.155848186924637,0.4371953402776996,True
4316.9516,ok,7.45,125.67231549996986,132.97070559245793,140.93434869744775,-4.511421206249531,0.24888617911087318,True
4319.4211,ok,7.45,84.64762250092825,87.10444516574655,89.9655499584511,-4.69538522669702,0.13230737278655647,True
4327.7757,ok,7.45,153.84604815981774,167.68439795291695,182.81202305261067,-4.411772088124868,0.3745920484883236,True
4329.2603,ok,7.45,74.74187600609677,78.68260934953771,83.24311200267566,-4.740534944893501,0.23392156686611654,True
4351.8378,ok,7.45,546.8227414587498,551.2099738727812,555.7334117720359,-3.897355632822093,0.035099701666096994,True
