system_id,holding_id,instrument_id,band,coverage_A,evidence_state,product_selected,normalization_state,telluric_basis,telluric_applied,telluric_satisfied,reader_wired,line_pool_reachable,measurement_ready,blocking_gate,source_issue_ids
solar,solar_harps,harps,VIS,3780.0-6910.0,verified,True,normalised,line_selection,not-applied,True,True,True,GO,,RYA-708;RYA-806;RYA-905
solar,solar_kpno,kpno_solar_atlas,near-UV,3000.0-3780.0,verified,True,normalised,line_selection,not-applied,True,True,True,GO,,RYA-708;RYA-806
solar,solar_kpno,kpno_solar_atlas,VIS,3780.0-6910.0,verified,True,normalised,line_selection,not-applied,True,True,True,GO,,RYA-708;RYA-806
solar,solar_kpno,kpno_solar_atlas,red-optical,6910.0-9199.0,verified,True,normalised,line_selection,not-applied,True,True,True,GO,,RYA-708;RYA-806
solar,solar_kpno,kpno_solar_atlas,NIR,9199.0-13000.0,verified,True,normalised,line_selection,not-applied,False,True,True,NEEDS-CORRECTION,telluric:ir-band-uncorrected,RYA-708;RYA-806
solar,solar_kpno_kurucz2005_corrected,kpno_solar_atlas,near-UV,3000.0-3780.0,audited,True,unknown,line_selection,applied,False,True,True,NO-GO,evidence:audited;normalization:unknown;telluric:applied-unverified,RYA-929
solar,solar_kpno_kurucz2005_corrected,kpno_solar_atlas,VIS,3780.0-6910.0,audited,True,unknown,line_selection,applied,False,True,True,NO-GO,evidence:audited;normalization:unknown;telluric:applied-unverified,RYA-929
solar,solar_kpno_kurucz2005_corrected,kpno_solar_atlas,red-optical,6910.0-9199.0,audited,True,unknown,line_selection,applied,False,True,True,NO-GO,evidence:audited;normalization:unknown;telluric:applied-unverified,RYA-929
solar,solar_kpno_kurucz2005_corrected,kpno_solar_atlas,NIR,9199.0-13000.0,audited,True,unknown,line_selection,applied,False,True,True,NO-GO,evidence:audited;normalization:unknown;telluric:ir-band-uncorrected,RYA-929
solar,solar_iag,iag_fts_solar_atlas,VIS,4047.0-6910.0,verified,True,unknown,corrected,applied,True,True,True,NO-GO,normalization:unknown,RYA-708;RYA-806
solar,solar_iag,iag_fts_solar_atlas,red-optical,6910.0-9199.0,verified,True,unknown,corrected,applied,True,True,True,NO-GO,normalization:unknown,RYA-708;RYA-806
solar,solar_iag,iag_fts_solar_atlas,NIR,9199.0-10650.0,verified,True,unknown,corrected,applied,True,True,True,NO-GO,normalization:unknown,RYA-708;RYA-806
solar,elgueta2026_vizier,crires_plus,NIR,9500.0-13000.0,verified,False,unknown,correction_required,applied,True,False,False,NO-GO,product:not-a-manifest;normalization:unknown;reader:unwired;line_pool:unreachable(13-in-band),RYA-789;RYA-806
solar,solar_crires_plus_y_rya794,crires_plus,NIR,9500.0-13000.0,verified,True,normalised,correction_required,applied,True,True,True,GO,,RYA-794;RYA-805;RYA-806
solar,solar_vesta_crires_plus_idp,crires_plus,NIR,9500.0-13000.0,verified,False,unknown,correction_required,not-applied,False,True,True,NO-GO,product:n-file-inventory(18);normalization:unknown;telluric:ir-band-uncorrected,RYA-794;RYA-805;RYA-806
solar,solar_harps_molecfit_corrected,harps,VIS,3780.0-6910.0,verified,True,normalised,line_selection,applied,True,True,True,GO,,RYA-927;RYA-931
solar,solar_kpno_molecfit_corrected,kpno_solar_atlas,near-UV,3000.0-3780.0,audited,False,normalised,line_selection,applied,False,True,True,NO-GO,evidence:audited;product:not-a-manifest;telluric:applied-unverified,RYA-938;RYA-940
solar,solar_kpno_molecfit_corrected,kpno_solar_atlas,VIS,3780.0-6910.0,audited,False,normalised,line_selection,applied,False,True,True,NO-GO,evidence:audited;product:not-a-manifest;telluric:applied-unverified,RYA-938;RYA-940
solar,solar_kpno_molecfit_corrected,kpno_solar_atlas,red-optical,6910.0-9199.0,audited,False,normalised,line_selection,applied,False,True,True,NO-GO,evidence:audited;product:not-a-manifest;telluric:applied-unverified,RYA-938;RYA-940
solar,solar_kpno_molecfit_corrected,kpno_solar_atlas,NIR,9199.0-13000.0,audited,False,normalised,line_selection,applied,False,True,True,NO-GO,evidence:audited;product:not-a-manifest;telluric:ir-band-uncorrected,RYA-938;RYA-940
solar,solar_delbouille_liege,delbouille_liege_intensity,near-UV,3000.0-3780.0,verified,True,unknown,line_selection,not-applied,False,False,False,NO-GO,normalization:unknown;telluric:needs-correction(not-applied);reader:unwired;line_pool:unreachable(560-in-band),RYA-944
solar,solar_delbouille_liege,delbouille_liege_intensity,VIS,3780.0-6910.0,verified,True,unknown,line_selection,not-applied,False,False,False,NO-GO,normalization:unknown;telluric:needs-correction(not-applied);reader:unwired;line_pool:unreachable(856-in-band),RYA-944
solar,solar_delbouille_liege,delbouille_liege_intensity,red-optical,6910.0-9199.0,verified,True,unknown,line_selection,not-applied,False,False,False,NO-GO,normalization:unknown;telluric:needs-correction(not-applied);reader:unwired;line_pool:unreachable(107-in-band),RYA-944
